epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.371,5.12912,5.15843,4.23688,3e-05,0.0004,2e-05,0,0,5.22628,5.03834,4.14831,0.00331019,0.00331019,0.00331019
2,76.9717,5.0839,4.96511,4.20828,0.00127,0.01797,0.00056,9e-05,0.00018,4.96267,84.5269,7.4319,0.00662159,0.00662159,0.00662159
3,115.761,4.30385,4.38292,3.70536,0.00751,0.03267,0.00297,0.00044,0.00102,3.88485,16.397,3.84188,0.009911,0.009911,0.009911
4,153.937,2.91028,3.23174,2.40469,0.61635,0.09328,0.08383,0.02031,0.03405,2.53099,3.0858,2.05699,0.009901,0.009901,0.009901
5,192.01,2.4779,2.71672,1.95879,0.41131,0.13168,0.12749,0.03695,0.05532,2.2629,2.68414,1.83756,0.009868,0.009868,0.009868
6,229.749,2.33504,2.48381,1.80122,0.6888,0.1424,0.14644,0.04626,0.06432,2.17271,2.57394,1.75278,0.009835,0.009835,0.009835
7,267.626,2.27085,2.42332,1.74759,0.73979,0.12881,0.15483,0.05144,0.06831,2.12127,2.58392,1.71882,0.009802,0.009802,0.009802
8,305.232,2.21025,2.3313,1.70058,0.5576,0.17301,0.17935,0.05281,0.07802,2.11617,2.33585,1.71031,0.009769,0.009769,0.009769
9,343.474,2.17086,2.3012,1.68247,0.52196,0.19566,0.19615,0.05737,0.08534,2.10591,2.25836,1.69381,0.009736,0.009736,0.009736
10,381.191,2.1394,2.20659,1.65303,0.59472,0.20834,0.19887,0.06219,0.08832,2.04262,2.21745,1.65323,0.009703,0.009703,0.009703
11,419.54,2.1207,2.1512,1.63098,0.70373,0.19041,0.23639,0.07538,0.10311,2.03718,2.19956,1.65002,0.00967,0.00967,0.00967
12,457.631,2.09482,2.10298,1.61739,0.70296,0.24762,0.27737,0.08268,0.1187,2.01171,2.03077,1.63926,0.009637,0.009637,0.009637
13,495.242,2.06246,2.0166,1.59435,0.63465,0.30415,0.30997,0.09236,0.13616,1.95018,2.05144,1.58826,0.009604,0.009604,0.009604
14,532.516,2.04077,1.95068,1.57568,0.36715,0.32781,0.30237,0.09926,0.13596,1.95893,1.91365,1.60015,0.009571,0.009571,0.009571
15,570.255,2.00658,1.91681,1.56104,0.52948,0.34939,0.35208,0.10974,0.15649,1.9248,1.92282,1.5638,0.009538,0.009538,0.009538
16,607.566,1.99489,1.8728,1.54655,0.53736,0.36127,0.36271,0.11409,0.16356,1.89622,1.77069,1.54643,0.009505,0.009505,0.009505
