variant,seed,P,R,mAP50,mAP75,mAP50-95,APS,APM,APL,weights
d0,0,84.42985848261077,79.34087180345367,86.09156197307135,57.1763724523235,51.919227565030226,17.89037885855766,44.4652528190942,55.69143730896619,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/d0/seed0/weights/best.pt
d0,1,82.97686561565185,80.31062733897465,85.76621344623042,56.74219111874624,51.869662205537836,16.08712961459214,44.69486135687738,55.07876980972607,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/d0/seed1/weights/best.pt
d0,2,84.0160904049649,79.12423690245063,85.2273848901321,56.215323556348984,51.457508242845115,17.581844524787776,44.07333703165458,54.22865796118342,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/d0/seed2/weights/best.pt
t,0,83.25339216958153,79.45864530593477,85.10741788037365,57.41777906572085,51.65437849189139,17.83378784265007,43.94028226841197,54.777603849181155,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/t/seed0/weights/best.pt
t,1,83.16133430611674,79.64416024273886,85.49963385187365,56.854121346408974,51.6168922181824,16.981581921094016,43.63482925127795,54.18642439507266,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/t/seed1/weights/best.pt
t,2,85.41685413319156,78.00119892840259,85.3867708369095,57.63554144978732,51.92059856307753,16.92046719924092,44.419643209262354,55.00679590979546,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/t/seed2/weights/best.pt
s,0,84.2824965691208,78.82965285431858,85.54542844318675,56.894158656255996,51.4901486083113,16.862116966299148,43.98357049606037,53.841888247367976,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/s/seed0/weights/best.pt
s,1,83.08012544588519,79.02642494594454,85.3594234157186,57.424895626626736,51.544439634070436,18.64866775302493,44.251192543684596,53.96781337973483,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/s/seed1/weights/best.pt
s,2,83.82259247839696,79.00636281576129,85.3457345494374,56.24563457650231,51.03142373454186,16.624472022961463,43.53724991458697,53.85199644781367,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/s/seed2/weights/best.pt
e,0,82.39408406850981,80.45841821812125,85.40894750769267,57.218665320323666,51.66752229583044,18.74214174582703,43.67633440599909,55.113655551788824,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/e/seed0/weights/best.pt
e,1,83.90144398612148,79.09570573820162,86.27449027663367,57.87754196838917,52.08393095405276,18.152511770083226,44.54624953199492,55.304247662118335,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/e/seed1/weights/best.pt
e,2,84.35011246337633,78.6956935128915,85.44538196771437,56.43388576413286,51.40182182608588,16.853554464523825,43.535606697865546,54.551526284094805,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/e/seed2/weights/best.pt
ts,0,84.12769304406311,78.5905044858065,85.26832572339463,56.768855726613985,51.346624088810735,18.523496060873914,44.4556740557913,54.160820492093045,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/ts/seed0/weights/best.pt
ts,1,84.25467752216326,78.99867045180812,85.43306021525122,56.61550028129525,51.55124555070735,17.343008796769215,43.656648123827694,54.830423307009156,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/ts/seed1/weights/best.pt
ts,2,83.26152731526501,79.68468400073492,85.42255292699733,56.94297127578519,51.519267805259325,18.886287544538018,44.155548059617274,54.54873515296703,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/ts/seed2/weights/best.pt
te,0,83.68595297769646,79.62536111665595,85.65244440030008,56.70561202958548,51.644459614062676,17.37166802303018,43.81114400341842,53.9229537083504,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/te/seed0/weights/best.pt
te,1,85.10178155024204,78.54030494997679,85.5820736865704,56.78840066823967,51.50045404199324,18.857912393294978,44.13339797609619,54.39429143835055,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/te/seed1/weights/best.pt
te,2,83.10856180125342,80.52114538760846,85.96651276481488,57.76439920315215,51.950552254170624,17.206956939194267,44.461283268774785,55.3856589834513,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/te/seed2/weights/best.pt
se,0,83.8345882605463,79.27148104488401,85.57128632152904,56.217859080219036,51.24104525765929,17.66545330649463,43.75639620080945,53.34739270094373,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/se/seed0/weights/best.pt
se,1,82.30036736783228,79.90752155749952,85.40962237698466,57.288476420698586,51.57564068233906,17.41635886354927,43.862750043319906,54.03723868163169,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/se/seed1/weights/best.pt
se,2,83.15751801773077,80.03834714260242,85.76803498573085,56.98073405064352,51.633013049507845,18.678515780867897,44.304154439125014,54.56856667692029,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/se/seed2/weights/best.pt
tdr,0,83.6594624431077,79.18463340113344,85.3675181290338,56.81215769714656,51.365513829154594,17.984705777030456,44.27197854698012,54.42599478305905,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/tdr/seed0/weights/best.pt
tdr,1,82.92323047661571,79.9540735272859,85.67064196808496,56.58151830598478,51.50734754340645,17.397463897648517,44.59888317066053,54.62035680837902,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/tdr/seed1/weights/best.pt
tdr,2,84.09817803241579,78.41313437365518,85.45137781423871,56.98572879526049,51.40526291259929,16.79343737724328,43.632223097504124,53.80290550071267,/home/room305/ZZF/yolov13-6000/runs/train/tdr_urpc2019_20260808_051400/tdr/seed2/weights/best.pt
