variant,seed,class,source_label_id,prediction_class_id,targets,P,R,F1,mAP50,mAP75,mAP50-95,APS,APM,APL
d0,0,echinus,1,1,3556,89.60549915324057,87.5421822272216,88.56182451055541,92.16994742127673,59.24763085732761,54.64016452610127,31.525518237364924,52.043171376801354,56.20218252360849
d0,1,echinus,1,1,3556,88.38597625549708,87.53106624935147,87.95644393487676,92.1175736414484,60.93276104967551,55.27543267883769,31.430177459848952,53.17687413911841,55.62073485359556
d0,2,echinus,1,1,3556,89.35245537410536,87.78861897534563,88.56363424639262,92.23403373252833,59.59065454184741,54.98464573654551,33.6813757225361,53.01163785144991,53.367836154586335
d0,0,starfish,2,2,1133,83.60909640300716,84.28949691085613,83.9479180127097,90.03961487967067,64.04992400296203,56.213423747498595,20.759763912740453,54.31084496683353,57.611756086860645
d0,1,starfish,2,2,1133,83.43679471558443,84.81906443071492,84.12225170381703,89.26289510819632,62.045748639010824,55.20594587418838,16.81645449751355,53.11015769536499,55.54691999522361
d0,2,starfish,2,2,1133,83.3200673683023,82.4360105913504,82.87568143012291,88.59079955915918,63.06267267526149,55.64104175952107,20.175446893852822,53.85412579232214,55.57195965481678
d0,0,holothurian,3,3,1022,81.09174172040893,69.76516634050881,75.00324542885888,77.47587176617073,44.606204165253,43.14373189412895,2.0342464350531504,36.01622831310975,48.84182518740722
d0,1,holothurian,3,3,1022,77.10620499977782,71.3307240704501,74.10610644412553,76.18684037754,42.385958909864776,42.708413476741065,0.47289099526066347,34.95148058584181,48.57678826193563
d0,2,holothurian,3,3,1022,79.64925361520108,68.93236069426185,73.90431319175815,75.49366745834463,40.25642499962683,41.56226601573311,0.22729718062963503,33.3968422649534,48.06953032072763
d0,0,scallop,4,4,1337,83.41250747920307,75.76664173522812,79.40594734427509,84.68065300346016,59.955967411340126,53.17500036278704,17.133562064345792,34.728909031457846,59.26310062943754
d0,1,scallop,4,4,1337,82.97836370692887,77.5617053103964,80.17865486629574,85.4977074591783,61.13430007074646,53.76192330494203,15.49445206751687,36.59156027868205,60.01402520840254
d0,2,scallop,4,4,1337,83.87441233838486,77.11293941660435,80.35168485902766,84.45906897991917,61.37728885123978,53.13955584389689,15.821082080615618,35.47326957516231,59.81678140709389
t,0,echinus,1,1,3556,88.34398328389098,87.93588301462317,88.13946075886652,91.77149437119311,60.253095452812055,54.71724843784608,32.30614914751144,52.28611294548222,55.618276894011956
t,1,echinus,1,1,3556,88.10540529197452,87.4859392575928,87.79457957238212,91.60193362325752,59.21735335146434,54.453228582650006,32.37166533389536,51.95525583142053,55.85577405265412
t,2,echinus,1,1,3556,89.4534607105897,86.82140565169989,88.11778286463628,92.15098904845782,59.67514875368421,54.97561624803148,29.53111838127283,53.05265504807518,55.235967176753874
t,0,starfish,2,2,1133,83.03380975098148,84.6636260213783,83.84079796461693,89.44559227330625,64.00554052150423,56.30455751484968,21.92471354370457,54.367381852222906,56.539795896710174
t,1,starfish,2,2,1133,82.51923425876598,84.02471315092674,83.26516929456909,89.36335817197806,62.13389544618617,55.50836435322408,19.905481449480366,52.81225937825599,53.49580255689299
t,2,starfish,2,2,1133,84.87000839271921,82.17122683142101,83.49881634274332,89.1741844099156,64.81198210249434,56.24847661774373,20.72338951263001,54.0188212718683,57.91060529636336
t,0,holothurian,3,3,1022,76.81257907256403,69.68953726231123,73.07789437328933,74.73140270909546,45.37711438476665,42.3389561355726,0.31553638211382107,35.23875410192437,47.5849505296318
t,1,holothurian,3,3,1022,78.40287444909683,70.33159015179564,74.14823251992236,76.36425729400851,44.972740509726606,43.010934634653786,0.6119277069725206,35.10961628921566,47.18380278807813
t,2,holothurian,3,3,1022,80.67545231959079,68.21780731435004,73.9254748652347,75.46132825451251,44.370868978389325,42.19295843789862,0.43606775067750686,35.182872305568466,46.44105930768645
t,0,scallop,4,4,1337,84.7154050177127,75.44813457040128,79.81366164108887,84.30147324512477,59.48402029213271,52.736560574907564,16.63915836754773,33.527990004686416,58.85726952981436
t,1,scallop,4,4,1337,83.61759428970234,76.73343947870151,80.02774238487979,84.57794944873469,60.271079055325515,52.93147837881656,14.990932994929066,33.89432475748279,59.34849458549974
t,2,scallop,4,4,1337,86.66873775001017,74.79431563201196,80.294888408497,84.76201967753157,60.905604326502385,53.67056474935141,16.937214585570352,34.88107013510656,59.88868642737404
s,0,echinus,1,1,3556,89.09495666100588,87.99596358921134,88.54205005255903,92.73051759153755,60.52384652464634,55.47718153785426,32.78495902087455,53.29709502516706,54.69581391085774
s,1,echinus,1,1,3556,88.75066586180846,87.5421822272216,88.14228198001584,92.54398762966541,60.65761053599179,55.17924720819097,30.452950129315433,52.85796393602216,55.04767606945189
s,2,echinus,1,1,3556,88.28917312458702,87.77250306740724,88.0300799868113,92.19887117276949,59.23562146771161,54.328320584630475,30.555024320325412,52.20793152075672,55.42330142253557
s,0,starfish,2,2,1133,83.60277527324541,82.17122683142101,82.88081995362269,88.96320659540106,62.25811076709289,54.92158003479788,17.973425627546284,53.39249714681532,55.193555537124595
s,1,starfish,2,2,1133,83.1113900613782,82.96026321327881,83.03575787386475,89.55617045929843,65.1430872687903,56.10958881693193,22.722390864879642,54.230106610410346,55.34541950269003
s,2,starfish,2,2,1133,83.36684934310318,84.05095298299182,83.70750346882501,89.62264593601509,63.24989954965135,55.82072556083356,21.308946909299614,53.78841656276643,55.83336165819431
s,0,holothurian,3,3,1022,79.66878009670084,70.93255518162572,75.047278033999,76.10195115953239,43.95030961558765,42.2062163527442,0.3430954198445041,35.447075956718024,45.87843866385123
s,1,holothurian,3,3,1022,77.80664689956434,69.29379563565831,73.30389761490025,75.59723963840622,43.081799147509415,41.64003301933427,4.642767485822306,35.40676190405054,45.43184980380294
s,2,holothurian,3,3,1022,78.4248734703272,67.9333589656779,72.80308039559196,74.81196099805449,40.85565036090946,40.51023213680969,1.123816345549773,33.65824049734657,44.04939084471852
s,0,scallop,4,4,1337,84.6535489353633,74.12116679132386,79.03802304287055,84.0911517778125,60.05302780937293,52.764843658311925,16.25323064268019,33.35099169485136,59.64782086208024
s,1,scallop,4,4,1337,83.34236907835361,75.21723026584657,79.07161965337036,83.67164215677963,59.850193146188914,52.739215796562156,16.737695084773765,33.78011740207236,59.482899534700685
s,2,scallop,4,4,1337,85.20946353606172,76.26861094612013,80.49151495272017,84.74986762779167,60.50451191224102,52.89441455230819,13.463926446316465,33.97588946690758,59.38079195788591
e,0,echinus,1,1,3556,88.92687552607639,88.18897637795276,88.55638883620324,92.52803959357493,60.35217476098702,55.45776081195288,32.62194226869586,53.29340970168109,55.943789553905056
e,1,echinus,1,1,3556,88.76336328042561,87.96924177501606,88.36451839466525,92.84494866956314,60.24057597359882,55.141907562355804,32.55307583670836,52.52132241329731,55.793307715834196
e,2,echinus,1,1,3556,89.13664456170075,87.5421822272216,88.332218672314,92.1384567302809,59.185288413205186,54.678397415238614,32.78123236983785,52.31439301670389,55.060682606469335
e,0,starfish,2,2,1133,82.25036475351335,86.67255075022065,84.40357416357125,89.86186206148136,64.60161380422275,56.184982193778964,23.31077431161472,54.3101506561238,57.061670340767634
e,1,starfish,2,2,1133,83.39833156423056,84.11297440423654,83.75412856656568,89.64328981372879,63.370763670938715,55.92494619938908,19.499886656995855,54.840984714764055,56.45447737006817
e,2,starfish,2,2,1133,84.3543349838995,82.87731685789939,83.6093032844233,90.24253917555707,63.26181861032789,55.945166794785436,17.240931346649695,54.05084688886896,55.44287593832708
e,0,holothurian,3,3,1022,75.47853758135358,71.07851871783247,73.21247822170754,75.52331172689108,42.73457071171512,41.91510678335525,1.2948784679770522,34.611994073179794,48.27217709818531
e,1,holothurian,3,3,1022,79.22613709501839,70.15655577299414,74.4160223526902,77.53752853774962,45.069458599900905,43.26468556807915,2.9862038265268733,35.28377227656622,49.23727241410215
e,2,holothurian,3,3,1022,78.79161041781445,68.19960861056752,73.11398637021577,74.97086263332525,42.18821703400551,41.63996119615129,0.7484892382296828,34.23271832699648,48.16269338336581
e,0,scallop,4,4,1337,82.92063787488058,75.8937373469785,79.25173149758952,83.72109791021629,60.14039009913468,52.504230886016465,17.67724798375003,32.04138148865006,59.13418060841382
e,1,scallop,4,4,1337,84.39775539505571,73.89678384442783,78.79896195215929,84.9866608932127,61.90062577329027,53.48619233702963,17.49079248151306,34.75841086318573,59.07669780444225
e,2,scallop,4,4,1337,85.00476159646165,76.06581899775617,80.28724781011914,84.3232946721504,60.576334381948016,52.72469526925684,16.582190046193805,32.73257859541189,58.800392354101824
ts,0,echinus,1,1,3556,89.81880133834473,87.32714534316386,88.55545007896191,92.2348999407556,59.52525555928825,54.768849899316294,33.836650917938314,52.194284248917356,54.84973546794004
ts,1,echinus,1,1,3556,89.69589780052956,87.39144026451862,88.52867494939737,92.64679369414948,59.815802961081644,55.12063581392499,31.518794048700755,53.17502827362581,55.79465938622544
ts,2,echinus,1,1,3556,88.84403273753813,88.23797023829383,88.53996436458662,92.23643336163197,59.950042794873404,54.84633355500649,32.86653060364101,52.53945286121804,55.55339932820025
ts,0,starfish,2,2,1133,84.25706937337036,83.13875960784493,83.69417898316019,89.92239969635543,63.43800315275136,55.64334621884856,20.556669527728776,54.07905537770456,56.129704040341124
ts,1,starfish,2,2,1133,82.80712768246772,83.31926824978414,83.06240854323134,89.54275852924344,63.54743178171913,55.80521832041949,17.95119851042762,53.752941825328115,56.67608447537917
