epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.6255,1.83666,2.71405,1.41135,0.59701,0.50401,0.52852,0.20402,0.25152,1.69997,1.74274,1.43384,0.00331921,0.00331921,0.00331921
2,139.483,1.71259,1.64785,1.35173,0.66448,0.47525,0.52544,0.20684,0.25491,1.71405,1.80517,1.40495,0.00663059,0.00663059,0.00663059
3,206.268,1.71617,1.56111,1.35667,0.66333,0.52343,0.56223,0.21021,0.26453,1.76827,1.79221,1.45063,0.00991997,0.00991997,0.00991997
4,271.36,1.71763,1.52459,1.34778,0.62226,0.54262,0.57224,0.20787,0.26956,1.77285,1.67624,1.45839,0.009901,0.009901,0.009901
5,341.011,1.68655,1.43992,1.32948,0.66922,0.53261,0.59464,0.24715,0.28893,1.71655,1.60743,1.42781,0.009868,0.009868,0.009868
6,406.226,1.66623,1.40205,1.32669,0.70961,0.58573,0.64513,0.29251,0.32605,1.66593,1.39173,1.3934,0.009835,0.009835,0.009835
7,470.264,1.65547,1.31964,1.32009,0.71306,0.61597,0.67596,0.30932,0.34471,1.6456,1.3362,1.38469,0.009802,0.009802,0.009802
8,537.936,1.63598,1.29586,1.31027,0.67852,0.59636,0.64945,0.31079,0.33535,1.63063,1.35206,1.39832,0.009769,0.009769,0.009769
9,604.833,1.61864,1.2642,1.30503,0.73939,0.6163,0.69409,0.33286,0.35803,1.58269,1.26649,1.35314,0.009736,0.009736,0.009736
10,675.681,1.60323,1.23669,1.29593,0.73584,0.63989,0.70838,0.36439,0.37706,1.56159,1.2105,1.35054,0.009703,0.009703,0.009703
11,742.977,1.59246,1.21456,1.28857,0.75109,0.63263,0.71699,0.37678,0.38057,1.55157,1.19999,1.3294,0.00967,0.00967,0.00967
12,811.573,1.58069,1.18559,1.28696,0.72271,0.63965,0.70705,0.36309,0.37757,1.59836,1.18605,1.35402,0.009637,0.009637,0.009637
13,878.455,1.58911,1.18043,1.27865,0.74265,0.64719,0.71902,0.35003,0.37516,1.59104,1.16915,1.36214,0.009604,0.009604,0.009604
14,945.919,1.56772,1.17457,1.27585,0.74729,0.66879,0.74221,0.37528,0.39377,1.58784,1.13855,1.34674,0.009571,0.009571,0.009571
15,1014.74,1.56363,1.14791,1.26757,0.77961,0.65344,0.74648,0.40301,0.40786,1.54721,1.10068,1.33219,0.009538,0.009538,0.009538
16,1082.07,1.55169,1.1238,1.27441,0.77397,0.6614,0.74623,0.40673,0.40975,1.52274,1.10877,1.31033,0.009505,0.009505,0.009505
17,1151.23,1.55019,1.12291,1.25401,0.73816,0.62534,0.69494,0.38151,0.37925,1.56092,1.25183,1.33435,0.009472,0.009472,0.009472
18,1218.79,1.53901,1.09746,1.26079,0.75669,0.65743,0.7269,0.40421,0.39969,1.54445,1.10259,1.33603,0.009439,0.009439,0.009439
19,1286.48,1.53416,1.08633,1.24758,0.77519,0.68402,0.76664,0.43562,0.42777,1.50315,1.07606,1.29762,0.009406,0.009406,0.009406
20,1353.54,1.52553,1.07658,1.24889,0.75798,0.62949,0.71776,0.38465,0.39106,1.53011,1.14978,1.30979,0.009373,0.009373,0.009373
21,1421.75,1.52843,1.07136,1.25149,0.78587,0.6845,0.76726,0.41875,0.42166,1.52836,1.05388,1.32102,0.00934,0.00934,0.00934
22,1491.55,1.52291,1.05309,1.24789,0.77784,0.68236,0.76619,0.41492,0.41986,1.51535,1.09085,1.3099,0.009307,0.009307,0.009307
23,1558.77,1.51575,1.05381,1.23802,0.76195,0.67181,0.75117,0.4064,0.41155,1.53278,1.07981,1.31121,0.009274,0.009274,0.009274
24,1627.17,1.50837,1.03877,1.24189,0.78292,0.67516,0.75793,0.41143,0.4164,1.52524,1.08545,1.30702,0.009241,0.009241,0.009241
25,1695.07,1.50147,1.01783,1.2382,0.79035,0.67669,0.76662,0.42893,0.42605,1.50946,1.05202,1.29167,0.009208,0.009208,0.009208
26,1764.54,1.49692,1.01068,1.24039,0.78326,0.70089,0.78177,0.46095,0.44051,1.48827,1.00559,1.2926,0.009175,0.009175,0.009175
27,1830.96,1.50177,1.01298,1.23948,0.79166,0.70297,0.78332,0.44484,0.43754,1.50506,0.99757,1.29858,0.009142,0.009142,0.009142
28,1898.92,1.49682,1.00654,1.2345,0.76789,0.68256,0.75918,0.42878,0.41854,1.55842,1.02177,1.35475,0.009109,0.009109,0.009109
29,1965.38,1.49246,0.99936,1.23889,0.79196,0.69526,0.7775,0.44727,0.43668,1.51832,1.00673,1.31447,0.009076,0.009076,0.009076
