epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.9065,1.84465,3.14196,1.37081,0.61026,0.46094,0.49371,0.20579,0.24086,1.70609,2.11963,1.38301,0.00331921,0.00331921,0.00331921
2,106.543,1.70559,1.91355,1.28555,0.67026,0.53901,0.59214,0.26814,0.30118,1.64067,1.82638,1.27617,0.00663059,0.00663059,0.00663059
3,158.506,1.70716,1.78483,1.29071,0.69055,0.558,0.60409,0.24246,0.29185,1.68943,1.92219,1.31073,0.00991997,0.00991997,0.00991997
4,210.216,1.69884,1.72896,1.2818,0.65837,0.51665,0.56494,0.23353,0.27301,1.70054,1.8297,1.32131,0.009901,0.009901,0.009901
5,262.229,1.67258,1.6381,1.2667,0.691,0.56264,0.6193,0.25838,0.30372,1.66804,1.72056,1.33745,0.009868,0.009868,0.009868
6,313.516,1.64986,1.58845,1.26515,0.6859,0.57066,0.627,0.26657,0.30937,1.65776,1.6814,1.33861,0.009835,0.009835,0.009835
7,364.985,1.63153,1.51903,1.25323,0.70064,0.5055,0.56784,0.25382,0.28512,1.72985,1.73251,1.38039,0.009802,0.009802,0.009802
8,415.816,1.61434,1.47976,1.24354,0.71877,0.63074,0.69469,0.33258,0.36137,1.57653,1.45522,1.28342,0.009769,0.009769,0.009769
9,467.072,1.60228,1.43408,1.24056,0.77151,0.62853,0.72121,0.37565,0.38574,1.53653,1.39849,1.23279,0.009736,0.009736,0.009736
10,517.845,1.58416,1.39528,1.23602,0.7478,0.64957,0.72195,0.38732,0.38668,1.51605,1.36559,1.25092,0.009703,0.009703,0.009703
11,568.192,1.56873,1.3749,1.23076,0.72237,0.60109,0.67255,0.34231,0.35603,1.57499,1.49219,1.29498,0.00967,0.00967,0.00967
12,618.887,1.572,1.34613,1.23472,0.72604,0.67826,0.72898,0.37015,0.38626,1.56269,1.36515,1.30333,0.009637,0.009637,0.009637
13,669.273,1.57086,1.32483,1.22546,0.7814,0.66489,0.75111,0.39512,0.40333,1.54437,1.31844,1.25559,0.009604,0.009604,0.009604
14,719.251,1.55158,1.32534,1.22361,0.73273,0.66098,0.72516,0.36128,0.3802,1.56338,1.32788,1.27506,0.009571,0.009571,0.009571
15,769.111,1.5496,1.30076,1.22075,0.72792,0.60906,0.68596,0.36493,0.36911,1.54831,1.35786,1.27801,0.009538,0.009538,0.009538
16,817.396,1.53906,1.27963,1.22501,0.76747,0.67676,0.74656,0.40641,0.4098,1.49901,1.27576,1.26335,0.009505,0.009505,0.009505
17,866.076,1.53853,1.27697,1.21418,0.75432,0.67041,0.74442,0.40858,0.40908,1.51766,1.26622,1.26908,0.009472,0.009472,0.009472
18,914.118,1.52398,1.2417,1.21657,0.76485,0.66359,0.74539,0.40209,0.40495,1.54469,1.29977,1.28859,0.009439,0.009439,0.009439
19,962.025,1.52224,1.23521,1.20811,0.78298,0.6913,0.76784,0.43375,0.42533,1.51052,1.21505,1.26997,0.009406,0.009406,0.009406
20,1010.88,1.51534,1.22566,1.20788,0.77064,0.6786,0.75948,0.41589,0.4173,1.50817,1.2334,1.25225,0.009373,0.009373,0.009373
21,1059.36,1.51811,1.22424,1.20882,0.79978,0.64814,0.75186,0.41769,0.41419,1.53233,1.28367,1.25632,0.00934,0.00934,0.00934
22,1109.07,1.51187,1.19395,1.21275,0.77824,0.71078,0.7853,0.443,0.43584,1.49284,1.20128,1.25059,0.009307,0.009307,0.009307
23,1159.75,1.49852,1.18471,1.20111,0.76893,0.72078,0.78795,0.44116,0.43741,1.50439,1.15963,1.24767,0.009274,0.009274,0.009274
24,1210.62,1.4996,1.17199,1.2082,0.7629,0.66935,0.74183,0.39456,0.4028,1.54317,1.25876,1.29665,0.009241,0.009241,0.009241
25,1261.48,1.49101,1.15595,1.20274,0.78352,0.69682,0.78141,0.44939,0.43675,1.50513,1.1746,1.24488,0.009208,0.009208,0.009208
