epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.835,4.79346,4.74467,4.0877,0.00809,0.01547,0.0028,0.00029,0.00091,4.20488,4.7143,3.91859,0.00331921,0.00331921,0.00331921
2,311.85,3.24212,3.34179,2.8792,0.62182,0.09236,0.08513,0.01594,0.03226,2.86031,3.35187,2.56405,0.00663059,0.00663059,0.00663059
3,420.064,2.35818,2.30263,1.95318,0.32911,0.26959,0.24852,0.06998,0.10652,2.1908,2.43982,1.90248,0.00991997,0.00991997,0.00991997
4,527.668,2.09196,1.94084,1.68097,0.3908,0.36108,0.33705,0.09054,0.14235,1.98587,2.19672,1.69754,0.009901,0.009901,0.009901
5,637.514,1.96431,1.76041,1.57034,0.50331,0.36794,0.38121,0.12934,0.17436,1.93194,1.90025,1.66546,0.009868,0.009868,0.009868
6,757.994,1.90233,1.69493,1.53967,0.62834,0.39189,0.43369,0.12859,0.18777,1.96194,1.77522,1.66937,0.009835,0.009835,0.009835
7,865.955,1.86223,1.61511,1.49471,0.53705,0.44739,0.4618,0.18085,0.21946,1.80672,1.715,1.56991,0.009802,0.009802,0.009802
8,973.424,1.82817,1.55981,1.47723,0.64007,0.44466,0.4776,0.16371,0.21682,1.76783,1.61134,1.51207,0.009769,0.009769,0.009769
9,1080.88,1.79673,1.5137,1.4596,0.6309,0.46683,0.51416,0.18087,0.23863,1.77285,1.57339,1.5193,0.009736,0.009736,0.009736
10,1187.92,1.77259,1.47607,1.44685,0.58984,0.48417,0.51469,0.19192,0.24216,1.76961,1.65398,1.52645,0.009703,0.009703,0.009703
11,1297.87,1.75354,1.45831,1.43499,0.50835,0.37266,0.39187,0.15159,0.18742,1.84795,1.79433,1.60311,0.00967,0.00967,0.00967
12,1404.76,1.75277,1.43337,1.43473,0.61853,0.5336,0.57185,0.22544,0.27344,1.72155,1.44254,1.49913,0.009637,0.009637,0.009637
13,1518.13,1.74367,1.39985,1.41232,0.6917,0.51317,0.58792,0.23008,0.28108,1.67461,1.4603,1.4589,0.009604,0.009604,0.009604
14,1638.02,1.71715,1.40092,1.41284,0.60261,0.55794,0.57641,0.22823,0.2754,1.70109,1.42048,1.4694,0.009571,0.009571,0.009571
