epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.803,5.04894,4.91682,4.14769,0.00031,0.00867,0.00016,2e-05,5e-05,4.59219,4.94968,4.08418,0.00331921,0.00331921,0.00331921
2,81.5991,3.23882,3.41619,2.90435,0.8981,0.13181,0.13785,0.02304,0.05268,2.4992,4.08041,2.2959,0.00663059,0.00663059,0.00663059
3,132.118,2.36082,2.37348,1.97205,0.55603,0.29885,0.27644,0.06544,0.11424,2.10704,3.20796,1.83295,0.00991997,0.00991997,0.00991997
4,182.995,2.10196,1.97359,1.69159,0.35424,0.30773,0.27988,0.06043,0.10877,2.29801,2.13168,1.90571,0.009901,0.009901,0.009901
5,235.532,1.97941,1.77431,1.58101,0.50034,0.43329,0.42453,0.13752,0.19172,1.84684,1.7787,1.59618,0.009868,0.009868,0.009868
6,288.312,1.90849,1.69953,1.54273,0.56503,0.43474,0.46311,0.14686,0.2083,1.82844,1.66462,1.57413,0.009835,0.009835,0.009835
7,340.485,1.87518,1.6153,1.50073,0.60298,0.44836,0.44783,0.15964,0.20866,1.79636,2.07885,1.54961,0.009802,0.009802,0.009802
8,392.966,1.83562,1.56956,1.48181,0.54789,0.47244,0.48721,0.17887,0.22705,1.79257,1.55955,1.54647,0.009769,0.009769,0.009769
9,445.911,1.80764,1.52511,1.46657,0.55591,0.52821,0.52791,0.19534,0.24699,1.73812,1.51462,1.50146,0.009736,0.009736,0.009736
10,498.681,1.78465,1.48232,1.45288,0.58706,0.52844,0.54693,0.22407,0.26423,1.70952,1.46389,1.49231,0.009703,0.009703,0.009703
11,551.242,1.76137,1.46026,1.43871,0.57099,0.50912,0.5359,0.21777,0.2581,1.76449,1.50064,1.53102,0.00967,0.00967,0.00967
12,603.64,1.76052,1.43632,1.43871,0.62925,0.54593,0.57219,0.22215,0.27193,1.69104,1.41685,1.4725,0.009637,0.009637,0.009637
13,656.637,1.74765,1.41129,1.41386,0.65922,0.51489,0.56377,0.21395,0.26627,1.71037,1.46198,1.48544,0.009604,0.009604,0.009604
14,708.404,1.72649,1.40706,1.41675,0.59228,0.54428,0.56625,0.23025,0.27408,1.72494,1.4552,1.49802,0.009571,0.009571,0.009571
15,760.361,1.72243,1.39621,1.40992,0.604,0.57759,0.59572,0.24655,0.29128,1.66058,1.39399,1.45615,0.009538,0.009538,0.009538
16,812.451,1.70542,1.36163,1.41,0.59829,0.61338,0.62869,0.2701,0.31129,1.64625,1.31141,1.44235,0.009505,0.009505,0.009505
17,864.326,1.7033,1.35805,1.39123,0.61919,0.57555,0.61212,0.27507,0.3092,1.64551,1.35224,1.44707,0.009472,0.009472,0.009472
18,915.491,1.68998,1.3359,1.39802,0.62897,0.58596,0.61321,0.24483,0.29643,1.72632,1.35442,1.49286,0.009439,0.009439,0.009439
19,964.841,1.68868,1.32832,1.38372,0.62845,0.57475,0.6109,0.27547,0.30931,1.64453,1.35662,1.44247,0.009406,0.009406,0.009406
20,1015.37,1.677,1.32027,1.3825,0.66179,0.57239,0.62781,0.28862,0.31685,1.64807,1.33038,1.45198,0.009373,0.009373,0.009373
21,1065.77,1.67615,1.30613,1.38247,0.63072,0.56128,0.60113,0.26089,0.30068,1.67745,1.34588,1.46636,0.00934,0.00934,0.00934
22,1115.48,1.66366,1.28804,1.37674,0.61846,0.58234,0.60631,0.26818,0.30468,1.63362,1.34557,1.43459,0.009307,0.009307,0.009307
23,1165,1.65545,1.28103,1.36717,0.64505,0.589,0.62812,0.28433,0.31591,1.66765,1.33646,1.45486,0.009274,0.009274,0.009274
24,1215.76,1.6535,1.27028,1.3706,0.65224,0.60761,0.65485,0.30946,0.33577,1.60299,1.28375,1.41786,0.009241,0.009241,0.009241
25,1267.99,1.64238,1.25286,1.36174,0.67172,0.61372,0.66621,0.29621,0.33521,1.62658,1.24542,1.42517,0.009208,0.009208,0.009208
26,1320.51,1.63594,1.25132,1.36888,0.64266,0.58255,0.63574,0.30121,0.32492,1.61375,1.31502,1.42559,0.009175,0.009175,0.009175
27,1372.79,1.62978,1.24516,1.35846,0.66523,0.58864,0.64524,0.29472,0.32738,1.66489,1.29113,1.46265,0.009142,0.009142,0.009142
28,1425.34,1.637,1.23761,1.35942,0.68959,0.63523,0.68819,0.3245,0.35271,1.59593,1.20142,1.41199,0.009109,0.009109,0.009109
29,1477.85,1.62149,1.23988,1.35789,0.67825,0.62143,0.67079,0.30721,0.33959,1.60219,1.23928,1.40882,0.009076,0.009076,0.009076
30,1530.18,1.62058,1.22482,1.3539,0.69869,0.62308,0.68233,0.32544,0.34991,1.5833,1.21607,1.39636,0.009043,0.009043,0.009043
31,1582.08,1.61903,1.22623,1.3529,0.75379,0.58571,0.67714,0.31474,0.34619,1.62181,1.22292,1.41993,0.00901,0.00901,0.00901
32,1633.89,1.61551,1.2171,1.3442,0.69845,0.59558,0.66252,0.30658,0.33827,1.61859,1.25817,1.41715,0.008977,0.008977,0.008977
33,1685.04,1.60544,1.19636,1.34135,0.75782,0.63388,0.71336,0.34752,0.37111,1.56921,1.15625,1.39314,0.008944,0.008944,0.008944
34,1735.8,1.60913,1.18888,1.34231,0.74234,0.62166,0.6997,0.33049,0.35978,1.59943,1.18015,1.41178,0.008911,0.008911,0.008911
35,1785.23,1.59959,1.18923,1.34274,0.73354,0.61443,0.69345,0.34062,0.36045,1.58249,1.19804,1.3995,0.008878,0.008878,0.008878
36,1834.55,1.60384,1.19169,1.33495,0.75333,0.63686,0.72132,0.35264,0.37437,1.56092,1.1626,1.38734,0.008845,0.008845,0.008845
37,1883.99,1.59523,1.1917,1.33806,0.75158,0.6426,0.72303,0.35829,0.37951,1.55264,1.14095,1.37673,0.008812,0.008812,0.008812
38,1933.46,1.59864,1.1759,1.33982,0.74028,0.62478,0.71075,0.33757,0.36582,1.59138,1.20169,1.40896,0.008779,0.008779,0.008779
39,1983.12,1.58684,1.16878,1.336,0.71536,0.65356,0.71864,0.36051,0.37622,1.5756,1.13975,1.39692,0.008746,0.008746,0.008746
