epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.172,4.71797,4.95978,3.9781,0.81888,0.05652,0.03101,0.00365,0.0097,3.13553,8.46991,2.98091,0.00331921,0.00331921,0.00331921
2,139.898,2.55263,2.92441,2.25552,0.72261,0.24407,0.29815,0.07364,0.12286,2.15321,3.00677,1.92375,0.00663059,0.00663059,0.00663059
3,207.76,2.16924,2.26157,1.78465,0.54072,0.14629,0.13768,0.03556,0.05842,2.44501,2.99087,2.18792,0.00991997,0.00991997,0.00991997
4,275.513,2.02563,2.0663,1.63149,0.38375,0.36573,0.2714,0.06473,0.10998,2.03722,3.03444,1.71273,0.009901,0.009901,0.009901
5,343.626,1.9261,1.91725,1.54873,0.51248,0.37562,0.38657,0.13056,0.1733,1.93108,2.08726,1.67217,0.009868,0.009868,0.009868
6,411.893,1.87568,1.86625,1.52394,0.70616,0.4041,0.472,0.15389,0.21315,1.87244,1.88441,1.61093,0.009835,0.009835,0.009835
7,493.448,1.83891,1.77642,1.48105,0.52838,0.4609,0.44083,0.14715,0.20178,1.83247,2.40675,1.58196,0.009802,0.009802,0.009802
8,564.212,1.8068,1.7213,1.46539,0.57685,0.44756,0.4869,0.17373,0.22744,1.83707,1.91989,1.57389,0.009769,0.009769,0.009769
9,633.897,1.77984,1.67792,1.451,0.54762,0.53729,0.53552,0.18878,0.24481,1.77574,1.82032,1.53534,0.009736,0.009736,0.009736
10,701.188,1.76358,1.64553,1.4445,0.66705,0.43711,0.48049,0.18548,0.22638,1.82211,1.89594,1.56217,0.009703,0.009703,0.009703
11,767.815,1.74319,1.63024,1.42814,0.56624,0.39602,0.41382,0.15818,0.19662,1.89069,2.06399,1.63719,0.00967,0.00967,0.00967
12,833.518,1.73381,1.59975,1.42558,0.63832,0.52874,0.57209,0.19966,0.26322,1.72527,1.79653,1.48834,0.009637,0.009637,0.009637
13,900.21,1.73195,1.569,1.40559,0.69671,0.54273,0.60796,0.2317,0.29073,1.65523,1.62243,1.4496,0.009604,0.009604,0.009604
14,967.411,1.70911,1.56312,1.40858,0.58968,0.49022,0.51973,0.21171,0.25231,1.7841,1.84257,1.54388,0.009571,0.009571,0.009571
15,1035.62,1.70138,1.55803,1.40069,0.60989,0.54542,0.58478,0.2401,0.28372,1.70181,1.63608,1.48704,0.009538,0.009538,0.009538
16,1105.05,1.68795,1.52284,1.4021,0.63492,0.6022,0.63686,0.27876,0.31761,1.62961,1.51687,1.43165,0.009505,0.009505,0.009505
17,1172.37,1.68752,1.51947,1.38236,0.61378,0.54197,0.58532,0.24565,0.28683,1.74993,1.62231,1.52541,0.009472,0.009472,0.009472
18,1241.49,1.6726,1.4916,1.38832,0.6485,0.60906,0.63997,0.28478,0.32125,1.6412,1.49782,1.43389,0.009439,0.009439,0.009439
