epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9043,5.12644,5.32247,4.22133,0.00136,0.0026,0.00034,5e-05,0.00011,5.07235,9.1255,4.80117,0.00331921,0.00331921,0.00331921
2,111.942,4.43581,4.73911,3.81694,0.05077,0.04636,0.02119,0.00172,0.00633,3.46961,5.6454,3.33411,0.00663059,0.00663059,0.00663059
3,167.159,2.69499,3.08793,2.31435,0.91174,0.1363,0.1464,0.03172,0.05864,2.38996,3.56906,2.09119,0.00991997,0.00991997,0.00991997
4,221.153,2.30107,2.52448,1.85138,0.6098,0.17418,0.20726,0.04651,0.08417,2.22762,2.74096,1.89251,0.009901,0.009901,0.009901
5,274.979,2.09315,2.18389,1.65322,0.50651,0.36224,0.36333,0.10372,0.15563,2.00582,2.1574,1.71132,0.009868,0.009868,0.009868
6,328.367,1.98134,2.0726,1.58793,0.5897,0.40173,0.42257,0.12572,0.18538,1.90245,2.0063,1.61898,0.009835,0.009835,0.009835
7,382.526,1.92333,1.94824,1.53031,0.60856,0.42853,0.4598,0.16189,0.21431,1.81756,1.8842,1.56762,0.009802,0.009802,0.009802
8,436.369,1.88062,1.871,1.5089,0.64299,0.42219,0.46146,0.15872,0.2111,1.79051,1.88369,1.53242,0.009769,0.009769,0.009769
9,490.744,1.84302,1.80725,1.48664,0.58719,0.36386,0.431,0.1504,0.20076,1.84823,2.08746,1.586,0.009736,0.009736,0.009736
10,545.314,1.81137,1.75797,1.46975,0.5493,0.47503,0.49463,0.19548,0.23611,1.76177,1.85128,1.52856,0.009703,0.009703,0.009703
11,599.811,1.79133,1.72507,1.45594,0.56396,0.48475,0.5077,0.20794,0.24788,1.74072,1.74515,1.50873,0.00967,0.00967,0.00967
12,654.997,1.78124,1.69456,1.45168,0.56955,0.53554,0.55176,0.22216,0.26755,1.70269,1.66919,1.48867,0.009637,0.009637,0.009637
13,712.777,1.77298,1.65086,1.42774,0.61943,0.45821,0.50232,0.17915,0.23367,1.76367,1.77052,1.52151,0.009604,0.009604,0.009604
14,771.069,1.74873,1.64963,1.42879,0.58349,0.51113,0.52829,0.21314,0.25442,1.76617,1.76869,1.52319,0.009571,0.009571,0.009571
15,828.651,1.73704,1.63722,1.42069,0.57692,0.54211,0.55057,0.2264,0.26716,1.69485,1.64824,1.48733,0.009538,0.009538,0.009538
16,886.766,1.72625,1.60143,1.42233,0.62893,0.56051,0.60584,0.25125,0.29634,1.65484,1.54839,1.44276,0.009505,0.009505,0.009505
17,943.523,1.72065,1.58629,1.40125,0.59999,0.5534,0.58458,0.25348,0.29053,1.6704,1.60032,1.45631,0.009472,0.009472,0.009472
18,999.819,1.70342,1.56253,1.40539,0.59446,0.54791,0.58122,0.24775,0.28748,1.68103,1.59635,1.46839,0.009439,0.009439,0.009439
19,1054.27,1.70474,1.55099,1.39449,0.65502,0.55546,0.60208,0.2455,0.29383,1.68208,1.61842,1.4605,0.009406,0.009406,0.009406
20,1107.97,1.69325,1.54404,1.39153,0.63369,0.58874,0.62625,0.28335,0.31823,1.61385,1.51338,1.41931,0.009373,0.009373,0.009373
21,1161.65,1.68783,1.5279,1.38831,0.66266,0.57612,0.62641,0.25785,0.30822,1.62996,1.52106,1.41938,0.00934,0.00934,0.00934
22,1215.71,1.68168,1.50988,1.3867,0.64312,0.59941,0.63692,0.27473,0.31761,1.6252,1.51328,1.43372,0.009307,0.009307,0.009307
23,1269.37,1.669,1.49714,1.37548,0.60114,0.53307,0.5616,0.24044,0.27813,1.71001,1.66121,1.49804,0.009274,0.009274,0.009274
24,1323.11,1.66576,1.48084,1.37834,0.67535,0.58127,0.63985,0.29208,0.32627,1.60103,1.47512,1.41133,0.009241,0.009241,0.009241
25,1377.05,1.65457,1.46891,1.36914,0.65755,0.59535,0.63581,0.27478,0.31666,1.62492,1.46162,1.42534,0.009208,0.009208,0.009208
26,1429.87,1.6494,1.46307,1.37545,0.68621,0.58792,0.65217,0.29471,0.32998,1.60807,1.47195,1.41219,0.009175,0.009175,0.009175
27,1482.56,1.64375,1.44275,1.36524,0.69,0.6037,0.66241,0.31587,0.34053,1.60181,1.39854,1.40956,0.009142,0.009142,0.009142
28,1535.04,1.64501,1.44276,1.36499,0.65024,0.58971,0.6329,0.29859,0.3267,1.61612,1.51134,1.43457,0.009109,0.009109,0.009109
29,1585.04,1.62497,1.43363,1.35933,0.69554,0.6019,0.6614,0.29582,0.33236,1.61475,1.44554,1.41984,0.009076,0.009076,0.009076
30,1635.47,1.62834,1.42177,1.35887,0.67974,0.5861,0.64005,0.29426,0.32356,1.64997,1.49762,1.44196,0.009043,0.009043,0.009043
31,1685.6,1.62577,1.41758,1.35781,0.69562,0.57733,0.64273,0.29873,0.32698,1.65018,1.57911,1.44587,0.00901,0.00901,0.00901
32,1736.6,1.61968,1.41066,1.34747,0.7083,0.60538,0.66917,0.32707,0.34789,1.58902,1.42933,1.40894,0.008977,0.008977,0.008977
33,1787.18,1.60898,1.38863,1.34267,0.74549,0.61864,0.69518,0.32228,0.35785,1.56367,1.39675,1.38749,0.008944,0.008944,0.008944
34,1839.6,1.61252,1.3775,1.34376,0.72598,0.60443,0.68805,0.34575,0.36164,1.57063,1.38322,1.39057,0.008911,0.008911,0.008911
35,1892.83,1.60925,1.38976,1.34756,0.73503,0.63176,0.70664,0.34789,0.36809,1.55065,1.35722,1.38026,0.008878,0.008878,0.008878
36,1945.95,1.60958,1.38048,1.33951,0.69842,0.64232,0.69819,0.33828,0.36236,1.57672,1.35345,1.39279,0.008845,0.008845,0.008845
37,1999.3,1.60449,1.38221,1.34227,0.72189,0.64639,0.71209,0.33915,0.36706,1.56368,1.32011,1.38561,0.008812,0.008812,0.008812
38,2052.52,1.60438,1.36221,1.34343,0.69998,0.64712,0.70397,0.34881,0.36819,1.56146,1.35262,1.38573,0.008779,0.008779,0.008779
39,2106.03,1.59483,1.35364,1.3407,0.76026,0.61992,0.71481,0.34474,0.37157,1.57921,1.32128,1.39865,0.008746,0.008746,0.008746
40,2158.67,1.59175,1.34742,1.34001,0.69817,0.62438,0.69021,0.33757,0.36156,1.57245,1.36514,1.39303,0.008713,0.008713,0.008713
41,2211.45,1.59128,1.34243,1.336,0.76014,0.63663,0.71711,0.36573,0.37937,1.54568,1.30368,1.37462,0.00868,0.00868,0.00868
