epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.712,1.85968,2.94747,1.43696,0.64684,0.42343,0.46205,0.18031,0.21979,1.80082,2.14292,1.49955,0.00331921,0.00331921,0.00331921
2,146.372,1.71379,1.89243,1.33681,0.5882,0.43283,0.44932,0.18537,0.21771,1.84486,2.176,1.52695,0.00663059,0.00663059,0.00663059
3,216.302,1.71628,1.76696,1.34861,0.64272,0.46888,0.47876,0.17812,0.22199,1.80582,2.22522,1.48666,0.00991997,0.00991997,0.00991997
4,283.946,1.71516,1.72226,1.34548,0.67538,0.52501,0.59825,0.24506,0.28882,1.71383,1.96313,1.44486,0.009901,0.009901,0.009901
5,351.212,1.67876,1.62822,1.32789,0.66457,0.56342,0.60814,0.28058,0.30899,1.63662,1.76157,1.39312,0.009868,0.009868,0.009868
6,417.734,1.65719,1.59578,1.32345,0.68474,0.52768,0.59471,0.2614,0.29612,1.69679,1.73361,1.4363,0.009835,0.009835,0.009835
7,487.032,1.65239,1.52671,1.31322,0.70805,0.5989,0.66045,0.31821,0.34188,1.61732,1.59046,1.37454,0.009802,0.009802,0.009802
8,553.83,1.62707,1.4911,1.30346,0.73438,0.59388,0.66954,0.32176,0.34601,1.59761,1.54591,1.34536,0.009769,0.009769,0.009769
9,631.991,1.61347,1.44527,1.29908,0.72829,0.63207,0.70108,0.37189,0.37878,1.54619,1.44903,1.32047,0.009736,0.009736,0.009736
10,706.676,1.59533,1.40236,1.28939,0.73925,0.64581,0.71281,0.37899,0.38211,1.54036,1.40989,1.32437,0.009703,0.009703,0.009703
11,785.405,1.58362,1.38796,1.2813,0.72629,0.59288,0.67318,0.35495,0.36235,1.5951,1.58701,1.36152,0.00967,0.00967,0.00967
