epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2911,5.12279,5.10064,4.22812,2e-05,0.00033,1e-05,0,0,5.18468,4.99817,4.1344,0.00331019,0.00331019,0.00331019
2,76.7225,4.44693,4.44514,3.91868,0.00116,0.02487,0.00067,7e-05,0.00019,3.77433,26.8394,4.693,0.00662159,0.00662159,0.00662159
3,114.622,3.05549,3.35624,2.72813,0.86967,0.11291,0.10512,0.01674,0.03829,2.6419,6.75438,2.31088,0.009911,0.009911,0.009911
4,152.597,2.52108,2.63507,2.02952,0.91234,0.12616,0.14306,0.03133,0.05742,2.37169,2.62369,1.96835,0.009901,0.009901,0.009901
5,190.11,2.30127,2.38587,1.81336,0.26935,0.21585,0.2012,0.0567,0.08774,2.14889,2.50506,1.76241,0.009868,0.009868,0.009868
6,227.524,2.14378,2.1381,1.68223,0.31623,0.2491,0.25093,0.07224,0.10901,2.18718,2.62711,1.80071,0.009835,0.009835,0.009835
7,264.687,2.07353,2.00914,1.62823,0.59926,0.31274,0.30486,0.08595,0.13198,2.02704,1.98641,1.62105,0.009802,0.009802,0.009802
8,301.163,2.00501,1.89807,1.57382,0.62191,0.25613,0.26823,0.05998,0.10445,2.13169,2.03684,1.66068,0.009769,0.009769,0.009769
9,337.705,1.97275,1.85802,1.55963,0.60088,0.35232,0.38527,0.13103,0.17834,1.90228,1.73444,1.57352,0.009736,0.009736,0.009736
10,374.331,1.93431,1.75126,1.52816,0.53583,0.34182,0.36364,0.13756,0.17129,1.88056,1.88422,1.55753,0.009703,0.009703,0.009703
11,412.026,1.91336,1.71979,1.50869,0.73444,0.30555,0.36467,0.12178,0.16536,1.92688,2.06477,1.57227,0.00967,0.00967,0.00967
12,449.13,1.89626,1.70733,1.49586,0.55258,0.41026,0.41678,0.15198,0.1955,1.82133,2.00763,1.50105,0.009637,0.009637,0.009637
13,486.108,1.87155,1.67631,1.48485,0.59001,0.29441,0.32307,0.11209,0.14728,2.03569,1.91483,1.66378,0.009604,0.009604,0.009604
14,523.332,1.86569,1.63393,1.4734,0.5678,0.40281,0.44213,0.16132,0.20808,1.81263,1.65762,1.49374,0.009571,0.009571,0.009571
15,560.42,1.84447,1.62838,1.46417,0.67173,0.40919,0.4706,0.17863,0.22277,1.79225,1.61284,1.50087,0.009538,0.009538,0.009538
16,598.244,1.83949,1.60629,1.45858,0.61498,0.43778,0.476,0.17887,0.22497,1.79928,1.5985,1.48089,0.009505,0.009505,0.009505
17,635.592,1.81982,1.58177,1.44483,0.56087,0.45469,0.48062,0.17087,0.22587,1.79422,1.58934,1.48724,0.009472,0.009472,0.009472
18,672.7,1.80548,1.55254,1.43283,0.7819,0.40955,0.4892,0.18989,0.23402,1.76228,1.62413,1.461,0.009439,0.009439,0.009439
19,709.905,1.80547,1.55824,1.44677,0.72518,0.42222,0.49172,0.20007,0.239,1.7197,1.62201,1.44009,0.009406,0.009406,0.009406
20,746.945,1.79277,1.53895,1.42773,0.59272,0.4836,0.51885,0.20238,0.24904,1.74347,1.47975,1.46377,0.009373,0.009373,0.009373
21,784.397,1.78102,1.51889,1.43069,0.62462,0.43998,0.49262,0.19936,0.23987,1.76957,1.53497,1.48227,0.00934,0.00934,0.00934
22,821.378,1.77007,1.49813,1.41239,0.62989,0.46283,0.50858,0.21321,0.24871,1.74072,1.53675,1.46024,0.009307,0.009307,0.009307
23,858.955,1.76473,1.48411,1.41469,0.68732,0.38799,0.44139,0.1768,0.21432,1.80838,1.6985,1.50742,0.009274,0.009274,0.009274
24,895.993,1.77055,1.49591,1.41718,0.68033,0.45457,0.50563,0.2127,0.24813,1.73776,1.53242,1.45055,0.009241,0.009241,0.009241
25,933.344,1.7483,1.47783,1.40443,0.58407,0.50701,0.52861,0.22065,0.25892,1.70191,1.46169,1.43484,0.009208,0.009208,0.009208
26,971.562,1.74678,1.46457,1.40709,0.61662,0.46998,0.50732,0.20747,0.24874,1.69012,1.49815,1.4211,0.009175,0.009175,0.009175
27,1009.53,1.75292,1.45893,1.395,0.62901,0.485,0.53707,0.22494,0.2638,1.69829,1.5044,1.42814,0.009142,0.009142,0.009142
28,1046.85,1.73457,1.44054,1.38693,0.60581,0.50649,0.53105,0.22206,0.26045,1.70943,1.43631,1.43664,0.009109,0.009109,0.009109
29,1084.73,1.74444,1.45851,1.40228,0.74687,0.45513,0.54438,0.23246,0.27019,1.69958,1.48894,1.43247,0.009076,0.009076,0.009076
30,1122.09,1.72808,1.41853,1.38411,0.60758,0.51953,0.54936,0.23302,0.27149,1.6948,1.43391,1.43029,0.009043,0.009043,0.009043
31,1159.47,1.71945,1.41167,1.37831,0.61099,0.50202,0.54943,0.23779,0.27461,1.68186,1.43599,1.41882,0.00901,0.00901,0.00901
32,1196.33,1.721,1.39826,1.37862,0.62163,0.5086,0.55414,0.22679,0.27302,1.68553,1.42615,1.40948,0.008977,0.008977,0.008977
33,1233.74,1.72071,1.41549,1.37871,0.6026,0.51533,0.54934,0.22377,0.26913,1.7195,1.41153,1.43938,0.008944,0.008944,0.008944
34,1271.12,1.70215,1.38269,1.36558,0.65919,0.52888,0.58032,0.23589,0.28429,1.70999,1.4228,1.41607,0.008911,0.008911,0.008911
35,1308.58,1.7033,1.39602,1.37535,0.62597,0.53967,0.57331,0.2442,0.28288,1.68869,1.36603,1.42354,0.008878,0.008878,0.008878
36,1345.58,1.70772,1.39967,1.38283,0.63899,0.52925,0.56761,0.24306,0.28054,1.66612,1.39157,1.4014,0.008845,0.008845,0.008845
37,1383.02,1.68891,1.3763,1.36372,0.6514,0.51423,0.56298,0.25039,0.28363,1.6579,1.40172,1.40334,0.008812,0.008812,0.008812
38,1421.19,1.6889,1.37358,1.37093,0.6139,0.5495,0.57642,0.2546,0.28868,1.65308,1.36185,1.39669,0.008779,0.008779,0.008779
39,1458.33,1.67852,1.3642,1.36679,0.62443,0.54444,0.57846,0.25646,0.29067,1.65301,1.37025,1.39818,0.008746,0.008746,0.008746
