epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9785,1.89724,3.0669,1.41827,0.45533,0.32972,0.34519,0.12492,0.15978,1.87676,2.24878,1.44133,0.00331019,0.00331019,0.00331019
2,77.4792,1.78095,1.87293,1.33738,0.54281,0.41923,0.42203,0.17563,0.20461,1.83239,1.96553,1.45445,0.00662159,0.00662159,0.00662159
3,123.515,1.77079,1.75024,1.34554,0.47723,0.36865,0.31844,0.111,0.14736,1.80699,3.75883,1.43759,0.009911,0.009911,0.009911
4,197.613,1.76207,1.68324,1.33701,0.58379,0.41427,0.43863,0.14396,0.19597,2.01594,1.83731,1.59752,0.009901,0.009901,0.009901
5,243.508,1.73195,1.59379,1.33034,0.62593,0.46615,0.50048,0.21387,0.2472,1.78495,1.70156,1.45638,0.009868,0.009868,0.009868
6,322.919,1.71642,1.5084,1.32313,0.62673,0.48828,0.51105,0.19423,0.23895,1.78532,1.7503,1.42961,0.009835,0.009835,0.009835
7,381.736,1.69357,1.47868,1.31455,0.63268,0.54099,0.56485,0.23123,0.27314,1.69076,1.62761,1.38439,0.009802,0.009802,0.009802
8,460.424,1.67258,1.42161,1.30415,0.69403,0.5312,0.58446,0.24424,0.28987,1.67063,1.51667,1.3388,0.009769,0.009769,0.009769
9,530.617,1.66729,1.41687,1.30657,0.68692,0.59537,0.6393,0.29718,0.32611,1.63287,1.371,1.3364,0.009736,0.009736,0.009736
10,576.63,1.65731,1.36269,1.29864,0.65334,0.50798,0.56576,0.26539,0.29171,1.6998,1.63387,1.37651,0.009703,0.009703,0.009703
11,663.277,1.64535,1.3392,1.2934,0.71929,0.48584,0.54522,0.24451,0.27458,1.68926,1.47949,1.35776,0.00967,0.00967,0.00967
12,720.944,1.63478,1.32586,1.2853,0.67028,0.54092,0.58791,0.27393,0.29896,1.68583,1.52563,1.36893,0.009637,0.009637,0.009637
13,795.295,1.6246,1.3022,1.28184,0.70779,0.60886,0.65585,0.32131,0.34103,1.60947,1.31553,1.3382,0.009604,0.009604,0.009604
14,860.99,1.6335,1.29208,1.28137,0.71616,0.57284,0.63312,0.31134,0.32929,1.63794,1.32293,1.35623,0.009571,0.009571,0.009571
15,911.791,1.62491,1.29127,1.28189,0.70207,0.617,0.65948,0.32327,0.34578,1.61015,1.2658,1.33838,0.009538,0.009538,0.009538
16,1012.66,1.61557,1.2554,1.27503,0.73551,0.6085,0.66445,0.32017,0.34483,1.59495,1.41564,1.31471,0.009505,0.009505,0.009505
17,1072.41,1.60072,1.23864,1.26828,0.73547,0.58742,0.64858,0.32966,0.34384,1.60925,1.25682,1.33396,0.009472,0.009472,0.009472
18,1167.13,1.59782,1.22015,1.26559,0.75278,0.60066,0.6681,0.34998,0.35688,1.58204,1.25183,1.31886,0.009439,0.009439,0.009439
19,1231.08,1.58109,1.21882,1.26477,0.72487,0.58826,0.64288,0.32367,0.33921,1.6122,1.24933,1.33558,0.009406,0.009406,0.009406
20,1310.67,1.57856,1.19281,1.25494,0.73278,0.60305,0.66769,0.33598,0.3514,1.61226,1.19341,1.33739,0.009373,0.009373,0.009373
