epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.5794,1.87828,3.14688,1.38978,0.75432,0.38842,0.41936,0.17337,0.20524,1.71652,2.07954,1.33541,0.00331019,0.00331019,0.00331019
2,149.968,1.7465,1.85973,1.32323,0.54968,0.33975,0.34578,0.13061,0.15976,1.8928,2.26545,1.46365,0.00662159,0.00662159,0.00662159
3,198.55,1.75145,1.74462,1.31498,0.61005,0.46411,0.48975,0.20016,0.2369,1.76188,1.82663,1.336,0.009911,0.009911,0.009911
4,298.519,1.74986,1.67852,1.2993,0.53183,0.19102,0.20678,0.07868,0.09871,2.09066,2.63354,1.55569,0.009901,0.009901,0.009901
5,351.971,1.71922,1.59527,1.29456,0.61347,0.43818,0.45609,0.19152,0.22302,1.76318,1.89051,1.36744,0.009868,0.009868,0.009868
6,442.984,1.70045,1.50812,1.28486,0.63726,0.51089,0.53699,0.22676,0.26056,1.72018,1.65123,1.33118,0.009835,0.009835,0.009835
7,505.304,1.68159,1.48297,1.27882,0.66181,0.51532,0.55636,0.24218,0.27551,1.68572,1.51134,1.32921,0.009802,0.009802,0.009802
8,578.779,1.66453,1.42301,1.26759,0.68648,0.49147,0.54927,0.25069,0.28175,1.65856,1.5488,1.2885,0.009769,0.009769,0.009769
9,642.123,1.65085,1.40833,1.26529,0.69607,0.55177,0.6057,0.30214,0.31762,1.60626,1.40524,1.2847,0.009736,0.009736,0.009736
10,716.987,1.64855,1.37176,1.26083,0.60262,0.453,0.48264,0.20494,0.24025,1.82341,1.62938,1.41702,0.009703,0.009703,0.009703
11,797.25,1.62988,1.3387,1.25297,0.7403,0.54662,0.6193,0.31078,0.32347,1.60694,1.38651,1.28315,0.00967,0.00967,0.00967
