epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4333,1.91344,3.03531,1.44436,0.49262,0.35276,0.37857,0.14243,0.17817,1.85868,2.22045,1.48933,0.00331019,0.00331019,0.00331019
2,93.796,1.78288,1.8279,1.36857,0.59202,0.49426,0.5092,0.19968,0.24237,1.77219,1.80501,1.42611,0.00662159,0.00662159,0.00662159
3,137.533,1.78582,1.72761,1.38115,0.49199,0.28315,0.27999,0.09693,0.12772,1.95927,2.44475,1.51162,0.009911,0.009911,0.009911
4,180.217,1.76356,1.68087,1.35904,0.60842,0.44066,0.46569,0.17726,0.22155,1.76578,1.99707,1.43119,0.009901,0.009901,0.009901
5,223.996,1.74573,1.57175,1.35948,0.57344,0.43401,0.46434,0.18365,0.22681,1.80455,1.72521,1.45081,0.009868,0.009868,0.009868
6,266.562,1.71573,1.4897,1.33837,0.61415,0.46845,0.49483,0.19563,0.23598,1.79902,1.99813,1.47411,0.009835,0.009835,0.009835
7,309.875,1.70496,1.46825,1.3305,0.68641,0.53064,0.57986,0.25318,0.29179,1.68014,1.4893,1.37777,0.009802,0.009802,0.009802
8,352.36,1.68404,1.41556,1.32174,0.65188,0.45041,0.5031,0.20942,0.24592,1.77339,1.66191,1.42314,0.009769,0.009769,0.009769
9,395.879,1.67563,1.39529,1.32372,0.67559,0.51949,0.56924,0.26687,0.29128,1.68962,1.46021,1.38567,0.009736,0.009736,0.009736
10,437.99,1.66162,1.34203,1.31336,0.66106,0.56832,0.60057,0.27412,0.30344,1.65674,1.41231,1.36378,0.009703,0.009703,0.009703
11,482.57,1.64687,1.3285,1.30092,0.70665,0.5495,0.604,0.27337,0.30538,1.67619,1.39287,1.38983,0.00967,0.00967,0.00967
12,524.368,1.64091,1.32331,1.30007,0.68837,0.54845,0.60416,0.27991,0.31075,1.65204,1.3552,1.35439,0.009637,0.009637,0.009637
13,572.889,1.62783,1.2927,1.29469,0.69475,0.58262,0.62703,0.30165,0.32351,1.66049,1.299,1.3704,0.009604,0.009604,0.009604
14,616.465,1.62843,1.27447,1.28812,0.70462,0.56321,0.61919,0.30022,0.32303,1.68513,1.34253,1.38186,0.009571,0.009571,0.009571
15,661.168,1.61932,1.2592,1.28411,0.69397,0.58833,0.6326,0.31661,0.33223,1.61249,1.28323,1.33153,0.009538,0.009538,0.009538
16,704.842,1.61474,1.24329,1.28163,0.72506,0.57204,0.62787,0.29156,0.32129,1.64942,1.36524,1.37107,0.009505,0.009505,0.009505
17,749.156,1.60761,1.22622,1.2802,0.7418,0.58427,0.66008,0.33731,0.35091,1.61581,1.25785,1.32354,0.009472,0.009472,0.009472
18,791.624,1.59283,1.20537,1.26523,0.71374,0.62011,0.66065,0.3425,0.35188,1.59503,1.19697,1.34705,0.009439,0.009439,0.009439
19,834.014,1.5797,1.20393,1.27331,0.70984,0.6002,0.64636,0.32923,0.33996,1.60289,1.23527,1.33982,0.009406,0.009406,0.009406
20,878.06,1.58202,1.18326,1.25896,0.71831,0.58837,0.65075,0.32413,0.34203,1.62549,1.20352,1.35225,0.009373,0.009373,0.009373
21,920.577,1.57568,1.16768,1.26092,0.72304,0.54711,0.61021,0.30312,0.31991,1.66588,1.32236,1.36723,0.00934,0.00934,0.00934
22,965.833,1.57665,1.162,1.25939,0.68726,0.51264,0.58245,0.26344,0.29572,1.73027,1.37927,1.42789,0.009307,0.009307,0.009307
23,1009.25,1.57077,1.14612,1.26049,0.74432,0.5924,0.66005,0.34497,0.35231,1.59207,1.19103,1.33011,0.009274,0.009274,0.009274
24,1049.4,1.56721,1.1465,1.25638,0.74574,0.63748,0.69501,0.37175,0.37662,1.55722,1.16394,1.30932,0.009241,0.009241,0.009241
25,1094.68,1.55444,1.11974,1.25181,0.74267,0.62646,0.69261,0.3698,0.37282,1.59051,1.12546,1.32742,0.009208,0.009208,0.009208
26,1141.14,1.55373,1.11876,1.25103,0.7239,0.63594,0.68862,0.35614,0.36809,1.60022,1.10618,1.34625,0.009175,0.009175,0.009175
27,1185.38,1.55396,1.11817,1.23989,0.7583,0.62426,0.70119,0.38391,0.38204,1.56507,1.09956,1.31351,0.009142,0.009142,0.009142
28,1229.64,1.53642,1.10191,1.23358,0.74655,0.64446,0.7005,0.37784,0.37979,1.58771,1.10367,1.3279,0.009109,0.009109,0.009109
29,1274.41,1.55058,1.1069,1.24634,0.76037,0.62488,0.69554,0.37622,0.37708,1.58833,1.11744,1.33594,0.009076,0.009076,0.009076
