epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9989,1.89212,3.10992,1.43193,0.47195,0.32769,0.34761,0.13464,0.16508,1.85885,2.23494,1.49238,0.00331019,0.00331019,0.00331019
2,86.4222,1.78232,1.84503,1.36603,0.58491,0.46151,0.48489,0.19123,0.23349,1.78696,1.84879,1.44142,0.00662159,0.00662159,0.00662159
3,125.817,1.7717,1.72178,1.36801,0.48717,0.14862,0.14497,0.045,0.06182,2.50879,3.14641,2.08828,0.009911,0.009911,0.009911
4,171.017,1.77367,1.65695,1.35204,0.61424,0.47334,0.49034,0.19066,0.23449,1.7571,1.82255,1.43882,0.009901,0.009901,0.009901
5,216.113,1.73108,1.56234,1.34234,0.7509,0.43383,0.49702,0.17732,0.23304,1.77409,1.85455,1.41135,0.009868,0.009868,0.009868
6,259.915,1.71329,1.48386,1.33568,0.60428,0.43689,0.46207,0.16728,0.21082,1.89646,1.88007,1.52816,0.009835,0.009835,0.009835
7,303.942,1.70373,1.44955,1.33178,0.63829,0.49665,0.54354,0.2251,0.26546,1.71954,1.79734,1.39477,0.009802,0.009802,0.009802
8,345.816,1.67721,1.40597,1.31819,0.73118,0.45645,0.53208,0.22226,0.26302,1.72043,1.60041,1.3819,0.009769,0.009769,0.009769
9,388.148,1.6683,1.39222,1.31957,0.64831,0.51462,0.56409,0.2611,0.28813,1.69445,1.50375,1.39292,0.009736,0.009736,0.009736
10,432.332,1.66493,1.35283,1.31439,0.67659,0.53617,0.57891,0.26404,0.29395,1.65609,1.43762,1.36715,0.009703,0.009703,0.009703
11,475.29,1.64443,1.32411,1.30329,0.7011,0.52092,0.58115,0.26413,0.2938,1.71176,1.41825,1.38732,0.00967,0.00967,0.00967
12,517.93,1.63371,1.31463,1.29828,0.69384,0.56782,0.61707,0.26754,0.30944,1.65403,1.36228,1.36354,0.009637,0.009637,0.009637
13,562.284,1.62328,1.27874,1.29397,0.67836,0.58745,0.62119,0.31616,0.32677,1.6134,1.31108,1.34274,0.009604,0.009604,0.009604
14,602.941,1.63131,1.27936,1.29368,0.65531,0.54276,0.5879,0.28959,0.30957,1.66369,1.47275,1.3904,0.009571,0.009571,0.009571
15,645.629,1.61529,1.27624,1.28892,0.70851,0.52449,0.58516,0.27641,0.30311,1.64085,1.42778,1.34467,0.009538,0.009538,0.009538
