epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1922,1.90026,3.15314,1.35679,0.45133,0.29826,0.3098,0.11977,0.14812,1.87894,2.46868,1.43525,0.00331019,0.00331019,0.00331019
2,77.4976,1.75155,1.89822,1.2798,0.57198,0.40935,0.42413,0.1724,0.20334,1.8034,1.98099,1.36108,0.00662159,0.00662159,0.00662159
3,116.043,1.76942,1.78225,1.29845,0.53209,0.35213,0.34342,0.13771,0.16392,1.85555,2.41335,1.4122,0.009911,0.009911,0.009911
4,153.745,1.75859,1.69942,1.29112,0.5549,0.43913,0.44125,0.14711,0.20088,1.8352,1.96134,1.36871,0.009901,0.009901,0.009901
5,191.095,1.71678,1.60743,1.2808,0.73477,0.41013,0.46714,0.18466,0.22235,1.74799,1.95056,1.34474,0.009868,0.009868,0.009868
6,228.465,1.69671,1.52405,1.27511,0.67575,0.47588,0.52222,0.21559,0.25271,1.7532,1.64242,1.35391,0.009835,0.009835,0.009835
7,265.788,1.6802,1.48136,1.26831,0.64543,0.54538,0.5728,0.24949,0.28446,1.63667,1.54488,1.29644,0.009802,0.009802,0.009802
8,302.903,1.66325,1.4321,1.26074,0.6462,0.49741,0.53745,0.24497,0.27151,1.6934,1.52756,1.34136,0.009769,0.009769,0.009769
9,340.007,1.64847,1.41089,1.25778,0.64728,0.48253,0.5175,0.22755,0.25929,1.7561,1.60269,1.35987,0.009736,0.009736,0.009736
10,376.791,1.6418,1.37113,1.25312,0.68452,0.51869,0.57363,0.2708,0.29452,1.62619,1.46307,1.28452,0.009703,0.009703,0.009703
11,414.628,1.63384,1.34419,1.2469,0.69084,0.52348,0.58342,0.26315,0.29288,1.66352,1.39946,1.26258,0.00967,0.00967,0.00967
12,451.251,1.62385,1.32646,1.25081,0.69567,0.58715,0.63495,0.29479,0.32409,1.63365,1.35894,1.30456,0.009637,0.009637,0.009637
13,488.665,1.61244,1.29178,1.2461,0.71889,0.56498,0.63552,0.30806,0.32882,1.62468,1.35368,1.28011,0.009604,0.009604,0.009604
14,525.627,1.61378,1.28641,1.23757,0.71063,0.54909,0.61329,0.30387,0.32058,1.6151,1.3666,1.27195,0.009571,0.009571,0.009571
15,562.802,1.60624,1.28372,1.23888,0.69746,0.58545,0.63437,0.32774,0.33975,1.56443,1.29126,1.24234,0.009538,0.009538,0.009538
16,600.072,1.59348,1.26063,1.2291,0.72697,0.59329,0.65308,0.30118,0.33572,1.62189,1.24232,1.28997,0.009505,0.009505,0.009505
17,636.871,1.58435,1.23429,1.23154,0.732,0.58739,0.65217,0.31922,0.3432,1.57623,1.25587,1.27326,0.009472,0.009472,0.009472
18,674.188,1.58294,1.21391,1.22523,0.74933,0.55498,0.6263,0.31969,0.3333,1.58525,1.31552,1.28698,0.009439,0.009439,0.009439
19,711.551,1.57613,1.21492,1.24053,0.69865,0.51695,0.5859,0.2913,0.30931,1.61794,1.43804,1.28546,0.009406,0.009406,0.009406
20,748.757,1.56192,1.18968,1.21465,0.73763,0.6142,0.66781,0.3186,0.34597,1.60234,1.26867,1.27089,0.009373,0.009373,0.009373
21,785.752,1.57022,1.17277,1.22445,0.71141,0.55849,0.62161,0.29274,0.31954,1.65668,1.31087,1.32044,0.00934,0.00934,0.00934
22,822.582,1.56138,1.1614,1.21713,0.73834,0.58961,0.66134,0.32287,0.34613,1.60927,1.22836,1.26992,0.009307,0.009307,0.009307
23,860.54,1.55943,1.15616,1.22299,0.7402,0.64142,0.69565,0.35696,0.37255,1.55796,1.15396,1.26301,0.009274,0.009274,0.009274
24,897.007,1.56183,1.15131,1.22167,0.74031,0.60991,0.68686,0.35581,0.36763,1.57062,1.18589,1.26942,0.009241,0.009241,0.009241
25,933.213,1.54118,1.12371,1.218,0.73204,0.62876,0.69416,0.36574,0.3744,1.55617,1.15669,1.25483,0.009208,0.009208,0.009208
26,970.563,1.54804,1.11562,1.21621,0.75762,0.62193,0.70115,0.37214,0.38178,1.56999,1.13044,1.2741,0.009175,0.009175,0.009175
27,1007.25,1.54897,1.11364,1.214,0.7299,0.63794,0.69106,0.36088,0.36947,1.58057,1.12153,1.28373,0.009142,0.009142,0.009142
28,1045.03,1.52917,1.11169,1.20345,0.74302,0.62117,0.68514,0.36147,0.3669,1.56256,1.16206,1.27002,0.009109,0.009109,0.009109
29,1082.98,1.54396,1.10353,1.21565,0.72003,0.61864,0.66974,0.34713,0.35693,1.602,1.15488,1.31816,0.009076,0.009076,0.009076
30,1120.41,1.53573,1.08279,1.21201,0.74683,0.62668,0.69506,0.35937,0.3736,1.56177,1.13949,1.28149,0.009043,0.009043,0.009043
31,1158.02,1.5282,1.08034,1.20502,0.75909,0.62064,0.69354,0.36163,0.36947,1.61668,1.10251,1.31765,0.00901,0.00901,0.00901
32,1195.57,1.53274,1.06125,1.20582,0.77469,0.62642,0.70826,0.36587,0.37829,1.5722,1.14167,1.27085,0.008977,0.008977,0.008977
33,1233.17,1.52014,1.06642,1.19923,0.76742,0.65295,0.72005,0.38209,0.39064,1.53793,1.08127,1.25027,0.008944,0.008944,0.008944
34,1270.6,1.51502,1.05268,1.20061,0.76468,0.64423,0.71156,0.36926,0.38382,1.55174,1.10778,1.262,0.008911,0.008911,0.008911
35,1307.93,1.5089,1.05073,1.20279,0.75938,0.65407,0.72264,0.39115,0.39169,1.55997,1.06064,1.26402,0.008878,0.008878,0.008878
36,1345.25,1.50539,1.04998,1.20656,0.75132,0.65567,0.71372,0.38845,0.39111,1.52905,1.0584,1.26518,0.008845,0.008845,0.008845
37,1382.43,1.4945,1.03772,1.19456,0.744,0.6538,0.71913,0.39026,0.39358,1.52947,1.08002,1.24305,0.008812,0.008812,0.008812
38,1419.91,1.48713,1.02567,1.19411,0.78255,0.65646,0.72973,0.40125,0.40047,1.52294,1.05486,1.2554,0.008779,0.008779,0.008779
39,1456.64,1.48303,1.01195,1.19685,0.74124,0.65397,0.70915,0.38183,0.38105,1.57433,1.05394,1.29524,0.008746,0.008746,0.008746
40,1494.11,1.49379,1.01028,1.20472,0.72957,0.65745,0.70244,0.37835,0.37939,1.54963,1.12278,1.26433,0.008713,0.008713,0.008713
41,1531.07,1.48878,1.00227,1.1998,0.75261,0.6244,0.69336,0.37644,0.37867,1.5512,1.13076,1.26232,0.00868,0.00868,0.00868
42,1568.64,1.48293,0.98619,1.19987,0.7474,0.63226,0.69852,0.36484,0.37445,1.60724,1.09271,1.30153,0.008647,0.008647,0.008647
43,1605.84,1.47939,0.99362,1.18829,0.76778,0.6472,0.71198,0.38319,0.38842,1.53401,1.06486,1.2733,0.008614,0.008614,0.008614
44,1642.99,1.46779,0.98768,1.18378,0.77167,0.64429,0.72058,0.40084,0.3959,1.52549,1.03788,1.2632,0.008581,0.008581,0.008581
45,1680.59,1.46402,0.98321,1.18453,0.79047,0.67569,0.74889,0.43411,0.41948,1.5106,0.99113,1.24745,0.008548,0.008548,0.008548
46,1717.84,1.47161,0.97707,1.1898,0.7684,0.66402,0.73541,0.4315,0.4177,1.48609,1.0091,1.2353,0.008515,0.008515,0.008515
47,1754.66,1.4667,0.9612,1.17982,0.75758,0.67037,0.72615,0.39606,0.39697,1.54795,1.01732,1.27722,0.008482,0.008482,0.008482
48,1792.43,1.4558,0.9574,1.18561,0.76903,0.64764,0.72283,0.39053,0.39536,1.54992,1.03403,1.26692,0.008449,0.008449,0.008449
49,1829.65,1.45274,0.96259,1.18811,0.76941,0.65566,0.72716,0.40252,0.39885,1.55051,0.99413,1.28012,0.008416,0.008416,0.008416
