epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.3819,3.18381,3.29503,2.99582,0.41219,0.30139,0.27272,0.08893,0.12198,2.16281,2.20758,2.0632,0.00331019,0.00331019,0.00331019
2,93.3275,2.04019,1.77749,1.8275,0.58309,0.40322,0.4132,0.14132,0.1856,2.10376,1.82571,1.84834,0.00662159,0.00662159,0.00662159
3,132.979,1.95096,1.65315,1.66232,0.51069,0.39445,0.39712,0.1332,0.18037,2.04276,2.16024,1.76091,0.009911,0.009911,0.009911
4,173.35,1.89078,1.59825,1.53799,0.5594,0.31245,0.31618,0.08932,0.13493,2.22549,1.99374,1.85493,0.009901,0.009901,0.009901
5,213.103,1.83984,1.5438,1.49875,0.66939,0.43075,0.46124,0.16672,0.21546,1.85344,1.87388,1.56959,0.009868,0.009868,0.009868
6,253.888,1.79762,1.47188,1.46417,0.63488,0.48254,0.51099,0.19094,0.23809,1.8743,1.59447,1.58581,0.009835,0.009835,0.009835
7,294.535,1.76377,1.44233,1.44095,0.64057,0.46239,0.50758,0.18667,0.23677,1.83232,1.89132,1.53841,0.009802,0.009802,0.009802
8,334.567,1.7362,1.39545,1.41807,0.66808,0.48858,0.5345,0.20854,0.25555,1.77853,1.79128,1.50197,0.009769,0.009769,0.009769
9,374.658,1.73049,1.38717,1.42014,0.69813,0.54736,0.61084,0.27108,0.30545,1.71356,1.37497,1.45099,0.009736,0.009736,0.009736
10,414.857,1.72059,1.34221,1.40837,0.67702,0.55948,0.59381,0.26997,0.29919,1.68012,1.38466,1.4491,0.009703,0.009703,0.009703
11,454.815,1.69937,1.30755,1.38826,0.69839,0.57464,0.6151,0.28193,0.31214,1.72172,1.33465,1.47117,0.00967,0.00967,0.00967
12,494.45,1.68433,1.3009,1.38145,0.70484,0.53201,0.59324,0.26452,0.29671,1.68206,1.48792,1.44257,0.009637,0.009637,0.009637
13,534.475,1.67398,1.2827,1.37583,0.71404,0.56086,0.6113,0.28862,0.31493,1.66574,1.33172,1.43233,0.009604,0.009604,0.009604
14,573.635,1.67408,1.26358,1.36887,0.71249,0.55543,0.61745,0.2864,0.31352,1.67051,1.29077,1.42864,0.009571,0.009571,0.009571
15,613.438,1.66714,1.26529,1.37089,0.69799,0.60832,0.65298,0.29611,0.33224,1.67141,1.27341,1.42296,0.009538,0.009538,0.009538
16,653.505,1.65615,1.23188,1.35818,0.73583,0.57043,0.64113,0.30131,0.32972,1.66073,1.27123,1.41627,0.009505,0.009505,0.009505
17,692.476,1.64103,1.20454,1.34831,0.74775,0.60808,0.67242,0.32417,0.34983,1.61328,1.2114,1.39144,0.009472,0.009472,0.009472
18,732.037,1.63268,1.19572,1.34048,0.72105,0.61056,0.66477,0.31402,0.3471,1.66144,1.18688,1.43373,0.009439,0.009439,0.009439
19,771.003,1.62824,1.18854,1.3515,0.74562,0.56595,0.63416,0.28593,0.32054,1.70454,1.33129,1.44098,0.009406,0.009406,0.009406
20,810.413,1.61738,1.17183,1.33373,0.72616,0.55696,0.61074,0.27807,0.30667,1.73223,1.27571,1.48125,0.009373,0.009373,0.009373
21,849.947,1.61371,1.15654,1.34021,0.75235,0.61536,0.68143,0.35542,0.36348,1.60642,1.16798,1.39247,0.00934,0.00934,0.00934
22,888.989,1.6134,1.15491,1.32942,0.73457,0.57726,0.64998,0.29333,0.3293,1.69463,1.2089,1.43709,0.009307,0.009307,0.009307
23,927.342,1.60465,1.1292,1.33277,0.73996,0.5825,0.65247,0.32491,0.34413,1.6409,1.18596,1.41927,0.009274,0.009274,0.009274
24,966.571,1.60704,1.12748,1.33197,0.73158,0.56546,0.63517,0.30198,0.32684,1.66639,1.25382,1.43484,0.009241,0.009241,0.009241
25,1005.93,1.59371,1.11225,1.32129,0.73207,0.596,0.66452,0.31731,0.34449,1.65005,1.18114,1.41132,0.009208,0.009208,0.009208
26,1044.2,1.59532,1.09467,1.32354,0.74853,0.60656,0.67282,0.32691,0.35094,1.66731,1.12761,1.42829,0.009175,0.009175,0.009175
27,1083.15,1.5919,1.09655,1.3137,0.73204,0.57626,0.65177,0.31784,0.34009,1.67088,1.23069,1.43006,0.009142,0.009142,0.009142
28,1122.7,1.58708,1.09655,1.3117,0.75653,0.63292,0.70555,0.35891,0.37361,1.59957,1.09754,1.38397,0.009109,0.009109,0.009109
29,1162.76,1.58676,1.09136,1.31742,0.74635,0.62957,0.6913,0.34871,0.36693,1.62063,1.096,1.40666,0.009076,0.009076,0.009076
30,1201.64,1.57346,1.06872,1.30248,0.77676,0.62645,0.70851,0.36485,0.37917,1.60099,1.09701,1.39458,0.009043,0.009043,0.009043
31,1241.58,1.57774,1.06392,1.30525,0.76264,0.64035,0.71398,0.37325,0.38292,1.60456,1.05542,1.39079,0.00901,0.00901,0.00901
32,1280.59,1.57379,1.04468,1.30284,0.76203,0.65757,0.72598,0.37212,0.38932,1.57792,1.04732,1.35957,0.008977,0.008977,0.008977
33,1319.71,1.56654,1.05553,1.30187,0.7426,0.62133,0.68443,0.35048,0.36529,1.62255,1.10897,1.40255,0.008944,0.008944,0.008944
34,1358.25,1.56745,1.05128,1.30151,0.76957,0.6526,0.72404,0.36887,0.38305,1.60402,1.04765,1.38249,0.008911,0.008911,0.008911
35,1397.62,1.54534,1.03434,1.2925,0.73957,0.62403,0.68118,0.31876,0.34729,1.68099,1.105,1.44002,0.008878,0.008878,0.008878
36,1435.68,1.55206,1.04336,1.30488,0.75199,0.63776,0.70017,0.33199,0.36288,1.64958,1.10714,1.40551,0.008845,0.008845,0.008845
