epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7312,1.89604,3.06635,1.43393,0.73329,0.36433,0.39862,0.15686,0.19176,1.76014,2.1614,1.43248,0.00331019,0.00331019,0.00331019
2,92.2675,1.78148,1.8741,1.36199,0.56383,0.46483,0.47322,0.195,0.22841,1.76823,1.90896,1.43254,0.00662159,0.00662159,0.00662159
3,132.291,1.78489,1.74347,1.37411,0.61708,0.42728,0.45594,0.18035,0.21731,1.81436,1.8875,1.45315,0.009911,0.009911,0.009911
4,170.414,1.76691,1.66054,1.34967,0.59242,0.47252,0.4862,0.17701,0.22793,1.77026,1.84181,1.45111,0.009901,0.009901,0.009901
5,209.02,1.73784,1.57506,1.34684,0.6645,0.48987,0.54838,0.22276,0.26515,1.73676,1.63055,1.40269,0.009868,0.009868,0.009868
6,247.982,1.70849,1.48949,1.33756,0.5904,0.402,0.43032,0.18234,0.21092,1.79319,1.95693,1.46068,0.009835,0.009835,0.009835
7,286.755,1.70769,1.47335,1.33392,0.64196,0.49645,0.53736,0.23858,0.26936,1.68765,1.54084,1.38938,0.009802,0.009802,0.009802
8,325.817,1.67989,1.42455,1.31911,0.67476,0.522,0.56677,0.25445,0.28421,1.66666,1.60626,1.35467,0.009769,0.009769,0.009769
9,364.321,1.67418,1.39746,1.32106,0.69716,0.55492,0.61543,0.28031,0.31506,1.65567,1.36366,1.33897,0.009736,0.009736,0.009736
10,403.518,1.6591,1.34095,1.31107,0.66726,0.54063,0.5841,0.27029,0.29899,1.65798,1.5003,1.36631,0.009703,0.009703,0.009703
11,441.926,1.65335,1.33342,1.30619,0.70844,0.60122,0.66018,0.32363,0.34141,1.60959,1.29822,1.34089,0.00967,0.00967,0.00967
12,480.583,1.63893,1.31646,1.30091,0.70413,0.56595,0.62929,0.28014,0.31721,1.65637,1.3862,1.36353,0.009637,0.009637,0.009637
13,519.176,1.62752,1.28706,1.29662,0.72046,0.58879,0.63863,0.31066,0.33111,1.62286,1.28918,1.35002,0.009604,0.009604,0.009604
14,557.893,1.63235,1.28596,1.29487,0.71121,0.55524,0.60349,0.28589,0.31254,1.67005,1.38725,1.37342,0.009571,0.009571,0.009571
15,596.166,1.62451,1.2722,1.29264,0.71405,0.59232,0.65642,0.32889,0.34468,1.61251,1.2442,1.3332,0.009538,0.009538,0.009538
16,634.858,1.61305,1.25384,1.28412,0.72455,0.59873,0.65265,0.31555,0.33839,1.62394,1.24502,1.3681,0.009505,0.009505,0.009505
17,673.11,1.59993,1.23222,1.27681,0.73476,0.58557,0.65606,0.32253,0.34293,1.59566,1.27612,1.33444,0.009472,0.009472,0.009472
18,712.352,1.59838,1.21181,1.27019,0.73846,0.60529,0.66426,0.35797,0.35731,1.56942,1.22395,1.32967,0.009439,0.009439,0.009439
19,751.783,1.58597,1.20867,1.28033,0.74666,0.60922,0.67634,0.34021,0.35893,1.57455,1.22502,1.31777,0.009406,0.009406,0.009406
20,790.604,1.57354,1.18131,1.2613,0.70858,0.63252,0.67623,0.3349,0.3555,1.59224,1.19688,1.34469,0.009373,0.009373,0.009373
21,829.523,1.5762,1.15999,1.2676,0.76262,0.61625,0.68624,0.36206,0.37087,1.55638,1.18351,1.31638,0.00934,0.00934,0.00934
22,868.003,1.57046,1.14806,1.25941,0.71064,0.61511,0.66101,0.34556,0.35701,1.60715,1.1647,1.34751,0.009307,0.009307,0.009307
23,906.803,1.56875,1.1367,1.26344,0.75298,0.60227,0.67101,0.33888,0.35815,1.58214,1.18458,1.33694,0.009274,0.009274,0.009274
24,945.807,1.56953,1.13744,1.26344,0.7385,0.59975,0.66278,0.33585,0.35228,1.60797,1.27278,1.33931,0.009241,0.009241,0.009241
25,984.931,1.55368,1.12904,1.25608,0.74828,0.58434,0.66477,0.33741,0.35312,1.59661,1.20205,1.34063,0.009208,0.009208,0.009208
26,1023.11,1.55457,1.12185,1.25221,0.73128,0.60863,0.67643,0.35666,0.36365,1.60367,1.14356,1.34341,0.009175,0.009175,0.009175
27,1061.18,1.55769,1.11782,1.24351,0.74999,0.64071,0.70134,0.37703,0.37998,1.56412,1.11068,1.3199,0.009142,0.009142,0.009142
28,1099.21,1.53741,1.10046,1.23639,0.7458,0.60607,0.67413,0.3561,0.36348,1.60533,1.16507,1.34552,0.009109,0.009109,0.009109
29,1137.57,1.54892,1.10467,1.24936,0.76468,0.62999,0.70072,0.38719,0.38563,1.54926,1.08731,1.31711,0.009076,0.009076,0.009076
30,1175.77,1.53605,1.07419,1.23534,0.75834,0.62632,0.69377,0.35744,0.37179,1.5886,1.14256,1.33957,0.009043,0.009043,0.009043
31,1214.57,1.53896,1.07958,1.23449,0.76823,0.63363,0.70694,0.37563,0.3818,1.56951,1.10088,1.3103,0.00901,0.00901,0.00901
32,1252.46,1.54743,1.0704,1.23722,0.75325,0.64887,0.7089,0.38567,0.38864,1.55838,1.07235,1.31343,0.008977,0.008977,0.008977
33,1290.66,1.52674,1.06685,1.23278,0.7407,0.62538,0.69304,0.36266,0.37065,1.61343,1.10107,1.34965,0.008944,0.008944,0.008944
34,1329.45,1.52676,1.06217,1.23013,0.7545,0.6619,0.72611,0.37006,0.38761,1.55767,1.07974,1.30435,0.008911,0.008911,0.008911
35,1367.78,1.52039,1.05266,1.23421,0.76599,0.60103,0.67232,0.33631,0.35395,1.65093,1.16988,1.37148,0.008878,0.008878,0.008878
36,1406.06,1.52216,1.05675,1.23763,0.77887,0.65931,0.73388,0.39213,0.39971,1.53981,1.03139,1.3082,0.008845,0.008845,0.008845
37,1444.37,1.50276,1.03401,1.22294,0.77005,0.62363,0.70194,0.37445,0.38159,1.56321,1.12124,1.3118,0.008812,0.008812,0.008812
38,1482.51,1.50104,1.02865,1.22564,0.76064,0.63594,0.71062,0.38516,0.38759,1.56092,1.09562,1.31145,0.008779,0.008779,0.008779
39,1520.73,1.50135,1.01999,1.2272,0.74857,0.62415,0.68516,0.34316,0.36194,1.61347,1.12532,1.34595,0.008746,0.008746,0.008746
40,1558.9,1.5083,1.01865,1.23091,0.77477,0.66092,0.73131,0.3948,0.39888,1.54418,1.04629,1.29683,0.008713,0.008713,0.008713
41,1597.91,1.4951,1.00661,1.22944,0.78773,0.65313,0.73644,0.41358,0.40809,1.54086,1.00955,1.30679,0.00868,0.00868,0.00868
42,1636.64,1.48722,0.98804,1.22221,0.76789,0.62213,0.69422,0.37316,0.37672,1.58751,1.08858,1.33377,0.008647,0.008647,0.008647
43,1674.7,1.48948,1.00449,1.21588,0.75572,0.66247,0.72143,0.39569,0.393,1.56279,1.04101,1.33471,0.008614,0.008614,0.008614
44,1712.22,1.48518,0.99781,1.21601,0.7815,0.65813,0.73346,0.40981,0.40766,1.52476,1.03411,1.29593,0.008581,0.008581,0.008581
45,1750.96,1.47027,0.98551,1.21092,0.74655,0.65324,0.71186,0.39137,0.38982,1.5727,1.035,1.33431,0.008548,0.008548,0.008548
46,1789.18,1.4801,0.98124,1.21563,0.79129,0.66313,0.74475,0.43546,0.41834,1.5119,1.00422,1.29653,0.008515,0.008515,0.008515
47,1827.63,1.47532,0.96886,1.20247,0.75925,0.67938,0.73361,0.41642,0.40786,1.54181,0.98904,1.30569,0.008482,0.008482,0.008482
48,1866.55,1.46518,0.96226,1.21515,0.76457,0.673,0.73499,0.41691,0.41009,1.53498,1.00359,1.30132,0.008449,0.008449,0.008449
49,1905.12,1.46561,0.96381,1.21574,0.76323,0.66938,0.73179,0.39983,0.40175,1.53101,0.98129,1.30445,0.008416,0.008416,0.008416
50,1943.51,1.45608,0.94472,1.20605,0.77329,0.68326,0.75097,0.43828,0.42177,1.50462,0.9755,1.28453,0.008383,0.008383,0.008383
51,1981.88,1.46376,0.95125,1.20653,0.77354,0.66002,0.73242,0.41101,0.40575,1.54986,0.99349,1.31514,0.00835,0.00835,0.00835
52,2020.47,1.44897,0.9446,1.21117,0.76725,0.66494,0.73229,0.42113,0.40826,1.5302,1.01431,1.3103,0.008317,0.008317,0.008317
53,2059.14,1.45455,0.94484,1.20636,0.7672,0.61247,0.68924,0.3647,0.37209,1.63326,1.11631,1.34896,0.008284,0.008284,0.008284
54,2098.21,1.44095,0.92861,1.1993,0.75217,0.68104,0.73784,0.42459,0.411,1.51526,1.00258,1.29232,0.008251,0.008251,0.008251
55,2136.96,1.44904,0.94331,1.19398,0.74296,0.66859,0.72537,0.40026,0.39774,1.56521,1.02093,1.33116,0.008218,0.008218,0.008218
56,2175.62,1.445,0.92757,1.19818,0.76208,0.66295,0.72577,0.4121,0.40205,1.55149,1.02944,1.31774,0.008185,0.008185,0.008185
57,2213.86,1.43151,0.91699,1.1957,0.79976,0.62767,0.71501,0.40179,0.39546,1.54045,1.0298,1.31267,0.008152,0.008152,0.008152
