epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.6827,3.18754,3.45707,2.99695,0.50751,0.32695,0.34262,0.10273,0.14987,2.21644,2.27402,2.05253,0.00331019,0.00331019,0.00331019
2,94.9337,2.06852,1.81967,1.84002,0.58065,0.49511,0.49706,0.1716,0.2296,1.85704,1.74858,1.66938,0.00662159,0.00662159,0.00662159
3,136.387,1.96053,1.68918,1.66406,0.66541,0.39648,0.44799,0.15713,0.20612,1.90127,1.85833,1.66191,0.009911,0.009911,0.009911
4,178.081,1.89574,1.63934,1.54257,0.63196,0.40274,0.42584,0.13752,0.19009,2.02792,1.71068,1.69595,0.009901,0.009901,0.009901
5,220.36,1.84381,1.55213,1.50522,0.63328,0.4829,0.51492,0.1771,0.23713,1.84434,1.65,1.5618,0.009868,0.009868,0.009868
6,263.171,1.80064,1.47305,1.46697,0.6092,0.4689,0.48711,0.15515,0.216,1.91398,2.17535,1.60147,0.009835,0.009835,0.009835
7,305.06,1.77374,1.4463,1.4449,0.66547,0.51199,0.5577,0.23048,0.27135,1.72332,1.47682,1.48083,0.009802,0.009802,0.009802
8,347.013,1.73685,1.39037,1.41741,0.67542,0.44994,0.49425,0.21809,0.24586,1.75476,1.53894,1.49454,0.009769,0.009769,0.009769
9,388.282,1.73435,1.39603,1.4205,0.64151,0.4394,0.48375,0.19948,0.23758,1.79911,1.59994,1.52402,0.009736,0.009736,0.009736
10,430.008,1.71958,1.3423,1.40671,0.6985,0.57465,0.62837,0.27633,0.31854,1.6423,1.35349,1.41651,0.009703,0.009703,0.009703
11,471.27,1.70188,1.31184,1.38956,0.73085,0.57595,0.63471,0.27751,0.31855,1.67039,1.31295,1.42952,0.00967,0.00967,0.00967
12,513.17,1.68858,1.30708,1.38229,0.67651,0.537,0.58528,0.24541,0.28936,1.72064,1.37787,1.44932,0.009637,0.009637,0.009637
13,555.107,1.66856,1.26451,1.37285,0.70321,0.55041,0.60187,0.27526,0.30578,1.68947,1.31619,1.45059,0.009604,0.009604,0.009604
14,597.078,1.67095,1.26378,1.36843,0.72158,0.60099,0.65243,0.31805,0.33776,1.64414,1.24581,1.41382,0.009571,0.009571,0.009571
15,638.885,1.66789,1.25043,1.37,0.6894,0.54158,0.58265,0.259,0.29257,1.73124,1.31018,1.47779,0.009538,0.009538,0.009538
16,681.118,1.66125,1.24006,1.36307,0.73801,0.59009,0.65361,0.28187,0.32516,1.69317,1.38277,1.42845,0.009505,0.009505,0.009505
17,722.294,1.64862,1.21464,1.35381,0.72934,0.59103,0.6501,0.31098,0.33624,1.6431,1.23641,1.41815,0.009472,0.009472,0.009472
18,764.338,1.64015,1.20198,1.34674,0.72796,0.5633,0.62383,0.29351,0.32022,1.66795,1.26903,1.43399,0.009439,0.009439,0.009439
19,805.889,1.63163,1.19336,1.35457,0.72478,0.54821,0.60758,0.28578,0.31272,1.7022,1.31244,1.45507,0.009406,0.009406,0.009406
20,847.155,1.62157,1.18571,1.33771,0.71197,0.57057,0.62313,0.28396,0.3155,1.72604,1.27675,1.46784,0.009373,0.009373,0.009373
21,888.269,1.61414,1.15325,1.3401,0.7043,0.56308,0.61368,0.28935,0.31335,1.70889,1.27095,1.45718,0.00934,0.00934,0.00934
22,928.338,1.61583,1.15064,1.33071,0.72601,0.59936,0.661,0.32005,0.34561,1.66217,1.16463,1.43871,0.009307,0.009307,0.009307
23,968.422,1.60535,1.12105,1.33346,0.74215,0.55454,0.61562,0.30396,0.3234,1.65225,1.2348,1.44083,0.009274,0.009274,0.009274
24,1008.97,1.61027,1.12788,1.33563,0.73597,0.62423,0.67767,0.33027,0.35647,1.61585,1.17234,1.38582,0.009241,0.009241,0.009241
25,1049.71,1.59326,1.11749,1.32298,0.75412,0.59463,0.66744,0.31982,0.34491,1.65396,1.15371,1.41598,0.009208,0.009208,0.009208
26,1090.33,1.59891,1.10243,1.32776,0.73794,0.61372,0.66998,0.3185,0.34645,1.64784,1.16623,1.41585,0.009175,0.009175,0.009175
27,1130.62,1.59775,1.10441,1.31748,0.75107,0.62248,0.68695,0.34864,0.36389,1.60793,1.12009,1.38952,0.009142,0.009142,0.009142
28,1171.75,1.58285,1.09384,1.30895,0.736,0.63582,0.69951,0.35455,0.36868,1.61851,1.10693,1.39014,0.009109,0.009109,0.009109
29,1212.86,1.59325,1.10337,1.32252,0.75991,0.63493,0.69938,0.35599,0.37313,1.60074,1.10327,1.39882,0.009076,0.009076,0.009076
30,1253.46,1.57587,1.06643,1.30552,0.77081,0.62251,0.69408,0.34166,0.3638,1.63645,1.11961,1.40497,0.009043,0.009043,0.009043
31,1294.37,1.57219,1.06352,1.30129,0.75509,0.61794,0.68568,0.34394,0.36371,1.61398,1.11784,1.38951,0.00901,0.00901,0.00901
32,1334.38,1.57709,1.05318,1.3049,0.73609,0.66402,0.71732,0.35311,0.37874,1.62236,1.06594,1.39641,0.008977,0.008977,0.008977
33,1374.91,1.57638,1.05989,1.30509,0.76388,0.62496,0.69817,0.35194,0.37036,1.6237,1.06817,1.40911,0.008944,0.008944,0.008944
34,1415.1,1.56551,1.04975,1.29733,0.76131,0.64393,0.71594,0.35472,0.37849,1.61458,1.08993,1.38107,0.008911,0.008911,0.008911
35,1455.53,1.55367,1.04265,1.29723,0.74665,0.65873,0.71732,0.37483,0.38461,1.61124,1.06078,1.39705,0.008878,0.008878,0.008878
36,1495.41,1.55517,1.04635,1.30452,0.77662,0.63666,0.7059,0.35805,0.37306,1.612,1.06762,1.39079,0.008845,0.008845,0.008845
37,1535.47,1.53792,1.02903,1.28838,0.76129,0.65252,0.71858,0.37739,0.38861,1.57721,1.07331,1.36936,0.008812,0.008812,0.008812
38,1575.48,1.53849,1.01703,1.29426,0.77141,0.64534,0.71602,0.38102,0.38598,1.58977,1.0224,1.38363,0.008779,0.008779,0.008779
39,1615.78,1.53167,1.00528,1.28813,0.75135,0.65315,0.71122,0.37734,0.38269,1.60764,1.05702,1.38817,0.008746,0.008746,0.008746
40,1656.07,1.53673,1.00603,1.29386,0.74842,0.65823,0.7189,0.36295,0.38163,1.61293,1.03998,1.39155,0.008713,0.008713,0.008713
41,1696.27,1.53338,0.9949,1.29371,0.78133,0.6566,0.72849,0.40008,0.39789,1.56407,1.01021,1.36081,0.00868,0.00868,0.00868
