epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4359,1.89685,3.03746,1.45701,0.72126,0.37697,0.41377,0.16293,0.19998,1.76222,2.07251,1.42023,0.00331019,0.00331019,0.00331019
2,91.2231,1.77746,1.84919,1.36968,0.54521,0.45432,0.45551,0.176,0.21361,1.73985,2.31175,1.38715,0.00662159,0.00662159,0.00662159
3,131.954,1.7812,1.74157,1.37787,0.64447,0.41726,0.44085,0.17142,0.21071,1.84898,2.0346,1.45269,0.009911,0.009911,0.009911
4,172.424,1.77087,1.6873,1.35817,0.51101,0.48786,0.46439,0.16351,0.21657,1.78592,2.15908,1.44085,0.009901,0.009901,0.009901
5,211.879,1.74409,1.58078,1.35445,0.68877,0.4539,0.50835,0.18395,0.23995,1.79073,1.66532,1.40982,0.009868,0.009868,0.009868
6,252.207,1.71772,1.48315,1.34182,0.63963,0.49937,0.52345,0.18738,0.24157,1.81711,1.67719,1.46534,0.009835,0.009835,0.009835
7,291.375,1.70591,1.47145,1.33575,0.6497,0.51198,0.55502,0.24222,0.27701,1.69788,1.54678,1.39274,0.009802,0.009802,0.009802
8,331.383,1.68354,1.41543,1.33129,0.67293,0.47835,0.52712,0.2003,0.25238,1.82787,1.62836,1.46662,0.009769,0.009769,0.009769
9,370.423,1.68085,1.4054,1.33156,0.67024,0.54162,0.59401,0.26109,0.29789,1.69261,1.47285,1.38326,0.009736,0.009736,0.009736
10,409.727,1.66398,1.35709,1.31517,0.68654,0.51625,0.5624,0.26299,0.28813,1.71744,1.52266,1.41275,0.009703,0.009703,0.009703
11,449.734,1.65127,1.33481,1.30696,0.70107,0.51551,0.57627,0.27422,0.29632,1.67391,1.44503,1.3706,0.00967,0.00967,0.00967
12,488.974,1.63728,1.32003,1.29923,0.68192,0.58516,0.63407,0.31381,0.33053,1.6091,1.54905,1.34271,0.009637,0.009637,0.009637
13,528.531,1.6295,1.28325,1.29689,0.66776,0.4939,0.54322,0.23068,0.26763,1.77524,1.5328,1.43149,0.009604,0.009604,0.009604
14,567.736,1.63178,1.2679,1.2936,0.71537,0.58947,0.64212,0.3124,0.33514,1.62465,1.26221,1.34571,0.009571,0.009571,0.009571
15,607.158,1.62791,1.27496,1.29329,0.69153,0.59235,0.64536,0.32736,0.34128,1.6046,1.26263,1.33387,0.009538,0.009538,0.009538
16,646.577,1.61539,1.25805,1.28632,0.73776,0.5723,0.64322,0.30739,0.33317,1.64108,1.30907,1.34998,0.009505,0.009505,0.009505
17,685.777,1.60927,1.23702,1.28298,0.72377,0.58619,0.64977,0.31903,0.33589,1.61956,1.28411,1.344,0.009472,0.009472,0.009472
18,725.517,1.59629,1.21422,1.27032,0.71951,0.57201,0.63279,0.31738,0.33569,1.60876,1.2666,1.35459,0.009439,0.009439,0.009439
19,765.199,1.58275,1.21464,1.27663,0.68576,0.55296,0.60278,0.30811,0.32127,1.61999,1.34447,1.35892,0.009406,0.009406,0.009406
20,803.997,1.57501,1.18373,1.26106,0.72841,0.60535,0.65676,0.32018,0.34077,1.6366,1.2508,1.36706,0.009373,0.009373,0.009373
21,843.711,1.58306,1.17541,1.27035,0.71593,0.56921,0.63103,0.29994,0.32692,1.67822,1.26376,1.37448,0.00934,0.00934,0.00934
22,882.952,1.57314,1.16841,1.25959,0.7277,0.6093,0.67202,0.34073,0.35843,1.62432,1.18089,1.35696,0.009307,0.009307,0.009307
23,922.667,1.57324,1.15271,1.26359,0.7356,0.58058,0.65171,0.33896,0.34801,1.58706,1.25866,1.33859,0.009274,0.009274,0.009274
24,961.695,1.57503,1.14827,1.2632,0.73263,0.637,0.69033,0.3555,0.36875,1.57709,1.17292,1.31402,0.009241,0.009241,0.009241
25,1000.88,1.55416,1.13139,1.25486,0.7341,0.60775,0.6748,0.35352,0.3586,1.61342,1.16646,1.33369,0.009208,0.009208,0.009208
26,1040.02,1.55178,1.12847,1.24979,0.74713,0.62111,0.69063,0.38339,0.37963,1.54645,1.13683,1.31428,0.009175,0.009175,0.009175
27,1079.34,1.56158,1.12486,1.24711,0.72444,0.57953,0.64324,0.32674,0.34005,1.64616,1.21946,1.36315,0.009142,0.009142,0.009142
28,1117.66,1.53711,1.11045,1.23285,0.76882,0.61874,0.68761,0.35877,0.36665,1.60327,1.13319,1.34482,0.009109,0.009109,0.009109
29,1156.79,1.55062,1.11466,1.24962,0.75157,0.63822,0.70436,0.37152,0.3795,1.57876,1.12403,1.32259,0.009076,0.009076,0.009076
30,1195.11,1.53724,1.08479,1.23512,0.74983,0.62098,0.6822,0.3396,0.36017,1.61905,1.14194,1.34401,0.009043,0.009043,0.009043
31,1234.47,1.5428,1.08976,1.23602,0.74467,0.60631,0.67607,0.35683,0.36031,1.62033,1.17081,1.35224,0.00901,0.00901,0.00901
32,1273.46,1.53979,1.06383,1.23675,0.77326,0.6479,0.71965,0.38692,0.38996,1.5668,1.07188,1.31096,0.008977,0.008977,0.008977
33,1312.14,1.52694,1.06864,1.23187,0.7614,0.66348,0.72693,0.39334,0.39706,1.54838,1.0739,1.3112,0.008944,0.008944,0.008944
34,1351.25,1.5275,1.06617,1.22937,0.74711,0.66925,0.71839,0.37841,0.3901,1.54938,1.07913,1.29916,0.008911,0.008911,0.008911
35,1390.14,1.51865,1.05571,1.22764,0.75433,0.65305,0.71385,0.38854,0.39012,1.58096,1.0514,1.33066,0.008878,0.008878,0.008878
36,1429.2,1.52228,1.0541,1.23504,0.76002,0.62045,0.69469,0.36817,0.37651,1.57893,1.12762,1.31864,0.008845,0.008845,0.008845
37,1468.86,1.50823,1.04036,1.22515,0.77088,0.63925,0.71357,0.37736,0.38533,1.56519,1.07653,1.3159,0.008812,0.008812,0.008812
38,1507.46,1.4976,1.02615,1.22632,0.77101,0.64417,0.71911,0.3912,0.39268,1.56277,1.06616,1.3021,0.008779,0.008779,0.008779
39,1546.34,1.49794,1.01716,1.22313,0.75588,0.64883,0.71245,0.38975,0.38964,1.54544,1.06318,1.30561,0.008746,0.008746,0.008746
40,1585.89,1.50523,1.01496,1.22742,0.74376,0.67895,0.72246,0.3868,0.39409,1.54235,1.07408,1.30115,0.008713,0.008713,0.008713
41,1625.15,1.49641,1.00835,1.22886,0.76224,0.66745,0.73636,0.41609,0.40798,1.53495,1.02589,1.28982,0.00868,0.00868,0.00868
42,1664.44,1.4887,1.00212,1.22073,0.76522,0.67466,0.73507,0.41366,0.40634,1.55636,1.02646,1.32624,0.008647,0.008647,0.008647
43,1703.64,1.48949,1.00532,1.21574,0.77125,0.6733,0.73584,0.41074,0.40677,1.54101,1.01309,1.30901,0.008614,0.008614,0.008614
44,1742.28,1.48146,0.99429,1.21467,0.77963,0.66133,0.7324,0.41583,0.408,1.54368,1.02071,1.31119,0.008581,0.008581,0.008581
45,1781.75,1.47562,0.98658,1.21349,0.74479,0.67106,0.7168,0.39083,0.39154,1.56933,1.03028,1.32453,0.008548,0.008548,0.008548
46,1820.22,1.4821,0.98781,1.21483,0.76582,0.65648,0.7298,0.41207,0.40725,1.52243,1.04964,1.2898,0.008515,0.008515,0.008515
47,1859.3,1.47183,0.96363,1.1983,0.77501,0.66968,0.73741,0.40302,0.40334,1.5621,1.00207,1.31604,0.008482,0.008482,0.008482
48,1898.48,1.46601,0.96695,1.21271,0.77457,0.66315,0.73803,0.40853,0.40899,1.54181,0.99371,1.30163,0.008449,0.008449,0.008449
49,1937.1,1.46689,0.96758,1.21381,0.76709,0.64754,0.71794,0.38668,0.39411,1.5472,1.02897,1.31399,0.008416,0.008416,0.008416
50,1975.63,1.45727,0.95133,1.20549,0.76785,0.67062,0.73917,0.42754,0.41533,1.50975,1.00069,1.27427,0.008383,0.008383,0.008383
51,2014.93,1.45669,0.95351,1.19937,0.76392,0.66633,0.72449,0.41658,0.40582,1.55662,1.0032,1.32751,0.00835,0.00835,0.00835
52,2053.96,1.44395,0.94126,1.20426,0.77424,0.67161,0.74387,0.43024,0.41675,1.52704,0.98868,1.30257,0.008317,0.008317,0.008317
53,2093.68,1.45879,0.94252,1.20464,0.77036,0.65809,0.72391,0.40679,0.40325,1.57484,0.99766,1.33166,0.008284,0.008284,0.008284
54,2133.39,1.4418,0.93245,1.19971,0.77159,0.67154,0.74265,0.42469,0.41361,1.52189,1.00545,1.29336,0.008251,0.008251,0.008251
55,2173.29,1.45476,0.94534,1.19489,0.78608,0.66959,0.74711,0.43213,0.41784,1.54283,0.97302,1.31411,0.008218,0.008218,0.008218
56,2212.92,1.4527,0.93556,1.1978,0.77985,0.64968,0.72676,0.41615,0.40683,1.53741,1.00211,1.31029,0.008185,0.008185,0.008185
57,2251.48,1.42767,0.9254,1.19457,0.79069,0.66862,0.73845,0.42236,0.41175,1.55232,0.976,1.32716,0.008152,0.008152,0.008152
58,2291.08,1.43589,0.92455,1.19066,0.76337,0.6786,0.73539,0.4195,0.41167,1.53632,0.98679,1.30437,0.008119,0.008119,0.008119
59,2329.98,1.4349,0.92507,1.18879,0.76139,0.68835,0.74598,0.4337,0.41943,1.52759,0.97588,1.30447,0.008086,0.008086,0.008086
60,2369.2,1.42797,0.91602,1.18328,0.76362,0.70425,0.75035,0.43116,0.41897,1.53455,0.97176,1.30401,0.008053,0.008053,0.008053
61,2407.93,1.43119,0.91947,1.18806,0.76572,0.66038,0.72768,0.42163,0.41027,1.54268,1.00272,1.31769,0.00802,0.00802,0.00802
62,2447.32,1.43412,0.91339,1.18306,0.79331,0.68067,0.75937,0.4399,0.42856,1.51141,0.9488,1.29383,0.007987,0.007987,0.007987
63,2486.55,1.42229,0.90182,1.18731,0.76327,0.6953,0.74681,0.42876,0.41758,1.54747,0.95485,1.32641,0.007954,0.007954,0.007954
64,2524.95,1.40428,0.88504,1.18303,0.76689,0.69107,0.75068,0.42742,0.42264,1.51986,0.95684,1.29333,0.007921,0.007921,0.007921
65,2564.7,1.41163,0.8925,1.19117,0.75855,0.68749,0.74144,0.42235,0.41481,1.528,0.9632,1.29625,0.007888,0.007888,0.007888
66,2603.72,1.40176,0.87742,1.17447,0.79084,0.7014,0.75818,0.45273,0.43139,1.5164,0.94014,1.30427,0.007855,0.007855,0.007855
67,2643.35,1.39572,0.86359,1.17045,0.77884,0.6681,0.73676,0.42896,0.41229,1.55858,0.96437,1.32622,0.007822,0.007822,0.007822
68,2682.74,1.40872,0.87968,1.17682,0.77919,0.68245,0.7511,0.44614,0.42675,1.52395,0.934,1.2978,0.007789,0.007789,0.007789
69,2721.9,1.3856,0.85869,1.16066,0.78281,0.67764,0.75078,0.44067,0.42255,1.52915,0.95057,1.309,0.007756,0.007756,0.007756
70,2761.43,1.39698,0.87005,1.17245,0.78052,0.68466,0.75495,0.43939,0.42732,1.51271,0.94037,1.29462,0.007723,0.007723,0.007723
71,2800.94,1.38272,0.85415,1.16951,0.77209,0.69383,0.75746,0.44248,0.42798,1.52139,0.93189,1.2962,0.00769,0.00769,0.00769
72,2840.11,1.39007,0.85785,1.16392,0.7799,0.6761,0.74969,0.42938,0.42019,1.5385,0.96848,1.30399,0.007657,0.007657,0.007657
73,2879.74,1.38974,0.86077,1.16417,0.78304,0.69883,0.76514,0.43948,0.42766,1.53968,0.94794,1.30652,0.007624,0.007624,0.007624
74,2919.35,1.3829,0.84883,1.17136,0.79452,0.67448,0.75041,0.43379,0.4211,1.53014,0.94763,1.30444,0.007591,0.007591,0.007591
75,2959.23,1.3877,0.85047,1.1648,0.77661,0.64869,0.72406,0.40244,0.40056,1.57442,1.05335,1.32386,0.007558,0.007558,0.007558
76,2998.87,1.36957,0.84046,1.16047,0.78285,0.72152,0.77314,0.44419,0.43697,1.52616,0.91088,1.30547,0.007525,0.007525,0.007525
77,3038.34,1.36006,0.82689,1.15824,0.79543,0.70672,0.77626,0.45776,0.44039,1.50301,0.89659,1.29823,0.007492,0.007492,0.007492
78,3077.95,1.36842,0.83444,1.15841,0.7936,0.70063,0.77286,0.44116,0.43238,1.52953,0.92211,1.29957,0.007459,0.007459,0.007459
79,3117.63,1.36819,0.83166,1.16005,0.78532,0.71994,0.77616,0.45872,0.44124,1.51967,0.88583,1.31256,0.007426,0.007426,0.007426
80,3157.07,1.36717,0.82818,1.15644,0.8021,0.70079,0.77436,0.44841,0.43592,1.51709,0.90918,1.29991,0.007393,0.007393,0.007393
81,3196.67,1.35895,0.82112,1.14926,0.79134,0.71233,0.77119,0.46254,0.43724,1.51138,0.90632,1.29093,0.00736,0.00736,0.00736
82,3236.57,1.35495,0.81346,1.1505,0.79259,0.70911,0.77401,0.44484,0.43417,1.53906,0.90358,1.31025,0.007327,0.007327,0.007327
83,3275.94,1.36617,0.82832,1.15526,0.79049,0.70805,0.77155,0.45134,0.43591,1.52791,0.89115,1.31508,0.007294,0.007294,0.007294
84,3314.64,1.35017,0.81259,1.15833,0.7804,0.71293,0.76965,0.45279,0.4375,1.51668,0.90143,1.30566,0.007261,0.007261,0.007261
85,3355.02,1.35314,0.81461,1.14398,0.78423,0.70396,0.7658,0.44678,0.43133,1.52739,0.92079,1.31114,0.007228,0.007228,0.007228
86,3394.6,1.33816,0.80483,1.1425,0.77719,0.70917,0.76712,0.4446,0.43359,1.5303,0.90794,1.31332,0.007195,0.007195,0.007195
87,3434.25,1.334,0.79392,1.15152,0.79392,0.68574,0.75873,0.44643,0.42897,1.53179,0.92954,1.31502,0.007162,0.007162,0.007162
88,3473.17,1.33563,0.79376,1.14105,0.79572,0.69377,0.7597,0.44954,0.42986,1.52717,0.91183,1.31655,0.007129,0.007129,0.007129
89,3513.03,1.32447,0.79359,1.13815,0.79258,0.70454,0.76744,0.44437,0.43115,1.52732,0.90189,1.31722,0.007096,0.007096,0.007096
90,3552.32,1.34387,0.79338,1.13849,0.78945,0.69159,0.75777,0.44815,0.42851,1.53325,0.91558,1.32346,0.007063,0.007063,0.007063
91,3591.66,1.32859,0.78451,1.14275,0.79256,0.71846,0.77579,0.46219,0.43985,1.51664,0.89085,1.30419,0.00703,0.00703,0.00703
92,3630.93,1.3302,0.78932,1.13372,0.7878,0.7129,0.77367,0.44632,0.43429,1.53947,0.88701,1.32313,0.006997,0.006997,0.006997
93,3670.37,1.31962,0.78042,1.13468,0.7821,0.72067,0.77568,0.45798,0.44212,1.51512,0.88797,1.31118,0.006964,0.006964,0.006964
94,3709.36,1.31443,0.77573,1.14047,0.81018,0.69724,0.77572,0.46307,0.43961,1.527,0.90259,1.30723,0.006931,0.006931,0.006931
95,3748.78,1.31831,0.77818,1.12458,0.79578,0.71027,0.77104,0.45406,0.4359,1.53413,0.89593,1.32603,0.006898,0.006898,0.006898
96,3788.62,1.30667,0.7682,1.13128,0.79079,0.70054,0.76595,0.44572,0.43051,1.53855,0.90381,1.32942,0.006865,0.006865,0.006865
97,3827.78,1.31088,0.76444,1.12487,0.79444,0.72167,0.773,0.45214,0.43688,1.52954,0.88607,1.31938,0.006832,0.006832,0.006832
98,3866.8,1.30443,0.76547,1.12035,0.80101,0.69694,0.76882,0.44341,0.43275,1.54511,0.90158,1.32745,0.006799,0.006799,0.006799
99,3906.94,1.30641,0.76049,1.13247,0.79016,0.70475,0.76839,0.45425,0.43657,1.52703,0.89061,1.32048,0.006766,0.006766,0.006766
100,3947.03,1.28699,0.74477,1.12743,0.7758,0.71427,0.76772,0.45044,0.43628,1.5285,0.89027,1.32778,0.006733,0.006733,0.006733
101,3985.69,1.2905,0.7539,1.12241,0.79355,0.71734,0.77933,0.46049,0.44349,1.51477,0.87165,1.31808,0.0067,0.0067,0.0067
102,4024.55,1.29431,0.75436,1.12069,0.80637,0.70535,0.77185,0.44863,0.43519,1.54391,0.87692,1.33708,0.006667,0.006667,0.006667
103,4064.4,1.29771,0.75025,1.12516,0.78463,0.72806,0.77578,0.45627,0.43949,1.52988,0.88674,1.32276,0.006634,0.006634,0.006634
104,4103.44,1.28971,0.74414,1.12449,0.76839,0.72846,0.77443,0.45934,0.43797,1.53838,0.88817,1.3263,0.006601,0.006601,0.006601
105,4143.44,1.28643,0.73884,1.11374,0.80337,0.71746,0.78166,0.46553,0.44662,1.51827,0.88198,1.31199,0.006568,0.006568,0.006568
106,4182.82,1.28006,0.74004,1.11867,0.77695,0.73563,0.78279,0.46253,0.44412,1.5177,0.87237,1.31327,0.006535,0.006535,0.006535
107,4221.33,1.2809,0.73727,1.11613,0.78985,0.71444,0.77567,0.46464,0.44105,1.53062,0.88083,1.3213,0.006502,0.006502,0.006502
108,4261.54,1.28123,0.73286,1.11337,0.79725,0.71515,0.78316,0.46571,0.44808,1.5098,0.88907,1.30547,0.006469,0.006469,0.006469
109,4300.78,1.27794,0.73005,1.11597,0.80357,0.70878,0.77292,0.45609,0.43889,1.53465,0.89032,1.33026,0.006436,0.006436,0.006436
110,4340.58,1.27246,0.72668,1.1095,0.8028,0.71288,0.78319,0.46302,0.44213,1.53601,0.88055,1.32547,0.006403,0.006403,0.006403
111,4380.09,1.27044,0.71688,1.11212,0.79368,0.72155,0.77941,0.46072,0.44381,1.52485,0.87328,1.32294,0.00637,0.00637,0.00637
112,4419.63,1.25044,0.71287,1.10299,0.78815,0.71505,0.76959,0.46339,0.44093,1.5272,0.88496,1.32058,0.006337,0.006337,0.006337
113,4458.92,1.26093,0.71507,1.11165,0.79462,0.71702,0.77671,0.46288,0.4412,1.52555,0.87105,1.32271,0.006304,0.006304,0.006304
114,4498.1,1.25732,0.71443,1.10111,0.80378,0.70069,0.77556,0.46604,0.44577,1.51343,0.88357,1.32499,0.006271,0.006271,0.006271
115,4537.45,1.25217,0.71282,1.10686,0.78126,0.72225,0.77223,0.45448,0.43689,1.53863,0.88524,1.33952,0.006238,0.006238,0.006238
