epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.2128,3.19882,3.64498,3.01879,0.68023,0.32689,0.33229,0.09488,0.14381,2.15908,2.27282,2.01573,0.00331019,0.00331019,0.00331019
2,99.6365,2.04022,1.77482,1.79274,0.58236,0.43175,0.44248,0.15863,0.20239,1.99741,1.87319,1.73101,0.00662159,0.00662159,0.00662159
3,143.181,1.95264,1.64311,1.63497,0.59956,0.37478,0.39404,0.11761,0.1689,2.09429,2.36095,1.75386,0.009911,0.009911,0.009911
4,184.411,1.89409,1.57513,1.53237,0.62047,0.4291,0.45192,0.1597,0.20704,1.8966,1.75166,1.61476,0.009901,0.009901,0.009901
5,226.635,1.84281,1.51151,1.49896,0.61541,0.42293,0.45223,0.16162,0.20925,1.9094,1.61916,1.61226,0.009868,0.009868,0.009868
6,268.772,1.80073,1.44423,1.46068,0.63128,0.43389,0.44945,0.15758,0.20591,1.95779,1.71748,1.63875,0.009835,0.009835,0.009835
7,310.722,1.78063,1.42954,1.44529,0.58878,0.43106,0.45136,0.15773,0.20529,1.92672,1.72562,1.62554,0.009802,0.009802,0.009802
8,353.113,1.7429,1.38491,1.41978,0.67327,0.54741,0.58609,0.23884,0.28505,1.73215,1.43101,1.47108,0.009769,0.009769,0.009769
9,395.667,1.74094,1.37281,1.42428,0.59766,0.4404,0.48407,0.18343,0.22999,1.87445,1.63549,1.57305,0.009736,0.009736,0.009736
10,438.091,1.72614,1.31895,1.40964,0.68892,0.48005,0.53227,0.22153,0.25905,1.77051,1.53211,1.49786,0.009703,0.009703,0.009703
11,480.39,1.70568,1.29757,1.39232,0.73192,0.57696,0.64372,0.27592,0.31837,1.69962,1.28397,1.44579,0.00967,0.00967,0.00967
12,522.921,1.69209,1.28916,1.38534,0.70663,0.57997,0.63428,0.29295,0.32462,1.65937,1.34812,1.41978,0.009637,0.009637,0.009637
13,565.293,1.67495,1.25442,1.37614,0.69169,0.59122,0.62633,0.27275,0.31624,1.68024,1.33963,1.4381,0.009604,0.009604,0.009604
14,607.452,1.67572,1.25148,1.37061,0.70027,0.54007,0.59182,0.25405,0.2933,1.76809,1.3309,1.48804,0.009571,0.009571,0.009571
15,648.425,1.66987,1.23852,1.3708,0.66966,0.60635,0.64311,0.30125,0.32866,1.6576,1.28127,1.41954,0.009538,0.009538,0.009538
16,690.477,1.66691,1.22344,1.36646,0.69746,0.54455,0.61194,0.25,0.29998,1.7386,1.40459,1.46827,0.009505,0.009505,0.009505
17,732.258,1.65151,1.19747,1.3539,0.71473,0.58649,0.63712,0.29288,0.32272,1.67427,1.24446,1.43139,0.009472,0.009472,0.009472
18,773.776,1.64348,1.17745,1.3474,0.70703,0.58361,0.63434,0.30845,0.33178,1.66719,1.23979,1.43846,0.009439,0.009439,0.009439
