epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.2659,3.19737,3.47912,3.05618,0.3662,0.33151,0.29771,0.08085,0.12846,2.14082,2.09706,2.03797,0.00331019,0.00331019,0.00331019
2,100.495,2.06569,1.80685,1.83077,0.56772,0.24635,0.24207,0.08663,0.10894,2.43021,2.18461,2.09653,0.00662159,0.00662159,0.00662159
3,145.048,1.9661,1.66487,1.64674,0.57198,0.33434,0.34186,0.11042,0.15413,2.1206,1.83026,1.82044,0.009911,0.009911,0.009911
4,188.752,1.88357,1.60624,1.52782,0.63791,0.35642,0.38692,0.13129,0.17644,1.99809,1.83363,1.68586,0.009901,0.009901,0.009901
5,232.234,1.8342,1.55685,1.49654,0.66037,0.49164,0.53383,0.21565,0.25934,1.72367,1.58685,1.48892,0.009868,0.009868,0.009868
6,276.401,1.79327,1.47089,1.46167,0.62921,0.51582,0.53487,0.20852,0.25573,1.74825,1.76293,1.48842,0.009835,0.009835,0.009835
7,320.118,1.77552,1.44938,1.44382,0.64899,0.4828,0.53191,0.2051,0.2535,1.77901,1.51684,1.51109,0.009802,0.009802,0.009802
8,364.065,1.73913,1.39538,1.41792,0.68897,0.45947,0.51822,0.20592,0.24987,1.76953,1.68616,1.50081,0.009769,0.009769,0.009769
9,407.486,1.73044,1.38429,1.41734,0.68828,0.53463,0.59106,0.25448,0.29527,1.73352,1.41051,1.46604,0.009736,0.009736,0.009736
10,451.515,1.71815,1.34317,1.40255,0.69523,0.56085,0.60741,0.25454,0.29977,1.67417,1.415,1.43659,0.009703,0.009703,0.009703
11,495.382,1.69272,1.30459,1.38329,0.69584,0.58332,0.63241,0.28005,0.31699,1.67948,1.29923,1.4284,0.00967,0.00967,0.00967
12,539.278,1.68696,1.2975,1.37864,0.66936,0.49608,0.54426,0.22727,0.26871,1.74403,1.57868,1.46717,0.009637,0.009637,0.009637
13,582.178,1.66832,1.26854,1.36825,0.70357,0.52212,0.58054,0.2582,0.29064,1.7209,1.39023,1.46729,0.009604,0.009604,0.009604
14,625.799,1.67342,1.26021,1.36843,0.71455,0.5735,0.62889,0.29886,0.32247,1.66988,1.29181,1.42942,0.009571,0.009571,0.009571
