epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9279,1.90269,2.85239,1.45268,0.73543,0.37993,0.41489,0.15655,0.19703,1.8384,2.05956,1.47061,0.00331019,0.00331019,0.00331019
2,75.3233,1.77865,1.82808,1.37769,0.58605,0.46294,0.48956,0.18444,0.22954,1.78904,1.84841,1.43859,0.00662159,0.00662159,0.00662159
3,112.614,1.77731,1.72341,1.37959,0.58267,0.34622,0.37586,0.14079,0.17688,1.9527,2.13761,1.55398,0.009911,0.009911,0.009911
4,150.027,1.76255,1.64404,1.35724,0.64121,0.47068,0.50279,0.20302,0.24434,1.7434,1.79707,1.43096,0.009901,0.009901,0.009901
5,187.5,1.73749,1.57548,1.35105,0.6443,0.48589,0.52166,0.22098,0.25668,1.74036,1.66609,1.40476,0.009868,0.009868,0.009868
6,224.406,1.71446,1.49613,1.33981,0.63426,0.44856,0.4824,0.19151,0.2301,1.84269,1.69421,1.47392,0.009835,0.009835,0.009835
7,261.589,1.70258,1.46512,1.33114,0.64317,0.46981,0.51068,0.23312,0.25667,1.6927,1.62195,1.3867,0.009802,0.009802,0.009802
8,299.034,1.67879,1.41651,1.32519,0.69027,0.54077,0.59549,0.27953,0.30563,1.65883,1.48358,1.37793,0.009769,0.009769,0.009769
9,336.227,1.6759,1.39826,1.32598,0.70209,0.58334,0.63505,0.29596,0.3244,1.64554,1.36828,1.34643,0.009736,0.009736,0.009736
10,372.941,1.66337,1.35891,1.3147,0.69733,0.5577,0.61337,0.30534,0.32227,1.60489,1.37024,1.34183,0.009703,0.009703,0.009703
11,410.308,1.65367,1.33108,1.30622,0.72083,0.53921,0.60525,0.27801,0.30589,1.66565,1.42693,1.36858,0.00967,0.00967,0.00967
12,447.004,1.63533,1.32711,1.30047,0.64939,0.48892,0.52606,0.24223,0.26609,1.75974,1.5667,1.44182,0.009637,0.009637,0.009637
13,484.256,1.62947,1.28445,1.29606,0.69723,0.56251,0.61087,0.2932,0.31391,1.64768,1.3645,1.35274,0.009604,0.009604,0.009604
14,521.079,1.62526,1.28175,1.28823,0.71343,0.56904,0.63039,0.31348,0.32964,1.61425,1.31924,1.33928,0.009571,0.009571,0.009571
15,558.226,1.62243,1.29008,1.28956,0.69433,0.5961,0.64653,0.30076,0.33121,1.63892,1.29416,1.35036,0.009538,0.009538,0.009538
16,595.326,1.61024,1.24433,1.28109,0.73839,0.61965,0.68288,0.33201,0.35609,1.59803,1.20643,1.33655,0.009505,0.009505,0.009505
17,632.142,1.60074,1.22896,1.2779,0.72105,0.58638,0.65145,0.30837,0.33455,1.60455,1.29209,1.33158,0.009472,0.009472,0.009472
18,669.111,1.59053,1.21175,1.26968,0.69986,0.54748,0.60272,0.32008,0.32457,1.62689,1.3405,1.36445,0.009439,0.009439,0.009439
19,705.874,1.57737,1.20375,1.27356,0.75105,0.59729,0.67157,0.34261,0.35723,1.56414,1.26317,1.3116,0.009406,0.009406,0.009406
20,743.06,1.57651,1.19121,1.25975,0.71459,0.60965,0.66272,0.34425,0.35332,1.60548,1.21577,1.34699,0.009373,0.009373,0.009373
21,779.627,1.57979,1.15951,1.2725,0.71638,0.5515,0.61534,0.30752,0.32433,1.66101,1.3589,1.36763,0.00934,0.00934,0.00934
22,816.351,1.57406,1.1646,1.25876,0.71354,0.58067,0.64173,0.31951,0.33678,1.67592,1.21372,1.38735,0.009307,0.009307,0.009307
23,853.666,1.56773,1.1422,1.26452,0.7401,0.59187,0.65973,0.33933,0.35315,1.57645,1.23095,1.32701,0.009274,0.009274,0.009274
24,890.756,1.57326,1.15303,1.26562,0.72645,0.60511,0.65696,0.32288,0.3437,1.62008,1.22968,1.34819,0.009241,0.009241,0.009241
