epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0657,1.90343,2.91978,1.44248,0.70038,0.35133,0.36543,0.13652,0.17326,1.86798,2.23071,1.43153,0.00331019,0.00331019,0.00331019
2,89.0793,1.77742,1.87875,1.35072,0.62583,0.45406,0.47311,0.18576,0.22742,1.78433,1.85993,1.45736,0.00662159,0.00662159,0.00662159
3,131.076,1.77342,1.74747,1.36539,0.563,0.2368,0.27122,0.09648,0.12436,2.07255,2.52864,1.63347,0.009911,0.009911,0.009911
4,172.384,1.77391,1.66122,1.34632,0.56203,0.4644,0.47405,0.18409,0.22476,1.80439,1.77233,1.45835,0.009901,0.009901,0.009901
5,213.572,1.72868,1.60203,1.33345,0.66815,0.5163,0.55875,0.22108,0.26632,1.69783,1.66999,1.39309,0.009868,0.009868,0.009868
6,254.617,1.71503,1.50815,1.32177,0.65117,0.53754,0.5722,0.2518,0.28359,1.69755,1.58041,1.3708,0.009835,0.009835,0.009835
7,301.458,1.69772,1.47785,1.31885,0.6031,0.51033,0.53281,0.22172,0.25984,1.74419,1.60899,1.41671,0.009802,0.009802,0.009802
8,344.529,1.67516,1.4183,1.30684,0.68447,0.56932,0.61512,0.27127,0.30893,1.66607,1.40248,1.34222,0.009769,0.009769,0.009769
9,385.314,1.67195,1.40107,1.31201,0.68888,0.5213,0.57885,0.27072,0.29862,1.68006,1.57237,1.3458,0.009736,0.009736,0.009736
10,431.281,1.65351,1.36544,1.29942,0.68305,0.45653,0.51014,0.20725,0.24667,1.74644,1.59658,1.37285,0.009703,0.009703,0.009703
11,483.969,1.64023,1.33022,1.29333,0.70452,0.58571,0.63625,0.31993,0.33514,1.60608,1.36159,1.33726,0.00967,0.00967,0.00967
12,530.476,1.63274,1.33422,1.28983,0.69395,0.59645,0.6439,0.30283,0.33008,1.59495,1.42025,1.32778,0.009637,0.009637,0.009637
13,571.6,1.62491,1.29795,1.28631,0.72891,0.60623,0.66677,0.32757,0.34882,1.59425,1.28315,1.31765,0.009604,0.009604,0.009604
14,612.16,1.62093,1.28355,1.27879,0.69008,0.54003,0.59863,0.29181,0.31139,1.6508,1.37596,1.36681,0.009571,0.009571,0.009571
15,652.741,1.61638,1.28548,1.28108,0.71629,0.59601,0.65922,0.332,0.34973,1.58202,1.25935,1.3174,0.009538,0.009538,0.009538
16,695.485,1.60524,1.26099,1.27204,0.69208,0.56652,0.6134,0.26893,0.30392,1.76523,1.40001,1.41397,0.009505,0.009505,0.009505
17,736.764,1.59795,1.23803,1.27119,0.72729,0.57723,0.63859,0.30726,0.3289,1.67484,1.27523,1.36388,0.009472,0.009472,0.009472
18,777.048,1.58293,1.21609,1.26005,0.6973,0.54975,0.60252,0.31098,0.31989,1.61862,1.32643,1.35079,0.009439,0.009439,0.009439
19,817.363,1.57777,1.21401,1.26943,0.69993,0.48936,0.54754,0.25058,0.2767,1.7049,1.50683,1.39618,0.009406,0.009406,0.009406
20,865.048,1.5747,1.1974,1.25681,0.72227,0.60481,0.65902,0.33456,0.34887,1.61646,1.1909,1.34739,0.009373,0.009373,0.009373
21,914.567,1.57126,1.16852,1.26249,0.71338,0.48825,0.54876,0.25716,0.27937,1.73647,1.47234,1.40061,0.00934,0.00934,0.00934
22,954.773,1.5631,1.1692,1.2512,0.73783,0.62031,0.6751,0.35149,0.36138,1.58454,1.16557,1.32129,0.009307,0.009307,0.009307
23,996.321,1.56029,1.15367,1.25184,0.71141,0.54754,0.60504,0.29494,0.31574,1.68321,1.33956,1.39092,0.009274,0.009274,0.009274
24,1036.6,1.56268,1.15025,1.25353,0.76158,0.57712,0.66738,0.34549,0.35758,1.58879,1.26711,1.32083,0.009241,0.009241,0.009241
25,1077.29,1.5495,1.13153,1.24456,0.74027,0.63565,0.68942,0.35993,0.36968,1.58153,1.16024,1.32655,0.009208,0.009208,0.009208
