epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2056,1.8985,3.08477,1.4272,0.55032,0.38227,0.39787,0.15365,0.19109,1.77708,2.06304,1.37561,0.00331019,0.00331019,0.00331019
2,75.712,1.78071,1.85073,1.34223,0.58499,0.46006,0.48772,0.19388,0.23522,1.7609,1.87628,1.38413,0.00662159,0.00662159,0.00662159
3,113.978,1.77585,1.72967,1.36262,0.5538,0.3393,0.35488,0.12608,0.16432,1.97601,2.1294,1.57945,0.009911,0.009911,0.009911
4,151.664,1.76507,1.66851,1.34153,0.59241,0.35073,0.36282,0.12721,0.1685,1.96898,2.44283,1.53312,0.009901,0.009901,0.009901
5,189.202,1.73124,1.59222,1.33246,0.58601,0.46092,0.49307,0.20681,0.24063,1.74849,1.71246,1.41649,0.009868,0.009868,0.009868
6,226.787,1.71181,1.49713,1.32504,0.61403,0.25502,0.29643,0.10378,0.13504,2.11957,2.20999,1.61019,0.009835,0.009835,0.009835
7,264.021,1.69627,1.47015,1.31663,0.67391,0.46357,0.51281,0.21929,0.2548,1.73411,1.60906,1.39883,0.009802,0.009802,0.009802
8,301.466,1.67639,1.39817,1.30887,0.69171,0.5301,0.58143,0.26013,0.29531,1.68513,1.44307,1.3763,0.009769,0.009769,0.009769
9,339.074,1.67223,1.40435,1.31515,0.61008,0.50122,0.5377,0.23369,0.26627,1.72909,1.5348,1.37975,0.009736,0.009736,0.009736
10,376.165,1.66028,1.34944,1.30528,0.65915,0.53201,0.57119,0.24258,0.28398,1.72021,1.47158,1.40917,0.009703,0.009703,0.009703
11,414.089,1.64533,1.33411,1.29518,0.7251,0.52287,0.59387,0.29677,0.31201,1.65021,1.40466,1.36705,0.00967,0.00967,0.00967
12,451.449,1.63546,1.32502,1.29176,0.68814,0.50121,0.5555,0.25896,0.28156,1.7144,1.52336,1.39651,0.009637,0.009637,0.009637
13,488.693,1.61995,1.28586,1.28714,0.70345,0.59449,0.63675,0.3033,0.3295,1.63547,1.30176,1.35976,0.009604,0.009604,0.009604
14,525.699,1.6292,1.28391,1.2833,0.70996,0.52729,0.60362,0.28897,0.31391,1.64909,1.40905,1.35726,0.009571,0.009571,0.009571
15,563.201,1.61318,1.26281,1.27848,0.71211,0.56381,0.62628,0.29499,0.32367,1.66505,1.31356,1.36552,0.009538,0.009538,0.009538
16,600.395,1.61578,1.23958,1.27854,0.72851,0.5907,0.65444,0.31702,0.34194,1.60912,1.26683,1.34156,0.009505,0.009505,0.009505
17,637.772,1.59316,1.22349,1.26623,0.75715,0.59272,0.66798,0.34261,0.35682,1.56943,1.24137,1.31553,0.009472,0.009472,0.009472
18,674.937,1.59226,1.20825,1.26228,0.74195,0.61387,0.66412,0.35486,0.3576,1.55108,1.21795,1.31623,0.009439,0.009439,0.009439
19,712.205,1.58713,1.20917,1.27211,0.73135,0.59899,0.66217,0.34839,0.3559,1.57299,1.22251,1.3241,0.009406,0.009406,0.009406
20,749.618,1.57586,1.18472,1.25662,0.73343,0.61518,0.67425,0.33801,0.35615,1.58993,1.24504,1.34945,0.009373,0.009373,0.009373
21,786.62,1.57849,1.17979,1.25936,0.70718,0.54899,0.61825,0.27051,0.3085,1.7246,1.34376,1.3928,0.00934,0.00934,0.00934
22,823.449,1.57063,1.15643,1.25169,0.74021,0.59726,0.66934,0.32857,0.35087,1.63436,1.18129,1.36021,0.009307,0.009307,0.009307
23,861.374,1.57267,1.14255,1.25851,0.74928,0.61523,0.67318,0.34599,0.35816,1.61869,1.17005,1.35797,0.009274,0.009274,0.009274
24,897.775,1.57244,1.14617,1.25606,0.74603,0.51961,0.59851,0.30059,0.31675,1.66705,1.40184,1.37051,0.009241,0.009241,0.009241
25,934.302,1.55298,1.12887,1.24865,0.72659,0.59145,0.66788,0.35048,0.35798,1.61602,1.16938,1.34396,0.009208,0.009208,0.009208
26,971.718,1.56001,1.12676,1.25005,0.74352,0.58734,0.66282,0.33433,0.35012,1.61404,1.22236,1.33903,0.009175,0.009175,0.009175
27,1008.84,1.55219,1.123,1.2377,0.75163,0.60693,0.68483,0.36021,0.36889,1.58202,1.12968,1.32407,0.009142,0.009142,0.009142
28,1046.53,1.54239,1.11575,1.23435,0.75845,0.63026,0.70141,0.37779,0.3803,1.55921,1.10991,1.30871,0.009109,0.009109,0.009109
29,1084.09,1.54944,1.10816,1.24482,0.72894,0.60838,0.6684,0.34561,0.35794,1.59917,1.19358,1.33832,0.009076,0.009076,0.009076
30,1121.47,1.532,1.08075,1.22965,0.742,0.63892,0.69717,0.37835,0.3827,1.5505,1.11807,1.30791,0.009043,0.009043,0.009043
31,1158,1.53562,1.07992,1.22943,0.75852,0.6514,0.71912,0.38524,0.39016,1.54592,1.10398,1.29707,0.00901,0.00901,0.00901
32,1195.21,1.537,1.06475,1.22925,0.74863,0.64379,0.70227,0.37742,0.38578,1.56213,1.07195,1.30637,0.008977,0.008977,0.008977
33,1232.48,1.52533,1.06867,1.2259,0.77123,0.65231,0.72534,0.39879,0.39805,1.53337,1.04925,1.30209,0.008944,0.008944,0.008944
34,1269.02,1.52743,1.0569,1.22946,0.769,0.65347,0.72553,0.39161,0.39574,1.54182,1.06145,1.30092,0.008911,0.008911,0.008911
35,1305.98,1.51703,1.04737,1.22727,0.78407,0.64271,0.72216,0.38773,0.39249,1.57435,1.05615,1.32608,0.008878,0.008878,0.008878
36,1342.75,1.52018,1.06013,1.23566,0.74986,0.63514,0.69723,0.35909,0.3729,1.59152,1.10421,1.32087,0.008845,0.008845,0.008845
37,1379.73,1.4995,1.03691,1.21714,0.73918,0.62752,0.69424,0.36192,0.37107,1.59438,1.17982,1.33657,0.008812,0.008812,0.008812
38,1417.47,1.50639,1.02705,1.22606,0.7591,0.62291,0.69646,0.36563,0.37445,1.59275,1.11305,1.31918,0.008779,0.008779,0.008779
39,1454.2,1.49897,1.02218,1.22446,0.75161,0.58191,0.66003,0.33668,0.35176,1.61657,1.21028,1.34071,0.008746,0.008746,0.008746
40,1491.52,1.50708,1.01072,1.22917,0.77049,0.63569,0.70965,0.38799,0.38853,1.55108,1.05561,1.30068,0.008713,0.008713,0.008713
41,1528.58,1.49647,1.00818,1.22566,0.75981,0.66495,0.73149,0.41214,0.40682,1.52985,1.02329,1.2962,0.00868,0.00868,0.00868
42,1565.79,1.48954,0.99212,1.21745,0.76215,0.63889,0.70552,0.3807,0.38452,1.59344,1.05066,1.33144,0.008647,0.008647,0.008647
43,1603.43,1.48209,1.00312,1.20849,0.75675,0.65588,0.71534,0.3885,0.38996,1.56735,1.03174,1.32927,0.008614,0.008614,0.008614
44,1640.78,1.48349,0.99167,1.21012,0.75638,0.64062,0.70315,0.39119,0.38738,1.58307,1.0567,1.33757,0.008581,0.008581,0.008581
45,1678.12,1.4775,0.98539,1.21251,0.76356,0.65999,0.72618,0.41152,0.40298,1.53242,1.0263,1.29061,0.008548,0.008548,0.008548
46,1715.73,1.47919,0.98467,1.20931,0.75763,0.67729,0.73283,0.4205,0.40765,1.51977,0.99726,1.2861,0.008515,0.008515,0.008515
47,1752.92,1.48133,0.97343,1.19999,0.76799,0.6564,0.72548,0.40461,0.39943,1.55126,1.03154,1.31033,0.008482,0.008482,0.008482
48,1790.11,1.46599,0.96862,1.20866,0.79277,0.66272,0.74237,0.39709,0.40442,1.56634,0.99721,1.31193,0.008449,0.008449,0.008449
49,1826.59,1.46814,0.96296,1.21159,0.76472,0.64652,0.71475,0.3845,0.38999,1.58727,1.04593,1.32954,0.008416,0.008416,0.008416
50,1863.33,1.45611,0.94262,1.20084,0.7787,0.66295,0.73176,0.42944,0.4124,1.52154,0.99083,1.28525,0.008383,0.008383,0.008383
51,1900.28,1.45677,0.9568,1.19919,0.77539,0.64802,0.72091,0.4037,0.40157,1.54135,1.02704,1.30514,0.00835,0.00835,0.00835
52,1936.81,1.44546,0.94377,1.20146,0.77508,0.69345,0.75842,0.43573,0.42554,1.53082,0.95497,1.30302,0.008317,0.008317,0.008317
53,1974.43,1.4569,0.94853,1.20339,0.77463,0.66606,0.73009,0.40361,0.40254,1.57405,1.00503,1.33326,0.008284,0.008284,0.008284
