epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4031,1.88323,3.19972,1.39617,0.66186,0.34,0.34412,0.11894,0.15841,1.797,2.30261,1.41121,0.00331019,0.00331019,0.00331019
2,77.938,1.77205,1.90485,1.32762,0.51432,0.43082,0.42257,0.16547,0.20184,1.75381,1.94799,1.37125,0.00662159,0.00662159,0.00662159
3,116.617,1.76229,1.74101,1.32445,0.58523,0.4813,0.49912,0.20542,0.24409,1.73759,1.82571,1.34418,0.009911,0.009911,0.009911
4,154.748,1.75074,1.66624,1.29946,0.54169,0.38514,0.39556,0.15388,0.18694,1.87714,1.94316,1.47481,0.009901,0.009901,0.009901
5,192.735,1.72177,1.5938,1.28704,0.58817,0.4574,0.49077,0.18256,0.2314,1.80271,1.71213,1.37126,0.009868,0.009868,0.009868
6,230.569,1.7023,1.50129,1.28017,0.59889,0.45797,0.47005,0.18288,0.22128,1.86487,1.73953,1.4258,0.009835,0.009835,0.009835
7,268.267,1.68836,1.47811,1.27739,0.6842,0.54037,0.59195,0.25632,0.29726,1.66357,1.46425,1.29425,0.009802,0.009802,0.009802
8,305.794,1.66594,1.42109,1.26225,0.67803,0.53837,0.58942,0.2779,0.30149,1.62661,1.46469,1.27113,0.009769,0.009769,0.009769
9,343.128,1.66094,1.40833,1.26984,0.71108,0.55383,0.61677,0.28107,0.31312,1.62871,1.40883,1.28344,0.009736,0.009736,0.009736
10,380.206,1.65087,1.35729,1.25983,0.69566,0.52874,0.57878,0.25666,0.29184,1.67991,1.4383,1.28501,0.009703,0.009703,0.009703
11,417.462,1.63473,1.33171,1.24599,0.71327,0.55274,0.6208,0.28755,0.31474,1.64858,1.37364,1.27353,0.00967,0.00967,0.00967
12,454.4,1.62439,1.3191,1.24926,0.69222,0.52966,0.5768,0.26866,0.29616,1.66057,1.4212,1.31781,0.009637,0.009637,0.009637
13,491.434,1.61465,1.28781,1.24872,0.7046,0.59168,0.63851,0.31937,0.3372,1.59363,1.32194,1.26093,0.009604,0.009604,0.009604
14,528.004,1.61753,1.28301,1.24138,0.69687,0.56923,0.62646,0.31435,0.33018,1.61357,1.33341,1.2782,0.009571,0.009571,0.009571
15,565.127,1.61743,1.2869,1.24611,0.69008,0.599,0.64223,0.3255,0.34305,1.56648,1.30083,1.25957,0.009538,0.009538,0.009538
16,602.113,1.60569,1.25092,1.23502,0.69837,0.53926,0.60055,0.28552,0.31157,1.64959,1.34041,1.31501,0.009505,0.009505,0.009505
17,639.053,1.59184,1.23497,1.22469,0.73059,0.56433,0.62173,0.30555,0.32437,1.6158,1.3486,1.26319,0.009472,0.009472,0.009472
18,675.781,1.5839,1.20352,1.22117,0.74726,0.61073,0.67781,0.35231,0.36365,1.56488,1.20453,1.27438,0.009439,0.009439,0.009439
19,712.764,1.58009,1.20503,1.2292,0.73102,0.53608,0.60392,0.30147,0.31773,1.61463,1.36309,1.28063,0.009406,0.009406,0.009406
20,750.057,1.56964,1.18254,1.21803,0.71735,0.61337,0.66676,0.33556,0.34985,1.62712,1.19372,1.30163,0.009373,0.009373,0.009373
21,787.032,1.56711,1.15833,1.22074,0.70831,0.58116,0.63266,0.31432,0.33229,1.61447,1.25374,1.28437,0.00934,0.00934,0.00934
22,823.678,1.57253,1.16236,1.21939,0.73474,0.61348,0.67438,0.34842,0.35865,1.58825,1.17073,1.27799,0.009307,0.009307,0.009307
23,860.789,1.56417,1.143,1.22014,0.71177,0.56215,0.6198,0.30122,0.32142,1.64737,1.30778,1.30165,0.009274,0.009274,0.009274
