epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4785,1.9427,2.14645,1.3171,0.79988,0.24793,0.33405,0.09771,0.1485,1.86678,2.06597,1.28706,0.000472191,0.000472191,0.000472191
2,48.2024,1.83545,1.34663,1.27603,0.40803,0.55193,0.44519,0.12653,0.197,1.86103,1.27799,1.33914,0.000945395,0.000945395,0.000945395
3,71.5093,1.82986,1.26916,1.27956,0.4209,0.50448,0.45403,0.1114,0.19007,1.87759,1.36367,1.33503,0.00141545,0.00141545,0.00141545
4,94.5493,1.83228,1.1992,1.28333,0.58426,0.40982,0.45502,0.14807,0.20529,1.87731,1.45928,1.34585,0.00141485,0.00141485,0.00141485
5,117.753,1.81479,1.13232,1.27309,0.5679,0.52217,0.53007,0.14146,0.22291,1.94875,1.13816,1.41104,0.00141014,0.00141014,0.00141014
6,140.887,1.76182,1.06984,1.25661,0.67474,0.53666,0.59957,0.17778,0.27428,1.82272,1.02629,1.29483,0.00140542,0.00140542,0.00140542
7,164.38,1.78196,1.04527,1.26618,0.61158,0.57472,0.60104,0.20967,0.27267,1.81923,1.00507,1.31843,0.00140071,0.00140071,0.00140071
8,187.373,1.78085,1.04478,1.25765,0.56184,0.6051,0.60845,0.17126,0.26572,1.82165,1.01535,1.30143,0.00139599,0.00139599,0.00139599
9,210.709,1.74548,1.02387,1.24226,0.64402,0.60493,0.64068,0.18048,0.27515,1.90677,0.99756,1.35654,0.00139127,0.00139127,0.00139127
10,233.989,1.75209,1.00052,1.24477,0.6396,0.51338,0.57682,0.14588,0.24014,1.93607,1.05708,1.34849,0.00138656,0.00138656,0.00138656
11,257.176,1.72706,0.98759,1.25287,0.64563,0.53433,0.56494,0.15654,0.24742,1.86301,1.1018,1.33614,0.00138184,0.00138184,0.00138184
12,280.313,1.73674,0.98902,1.24276,0.6176,0.56737,0.62437,0.17384,0.27116,1.88368,0.99612,1.33396,0.00137713,0.00137713,0.00137713
13,303.758,1.72796,0.96877,1.22215,0.63606,0.52463,0.60819,0.14955,0.25749,1.89145,1.04533,1.36969,0.00137241,0.00137241,0.00137241
14,327.105,1.74645,0.97247,1.24886,0.6786,0.54847,0.61529,0.1731,0.27641,1.80943,0.96639,1.32075,0.0013677,0.0013677,0.0013677
15,350.568,1.72522,0.95695,1.23288,0.55958,0.48448,0.52698,0.17798,0.23035,1.91669,1.04171,1.34769,0.00136298,0.00136298,0.00136298
16,373.463,1.72274,0.95622,1.23132,0.67765,0.57033,0.62619,0.18016,0.26804,1.86907,0.95256,1.36124,0.00135826,0.00135826,0.00135826
17,396.796,1.71063,0.94906,1.22612,0.57473,0.40235,0.45867,0.17549,0.21746,1.87554,1.33692,1.3365,0.00135355,0.00135355,0.00135355
18,420.058,1.70773,0.93519,1.21879,0.65221,0.58154,0.61439,0.18901,0.2704,1.84425,1.00082,1.31973,0.00134883,0.00134883,0.00134883
19,443.212,1.71105,0.94805,1.23226,0.62872,0.59786,0.64043,0.17588,0.28086,1.83006,0.93959,1.31866,0.00134412,0.00134412,0.00134412
20,466.519,1.6979,0.92066,1.22439,0.65979,0.57277,0.61704,0.21926,0.28125,1.80111,0.95154,1.28855,0.0013394,0.0013394,0.0013394
21,489.632,1.68271,0.92456,1.21468,0.65026,0.60453,0.65253,0.18774,0.28829,1.81413,1.01159,1.29598,0.00133469,0.00133469,0.00133469
22,512.801,1.69255,0.91633,1.20865,0.60897,0.63653,0.66078,0.18978,0.29145,1.84144,0.95232,1.33232,0.00132997,0.00132997,0.00132997
23,536.679,1.68587,0.90153,1.21827,0.72247,0.54159,0.63474,0.18238,0.27372,1.9113,1.00786,1.37213,0.00132525,0.00132525,0.00132525
24,559.858,1.67511,0.89614,1.20821,0.66141,0.67826,0.6644,0.21076,0.29912,1.81536,0.92615,1.29631,0.00132054,0.00132054,0.00132054
25,583.347,1.68196,0.90414,1.21729,0.64933,0.57983,0.62596,0.15897,0.26524,1.91295,0.9625,1.34184,0.00131582,0.00131582,0.00131582
