epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2977,1.93165,2.16176,1.29699,0.70795,0.25811,0.37178,0.0988,0.16171,1.84176,1.95486,1.26452,0.000472191,0.000472191,0.000472191
2,51.1904,1.83534,1.34507,1.2559,0.40429,0.37676,0.34558,0.09942,0.14855,1.99345,1.39236,1.43238,0.000945395,0.000945395,0.000945395
3,75.8525,1.83318,1.26836,1.26961,0.49549,0.3724,0.38799,0.09718,0.16115,2.04795,1.46513,1.43215,0.00141545,0.00141545,0.00141545
4,100.73,1.82753,1.19847,1.27082,0.58421,0.47197,0.49896,0.16511,0.21876,1.89472,1.25083,1.30228,0.00141485,0.00141485,0.00141485
5,125.541,1.8103,1.1305,1.26228,0.48877,0.50192,0.48861,0.12429,0.20748,1.9171,1.11799,1.40245,0.00141014,0.00141014,0.00141014
6,150.729,1.76365,1.07903,1.2464,0.65212,0.49759,0.55789,0.16388,0.24634,1.85992,1.12064,1.29561,0.00140542,0.00140542,0.00140542
7,176.079,1.778,1.03668,1.25088,0.67526,0.56718,0.60848,0.18034,0.26525,1.86181,1.02544,1.32314,0.00140071,0.00140071,0.00140071
8,200.728,1.783,1.04608,1.24937,0.54023,0.52099,0.52118,0.15255,0.22536,1.86867,1.10015,1.3346,0.00139599,0.00139599,0.00139599
9,225.665,1.74951,1.01565,1.23458,0.63131,0.57276,0.62097,0.16032,0.26098,1.84525,0.97144,1.30073,0.00139127,0.00139127,0.00139127
10,250.143,1.74937,0.99035,1.2345,0.65178,0.47769,0.56323,0.16872,0.24744,1.89677,1.14713,1.36116,0.00138656,0.00138656,0.00138656
11,274.948,1.72651,0.98285,1.24248,0.56135,0.56121,0.59954,0.14946,0.25765,1.89837,1.03288,1.32134,0.00138184,0.00138184,0.00138184
12,299.186,1.73782,0.986,1.23931,0.69105,0.55511,0.59801,0.18447,0.26821,1.85165,1.0284,1.32402,0.00137713,0.00137713,0.00137713
13,323.936,1.73442,0.96369,1.2209,0.65649,0.58564,0.62918,0.16596,0.27257,1.86393,0.96106,1.35258,0.00137241,0.00137241,0.00137241
14,348.406,1.73926,0.96477,1.2376,0.65676,0.53221,0.60678,0.1948,0.27765,1.80626,0.96484,1.32532,0.0013677,0.0013677,0.0013677
15,373.497,1.72361,0.94768,1.22725,0.66294,0.61475,0.62555,0.18293,0.27399,1.89783,0.96389,1.3593,0.00136298,0.00136298,0.00136298
16,397.399,1.72083,0.9584,1.22496,0.59172,0.46508,0.52398,0.14429,0.23233,1.84726,1.05323,1.33093,0.00135826,0.00135826,0.00135826
17,422.61,1.71715,0.94941,1.22141,0.58202,0.58138,0.60693,0.17533,0.26321,1.85801,0.93922,1.31437,0.00135355,0.00135355,0.00135355
18,447.461,1.70847,0.92634,1.21268,0.75261,0.49618,0.63287,0.1755,0.27607,1.83209,0.96633,1.28664,0.00134883,0.00134883,0.00134883
19,472.217,1.71789,0.94854,1.2258,0.6218,0.57018,0.61525,0.20899,0.28124,1.84174,1.12061,1.30158,0.00134412,0.00134412,0.00134412
20,496.575,1.70246,0.91439,1.21897,0.5992,0.61389,0.62649,0.19336,0.27019,1.86035,0.97002,1.33426,0.0013394,0.0013394,0.0013394
21,521.049,1.68478,0.91633,1.21071,0.62519,0.62356,0.66252,0.2305,0.29884,1.85729,0.98463,1.30501,0.00133469,0.00133469,0.00133469
22,545.395,1.69537,0.91691,1.20461,0.68033,0.61265,0.6739,0.17522,0.29113,1.86391,0.94329,1.32644,0.00132997,0.00132997,0.00132997
23,570.298,1.68717,0.90444,1.21258,0.71385,0.52997,0.61409,0.16669,0.26277,1.85293,0.90768,1.31685,0.00132525,0.00132525,0.00132525
24,594.622,1.68883,0.90439,1.20871,0.67428,0.55301,0.61547,0.18888,0.2772,1.8156,0.93938,1.28714,0.00132054,0.00132054,0.00132054
25,619.16,1.68305,0.90701,1.21163,0.69675,0.60164,0.65702,0.17755,0.28146,1.86942,0.97318,1.32375,0.00131582,0.00131582,0.00131582
26,643.357,1.69222,0.90834,1.212,0.67963,0.57707,0.66308,0.19148,0.28525,1.86926,0.93084,1.33462,0.00131111,0.00131111,0.00131111
27,668.229,1.67676,0.88489,1.19196,0.62461,0.61319,0.64872,0.19466,0.28179,1.84847,0.91651,1.31736,0.00130639,0.00130639,0.00130639
28,693.426,1.70137,0.89572,1.2105,0.68633,0.63452,0.66046,0.20755,0.2866,1.81584,0.93849,1.31234,0.00130168,0.00130168,0.00130168
29,718.538,1.66999,0.88759,1.20151,0.63343,0.60789,0.63943,0.18274,0.27991,1.86332,0.91795,1.34265,0.00129696,0.00129696,0.00129696
30,742.936,1.66225,0.87436,1.19559,0.64106,0.62734,0.6813,0.1987,0.29975,1.83085,0.9003,1.33357,0.00129224,0.00129224,0.00129224
31,767.307,1.65326,0.86865,1.19548,0.59612,0.60238,0.62919,0.18584,0.27843,1.84474,0.9111,1.33162,0.00128753,0.00128753,0.00128753
32,791.653,1.66293,0.86649,1.19869,0.63522,0.59858,0.63051,0.19541,0.27851,1.83598,0.89744,1.33264,0.00128281,0.00128281,0.00128281
33,815.963,1.64425,0.86035,1.19648,0.61805,0.61151,0.63056,0.17921,0.28055,1.86349,0.90131,1.33868,0.0012781,0.0012781,0.0012781
34,840.277,1.64225,0.85131,1.18567,0.66802,0.65464,0.6988,0.22353,0.31539,1.83077,0.9034,1.33669,0.00127338,0.00127338,0.00127338
35,864.642,1.64835,0.85716,1.18819,0.68851,0.57401,0.64761,0.21121,0.29496,1.86871,0.92269,1.32599,0.00126867,0.00126867,0.00126867
36,889.032,1.65977,0.86627,1.19681,0.68236,0.61397,0.68144,0.21106,0.30215,1.8684,0.95385,1.36201,0.00126395,0.00126395,0.00126395
37,913.541,1.64248,0.85381,1.20138,0.72844,0.58545,0.67716,0.22924,0.30439,1.82271,0.91517,1.32264,0.00125923,0.00125923,0.00125923
38,937.913,1.65056,0.86486,1.18551,0.65614,0.61993,0.65233,0.2005,0.28511,1.8677,0.91502,1.32621,0.00125452,0.00125452,0.00125452
39,962.335,1.63938,0.85293,1.18328,0.66006,0.52468,0.60062,0.19915,0.26906,1.8722,1.19126,1.34988,0.0012498,0.0012498,0.0012498
40,986.679,1.61181,0.82921,1.17673,0.63252,0.58066,0.61844,0.18453,0.27106,1.895,0.92493,1.36069,0.00124509,0.00124509,0.00124509
41,1011.04,1.6385,0.85111,1.18084,0.75838,0.60626,0.66746,0.20493,0.3019,1.82636,0.90559,1.31395,0.00124037,0.00124037,0.00124037
42,1035.3,1.61531,0.82931,1.1843,0.67782,0.62484,0.69175,0.207,0.30752,1.83383,0.91852,1.32691,0.00123566,0.00123566,0.00123566
43,1059.49,1.6204,0.82559,1.17908,0.67179,0.60887,0.65664,0.17919,0.28922,1.87238,0.90979,1.32874,0.00123094,0.00123094,0.00123094
44,1083.99,1.61565,0.82456,1.178,0.75573,0.5849,0.6892,0.19216,0.30179,1.85074,0.93443,1.31781,0.00122622,0.00122622,0.00122622
45,1108.39,1.62384,0.82246,1.17684,0.65456,0.63272,0.67778,0.19883,0.30026,1.90301,0.8985,1.36102,0.00122151,0.00122151,0.00122151
46,1132.78,1.5995,0.81427,1.18051,0.7324,0.63446,0.6972,0.19609,0.30484,1.84521,0.88758,1.33431,0.00121679,0.00121679,0.00121679
47,1157.13,1.61034,0.8094,1.17944,0.784,0.56628,0.66189,0.16612,0.28031,1.90638,0.93893,1.38859,0.00121208,0.00121208,0.00121208
48,1181.24,1.61657,0.8261,1.16348,0.71984,0.65637,0.69309,0.18431,0.31082,1.8539,0.85737,1.33953,0.00120736,0.00120736,0.00120736
49,1205.42,1.61547,0.82147,1.17193,0.6911,0.63216,0.66498,0.19833,0.30418,1.8304,0.87291,1.33108,0.00120265,0.00120265,0.00120265
50,1229.82,1.5867,0.79526,1.16225,0.74527,0.6234,0.6899,0.22685,0.31172,1.86199,0.8952,1.32993,0.00119793,0.00119793,0.00119793
51,1254.17,1.60291,0.79603,1.16395,0.6737,0.65254,0.7042,0.2088,0.31299,1.85996,0.88036,1.33449,0.00119322,0.00119322,0.00119322
52,1278.4,1.59064,0.80275,1.16421,0.73402,0.63433,0.70368,0.18458,0.29934,1.85179,0.8712,1.35156,0.0011885,0.0011885,0.0011885
53,1302.61,1.59614,0.80367,1.16563,0.69497,0.60734,0.67604,0.17598,0.29366,1.86653,0.87291,1.33948,0.00118378,0.00118378,0.00118378
54,1326.96,1.58289,0.80236,1.15676,0.7423,0.64254,0.69874,0.22974,0.31393,1.83785,0.87068,1.3379,0.00117907,0.00117907,0.00117907
55,1351.3,1.59657,0.80987,1.16527,0.67777,0.6183,0.6534,0.19808,0.29636,1.82624,0.90264,1.34426,0.00117435,0.00117435,0.00117435
56,1375.58,1.58309,0.79119,1.15975,0.70954,0.64385,0.71734,0.21168,0.31491,1.84789,0.91882,1.32941,0.00116964,0.00116964,0.00116964
57,1399.92,1.58444,0.79564,1.15296,0.65473,0.6175,0.67499,0.21091,0.30643,1.87542,0.95325,1.35826,0.00116492,0.00116492,0.00116492
58,1424.16,1.57564,0.80022,1.1598,0.68944,0.65422,0.68083,0.19387,0.29516,1.84564,0.9777,1.34145,0.00116021,0.00116021,0.00116021
59,1448.42,1.56157,0.78026,1.15125,0.69336,0.67171,0.70822,0.20101,0.3017,1.85375,0.86871,1.35748,0.00115549,0.00115549,0.00115549
