epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.706,1.85601,2.92398,1.32472,0.53767,0.51251,0.48997,0.19363,0.2346,1.69474,1.86605,1.29528,0.00331921,0.00331921,0.00331921
2,97.0374,1.69949,1.7054,1.2385,0.65415,0.53379,0.57512,0.25606,0.28721,1.63108,1.68301,1.26029,0.00663059,0.00663059,0.00663059
3,145.325,1.70349,1.57827,1.27168,0.58284,0.4416,0.44097,0.19424,0.21549,1.7634,2.05845,1.39861,0.00991997,0.00991997,0.00991997
4,193.625,1.7025,1.53614,1.27729,0.58619,0.35882,0.39062,0.15131,0.18559,1.86033,2.08349,1.46442,0.009901,0.009901,0.009901
5,242.039,1.66455,1.4343,1.26269,0.68013,0.57814,0.62639,0.27015,0.31132,1.62943,1.56666,1.28973,0.009868,0.009868,0.009868
6,290.674,1.64793,1.39415,1.26042,0.69904,0.60709,0.65671,0.30173,0.33411,1.61124,1.36236,1.30484,0.009835,0.009835,0.009835
7,339.157,1.63329,1.34685,1.25194,0.70534,0.56774,0.63798,0.26424,0.31579,1.70473,1.54017,1.34393,0.009802,0.009802,0.009802
8,387.332,1.61233,1.30612,1.24568,0.68814,0.62015,0.66694,0.31213,0.3409,1.62076,1.30396,1.30717,0.009769,0.009769,0.009769
9,435.519,1.59512,1.26668,1.23289,0.71942,0.57915,0.64991,0.31844,0.33837,1.61071,1.36762,1.2793,0.009736,0.009736,0.009736
10,483.894,1.5845,1.22826,1.23761,0.702,0.55769,0.62954,0.30223,0.32474,1.59283,1.372,1.26406,0.009703,0.009703,0.009703
11,532.126,1.56816,1.20987,1.22559,0.74445,0.63506,0.71741,0.37717,0.38467,1.53929,1.2294,1.25408,0.00967,0.00967,0.00967
12,580.296,1.56966,1.19057,1.23035,0.72951,0.6373,0.70081,0.35919,0.37185,1.59108,1.25396,1.30297,0.009637,0.009637,0.009637
13,628.439,1.56964,1.17821,1.22138,0.71621,0.6046,0.66776,0.34487,0.35508,1.56113,1.30138,1.26338,0.009604,0.009604,0.009604
14,676.234,1.54972,1.17001,1.22203,0.73282,0.65129,0.71582,0.37667,0.38456,1.55072,1.1706,1.28403,0.009571,0.009571,0.009571
