epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.6701,1.87027,2.57231,1.43776,0.5968,0.4941,0.51523,0.21521,0.25214,1.72023,1.79279,1.43664,0.00331921,0.00331921,0.00331921
2,103.599,1.72716,1.6566,1.33941,0.64971,0.53112,0.57453,0.26305,0.29067,1.68096,1.64363,1.37904,0.00663059,0.00663059,0.00663059
3,154.977,1.72389,1.56335,1.34048,0.67388,0.51466,0.57076,0.24492,0.28467,1.66046,1.7024,1.39757,0.00991997,0.00991997,0.00991997
4,205.711,1.72208,1.52255,1.33919,0.66494,0.52882,0.56534,0.21177,0.26523,1.74959,1.56552,1.42455,0.009901,0.009901,0.009901
5,255.814,1.68655,1.44174,1.32021,0.69227,0.60336,0.64584,0.29891,0.32961,1.60069,1.45531,1.35557,0.009868,0.009868,0.009868
6,305.56,1.65836,1.39716,1.31073,0.63772,0.49998,0.54627,0.23551,0.26953,1.7838,1.5836,1.46315,0.009835,0.009835,0.009835
7,355.89,1.64488,1.34413,1.29594,0.70465,0.60879,0.66977,0.31217,0.34553,1.62626,1.33615,1.3567,0.009802,0.009802,0.009802
8,406.075,1.62254,1.31017,1.28561,0.68957,0.58333,0.64047,0.30476,0.33133,1.60432,1.35926,1.33475,0.009769,0.009769,0.009769
9,455.948,1.60815,1.2692,1.27819,0.70246,0.6238,0.6834,0.35536,0.36343,1.59183,1.30227,1.32919,0.009736,0.009736,0.009736
10,506.327,1.59286,1.2342,1.2776,0.73094,0.6174,0.69468,0.3696,0.37539,1.53896,1.25016,1.31443,0.009703,0.009703,0.009703
11,557.274,1.57889,1.21726,1.26806,0.72466,0.63292,0.70543,0.36202,0.37484,1.54929,1.25734,1.31886,0.00967,0.00967,0.00967
12,607.054,1.57878,1.19241,1.27025,0.73158,0.65648,0.72248,0.37841,0.38845,1.53794,1.20335,1.31808,0.009637,0.009637,0.009637
13,658.352,1.58185,1.17681,1.25966,0.71922,0.66527,0.71749,0.35927,0.37933,1.55231,1.24731,1.30704,0.009604,0.009604,0.009604
14,710.892,1.56168,1.16762,1.25641,0.74726,0.63214,0.71535,0.36549,0.37868,1.59314,1.19893,1.33653,0.009571,0.009571,0.009571
15,766.739,1.555,1.15434,1.25261,0.74271,0.64197,0.71175,0.37844,0.38709,1.57573,1.15717,1.32458,0.009538,0.009538,0.009538
16,820.187,1.54692,1.13144,1.26254,0.74522,0.68467,0.74743,0.40219,0.40922,1.5029,1.12893,1.29365,0.009505,0.009505,0.009505
17,874.932,1.54105,1.12539,1.24456,0.77522,0.67137,0.75471,0.40398,0.41175,1.52198,1.10501,1.31054,0.009472,0.009472,0.009472
18,928.592,1.53293,1.09629,1.24896,0.74879,0.67813,0.75134,0.42089,0.4154,1.52971,1.10223,1.30984,0.009439,0.009439,0.009439
19,982.282,1.52919,1.08317,1.23993,0.78824,0.69156,0.78055,0.44701,0.43714,1.50383,1.03068,1.2939,0.009406,0.009406,0.009406
20,1033.53,1.52521,1.08541,1.24037,0.76405,0.68463,0.76591,0.42702,0.42307,1.51965,1.06918,1.29927,0.009373,0.009373,0.009373
21,1084.16,1.52469,1.0782,1.24073,0.78074,0.67379,0.75717,0.42771,0.42065,1.49261,1.08295,1.28729,0.00934,0.00934,0.00934
22,1134.97,1.51892,1.05551,1.23733,0.76075,0.6504,0.72994,0.38494,0.39522,1.5534,1.13352,1.32828,0.009307,0.009307,0.009307
23,1185.25,1.50504,1.04231,1.22812,0.76227,0.64424,0.7262,0.39846,0.39851,1.5327,1.16167,1.30742,0.009274,0.009274,0.009274
24,1235.29,1.50093,1.0331,1.22995,0.76977,0.69305,0.76648,0.43753,0.42627,1.50893,1.06607,1.29735,0.009241,0.009241,0.009241
25,1285.28,1.49573,1.02,1.22989,0.79094,0.69203,0.78004,0.46023,0.44055,1.47369,1.01672,1.27108,0.009208,0.009208,0.009208
