epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9646,1.88523,3.07526,1.44003,0.51541,0.36524,0.38482,0.13924,0.18047,1.85568,2.22018,1.49237,0.00331019,0.00331019,0.00331019
2,76.9218,1.7681,1.87652,1.3715,0.5009,0.35811,0.36937,0.1378,0.17328,1.93945,2.11397,1.60152,0.00662159,0.00662159,0.00662159
3,114.915,1.76926,1.74238,1.37904,0.55272,0.38711,0.40771,0.14871,0.19102,1.88212,2.01372,1.52533,0.009911,0.009911,0.009911
4,152.558,1.76034,1.68186,1.35338,0.51419,0.39437,0.39955,0.13426,0.18318,1.98701,1.99128,1.55288,0.009901,0.009901,0.009901
5,189.726,1.7309,1.59516,1.34873,0.64516,0.48796,0.52426,0.21615,0.25437,1.73576,1.74672,1.42126,0.009868,0.009868,0.009868
6,226.795,1.70559,1.49935,1.3347,0.60714,0.40374,0.40862,0.15043,0.18916,1.94166,1.84495,1.56529,0.009835,0.009835,0.009835
7,263.911,1.69416,1.47529,1.32748,0.64352,0.49435,0.53728,0.24257,0.26979,1.68837,1.59432,1.38001,0.009802,0.009802,0.009802
8,301.14,1.67038,1.42254,1.31383,0.6298,0.47926,0.50424,0.21328,0.24701,1.75804,1.93102,1.42662,0.009769,0.009769,0.009769
9,337.859,1.66393,1.40004,1.31472,0.63301,0.35353,0.3959,0.18092,0.20045,1.79404,1.92314,1.45513,0.009736,0.009736,0.009736
10,374.86,1.6578,1.35547,1.31126,0.69401,0.55239,0.61194,0.26795,0.3075,1.67034,1.58248,1.3736,0.009703,0.009703,0.009703
11,412.43,1.64846,1.33895,1.30296,0.67941,0.47674,0.52603,0.2321,0.26379,1.74464,1.562,1.41567,0.00967,0.00967,0.00967
12,449.955,1.63397,1.32991,1.29757,0.69362,0.57873,0.62432,0.29259,0.31984,1.62934,1.35968,1.33721,0.009637,0.009637,0.009637
13,488.24,1.62797,1.30199,1.29748,0.67342,0.61287,0.64166,0.31566,0.3347,1.6202,1.39883,1.34728,0.009604,0.009604,0.009604
14,525.484,1.63311,1.29904,1.29407,0.69065,0.5448,0.59136,0.27745,0.30267,1.6658,1.36016,1.37,0.009571,0.009571,0.009571
15,562.959,1.6237,1.27997,1.2936,0.70072,0.569,0.6246,0.29994,0.32517,1.64175,1.31639,1.34772,0.009538,0.009538,0.009538
16,600.263,1.61656,1.2653,1.28564,0.74127,0.58869,0.65693,0.32455,0.34298,1.58461,1.28324,1.33134,0.009505,0.009505,0.009505
17,636.949,1.6026,1.24787,1.27618,0.72252,0.53448,0.61452,0.29535,0.32011,1.62372,1.34061,1.3359,0.009472,0.009472,0.009472
18,674.237,1.59312,1.22955,1.2669,0.73301,0.61308,0.67826,0.35272,0.36341,1.5794,1.21234,1.32568,0.009439,0.009439,0.009439
19,711.235,1.58456,1.21715,1.27224,0.70597,0.56248,0.60703,0.28804,0.31105,1.65657,1.37681,1.3737,0.009406,0.009406,0.009406
20,748.27,1.57463,1.19687,1.25673,0.69712,0.60679,0.64699,0.32922,0.34114,1.61321,1.20622,1.35394,0.009373,0.009373,0.009373
21,785.425,1.57431,1.17874,1.26106,0.7388,0.62095,0.67189,0.33932,0.35519,1.61328,1.19119,1.34774,0.00934,0.00934,0.00934
22,822.552,1.56871,1.16917,1.25298,0.71713,0.54919,0.61667,0.30661,0.32466,1.66094,1.28937,1.37908,0.009307,0.009307,0.009307
23,859.921,1.56718,1.15175,1.26201,0.72894,0.60201,0.67315,0.35955,0.36423,1.56211,1.18919,1.31326,0.009274,0.009274,0.009274
24,897.025,1.57135,1.15375,1.26084,0.74633,0.64301,0.70379,0.37363,0.38088,1.54575,1.172,1.28817,0.009241,0.009241,0.009241
25,934.235,1.55152,1.13964,1.24963,0.73709,0.60913,0.67603,0.35345,0.36324,1.58996,1.15815,1.33145,0.009208,0.009208,0.009208
26,971.671,1.55579,1.13731,1.25148,0.74425,0.63777,0.7019,0.37323,0.38074,1.57662,1.12018,1.3291,0.009175,0.009175,0.009175
27,1010.05,1.55469,1.12982,1.23894,0.74776,0.63594,0.69438,0.3644,0.37391,1.58189,1.11189,1.33771,0.009142,0.009142,0.009142
28,1047.56,1.53598,1.11442,1.23316,0.75197,0.63874,0.69948,0.3699,0.3745,1.5684,1.13817,1.32118,0.009109,0.009109,0.009109
29,1085.79,1.54792,1.10654,1.24918,0.75641,0.62082,0.68226,0.36367,0.36878,1.59867,1.17103,1.34617,0.009076,0.009076,0.009076
30,1125.54,1.53606,1.08721,1.23419,0.70168,0.58887,0.63921,0.30417,0.33244,1.66867,1.28572,1.38428,0.009043,0.009043,0.009043
31,1163.11,1.54535,1.09302,1.23421,0.77031,0.64406,0.70986,0.37835,0.3852,1.57726,1.0794,1.32749,0.00901,0.00901,0.00901
32,1202.33,1.53514,1.07248,1.23371,0.75185,0.65477,0.71306,0.39177,0.38987,1.54949,1.0852,1.30154,0.008977,0.008977,0.008977
33,1240.52,1.53413,1.08038,1.23378,0.75559,0.64878,0.70783,0.38946,0.38874,1.54948,1.07558,1.3016,0.008944,0.008944,0.008944
34,1278.18,1.52331,1.06997,1.2245,0.74893,0.61713,0.68812,0.37326,0.37414,1.54833,1.13373,1.30409,0.008911,0.008911,0.008911
35,1316.06,1.51506,1.05989,1.22447,0.76575,0.63417,0.70874,0.37971,0.38442,1.5721,1.07379,1.31589,0.008878,0.008878,0.008878
36,1353.76,1.52468,1.06406,1.23538,0.74684,0.66729,0.71604,0.37362,0.38313,1.56951,1.07804,1.3117,0.008845,0.008845,0.008845
37,1391.18,1.50687,1.04181,1.22253,0.75601,0.65486,0.71517,0.38177,0.38847,1.55828,1.08595,1.30734,0.008812,0.008812,0.008812
38,1428.94,1.5033,1.03344,1.22457,0.76016,0.62793,0.70266,0.38755,0.38376,1.55598,1.10615,1.30247,0.008779,0.008779,0.008779
39,1465.89,1.49951,1.02337,1.22124,0.73629,0.66913,0.71897,0.3745,0.38669,1.58881,1.07441,1.33179,0.008746,0.008746,0.008746
40,1503.46,1.5064,1.0096,1.22885,0.75129,0.63028,0.69877,0.37107,0.37756,1.56363,1.09143,1.30176,0.008713,0.008713,0.008713
41,1540.75,1.49862,1.0094,1.22707,0.7552,0.65161,0.71839,0.40462,0.39601,1.55464,1.06219,1.30728,0.00868,0.00868,0.00868
42,1578.25,1.49257,1.00698,1.22119,0.74785,0.66708,0.71631,0.38388,0.38848,1.57629,1.03601,1.33039,0.008647,0.008647,0.008647
43,1615.62,1.49768,1.019,1.21498,0.76667,0.68004,0.74474,0.41865,0.41232,1.53438,1.01112,1.30605,0.008614,0.008614,0.008614
44,1652.77,1.47728,0.98922,1.20808,0.77059,0.65785,0.72666,0.39607,0.40065,1.5491,1.03565,1.31152,0.008581,0.008581,0.008581
45,1690.21,1.47572,0.99113,1.21169,0.77651,0.65925,0.72653,0.42004,0.40609,1.52777,1.01917,1.30057,0.008548,0.008548,0.008548
46,1727.82,1.48376,0.98836,1.21481,0.77779,0.65462,0.72879,0.40588,0.40486,1.53358,1.03185,1.29966,0.008515,0.008515,0.008515
47,1764.94,1.47125,0.97026,1.19689,0.77303,0.66424,0.73314,0.40964,0.40471,1.55327,1.01801,1.31186,0.008482,0.008482,0.008482
48,1802.82,1.46852,0.973,1.2128,0.78331,0.62749,0.71475,0.3802,0.38669,1.61567,1.06768,1.34293,0.008449,0.008449,0.008449
49,1839.81,1.46553,0.97023,1.21293,0.76961,0.65601,0.72435,0.40328,0.39783,1.55535,1.01951,1.3168,0.008416,0.008416,0.008416
50,1877.01,1.46298,0.95519,1.20544,0.75963,0.674,0.74251,0.41483,0.41201,1.54357,0.99527,1.30165,0.008383,0.008383,0.008383
51,1914.42,1.46507,0.96182,1.20066,0.75391,0.68297,0.73463,0.42026,0.41005,1.53395,1.01617,1.29896,0.00835,0.00835,0.00835
52,1951.49,1.44825,0.94362,1.20578,0.77759,0.66698,0.7383,0.4123,0.40828,1.55239,1.00564,1.30875,0.008317,0.008317,0.008317
53,1989.32,1.45752,0.94647,1.20252,0.76689,0.6732,0.73856,0.41043,0.40957,1.55075,0.98787,1.31757,0.008284,0.008284,0.008284
54,2026.52,1.45094,0.93946,1.20262,0.78951,0.68632,0.75098,0.42947,0.41807,1.51931,0.97554,1.29073,0.008251,0.008251,0.008251
55,2064.05,1.46008,0.95309,1.19443,0.76938,0.65491,0.7215,0.40834,0.39795,1.56135,1.04739,1.31939,0.008218,0.008218,0.008218
56,2101.95,1.44983,0.93972,1.19671,0.78393,0.68271,0.75327,0.42983,0.41861,1.5476,0.9783,1.31891,0.008185,0.008185,0.008185
57,2139.31,1.43213,0.92859,1.19451,0.79364,0.67727,0.74952,0.43408,0.42383,1.50918,0.97341,1.28073,0.008152,0.008152,0.008152
58,2176.71,1.43312,0.92512,1.18984,0.77095,0.69774,0.75496,0.4255,0.42261,1.51054,0.9683,1.28927,0.008119,0.008119,0.008119
59,2214.04,1.4338,0.92219,1.19141,0.77149,0.68097,0.75109,0.42272,0.41908,1.53909,0.95453,1.31718,0.008086,0.008086,0.008086
60,2251.37,1.43108,0.91767,1.18852,0.76398,0.70315,0.75155,0.41902,0.41529,1.54289,0.96026,1.3096,0.008053,0.008053,0.008053
61,2288.65,1.4306,0.91826,1.18588,0.77008,0.67611,0.74258,0.41572,0.41303,1.54946,0.99167,1.31138,0.00802,0.00802,0.00802
62,2325.92,1.43347,0.9162,1.18233,0.77544,0.69249,0.75648,0.43577,0.42542,1.52642,0.95497,1.29662,0.007987,0.007987,0.007987
63,2363.65,1.41783,0.8986,1.18541,0.7777,0.6931,0.75427,0.42561,0.42099,1.52421,0.96483,1.29917,0.007954,0.007954,0.007954
64,2406.47,1.40105,0.88404,1.18138,0.78464,0.68679,0.75737,0.43227,0.42272,1.5413,0.95971,1.30548,0.007921,0.007921,0.007921
65,2451,1.41601,0.89365,1.18999,0.782,0.66215,0.73334,0.41538,0.40712,1.56165,1.00616,1.32114,0.007888,0.007888,0.007888
66,2496.14,1.40545,0.87458,1.17756,0.76967,0.70343,0.75586,0.44191,0.42485,1.52159,0.94179,1.29776,0.007855,0.007855,0.007855
67,2538.95,1.4048,0.8756,1.17095,0.77708,0.69759,0.7583,0.42272,0.42034,1.54935,0.94065,1.32542,0.007822,0.007822,0.007822
68,2583.21,1.40848,0.88055,1.17611,0.79026,0.70082,0.76671,0.44722,0.43411,1.52528,0.92198,1.30338,0.007789,0.007789,0.007789
69,2626.96,1.39187,0.86331,1.16243,0.7946,0.68704,0.75863,0.43095,0.42659,1.53192,0.93922,1.30261,0.007756,0.007756,0.007756
70,2668.82,1.39331,0.87099,1.16886,0.7898,0.7025,0.76278,0.44398,0.43114,1.53186,0.92646,1.30729,0.007723,0.007723,0.007723
71,2714.16,1.38202,0.85388,1.16757,0.79129,0.71291,0.77471,0.44622,0.43685,1.51197,0.90513,1.28875,0.00769,0.00769,0.00769
72,2756.14,1.38794,0.85686,1.16126,0.76566,0.70839,0.76045,0.44299,0.42844,1.53115,0.93077,1.30243,0.007657,0.007657,0.007657
73,2798.81,1.39272,0.8635,1.16738,0.79756,0.67016,0.75318,0.43415,0.42519,1.5309,0.96661,1.30101,0.007624,0.007624,0.007624
74,2842.28,1.3891,0.85639,1.17215,0.77613,0.69218,0.7564,0.43422,0.4255,1.5391,0.92871,1.31756,0.007591,0.007591,0.007591
75,2884.01,1.39119,0.85571,1.16598,0.77731,0.7141,0.77067,0.45096,0.43193,1.52721,0.91503,1.30282,0.007558,0.007558,0.007558
76,2927.14,1.36981,0.84143,1.16049,0.79029,0.70524,0.77036,0.44817,0.43486,1.53516,0.89292,1.31296,0.007525,0.007525,0.007525
77,2967.32,1.36533,0.82772,1.16114,0.78655,0.69821,0.76281,0.43994,0.4279,1.54253,0.92842,1.31253,0.007492,0.007492,0.007492
78,3032.21,1.3754,0.83703,1.16323,0.75573,0.58572,0.65598,0.3379,0.35346,1.67346,1.27365,1.38489,0.007459,0.007459,0.007459
79,3098.2,1.36929,0.83545,1.15971,0.80278,0.67386,0.75611,0.43401,0.42401,1.54408,0.94772,1.30982,0.007426,0.007426,0.007426
80,3146.18,1.36468,0.82823,1.15211,0.76216,0.70664,0.75843,0.43629,0.42836,1.52226,0.92714,1.30144,0.007393,0.007393,0.007393
