epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.152,1.87974,3.32044,1.36265,0.38643,0.35019,0.35112,0.13696,0.16919,1.74618,2.1912,1.30606,0.00331019,0.00331019,0.00331019
2,178.956,1.76004,1.92089,1.28965,0.59465,0.49371,0.51857,0.21692,0.255,1.68696,1.81942,1.27782,0.00662159,0.00662159,0.00662159
3,243.422,1.75104,1.75973,1.29238,0.56931,0.42927,0.43781,0.17819,0.21131,1.73456,2.13033,1.3345,0.009911,0.009911,0.009911
4,315.465,1.74916,1.68735,1.27947,0.62582,0.46792,0.48621,0.20316,0.23795,1.71905,1.80312,1.3215,0.009901,0.009901,0.009901
5,420.733,1.72367,1.59715,1.27365,0.63374,0.55656,0.5771,0.23212,0.27939,1.67128,1.78552,1.28956,0.009868,0.009868,0.009868
6,507.182,1.69545,1.51164,1.26349,0.53947,0.33569,0.35651,0.14355,0.17085,1.95066,2.03292,1.50478,0.009835,0.009835,0.009835
7,573.625,1.67761,1.48309,1.25816,0.62821,0.47442,0.51338,0.21635,0.25183,1.70557,1.9311,1.30991,0.009802,0.009802,0.009802
8,632.478,1.67041,1.44396,1.25073,0.63373,0.50896,0.53869,0.26216,0.27643,1.65762,1.54594,1.29308,0.009769,0.009769,0.009769
9,702.343,1.65854,1.40441,1.25547,0.63079,0.48244,0.52715,0.24055,0.26679,1.71307,1.60696,1.3444,0.009736,0.009736,0.009736
10,815.138,1.64944,1.37109,1.25257,0.71902,0.53275,0.59302,0.2724,0.30111,1.64408,1.42088,1.27618,0.009703,0.009703,0.009703
11,895.589,1.63328,1.34008,1.23177,0.71256,0.53603,0.595,0.28703,0.30629,1.63403,1.41148,1.28481,0.00967,0.00967,0.00967
12,955.901,1.6236,1.3216,1.23663,0.60998,0.47219,0.50868,0.2448,0.26241,1.67113,1.59639,1.32396,0.009637,0.009637,0.009637
13,1002.27,1.61288,1.29004,1.22759,0.69289,0.5903,0.63329,0.30569,0.32695,1.60707,1.37731,1.25798,0.009604,0.009604,0.009604
14,1108.77,1.61788,1.29521,1.22372,0.7227,0.59422,0.65107,0.32683,0.34345,1.57714,1.28174,1.25946,0.009571,0.009571,0.009571
15,1183.2,1.6154,1.28994,1.22707,0.70211,0.60436,0.64705,0.32272,0.33702,1.58351,1.38585,1.25036,0.009538,0.009538,0.009538
16,1278.66,1.60453,1.25549,1.22011,0.75133,0.60451,0.67295,0.32195,0.34946,1.59301,1.25234,1.24308,0.009505,0.009505,0.009505
17,1329.45,1.58857,1.23394,1.21227,0.72685,0.59614,0.65821,0.31815,0.34332,1.63027,1.27272,1.27141,0.009472,0.009472,0.009472
18,1388.79,1.58312,1.21587,1.20719,0.71822,0.59116,0.64904,0.3256,0.34169,1.57246,1.27567,1.2579,0.009439,0.009439,0.009439
19,1485.33,1.57352,1.21106,1.21166,0.71502,0.54617,0.60956,0.32673,0.33072,1.58503,1.35736,1.25436,0.009406,0.009406,0.009406
20,1589.81,1.56318,1.19018,1.19917,0.75583,0.60535,0.67142,0.33996,0.3558,1.59404,1.23784,1.26122,0.009373,0.009373,0.009373
21,1655.67,1.56211,1.16688,1.20308,0.72841,0.61435,0.67381,0.32711,0.35453,1.56963,1.24846,1.23279,0.00934,0.00934,0.00934
22,1713.35,1.56702,1.17234,1.19969,0.73253,0.61193,0.67604,0.33968,0.35784,1.59766,1.18507,1.2763,0.009307,0.009307,0.009307
23,1794.16,1.55826,1.1558,1.2002,0.69009,0.57771,0.63008,0.3126,0.33155,1.61206,1.29522,1.26725,0.009274,0.009274,0.009274
24,1864.45,1.55974,1.15224,1.20145,0.77948,0.61667,0.69519,0.3672,0.37499,1.54238,1.17961,1.21852,0.009241,0.009241,0.009241
25,1981.86,1.54814,1.13314,1.19841,0.74001,0.59931,0.67264,0.36185,0.36543,1.55455,1.17423,1.23592,0.009208,0.009208,0.009208
26,2042.41,1.54472,1.11484,1.1894,0.74484,0.62927,0.68909,0.3341,0.35977,1.61635,1.16507,1.27392,0.009175,0.009175,0.009175
27,2113.85,1.54611,1.11353,1.19152,0.73378,0.6254,0.68365,0.35296,0.36512,1.5821,1.17909,1.2458,0.009142,0.009142,0.009142
28,2191.79,1.53924,1.11316,1.18919,0.75327,0.64147,0.7038,0.36885,0.37861,1.58624,1.1399,1.25757,0.009109,0.009109,0.009109
29,2308.75,1.54879,1.11858,1.19521,0.761,0.62263,0.69148,0.35297,0.37127,1.59939,1.15742,1.27036,0.009076,0.009076,0.009076
30,2389.47,1.52991,1.08674,1.18172,0.75412,0.62727,0.69839,0.38444,0.3813,1.54822,1.16389,1.23737,0.009043,0.009043,0.009043
31,2446.99,1.53324,1.08515,1.17843,0.73749,0.61438,0.67285,0.35389,0.36377,1.56949,1.17297,1.23734,0.00901,0.00901,0.00901
32,2504.74,1.5272,1.06675,1.1804,0.76212,0.65046,0.71661,0.39155,0.39342,1.5234,1.09689,1.22417,0.008977,0.008977,0.008977
33,2622.79,1.5207,1.07637,1.17675,0.74941,0.63567,0.7084,0.39733,0.39316,1.51282,1.10356,1.2074,0.008944,0.008944,0.008944
34,2709.98,1.51876,1.07059,1.17363,0.7617,0.6165,0.69852,0.3735,0.38117,1.54959,1.15348,1.226,0.008911,0.008911,0.008911
35,2778.09,1.50035,1.05789,1.17077,0.77358,0.62645,0.70442,0.3588,0.37406,1.6187,1.12089,1.27017,0.008878,0.008878,0.008878
