epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.273,1.90085,3.05086,1.41609,0.41083,0.31063,0.32457,0.11527,0.1521,1.8407,2.28195,1.43068,0.00331019,0.00331019,0.00331019
2,129.5,1.77394,1.88308,1.32502,0.54029,0.39867,0.40652,0.14715,0.18759,1.90984,2.19737,1.5115,0.00662159,0.00662159,0.00662159
3,226.596,1.76563,1.75267,1.33856,0.62812,0.4281,0.47134,0.18393,0.22485,1.7853,1.98817,1.40134,0.009911,0.009911,0.009911
4,312.471,1.76459,1.69584,1.32573,0.45538,0.31899,0.316,0.10283,0.14281,1.931,2.23909,1.4928,0.009901,0.009901,0.009901
5,400.375,1.73649,1.60501,1.32548,0.66672,0.49442,0.53784,0.21788,0.25995,1.73319,1.63499,1.38911,0.009868,0.009868,0.009868
6,457.949,1.7178,1.52015,1.31298,0.60664,0.49802,0.51784,0.21227,0.25064,1.82579,1.59386,1.45662,0.009835,0.009835,0.009835
7,501.784,1.69955,1.48052,1.30038,0.60679,0.51858,0.5303,0.2308,0.26567,1.6736,1.55385,1.34487,0.009802,0.009802,0.009802
8,616.909,1.6727,1.42598,1.28399,0.67554,0.54069,0.58614,0.27105,0.2996,1.63233,1.47433,1.31647,0.009769,0.009769,0.009769
9,699.532,1.66925,1.41371,1.29393,0.65472,0.51915,0.55856,0.24488,0.28156,1.69949,1.5399,1.3532,0.009736,0.009736,0.009736
10,787.631,1.65839,1.36302,1.28361,0.69954,0.5663,0.61442,0.29466,0.31605,1.62657,1.40548,1.32249,0.009703,0.009703,0.009703
11,833.465,1.64621,1.3494,1.27559,0.70773,0.55611,0.61751,0.30176,0.32161,1.61519,1.4051,1.31831,0.00967,0.00967,0.00967
12,901.076,1.63518,1.33349,1.27083,0.65202,0.52442,0.56381,0.25315,0.28384,1.66064,1.48794,1.3336,0.009637,0.009637,0.009637
