epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.8037,5.09806,5.05728,4.19658,0.00224,0.00799,0.00074,0.00014,0.00026,5.05277,7.4253,4.38111,0.00332176,0.00332176,0.00332176
2,152.587,3.72268,3.88527,3.2449,0.34193,0.08431,0.06989,0.01388,0.02744,2.71011,3.54874,2.35585,0.00663313,0.00663313,0.00663313
3,229.314,2.52775,2.65836,2.05098,0.90438,0.131,0.14189,0.03789,0.05962,2.28067,2.84577,1.87201,0.0099225,0.0099225,0.0099225
4,304.379,2.28055,2.37467,1.7799,0.36371,0.18452,0.19356,0.05598,0.08265,2.14437,2.30332,1.7581,0.009901,0.009901,0.009901
5,379.878,2.13415,2.12588,1.6644,0.65442,0.26928,0.29869,0.08887,0.13031,2.00568,2.02,1.66673,0.009868,0.009868,0.009868
6,455.219,2.05565,1.97564,1.60393,0.43193,0.31819,0.30415,0.09084,0.13313,1.99017,1.96256,1.66549,0.009835,0.009835,0.009835
7,531.461,1.99334,1.86266,1.55206,0.42892,0.35423,0.35208,0.12003,0.16193,1.87791,1.89057,1.55014,0.009802,0.009802,0.009802
8,607.213,1.95464,1.80496,1.54031,0.62927,0.34804,0.36955,0.0995,0.15787,1.90623,1.82296,1.53958,0.009769,0.009769,0.009769
9,682.943,1.92166,1.75141,1.51275,0.51333,0.3984,0.40412,0.14135,0.18567,1.82658,1.72222,1.50376,0.009736,0.009736,0.009736
10,758.473,1.89243,1.713,1.4935,0.49805,0.4173,0.4315,0.15309,0.20124,1.81333,1.65617,1.50654,0.009703,0.009703,0.009703
11,833.255,1.87149,1.66787,1.48796,0.68727,0.36656,0.42315,0.16005,0.20141,1.78711,1.6968,1.48905,0.00967,0.00967,0.00967
12,908.532,1.85223,1.6388,1.46985,0.54341,0.43505,0.45857,0.16827,0.21672,1.74681,1.62994,1.46269,0.009637,0.009637,0.009637
13,983.116,1.82959,1.61582,1.46099,0.54837,0.44704,0.46193,0.17506,0.21905,1.76587,1.58682,1.47199,0.009604,0.009604,0.009604
