epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.1645,1.83722,3.13151,1.37914,0.51088,0.33054,0.34956,0.13518,0.16431,1.90489,2.49947,1.59696,0.00331921,0.00331921,0.00331921
2,121.53,1.70833,1.90716,1.3166,0.64452,0.53919,0.58,0.27175,0.29594,1.63338,1.9054,1.34456,0.00663059,0.00663059,0.00663059
3,179.21,1.7093,1.77024,1.31348,0.58431,0.46067,0.47932,0.19521,0.23054,1.79161,2.12076,1.45547,0.00991997,0.00991997,0.00991997
4,237.056,1.71215,1.72107,1.3108,0.61607,0.46592,0.51164,0.18506,0.23907,1.79939,2.00004,1.42219,0.009901,0.009901,0.009901
5,294.63,1.67413,1.62697,1.29083,0.67791,0.54096,0.59677,0.2665,0.30058,1.65607,1.78783,1.35102,0.009868,0.009868,0.009868
6,352.359,1.65307,1.57518,1.28757,0.68659,0.55572,0.62888,0.29492,0.32061,1.68106,1.65829,1.37972,0.009835,0.009835,0.009835
7,408.468,1.64034,1.50929,1.27527,0.69803,0.61325,0.67188,0.32887,0.35096,1.61655,1.51396,1.34125,0.009802,0.009802,0.009802
8,468.156,1.61608,1.47803,1.26567,0.66986,0.51567,0.56188,0.23514,0.27495,1.75475,1.73387,1.4274,0.009769,0.009769,0.009769
9,529.879,1.60321,1.42789,1.25915,0.70363,0.58106,0.64796,0.32707,0.34335,1.62003,1.54094,1.34325,0.009736,0.009736,0.009736
10,587.16,1.59063,1.39512,1.25655,0.72725,0.64912,0.71328,0.37718,0.38419,1.53273,1.42937,1.2868,0.009703,0.009703,0.009703
11,644.421,1.5744,1.37531,1.24763,0.71029,0.63272,0.70649,0.3633,0.37507,1.57613,1.38963,1.32165,0.00967,0.00967,0.00967
12,701.525,1.57806,1.34503,1.25649,0.7415,0.65336,0.72443,0.38843,0.39046,1.53994,1.35216,1.29491,0.009637,0.009637,0.009637
13,758.756,1.57483,1.33469,1.24158,0.74549,0.64928,0.72168,0.37025,0.38445,1.569,1.34323,1.28781,0.009604,0.009604,0.009604
14,816.239,1.55284,1.32138,1.24052,0.74524,0.67125,0.74407,0.41192,0.40848,1.51641,1.26085,1.26678,0.009571,0.009571,0.009571
15,874.307,1.5519,1.30188,1.23655,0.74112,0.63667,0.71121,0.38275,0.38356,1.5428,1.3395,1.26929,0.009538,0.009538,0.009538
16,931.888,1.54407,1.26856,1.24413,0.75733,0.68368,0.75892,0.4308,0.42199,1.49431,1.25233,1.26117,0.009505,0.009505,0.009505
17,989.65,1.53847,1.26724,1.22568,0.76872,0.68632,0.76119,0.41628,0.41769,1.53337,1.20739,1.29726,0.009472,0.009472,0.009472
18,1047.39,1.53138,1.23368,1.23544,0.75439,0.69512,0.76275,0.42949,0.42139,1.52955,1.2235,1.30098,0.009439,0.009439,0.009439
19,1103.52,1.52575,1.22195,1.22748,0.78705,0.70143,0.77473,0.43352,0.42757,1.53299,1.18796,1.30607,0.009406,0.009406,0.009406
20,1162.15,1.52632,1.22262,1.22875,0.79057,0.67615,0.76549,0.42526,0.41889,1.51184,1.23255,1.28117,0.009373,0.009373,0.009373
21,1225.57,1.52473,1.22282,1.22777,0.79194,0.68009,0.75968,0.42736,0.41907,1.51397,1.24199,1.28223,0.00934,0.00934,0.00934
22,1284.02,1.51479,1.19443,1.2251,0.74906,0.65956,0.74233,0.41124,0.40834,1.54081,1.26618,1.3011,0.009307,0.009307,0.009307
23,1341.32,1.50431,1.17306,1.21833,0.77385,0.64874,0.72694,0.39103,0.39356,1.57993,1.2521,1.31982,0.009274,0.009274,0.009274
24,1398.76,1.50379,1.16826,1.21939,0.78726,0.68509,0.76427,0.4265,0.42199,1.51074,1.20245,1.28315,0.009241,0.009241,0.009241
25,1456.25,1.49583,1.16261,1.21496,0.77803,0.67691,0.75922,0.42383,0.41961,1.54805,1.21039,1.29903,0.009208,0.009208,0.009208
26,1513.17,1.49419,1.13883,1.22485,0.78366,0.69025,0.77672,0.45171,0.43862,1.47125,1.18029,1.25387,0.009175,0.009175,0.009175
27,1571.09,1.49051,1.13884,1.21558,0.79461,0.70283,0.78536,0.45285,0.44108,1.48956,1.14569,1.26657,0.009142,0.009142,0.009142
28,1628.17,1.48649,1.13992,1.21375,0.77816,0.67853,0.76215,0.44637,0.42889,1.5268,1.18687,1.29363,0.009109,0.009109,0.009109
29,1686.01,1.47445,1.13202,1.20544,0.77763,0.70305,0.77177,0.44097,0.43097,1.54432,1.11053,1.30981,0.009076,0.009076,0.009076
30,1743.96,1.48042,1.11564,1.21482,0.78188,0.69805,0.77681,0.4321,0.42901,1.50959,1.15846,1.2845,0.009043,0.009043,0.009043
31,1799.63,1.47871,1.11695,1.21495,0.77812,0.69258,0.7763,0.42667,0.43079,1.50634,1.16583,1.28336,0.00901,0.00901,0.00901
32,1859.29,1.47318,1.10739,1.2013,0.79679,0.68989,0.78111,0.44422,0.43592,1.52034,1.16943,1.2825,0.008977,0.008977,0.008977
33,1921.01,1.46308,1.08921,1.20251,0.80755,0.69993,0.79073,0.45861,0.44741,1.47759,1.13327,1.27,0.008944,0.008944,0.008944
34,1978.88,1.46874,1.08466,1.20259,0.7878,0.70963,0.77875,0.45905,0.44149,1.49729,1.13166,1.27874,0.008911,0.008911,0.008911
35,2036.56,1.45937,1.07963,1.20627,0.7937,0.70602,0.78757,0.45142,0.44059,1.51222,1.10886,1.28739,0.008878,0.008878,0.008878
36,2094,1.47206,1.08521,1.20583,0.79091,0.72692,0.79886,0.46692,0.45253,1.49579,1.10295,1.28346,0.008845,0.008845,0.008845
37,2151.04,1.45898,1.07498,1.20367,0.79024,0.72618,0.79245,0.47033,0.45231,1.4919,1.10445,1.28584,0.008812,0.008812,0.008812
38,2208.29,1.46199,1.07176,1.20449,0.79383,0.70905,0.78889,0.46055,0.44779,1.49185,1.09876,1.27746,0.008779,0.008779,0.008779
39,2265.76,1.44416,1.06075,1.20153,0.81074,0.73177,0.81182,0.48349,0.46299,1.48983,1.04877,1.29542,0.008746,0.008746,0.008746
40,2323.53,1.44604,1.05215,1.20399,0.78614,0.73263,0.80485,0.49405,0.46793,1.45112,1.03899,1.26187,0.008713,0.008713,0.008713
41,2381.14,1.4483,1.0441,1.203,0.79839,0.71379,0.79602,0.47079,0.45323,1.50186,1.07079,1.29635,0.00868,0.00868,0.00868
42,2438.49,1.44439,1.04657,1.20126,0.80701,0.72047,0.80903,0.49092,0.46627,1.46143,1.05703,1.25864,0.008647,0.008647,0.008647
43,2494.94,1.43629,1.0281,1.19744,0.81091,0.7126,0.80155,0.4874,0.46046,1.48045,1.07574,1.2766,0.008614,0.008614,0.008614
44,2555.11,1.44299,1.03998,1.19763,0.80296,0.71247,0.79616,0.46701,0.45259,1.49047,1.06209,1.28757,0.008581,0.008581,0.008581
45,2617.64,1.43062,1.02066,1.19755,0.81341,0.73326,0.81103,0.48975,0.46243,1.48257,1.03311,1.27738,0.008548,0.008548,0.008548
46,2674.41,1.42655,1.02194,1.19015,0.81456,0.73913,0.81683,0.49866,0.47191,1.46515,1.01995,1.2673,0.008515,0.008515,0.008515
47,2731.93,1.42114,1.01388,1.18859,0.79788,0.72328,0.80289,0.48548,0.4628,1.47922,1.06557,1.2715,0.008482,0.008482,0.008482
