epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.1295,1.85308,2.71197,1.40864,0.63332,0.48632,0.51023,0.19865,0.24123,1.7702,1.83542,1.47993,0.00331921,0.00331921,0.00331921
2,121.073,1.71945,1.65629,1.33639,0.60308,0.55297,0.57365,0.22498,0.2755,1.7233,1.69972,1.38839,0.00663059,0.00663059,0.00663059
3,177.223,1.72418,1.55223,1.34137,0.61485,0.5585,0.55966,0.21832,0.26848,1.67704,2.13248,1.37779,0.00991997,0.00991997,0.00991997
4,233.594,1.72389,1.50184,1.3396,0.66977,0.57528,0.63063,0.24662,0.3029,1.70518,1.68494,1.40976,0.009901,0.009901,0.009901
5,290.002,1.68925,1.42843,1.31823,0.67743,0.57601,0.61813,0.27009,0.30717,1.62889,1.49454,1.36485,0.009868,0.009868,0.009868
6,345.71,1.66158,1.39715,1.31398,0.68867,0.58514,0.64797,0.2936,0.32791,1.65502,1.49455,1.37535,0.009835,0.009835,0.009835
7,401.938,1.65332,1.33109,1.30181,0.65677,0.51295,0.57651,0.26177,0.29374,1.72717,1.53728,1.43705,0.009802,0.009802,0.009802
8,458.282,1.62628,1.29297,1.29159,0.69675,0.57596,0.6324,0.29631,0.32703,1.63107,1.39751,1.34545,0.009769,0.009769,0.009769
9,514.857,1.61439,1.25959,1.28207,0.71264,0.59793,0.67115,0.33149,0.35204,1.62679,1.35142,1.33953,0.009736,0.009736,0.009736
10,571.448,1.59882,1.22342,1.28123,0.70622,0.64617,0.69708,0.36438,0.37127,1.57333,1.24212,1.32217,0.009703,0.009703,0.009703
11,625.856,1.58742,1.21204,1.2722,0.70035,0.6026,0.66305,0.32985,0.34903,1.60041,1.33471,1.34428,0.00967,0.00967,0.00967
12,684.684,1.57955,1.18376,1.2678,0.7205,0.65857,0.7187,0.3561,0.37919,1.6105,1.16672,1.35714,0.009637,0.009637,0.009637
13,748.348,1.5825,1.16017,1.26204,0.72529,0.62922,0.70426,0.36727,0.37872,1.58347,1.21444,1.32682,0.009604,0.009604,0.009604
14,804.921,1.56032,1.1607,1.2574,0.73371,0.65057,0.71438,0.37782,0.38429,1.57005,1.17606,1.33706,0.009571,0.009571,0.009571
15,861.521,1.55939,1.14983,1.25751,0.75342,0.63591,0.71793,0.38479,0.38929,1.55725,1.16194,1.321,0.009538,0.009538,0.009538
16,917.815,1.54958,1.11303,1.2621,0.73647,0.67687,0.7507,0.43063,0.41901,1.51672,1.08368,1.30251,0.009505,0.009505,0.009505
17,974.697,1.54592,1.11724,1.24307,0.75344,0.66876,0.7421,0.41058,0.40883,1.51602,1.11828,1.30802,0.009472,0.009472,0.009472
18,1031.16,1.53773,1.08928,1.24969,0.74454,0.68926,0.74848,0.40397,0.40727,1.56524,1.08575,1.32517,0.009439,0.009439,0.009439
19,1088.87,1.5372,1.07999,1.24146,0.7715,0.66695,0.75074,0.41461,0.41443,1.56366,1.08207,1.33266,0.009406,0.009406,0.009406
20,1145.23,1.5297,1.07324,1.24295,0.76116,0.64151,0.72734,0.38105,0.39311,1.59273,1.12324,1.34932,0.009373,0.009373,0.009373
21,1201.43,1.53157,1.06721,1.24267,0.77676,0.67835,0.75935,0.43599,0.42392,1.48968,1.09347,1.27964,0.00934,0.00934,0.00934
22,1258.57,1.52015,1.04411,1.23612,0.75932,0.67876,0.75286,0.40418,0.40907,1.53099,1.09491,1.30528,0.009307,0.009307,0.009307
23,1313.67,1.51065,1.03291,1.23094,0.75699,0.66195,0.74011,0.39754,0.40637,1.52129,1.10817,1.29046,0.009274,0.009274,0.009274
24,1372.5,1.51228,1.02805,1.23595,0.76784,0.70067,0.76935,0.44674,0.43369,1.49105,1.02302,1.28052,0.009241,0.009241,0.009241
25,1434.32,1.50081,1.02348,1.22689,0.77339,0.673,0.75981,0.42331,0.42125,1.54079,1.04018,1.30695,0.009208,0.009208,0.009208
26,1490.43,1.49731,0.99966,1.23433,0.77919,0.68418,0.76745,0.42675,0.42599,1.51496,1.02028,1.30055,0.009175,0.009175,0.009175
27,1546.67,1.49856,1.00037,1.22928,0.80143,0.6831,0.7739,0.42914,0.42813,1.52026,0.99066,1.30579,0.009142,0.009142,0.009142
28,1602.34,1.49611,0.99407,1.22901,0.78572,0.7037,0.78519,0.46242,0.44426,1.4829,1.01092,1.28037,0.009109,0.009109,0.009109
29,1658.82,1.48048,0.99524,1.22251,0.78018,0.71591,0.78839,0.45957,0.44423,1.51535,0.9798,1.30101,0.009076,0.009076,0.009076
30,1715.29,1.48149,0.98663,1.22207,0.76947,0.68262,0.75709,0.41866,0.41627,1.5525,1.05064,1.32283,0.009043,0.009043,0.009043
31,1773.41,1.48061,0.98036,1.22001,0.80054,0.70347,0.77704,0.43808,0.43255,1.52238,0.9839,1.29358,0.00901,0.00901,0.00901
32,1831.43,1.47747,0.97305,1.21298,0.79319,0.72371,0.79891,0.45957,0.44877,1.4765,0.96188,1.27133,0.008977,0.008977,0.008977
33,1887.58,1.46775,0.95808,1.21219,0.80478,0.68454,0.77744,0.44778,0.43688,1.49137,1.01171,1.27929,0.008944,0.008944,0.008944
34,1943.93,1.47182,0.95205,1.21142,0.80308,0.71006,0.79755,0.47765,0.45684,1.47277,0.94819,1.26263,0.008911,0.008911,0.008911
35,1999.01,1.45857,0.9451,1.20956,0.7826,0.69026,0.77739,0.45048,0.43816,1.49907,0.97814,1.28667,0.008878,0.008878,0.008878
36,2058.06,1.4664,0.94359,1.20644,0.79229,0.72948,0.79848,0.4674,0.45269,1.49122,0.93896,1.28425,0.008845,0.008845,0.008845
37,2121.34,1.46213,0.94478,1.20916,0.7918,0.73073,0.79709,0.45701,0.44956,1.50076,0.94189,1.2941,0.008812,0.008812,0.008812
