epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.8515,1.85869,3.15124,1.4246,0.62709,0.45666,0.48566,0.19529,0.23365,1.7594,2.11042,1.47873,0.00331921,0.00331921,0.00331921
2,152.976,1.72537,1.90422,1.35007,0.67488,0.51363,0.57957,0.2571,0.28954,1.68641,1.94043,1.39808,0.00663059,0.00663059,0.00663059
3,229.061,1.7289,1.75991,1.36422,0.64413,0.43623,0.47865,0.19887,0.23342,1.80992,2.09501,1.48921,0.00991997,0.00991997,0.00991997
4,304.135,1.72421,1.7136,1.35249,0.63665,0.54228,0.59506,0.23638,0.28845,1.69926,1.83373,1.41577,0.009901,0.009901,0.009901
5,380.125,1.68612,1.62437,1.33164,0.65558,0.54012,0.59774,0.25089,0.29208,1.69926,1.73334,1.4197,0.009868,0.009868,0.009868
6,455.882,1.66736,1.60224,1.33158,0.6836,0.5123,0.56662,0.24253,0.27787,1.71496,1.78512,1.40818,0.009835,0.009835,0.009835
7,531.986,1.65234,1.52121,1.31815,0.72892,0.56935,0.64825,0.3033,0.3304,1.65154,1.59706,1.41042,0.009802,0.009802,0.009802
8,607.723,1.63715,1.48283,1.31123,0.72349,0.57113,0.66076,0.31821,0.34234,1.59432,1.51233,1.34555,0.009769,0.009769,0.009769
9,682.218,1.62232,1.44992,1.30372,0.76478,0.57407,0.67614,0.32698,0.34988,1.60399,1.52579,1.36564,0.009736,0.009736,0.009736
10,756.653,1.59912,1.41028,1.29497,0.74064,0.64553,0.71591,0.36497,0.37966,1.55545,1.37009,1.33794,0.009703,0.009703,0.009703
11,832.325,1.58908,1.39352,1.28709,0.71562,0.6367,0.70928,0.37992,0.38471,1.54095,1.40675,1.32259,0.00967,0.00967,0.00967
12,907.864,1.5837,1.35971,1.28651,0.70928,0.67119,0.72073,0.37686,0.38724,1.55591,1.42622,1.33699,0.009637,0.009637,0.009637
13,983.543,1.58783,1.33599,1.27697,0.75286,0.63264,0.71592,0.36376,0.38245,1.57129,1.34126,1.34598,0.009604,0.009604,0.009604
14,1059.98,1.56621,1.34217,1.27744,0.74339,0.66556,0.73648,0.37854,0.39039,1.58345,1.30154,1.34999,0.009571,0.009571,0.009571
15,1136.2,1.56723,1.30912,1.27717,0.73219,0.63817,0.7132,0.37838,0.38606,1.5827,1.30817,1.34431,0.009538,0.009538,0.009538
16,1211.03,1.55509,1.27594,1.27802,0.75124,0.67381,0.75107,0.40988,0.41386,1.53729,1.24626,1.32402,0.009505,0.009505,0.009505
17,1285.96,1.55133,1.28816,1.25423,0.752,0.66069,0.72913,0.39056,0.3952,1.58239,1.27281,1.36594,0.009472,0.009472,0.009472
18,1360.9,1.53968,1.24905,1.26239,0.7587,0.67281,0.75181,0.41792,0.41409,1.5448,1.22274,1.3351,0.009439,0.009439,0.009439
19,1436.32,1.53493,1.24438,1.2497,0.7872,0.66815,0.75879,0.42172,0.41845,1.52375,1.22169,1.3231,0.009406,0.009406,0.009406
20,1512.26,1.52882,1.23226,1.25065,0.76759,0.67552,0.76412,0.43006,0.42633,1.50304,1.21047,1.30287,0.009373,0.009373,0.009373
21,1587.73,1.53121,1.22106,1.25199,0.77285,0.65922,0.74474,0.42644,0.41608,1.52774,1.25812,1.31751,0.00934,0.00934,0.00934
22,1663.85,1.52385,1.20342,1.24727,0.78302,0.69409,0.77467,0.43924,0.43161,1.51361,1.18709,1.29984,0.009307,0.009307,0.009307
23,1740.02,1.51592,1.19107,1.24122,0.78974,0.67738,0.7674,0.43809,0.43158,1.49303,1.18096,1.29594,0.009274,0.009274,0.009274
24,1811.75,1.5055,1.17649,1.24135,0.79206,0.67999,0.76406,0.42204,0.42349,1.53661,1.19533,1.32415,0.009241,0.009241,0.009241
25,1886.44,1.50238,1.15617,1.23973,0.77151,0.675,0.75693,0.4267,0.41882,1.51392,1.2111,1.29173,0.009208,0.009208,0.009208
26,1960.98,1.50094,1.15321,1.24585,0.78616,0.68536,0.77367,0.44293,0.43139,1.50249,1.17859,1.29806,0.009175,0.009175,0.009175
27,2036.48,1.50023,1.14902,1.24129,0.79014,0.66865,0.75417,0.39931,0.40756,1.5954,1.19862,1.36165,0.009142,0.009142,0.009142
28,2116.8,1.49827,1.15185,1.23812,0.78082,0.69606,0.77837,0.46271,0.44151,1.50469,1.1515,1.31202,0.009109,0.009109,0.009109
29,2194.53,1.48941,1.1442,1.23797,0.79157,0.71111,0.79076,0.46135,0.44666,1.51827,1.11122,1.31307,0.009076,0.009076,0.009076
30,2270.9,1.48523,1.13145,1.23253,0.78422,0.70497,0.78023,0.45087,0.43948,1.48809,1.12444,1.29542,0.009043,0.009043,0.009043
31,2342.89,1.48218,1.13242,1.22795,0.78409,0.71803,0.78795,0.46525,0.44576,1.51136,1.10474,1.30631,0.00901,0.00901,0.00901
32,2428.1,1.47887,1.11701,1.2235,0.78715,0.71407,0.78903,0.45946,0.44487,1.49437,1.11941,1.29906,0.008977,0.008977,0.008977
33,2525.17,1.47173,1.10161,1.22324,0.78607,0.70144,0.77983,0.44873,0.43831,1.49024,1.16422,1.30362,0.008944,0.008944,0.008944
34,2624.44,1.47918,1.09785,1.22414,0.7932,0.69641,0.78299,0.47407,0.44847,1.50367,1.14173,1.29923,0.008911,0.008911,0.008911
35,2720.97,1.46472,1.08858,1.22273,0.78392,0.70217,0.77561,0.44056,0.43361,1.50846,1.12268,1.30478,0.008878,0.008878,0.008878
36,2823.37,1.47206,1.09274,1.21938,0.79164,0.72386,0.79724,0.48405,0.45666,1.47456,1.11109,1.2865,0.008845,0.008845,0.008845
37,2928.6,1.46173,1.08049,1.21747,0.80188,0.72355,0.80214,0.47085,0.45446,1.4839,1.096,1.29359,0.008812,0.008812,0.008812
38,3027.87,1.46189,1.06922,1.22184,0.79691,0.73293,0.80283,0.46659,0.45295,1.50424,1.06668,1.30349,0.008779,0.008779,0.008779
39,3134.4,1.45292,1.06389,1.21881,0.79599,0.71563,0.78852,0.45956,0.4445,1.52818,1.12188,1.32169,0.008746,0.008746,0.008746
