epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.5032,2.28724,3.27329,1.61157,0.48106,0.35676,0.37546,0.11998,0.1692,1.8175,2.12408,1.44085,0.00331921,0.00331921,0.00331921
2,153.786,1.78404,1.83529,1.33066,0.55365,0.46485,0.47219,0.20074,0.23296,1.7255,1.8457,1.38158,0.00663059,0.00663059,0.00663059
3,242.524,1.75732,1.65877,1.32898,0.57372,0.4118,0.43102,0.15288,0.19648,1.80705,1.90703,1.38843,0.00991997,0.00991997,0.00991997
4,327.51,1.74257,1.58699,1.31662,0.62007,0.46978,0.50352,0.17743,0.23266,1.80282,1.78306,1.43315,0.009901,0.009901,0.009901
5,416.255,1.69724,1.48439,1.29225,0.69494,0.50926,0.57703,0.22184,0.27765,1.71477,1.58151,1.37187,0.009868,0.009868,0.009868
6,504.114,1.67419,1.43182,1.28569,0.68013,0.58701,0.63422,0.26752,0.31149,1.66454,1.38706,1.32895,0.009835,0.009835,0.009835
7,595.097,1.65412,1.366,1.26933,0.69334,0.59872,0.65303,0.28646,0.32704,1.6714,1.37797,1.35179,0.009802,0.009802,0.009802
8,680.039,1.63392,1.32656,1.25776,0.72853,0.61831,0.67351,0.31321,0.34504,1.59805,1.3098,1.30488,0.009769,0.009769,0.009769
9,770.299,1.61588,1.2864,1.25081,0.69,0.59337,0.64843,0.32964,0.34288,1.58675,1.34849,1.29074,0.009736,0.009736,0.009736
10,869.541,1.59606,1.25172,1.24461,0.71702,0.60999,0.67669,0.33892,0.35511,1.56786,1.28624,1.28994,0.009703,0.009703,0.009703
11,965.272,1.58536,1.22824,1.23708,0.70745,0.59288,0.66156,0.33138,0.34692,1.56798,1.28294,1.27835,0.00967,0.00967,0.00967
12,1059.07,1.58365,1.2068,1.24205,0.70299,0.66328,0.7138,0.35913,0.37879,1.55808,1.23251,1.28996,0.009637,0.009637,0.009637
13,1153.14,1.58789,1.18097,1.23753,0.72568,0.66391,0.73016,0.40048,0.39849,1.50547,1.1317,1.24225,0.009604,0.009604,0.009604
14,1247.92,1.55735,1.17283,1.2326,0.7437,0.64171,0.71673,0.36899,0.38462,1.56452,1.16159,1.29422,0.009571,0.009571,0.009571
15,1344.61,1.55791,1.15177,1.2302,0.72214,0.66845,0.72527,0.37491,0.39036,1.52133,1.16085,1.26777,0.009538,0.009538,0.009538
16,1442.21,1.54533,1.13123,1.23624,0.76448,0.62417,0.70607,0.37106,0.37852,1.56476,1.18897,1.30319,0.009505,0.009505,0.009505
17,1534.32,1.54597,1.12333,1.2216,0.714,0.63635,0.70476,0.37998,0.38244,1.53383,1.17954,1.27267,0.009472,0.009472,0.009472
18,1626.09,1.53746,1.10366,1.22813,0.74063,0.66823,0.73454,0.40301,0.4008,1.53696,1.12411,1.28757,0.009439,0.009439,0.009439
19,1716.75,1.53158,1.08412,1.2152,0.74898,0.69608,0.76269,0.4322,0.42501,1.4995,1.06772,1.25842,0.009406,0.009406,0.009406
20,1800.22,1.52426,1.0774,1.21868,0.76342,0.65244,0.73139,0.39823,0.40174,1.50329,1.11343,1.27856,0.009373,0.009373,0.009373
21,1888.47,1.52163,1.07394,1.21671,0.74837,0.6814,0.74816,0.42517,0.41333,1.50868,1.05059,1.27044,0.00934,0.00934,0.00934
22,1978.26,1.51887,1.04972,1.21696,0.75891,0.69764,0.76222,0.41184,0.418,1.5141,1.07234,1.27821,0.009307,0.009307,0.009307
23,2068.73,1.51165,1.03575,1.21017,0.77548,0.67343,0.74559,0.40504,0.4062,1.58977,1.0252,1.32682,0.009274,0.009274,0.009274
24,2157.08,1.50576,1.02624,1.21021,0.7843,0.68585,0.76558,0.42107,0.42608,1.49194,1.05876,1.25544,0.009241,0.009241,0.009241
25,2247.36,1.49357,1.01524,1.20611,0.76822,0.67025,0.75182,0.42778,0.41844,1.49966,1.07954,1.25506,0.009208,0.009208,0.009208
26,2336.88,1.4972,1.00944,1.21498,0.75742,0.7066,0.7759,0.45112,0.43728,1.46568,1.03808,1.24716,0.009175,0.009175,0.009175
27,2426.05,1.49576,1.02167,1.20584,0.78051,0.69648,0.77113,0.42385,0.42539,1.51133,0.99548,1.28054,0.009142,0.009142,0.009142
28,2515.13,1.49563,1.00597,1.21041,0.76917,0.68806,0.76561,0.41138,0.41965,1.52685,1.05496,1.26644,0.009109,0.009109,0.009109
29,2602.7,1.48071,1.00445,1.2019,0.76913,0.71576,0.77975,0.46191,0.44114,1.49515,1.01778,1.26252,0.009076,0.009076,0.009076
30,2692.83,1.48042,0.98467,1.20957,0.77413,0.71312,0.78275,0.45083,0.43903,1.48043,0.97609,1.26596,0.009043,0.009043,0.009043
31,2782.45,1.4785,0.98049,1.20386,0.78629,0.69601,0.78153,0.45029,0.44031,1.50793,0.97819,1.26983,0.00901,0.00901,0.00901
32,2870.77,1.47371,0.96996,1.1955,0.7622,0.68784,0.75024,0.40638,0.40712,1.58601,1.03335,1.32099,0.008977,0.008977,0.008977
33,2955.46,1.47101,0.96367,1.19883,0.79237,0.70899,0.78742,0.4585,0.44594,1.48242,0.97765,1.25771,0.008944,0.008944,0.008944
34,3045.3,1.47262,0.96008,1.19589,0.78521,0.71369,0.78421,0.47387,0.44981,1.46579,0.97199,1.24419,0.008911,0.008911,0.008911
35,3134.47,1.46161,0.96392,1.19497,0.7956,0.70665,0.78393,0.44581,0.43578,1.53802,0.96823,1.29543,0.008878,0.008878,0.008878
36,3223.19,1.46974,0.95822,1.18998,0.78285,0.7304,0.79795,0.47274,0.45255,1.47566,0.96351,1.25785,0.008845,0.008845,0.008845
37,3310.97,1.45827,0.95333,1.19171,0.79539,0.72086,0.79628,0.47427,0.45332,1.47879,0.93606,1.25317,0.008812,0.008812,0.008812
38,3400.81,1.45808,0.94134,1.19341,0.80271,0.71495,0.79382,0.45626,0.44558,1.49682,0.94274,1.27182,0.008779,0.008779,0.008779
39,3492.01,1.44726,0.93232,1.19377,0.80987,0.71954,0.79729,0.45839,0.44709,1.5115,0.91592,1.28532,0.008746,0.008746,0.008746
40,3580.85,1.45247,0.92873,1.19566,0.78126,0.72221,0.79224,0.47716,0.45221,1.4794,0.92294,1.26583,0.008713,0.008713,0.008713
41,3667.64,1.45512,0.92994,1.19512,0.80131,0.73353,0.80527,0.48997,0.46356,1.47325,0.91173,1.26098,0.00868,0.00868,0.00868
42,3751.2,1.4418,0.92347,1.18894,0.78425,0.69326,0.77177,0.45258,0.43761,1.50588,1.01826,1.27141,0.008647,0.008647,0.008647
43,3840.4,1.42952,0.90316,1.18216,0.79289,0.73781,0.80805,0.48945,0.46384,1.48411,0.91049,1.26916,0.008614,0.008614,0.008614
44,3929.47,1.43831,0.91579,1.18494,0.80319,0.73561,0.8043,0.48581,0.46069,1.48343,0.90155,1.27813,0.008581,0.008581,0.008581
45,4018.01,1.42238,0.89454,1.18609,0.81415,0.72219,0.80858,0.49922,0.46746,1.47325,0.89861,1.26481,0.008548,0.008548,0.008548
46,4102.36,1.43066,0.89446,1.18275,0.81198,0.73803,0.81014,0.47945,0.46029,1.49206,0.89462,1.27618,0.008515,0.008515,0.008515
47,4189.8,1.4235,0.8891,1.18326,0.80425,0.73108,0.80937,0.50512,0.47046,1.45167,0.90534,1.24184,0.008482,0.008482,0.008482
48,4279.28,1.4229,0.89378,1.17656,0.80626,0.73214,0.8102,0.49874,0.4691,1.46629,0.9056,1.25842,0.008449,0.008449,0.008449
49,4368.13,1.42358,0.88533,1.17713,0.81529,0.72831,0.80872,0.5026,0.47169,1.45513,0.8922,1.24935,0.008416,0.008416,0.008416
50,4458.06,1.41154,0.86879,1.1742,0.80085,0.74244,0.81663,0.49681,0.4744,1.46104,0.89243,1.25725,0.008383,0.008383,0.008383
51,4541.5,1.40974,0.87225,1.17027,0.81878,0.71075,0.80417,0.50473,0.46998,1.45539,0.93238,1.24583,0.00835,0.00835,0.00835
52,4632.71,1.40779,0.86362,1.17418,0.81063,0.73894,0.81594,0.49809,0.4702,1.47072,0.88514,1.26874,0.008317,0.008317,0.008317
53,4721.33,1.40865,0.85827,1.17084,0.81297,0.73238,0.81212,0.50683,0.47294,1.45128,0.88821,1.24959,0.008284,0.008284,0.008284
54,4812.88,1.40032,0.85732,1.17297,0.80198,0.73458,0.80538,0.47773,0.46018,1.49557,0.92359,1.27285,0.008251,0.008251,0.008251
55,4878.74,1.40605,0.85907,1.17395,0.82055,0.7309,0.81541,0.51874,0.4784,1.4441,0.87986,1.24695,0.008218,0.008218,0.008218
56,4939.11,1.40318,0.84734,1.17,0.81465,0.74875,0.82094,0.52769,0.48333,1.44537,0.85216,1.25432,0.008185,0.008185,0.008185
57,5000.27,1.40249,0.85012,1.16555,0.82644,0.73133,0.81886,0.51574,0.48183,1.44802,0.85996,1.25012,0.008152,0.008152,0.008152
58,5061.83,1.39477,0.84952,1.17831,0.81897,0.747,0.82185,0.52495,0.48331,1.43812,0.87849,1.23752,0.008119,0.008119,0.008119
59,5122.82,1.38943,0.83077,1.16689,0.81971,0.75264,0.82418,0.52047,0.4828,1.45211,0.85132,1.25694,0.008086,0.008086,0.008086
60,5185.2,1.39182,0.83251,1.167,0.80642,0.75108,0.82193,0.51807,0.48182,1.44894,0.88444,1.24086,0.008053,0.008053,0.008053
61,5248.38,1.38658,0.82861,1.17121,0.82321,0.73798,0.82181,0.51573,0.48047,1.46384,0.86446,1.26441,0.00802,0.00802,0.00802
62,5312.35,1.39225,0.84112,1.16576,0.8227,0.752,0.82537,0.53337,0.48655,1.42991,0.8473,1.23931,0.007987,0.007987,0.007987
63,5375.96,1.3737,0.82743,1.16606,0.81905,0.74238,0.82194,0.52698,0.48332,1.45317,0.86149,1.2518,0.007954,0.007954,0.007954
64,5439.86,1.37372,0.82187,1.16458,0.82417,0.75202,0.82944,0.53699,0.48985,1.43381,0.84809,1.24647,0.007921,0.007921,0.007921
65,5503.37,1.37607,0.81587,1.16598,0.81235,0.75636,0.82472,0.51476,0.48222,1.45715,0.85165,1.26079,0.007888,0.007888,0.007888
66,5568.53,1.36981,0.81468,1.15573,0.79991,0.76963,0.82667,0.52392,0.48797,1.43494,0.85289,1.24357,0.007855,0.007855,0.007855
67,5630.49,1.37352,0.8072,1.16,0.82582,0.74407,0.82637,0.52866,0.48609,1.44715,0.86174,1.25777,0.007822,0.007822,0.007822
68,5696.59,1.37365,0.81408,1.15885,0.81613,0.75764,0.8286,0.52883,0.48858,1.43941,0.85124,1.25097,0.007789,0.007789,0.007789
69,5760.06,1.35987,0.79677,1.1534,0.82292,0.75322,0.8265,0.50945,0.4792,1.46343,0.88128,1.24882,0.007756,0.007756,0.007756
70,5824.5,1.35804,0.79042,1.15195,0.8177,0.75819,0.82886,0.52647,0.49073,1.44179,0.85126,1.24077,0.007723,0.007723,0.007723
71,5888.36,1.3582,0.79105,1.14991,0.82686,0.75842,0.83096,0.54106,0.49444,1.43901,0.82213,1.25346,0.00769,0.00769,0.00769
72,5952.15,1.36006,0.80058,1.151,0.82151,0.76036,0.83108,0.53394,0.49297,1.44439,0.82942,1.26123,0.007657,0.007657,0.007657
73,6016.33,1.35063,0.78976,1.1481,0.81383,0.76601,0.8344,0.53698,0.49535,1.4328,0.83235,1.24511,0.007624,0.007624,0.007624
