epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1871,2.29615,3.62124,1.59729,0.68772,0.34319,0.36225,0.10769,0.16,1.86118,2.58032,1.45593,0.00331921,0.00331921,0.00331921
2,135.367,1.79242,2.09744,1.33001,0.55888,0.41643,0.44394,0.16154,0.20808,1.83729,2.1546,1.41308,0.00663059,0.00663059,0.00663059
3,202.577,1.75779,1.88864,1.32884,0.49221,0.32651,0.3196,0.10206,0.14081,1.96209,2.48456,1.51114,0.00991997,0.00991997,0.00991997
4,269.523,1.74214,1.79435,1.32825,0.59508,0.42489,0.45835,0.17321,0.21814,1.81818,2.07724,1.46193,0.009901,0.009901,0.009901
5,335.813,1.69332,1.68822,1.30258,0.60867,0.52671,0.54656,0.23071,0.27037,1.70579,1.7906,1.38483,0.009868,0.009868,0.009868
6,401.69,1.67398,1.63098,1.29905,0.6607,0.57469,0.62713,0.25583,0.30608,1.68058,1.70867,1.3741,0.009835,0.009835,0.009835
7,467.454,1.65236,1.55556,1.28557,0.6801,0.58933,0.63208,0.28309,0.31572,1.66151,1.63547,1.40423,0.009802,0.009802,0.009802
8,533.673,1.63314,1.50587,1.28103,0.71118,0.58206,0.65087,0.30994,0.33486,1.59453,1.54635,1.32393,0.009769,0.009769,0.009769
9,599.315,1.61738,1.46621,1.27168,0.73864,0.62003,0.68625,0.32365,0.3513,1.59868,1.53676,1.29918,0.009736,0.009736,0.009736
10,665.104,1.59822,1.42825,1.26316,0.72756,0.6105,0.68495,0.35985,0.36601,1.53987,1.41148,1.28232,0.009703,0.009703,0.009703
11,730.368,1.5844,1.40356,1.26008,0.76875,0.63421,0.72594,0.36752,0.38361,1.54493,1.36654,1.29326,0.00967,0.00967,0.00967
12,795.527,1.58668,1.37867,1.26287,0.72531,0.64179,0.7071,0.35424,0.37316,1.56552,1.4096,1.31405,0.009637,0.009637,0.009637
13,861.096,1.58162,1.35308,1.25,0.71858,0.6529,0.71449,0.35435,0.37455,1.55312,1.39228,1.28523,0.009604,0.009604,0.009604
14,925.854,1.56248,1.35637,1.24882,0.74772,0.65371,0.73486,0.38174,0.39314,1.56201,1.30113,1.30456,0.009571,0.009571,0.009571
15,992.074,1.55735,1.32329,1.24317,0.74068,0.65029,0.72324,0.37683,0.38829,1.54521,1.32309,1.286,0.009538,0.009538,0.009538
16,1052.49,1.54636,1.30467,1.24862,0.73319,0.59033,0.67857,0.34638,0.36117,1.61242,1.40348,1.36506,0.009505,0.009505,0.009505
17,1111.18,1.54199,1.28868,1.23018,0.74827,0.62614,0.71005,0.37201,0.3816,1.54065,1.38241,1.29281,0.009472,0.009472,0.009472
18,1169.48,1.53657,1.25763,1.24302,0.75574,0.67578,0.75374,0.40938,0.41287,1.53789,1.2421,1.29826,0.009439,0.009439,0.009439
19,1229.15,1.53575,1.24762,1.228,0.77329,0.69289,0.77114,0.43807,0.42766,1.51051,1.2472,1.28139,0.009406,0.009406,0.009406
20,1288.27,1.52574,1.24609,1.22763,0.77342,0.63692,0.73672,0.42017,0.40998,1.49571,1.31377,1.28241,0.009373,0.009373,0.009373
21,1345.72,1.5267,1.22898,1.23307,0.75029,0.65582,0.7245,0.38095,0.38981,1.57053,1.31217,1.31002,0.00934,0.00934,0.00934
22,1402.54,1.52224,1.20541,1.23466,0.78013,0.67584,0.76081,0.42421,0.42223,1.50236,1.23038,1.28512,0.009307,0.009307,0.009307
23,1459.54,1.51072,1.19194,1.22019,0.77285,0.69521,0.76987,0.42056,0.42407,1.5149,1.20663,1.26537,0.009274,0.009274,0.009274
24,1516.15,1.51115,1.19381,1.22429,0.78193,0.69856,0.77192,0.44079,0.43266,1.48209,1.17766,1.26166,0.009241,0.009241,0.009241
25,1574.04,1.50376,1.1713,1.2235,0.7725,0.67999,0.7631,0.43445,0.42315,1.51792,1.18211,1.29051,0.009208,0.009208,0.009208
26,1631.49,1.50142,1.16005,1.23206,0.77824,0.69305,0.76836,0.42432,0.42605,1.50981,1.17008,1.28774,0.009175,0.009175,0.009175
27,1687.51,1.49524,1.1555,1.22213,0.78836,0.69685,0.77639,0.44089,0.4303,1.50841,1.15919,1.28638,0.009142,0.009142,0.009142
28,1745.36,1.49234,1.14509,1.22004,0.75116,0.613,0.69259,0.36164,0.37054,1.63301,1.26722,1.39479,0.009109,0.009109,0.009109
29,1804.07,1.48563,1.14364,1.21698,0.77238,0.70467,0.77708,0.44041,0.43144,1.51552,1.14266,1.29979,0.009076,0.009076,0.009076
30,1861.93,1.4836,1.12997,1.21767,0.78729,0.70535,0.78365,0.45165,0.43813,1.48394,1.16598,1.26316,0.009043,0.009043,0.009043
31,1920.63,1.48086,1.13038,1.2146,0.79982,0.70067,0.79023,0.45828,0.44547,1.49183,1.12202,1.2769,0.00901,0.00901,0.00901
32,1980.21,1.48044,1.12603,1.21309,0.78737,0.73157,0.8024,0.46924,0.45285,1.48034,1.09377,1.27468,0.008977,0.008977,0.008977
33,2040.28,1.47048,1.1075,1.20502,0.7956,0.71618,0.79807,0.46882,0.45449,1.47043,1.11254,1.25519,0.008944,0.008944,0.008944
34,2100.36,1.47678,1.09616,1.21031,0.77063,0.71312,0.78545,0.4687,0.44794,1.48332,1.10598,1.26604,0.008911,0.008911,0.008911
35,2159.9,1.46765,1.09634,1.21122,0.77008,0.72232,0.78575,0.44097,0.43809,1.52639,1.12251,1.30236,0.008878,0.008878,0.008878
36,2219.56,1.47855,1.09595,1.20806,0.79997,0.70565,0.78673,0.45931,0.44261,1.51713,1.08746,1.3076,0.008845,0.008845,0.008845
37,2279.33,1.47208,1.09513,1.21095,0.79065,0.71173,0.78773,0.47022,0.44889,1.47838,1.10189,1.26256,0.008812,0.008812,0.008812
38,2339.12,1.46826,1.08123,1.21339,0.78861,0.71333,0.80132,0.46284,0.45188,1.53701,1.05192,1.3101,0.008779,0.008779,0.008779
39,2398.79,1.4588,1.07659,1.20894,0.79787,0.72872,0.80219,0.47945,0.45843,1.4858,1.07131,1.27858,0.008746,0.008746,0.008746
40,2458.61,1.45674,1.06946,1.20627,0.79145,0.72207,0.80269,0.47617,0.45706,1.46818,1.09869,1.26399,0.008713,0.008713,0.008713
41,2517.54,1.45634,1.0626,1.20555,0.79324,0.70548,0.78807,0.47194,0.44915,1.50056,1.08636,1.28938,0.00868,0.00868,0.00868
42,2577.1,1.4508,1.0686,1.20142,0.79834,0.69179,0.78414,0.45604,0.44233,1.49242,1.1137,1.2764,0.008647,0.008647,0.008647
43,2636.15,1.43653,1.03419,1.2,0.80421,0.71906,0.80198,0.48728,0.46039,1.47933,1.07571,1.27582,0.008614,0.008614,0.008614
44,2695.9,1.44399,1.04812,1.1978,0.77759,0.73422,0.7963,0.47577,0.45533,1.50083,1.07919,1.29957,0.008581,0.008581,0.008581
45,2755.09,1.43461,1.03561,1.19842,0.79779,0.7412,0.81194,0.50314,0.47065,1.46175,1.0183,1.27252,0.008548,0.008548,0.008548
46,2815.44,1.43438,1.02854,1.19589,0.80953,0.75115,0.82322,0.49802,0.4728,1.45961,1.04629,1.2668,0.008515,0.008515,0.008515
47,2874.64,1.42619,1.03132,1.19053,0.80075,0.73447,0.81321,0.50463,0.47311,1.44824,1.03962,1.25605,0.008482,0.008482,0.008482
48,2933.79,1.43358,1.03197,1.18923,0.81234,0.73224,0.81271,0.50391,0.47065,1.45986,1.02445,1.26956,0.008449,0.008449,0.008449
49,2993.46,1.42845,1.01498,1.1916,0.80997,0.73719,0.81926,0.51731,0.47828,1.45027,1.02523,1.2549,0.008416,0.008416,0.008416
50,3052.91,1.42216,1.00217,1.18912,0.81643,0.74064,0.8264,0.51953,0.48348,1.44899,0.99178,1.26355,0.008383,0.008383,0.008383
51,3112.27,1.4204,1.00739,1.18609,0.80751,0.75332,0.82304,0.52048,0.48353,1.43353,1.02549,1.24627,0.00835,0.00835,0.00835
52,3171.62,1.41642,0.99449,1.18822,0.80173,0.75105,0.8215,0.52139,0.48299,1.44835,0.98722,1.26503,0.008317,0.008317,0.008317
53,3231.19,1.4207,0.99778,1.18521,0.81218,0.74327,0.82369,0.52139,0.48161,1.44208,1.02632,1.25093,0.008284,0.008284,0.008284
54,3290.26,1.40695,0.9787,1.18808,0.81579,0.74429,0.82456,0.50934,0.47925,1.45734,0.98868,1.26864,0.008251,0.008251,0.008251
55,3349.91,1.412,0.98175,1.19043,0.81073,0.73944,0.81923,0.52143,0.48164,1.44705,1.01087,1.2617,0.008218,0.008218,0.008218
56,3409.33,1.40472,0.98274,1.18066,0.80711,0.75035,0.82447,0.5119,0.4805,1.47406,1.00333,1.28332,0.008185,0.008185,0.008185
57,3468.87,1.40853,0.97783,1.17902,0.82478,0.74866,0.82873,0.51237,0.4783,1.47435,0.98074,1.28288,0.008152,0.008152,0.008152
58,3529.04,1.39817,0.97757,1.18504,0.82493,0.74794,0.82813,0.52914,0.48674,1.45082,0.97326,1.27147,0.008119,0.008119,0.008119
59,3588.23,1.39952,0.95411,1.18439,0.81937,0.74133,0.81974,0.49226,0.47203,1.50851,0.99237,1.3073,0.008086,0.008086,0.008086
60,3647.84,1.39958,0.95751,1.17996,0.82101,0.74753,0.82577,0.52297,0.48675,1.43929,0.99298,1.25964,0.008053,0.008053,0.008053
61,3708.33,1.38686,0.95373,1.18043,0.80142,0.75235,0.82567,0.5151,0.4809,1.47396,0.98448,1.28449,0.00802,0.00802,0.00802
62,3767.97,1.39408,0.96287,1.17596,0.81619,0.7459,0.82389,0.52362,0.4831,1.44919,0.97662,1.26355,0.007987,0.007987,0.007987
63,3828.21,1.38112,0.9526,1.1765,0.80336,0.75443,0.82662,0.53184,0.48762,1.45632,0.96482,1.27013,0.007954,0.007954,0.007954
64,3887.49,1.38598,0.94831,1.18106,0.81469,0.75682,0.82745,0.52218,0.48582,1.4519,0.97879,1.26722,0.007921,0.007921,0.007921
65,3947.24,1.38338,0.93943,1.17659,0.80971,0.75569,0.82689,0.51829,0.48512,1.45561,0.98166,1.26628,0.007888,0.007888,0.007888
66,4007.49,1.37092,0.93306,1.16508,0.79569,0.76062,0.82572,0.51546,0.48018,1.46325,0.97911,1.2767,0.007855,0.007855,0.007855
67,4067.09,1.38325,0.93166,1.17379,0.81584,0.75017,0.83113,0.53393,0.49035,1.45866,0.96645,1.27826,0.007822,0.007822,0.007822
68,4126.1,1.37885,0.93424,1.16999,0.82585,0.75474,0.83235,0.53506,0.49189,1.4481,0.95636,1.26422,0.007789,0.007789,0.007789
69,4185.62,1.36843,0.91358,1.16985,0.82501,0.76359,0.8389,0.5344,0.49537,1.44307,0.94262,1.25905,0.007756,0.007756,0.007756
70,4244.95,1.36647,0.9209,1.16503,0.81923,0.76418,0.83283,0.53769,0.49272,1.44382,0.9552,1.26186,0.007723,0.007723,0.007723
71,4304.82,1.3753,0.9231,1.16884,0.81132,0.75939,0.83208,0.5359,0.49334,1.43945,0.95401,1.26323,0.00769,0.00769,0.00769
72,4364.62,1.36713,0.92342,1.16132,0.80481,0.77223,0.83582,0.53679,0.49623,1.43668,0.95542,1.26295,0.007657,0.007657,0.007657
73,4423.24,1.35619,0.90493,1.16058,0.82071,0.76043,0.83486,0.54151,0.49615,1.44096,0.93872,1.26621,0.007624,0.007624,0.007624
74,4483.04,1.3549,0.90164,1.16309,0.80999,0.76356,0.83289,0.52537,0.49008,1.46215,0.94239,1.28858,0.007591,0.007591,0.007591
75,4542.98,1.36154,0.90257,1.162,0.8232,0.75753,0.83539,0.53246,0.49403,1.45573,0.95026,1.27773,0.007558,0.007558,0.007558
76,4603.27,1.35263,0.8946,1.16133,0.83538,0.7574,0.84012,0.54636,0.50107,1.44301,0.92452,1.26604,0.007525,0.007525,0.007525
77,4662.75,1.35106,0.89413,1.15944,0.8142,0.76857,0.83616,0.54374,0.49904,1.43534,0.92932,1.266,0.007492,0.007492,0.007492
78,4722.25,1.35499,0.8924,1.15987,0.81083,0.7681,0.83995,0.53939,0.50033,1.44597,0.93089,1.27194,0.007459,0.007459,0.007459
79,4782.24,1.3473,0.89547,1.15579,0.82725,0.76288,0.83958,0.54558,0.50204,1.44148,0.92885,1.26445,0.007426,0.007426,0.007426
80,4841.18,1.34734,0.89005,1.15331,0.82343,0.75495,0.83637,0.54499,0.49889,1.44026,0.93542,1.27067,0.007393,0.007393,0.007393
81,4900.1,1.34365,0.88137,1.15283,0.83228,0.74918,0.83769,0.53597,0.49679,1.46183,0.93997,1.2862,0.00736,0.00736,0.00736
82,4959.99,1.34593,0.88101,1.15596,0.82015,0.75802,0.83143,0.53099,0.49441,1.45489,0.92979,1.28369,0.007327,0.007327,0.007327
83,5019.69,1.33636,0.8703,1.15467,0.82807,0.76778,0.83847,0.55062,0.50351,1.43774,0.91526,1.27612,0.007294,0.007294,0.007294
84,5079.34,1.3309,0.87521,1.15642,0.81641,0.77489,0.84164,0.54961,0.50133,1.43872,0.9251,1.26162,0.007261,0.007261,0.007261
85,5138.92,1.33161,0.87007,1.14347,0.82291,0.76861,0.84077,0.5536,0.50408,1.42944,0.91851,1.26147,0.007228,0.007228,0.007228
86,5198.27,1.3235,0.86086,1.14282,0.82851,0.76625,0.84466,0.5518,0.50471,1.43809,0.918,1.26959,0.007195,0.007195,0.007195
87,5257.56,1.33201,0.86536,1.15195,0.8223,0.75733,0.83364,0.53903,0.49769,1.4461,0.94224,1.27863,0.007162,0.007162,0.007162
88,5317.09,1.31575,0.85852,1.15511,0.82735,0.76525,0.83701,0.55288,0.49993,1.44197,0.93398,1.27533,0.007129,0.007129,0.007129
89,5376.48,1.32743,0.855,1.14503,0.82853,0.77007,0.84515,0.55765,0.50614,1.42836,0.90041,1.26656,0.007096,0.007096,0.007096
90,5435.93,1.32256,0.85155,1.14419,0.83542,0.76572,0.84319,0.55073,0.50297,1.44124,0.90488,1.27361,0.007063,0.007063,0.007063
91,5495.17,1.32448,0.85411,1.142,0.82745,0.7707,0.84347,0.56062,0.50599,1.42683,0.90502,1.26702,0.00703,0.00703,0.00703
92,5554.75,1.3219,0.86063,1.14586,0.82914,0.77081,0.84386,0.55832,0.50512,1.43818,0.90893,1.27522,0.006997,0.006997,0.006997
93,5614.85,1.30927,0.84641,1.13622,0.83844,0.77388,0.84425,0.55045,0.50397,1.44134,0.90987,1.27659,0.006964,0.006964,0.006964
94,5673.61,1.30927,0.83546,1.1374,0.83843,0.77396,0.8506,0.55821,0.50934,1.4303,0.90015,1.2678,0.006931,0.006931,0.006931
95,5733.2,1.30317,0.83988,1.13622,0.82491,0.77793,0.84684,0.56459,0.50797,1.43633,0.90305,1.27196,0.006898,0.006898,0.006898
96,5793.05,1.31293,0.84511,1.13771,0.82822,0.76913,0.84353,0.55646,0.50579,1.44174,0.90644,1.27248,0.006865,0.006865,0.006865
97,5852.69,1.31087,0.84334,1.13602,0.8301,0.77221,0.8454,0.561,0.50769,1.43556,0.91423,1.27099,0.006832,0.006832,0.006832
98,5912.09,1.29886,0.82993,1.12863,0.83557,0.77927,0.84346,0.55023,0.50261,1.44557,0.91625,1.27863,0.006799,0.006799,0.006799
99,5971.48,1.29625,0.8223,1.13358,0.8298,0.77706,0.84698,0.55759,0.50905,1.43491,0.89938,1.2723,0.006766,0.006766,0.006766
100,6031.51,1.3005,0.82523,1.12994,0.8385,0.77254,0.84637,0.56219,0.50974,1.44213,0.89451,1.28072,0.006733,0.006733,0.006733
101,6091.24,1.29425,0.82383,1.13162,0.83417,0.77766,0.84824,0.5644,0.50938,1.43386,0.90001,1.27132,0.0067,0.0067,0.0067
102,6150.58,1.29348,0.81894,1.13108,0.82599,0.77917,0.84623,0.56344,0.50955,1.4431,0.8973,1.28303,0.006667,0.006667,0.006667
