epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.056,2.2509,3.07115,1.67361,0.53776,0.38676,0.40996,0.14441,0.18915,1.77472,2.12213,1.47136,0.00331921,0.00331921,0.00331921
2,135.456,1.79747,1.81283,1.37514,0.5693,0.47781,0.50959,0.19573,0.24261,1.76383,1.7708,1.41514,0.00663059,0.00663059,0.00663059
3,200.505,1.76623,1.63986,1.35888,0.61711,0.4688,0.49706,0.16436,0.22453,1.75042,1.89488,1.39183,0.00991997,0.00991997,0.00991997
4,265.566,1.74486,1.5649,1.34031,0.62376,0.5353,0.56746,0.22258,0.27218,1.70428,1.82281,1.41101,0.009901,0.009901,0.009901
5,330.977,1.70842,1.47218,1.32157,0.65016,0.55061,0.58726,0.23564,0.28426,1.72928,1.59711,1.42823,0.009868,0.009868,0.009868
6,396.24,1.68222,1.4235,1.31525,0.65071,0.49744,0.55548,0.24192,0.2759,1.77804,1.61347,1.4192,0.009835,0.009835,0.009835
7,461.669,1.66502,1.36059,1.29661,0.70015,0.59197,0.65927,0.30998,0.33764,1.65059,1.39734,1.37334,0.009802,0.009802,0.009802
8,527.37,1.64364,1.318,1.29057,0.71195,0.59657,0.65931,0.31361,0.33902,1.61295,1.36159,1.35815,0.009769,0.009769,0.009769
9,592.597,1.62941,1.27231,1.28331,0.65182,0.55275,0.60225,0.29765,0.31637,1.64497,1.42286,1.37537,0.009736,0.009736,0.009736
10,657.543,1.60793,1.23719,1.27448,0.69818,0.58672,0.64407,0.32516,0.33849,1.59669,1.36114,1.32354,0.009703,0.009703,0.009703
11,722.123,1.59801,1.22219,1.2689,0.72843,0.62385,0.69467,0.34168,0.36455,1.58786,1.26067,1.30461,0.00967,0.00967,0.00967
12,786.606,1.58804,1.19856,1.26621,0.74782,0.66407,0.72953,0.38692,0.39135,1.57652,1.12007,1.34218,0.009637,0.009637,0.009637
