epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.1893,2.25086,3.40272,1.62404,0.71236,0.38889,0.42196,0.13206,0.19076,1.80094,2.33197,1.43062,0.00331921,0.00331921,0.00331921
2,186.034,1.78468,2.08811,1.33798,0.60046,0.49805,0.53219,0.22011,0.2602,1.68207,1.93894,1.3439,0.00663059,0.00663059,0.00663059
3,269.447,1.75424,1.87719,1.32392,0.64748,0.43494,0.46694,0.1779,0.22027,1.72723,2.22044,1.36903,0.00991997,0.00991997,0.00991997
4,359.399,1.734,1.79393,1.31275,0.64996,0.50507,0.55092,0.19827,0.25792,1.83133,1.88138,1.41413,0.009901,0.009901,0.009901
5,448.81,1.68657,1.68365,1.28891,0.69071,0.5905,0.64632,0.26708,0.31674,1.65123,1.71476,1.32417,0.009868,0.009868,0.009868
6,536.402,1.66948,1.62241,1.28889,0.6909,0.55433,0.62071,0.2739,0.30808,1.65726,1.65061,1.32615,0.009835,0.009835,0.009835
7,625.79,1.64883,1.5527,1.27315,0.69381,0.59199,0.64694,0.31465,0.33729,1.62193,1.53424,1.32766,0.009802,0.009802,0.009802
8,714.104,1.62713,1.50689,1.26292,0.70412,0.60715,0.67032,0.32571,0.34712,1.60612,1.48955,1.30767,0.009769,0.009769,0.009769
9,799.884,1.61447,1.45941,1.25761,0.6948,0.60379,0.65666,0.31774,0.34233,1.58854,1.5225,1.27647,0.009736,0.009736,0.009736
10,887.849,1.59357,1.41525,1.25045,0.7238,0.60292,0.68322,0.35796,0.36463,1.5417,1.4392,1.27417,0.009703,0.009703,0.009703
11,976.231,1.58079,1.39367,1.24194,0.70562,0.6328,0.69636,0.35563,0.37068,1.58891,1.41251,1.31027,0.00967,0.00967,0.00967
12,1070.43,1.5792,1.36955,1.24465,0.73903,0.63426,0.70267,0.37137,0.37632,1.56597,1.34108,1.2895,0.009637,0.009637,0.009637
13,1165.84,1.58288,1.35449,1.23605,0.70367,0.56876,0.64951,0.32273,0.3422,1.58897,1.52906,1.2958,0.009604,0.009604,0.009604
14,1260.54,1.55947,1.34396,1.23645,0.73858,0.6366,0.71313,0.3688,0.38199,1.56858,1.35194,1.29873,0.009571,0.009571,0.009571
