epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7032,1.91015,2.93623,1.46082,0.74582,0.25031,0.27776,0.10092,0.13119,1.98776,2.3367,1.5815,0.00331019,0.00331019,0.00331019
2,76.6159,1.79285,1.85424,1.37524,0.49974,0.29562,0.30236,0.11056,0.13973,2.04468,2.30182,1.64439,0.00662159,0.00662159,0.00662159
3,114.643,1.7826,1.73696,1.37219,0.57357,0.38722,0.40772,0.15149,0.19055,1.86209,1.93307,1.48099,0.009911,0.009911,0.009911
4,152.059,1.77538,1.6815,1.35731,0.45425,0.25828,0.25833,0.09586,0.1217,2.03573,2.51226,1.64345,0.009901,0.009901,0.009901
5,189.493,1.73977,1.57685,1.35316,0.58761,0.5062,0.4996,0.21667,0.2469,1.72134,1.66417,1.42561,0.009868,0.009868,0.009868
6,226.694,1.71145,1.49719,1.33562,0.6421,0.54348,0.56759,0.24438,0.28237,1.68604,1.52079,1.39777,0.009835,0.009835,0.009835
7,264.038,1.69561,1.47919,1.33128,0.6318,0.45076,0.48679,0.22092,0.24418,1.72536,1.88801,1.39303,0.009802,0.009802,0.009802
8,316.32,1.6761,1.41014,1.32002,0.63381,0.38614,0.42555,0.18111,0.21045,1.82698,1.85958,1.47415,0.009769,0.009769,0.009769
9,375.636,1.67267,1.40372,1.32424,0.66997,0.48098,0.53888,0.22172,0.26176,1.81078,1.59794,1.44726,0.009736,0.009736,0.009736
10,430.294,1.65922,1.34818,1.3138,0.6664,0.55297,0.5921,0.26885,0.29997,1.65928,1.39946,1.35212,0.009703,0.009703,0.009703
11,493.32,1.64654,1.33071,1.30093,0.6938,0.56407,0.61967,0.31003,0.32768,1.60723,1.30791,1.33678,0.00967,0.00967,0.00967
12,553.044,1.63693,1.31084,1.29997,0.66874,0.52157,0.57417,0.26771,0.29332,1.65459,1.45743,1.37026,0.009637,0.009637,0.009637
