epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1406,1.91679,3.01106,1.43342,0.65741,0.29678,0.31068,0.1095,0.14406,1.90154,2.32219,1.48373,0.00331019,0.00331019,0.00331019
2,77.29,1.7814,1.88051,1.34053,0.62282,0.45824,0.4939,0.19515,0.23651,1.78217,1.84901,1.42109,0.00662159,0.00662159,0.00662159
3,115.605,1.77353,1.75331,1.34735,0.56368,0.30881,0.33875,0.11009,0.15231,2.01049,2.27367,1.54455,0.009911,0.009911,0.009911
4,153.554,1.75977,1.693,1.32152,0.38627,0.30837,0.27902,0.09392,0.12612,2.12395,2.38901,1.61561,0.009901,0.009901,0.009901
5,191.674,1.72853,1.59123,1.3168,0.5828,0.47085,0.48504,0.19807,0.23452,1.7872,1.73279,1.44467,0.009868,0.009868,0.009868
6,229.287,1.7081,1.50657,1.3049,0.63407,0.4525,0.4873,0.19371,0.23351,1.74464,1.66629,1.39994,0.009835,0.009835,0.009835
7,267.144,1.69412,1.47944,1.29573,0.64485,0.49596,0.53994,0.2188,0.26266,1.71663,1.56052,1.38023,0.009802,0.009802,0.009802
8,305.036,1.67587,1.42956,1.2898,0.65197,0.54264,0.56918,0.23139,0.27858,1.7147,1.53765,1.34695,0.009769,0.009769,0.009769
9,342.019,1.66824,1.41573,1.29446,0.70692,0.55869,0.61789,0.28007,0.31279,1.67824,1.38731,1.33407,0.009736,0.009736,0.009736
10,379.598,1.65464,1.35988,1.28967,0.70198,0.52655,0.58992,0.24422,0.29043,1.6929,1.46431,1.35353,0.009703,0.009703,0.009703
11,417.794,1.64421,1.33598,1.27852,0.70675,0.53137,0.60104,0.28457,0.30974,1.63884,1.41963,1.33871,0.00967,0.00967,0.00967
12,455.093,1.63437,1.32698,1.27555,0.71031,0.57833,0.62988,0.3087,0.3275,1.60681,1.39614,1.30694,0.009637,0.009637,0.009637
13,493.12,1.62352,1.29599,1.27251,0.67789,0.5774,0.61859,0.29332,0.31732,1.65706,1.34449,1.34573,0.009604,0.009604,0.009604
14,530.798,1.62257,1.28459,1.26716,0.66967,0.51677,0.57155,0.26091,0.29175,1.68167,1.44852,1.34136,0.009571,0.009571,0.009571
