epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1786,1.897,3.14197,1.41947,0.73863,0.37515,0.40565,0.16217,0.19409,1.80363,2.08287,1.43794,0.00331019,0.00331019,0.00331019
2,77.2171,1.77918,1.89033,1.35867,0.5863,0.47194,0.49039,0.21772,0.24466,1.68786,1.84934,1.40342,0.00662159,0.00662159,0.00662159
3,115.836,1.77878,1.74679,1.36823,0.52601,0.37038,0.365,0.14142,0.17497,1.92828,2.15492,1.53531,0.009911,0.009911,0.009911
4,154.008,1.76161,1.66445,1.33906,0.53234,0.41451,0.42299,0.15007,0.19368,1.91981,2.00441,1.53565,0.009901,0.009901,0.009901
5,192.004,1.73398,1.58314,1.33741,0.64149,0.44573,0.48378,0.17815,0.22737,1.81027,1.77261,1.43951,0.009868,0.009868,0.009868
6,229.902,1.70564,1.49607,1.32353,0.62533,0.45298,0.48597,0.19809,0.23503,1.74571,1.75152,1.38816,0.009835,0.009835,0.009835
7,267.658,1.69471,1.46571,1.316,0.63336,0.50765,0.54768,0.23471,0.27092,1.69482,1.55213,1.37799,0.009802,0.009802,0.009802
8,304.979,1.67416,1.41422,1.30502,0.67271,0.47676,0.53492,0.23082,0.26671,1.77154,1.61971,1.41799,0.009769,0.009769,0.009769
9,342.113,1.67033,1.41193,1.31106,0.7051,0.51147,0.57631,0.25539,0.28955,1.69284,1.50663,1.36837,0.009736,0.009736,0.009736
10,379.059,1.66409,1.35157,1.3047,0.70796,0.56257,0.61318,0.29366,0.3157,1.65187,1.36867,1.36165,0.009703,0.009703,0.009703
11,416.991,1.64306,1.33142,1.29208,0.71775,0.5672,0.63417,0.29708,0.32581,1.63639,1.33741,1.33476,0.00967,0.00967,0.00967
12,454.324,1.6295,1.31828,1.28486,0.68258,0.56649,0.61051,0.29274,0.31634,1.63556,1.36037,1.34646,0.009637,0.009637,0.009637
13,491.77,1.62653,1.29303,1.28157,0.67445,0.56281,0.60059,0.28645,0.31131,1.62285,1.44463,1.32484,0.009604,0.009604,0.009604
14,528.775,1.62584,1.2819,1.27576,0.67524,0.57428,0.60874,0.30437,0.31834,1.6161,1.34084,1.32989,0.009571,0.009571,0.009571
15,566.724,1.61886,1.27805,1.27713,0.72116,0.56485,0.63099,0.30744,0.33096,1.61902,1.2889,1.32663,0.009538,0.009538,0.009538
16,604.225,1.61098,1.24864,1.27226,0.74001,0.61415,0.67117,0.31702,0.34881,1.66063,1.23325,1.35353,0.009505,0.009505,0.009505
17,641.37,1.60222,1.23243,1.26856,0.73814,0.59237,0.65624,0.33198,0.34573,1.61226,1.25322,1.32685,0.009472,0.009472,0.009472
18,678.647,1.59489,1.2174,1.25797,0.72805,0.59575,0.65188,0.34242,0.35204,1.57526,1.23006,1.33319,0.009439,0.009439,0.009439
19,716.131,1.5807,1.21131,1.26477,0.67465,0.5633,0.60503,0.30948,0.32224,1.6339,1.34929,1.33944,0.009406,0.009406,0.009406
20,753.557,1.5813,1.18227,1.25428,0.72339,0.63253,0.67995,0.33743,0.35682,1.59905,1.16334,1.324,0.009373,0.009373,0.009373
21,790.743,1.57587,1.15891,1.25617,0.72452,0.58801,0.65331,0.31748,0.34038,1.64054,1.21194,1.34307,0.00934,0.00934,0.00934
22,827.76,1.57126,1.16203,1.25185,0.68882,0.6046,0.6576,0.32682,0.34771,1.63161,1.1899,1.34964,0.009307,0.009307,0.009307
23,865.421,1.57161,1.14334,1.25215,0.72144,0.60946,0.66666,0.35161,0.35852,1.58596,1.19632,1.33052,0.009274,0.009274,0.009274
24,902.461,1.56627,1.15115,1.2493,0.73175,0.59165,0.66084,0.35447,0.35709,1.57982,1.24205,1.29832,0.009241,0.009241,0.009241
25,939.696,1.55529,1.13183,1.24768,0.74751,0.62099,0.68831,0.3618,0.36891,1.57886,1.16773,1.29744,0.009208,0.009208,0.009208
26,977.08,1.5531,1.11139,1.24077,0.74844,0.60587,0.68264,0.35267,0.36423,1.604,1.1627,1.32432,0.009175,0.009175,0.009175
27,1013.99,1.55894,1.11906,1.23956,0.75507,0.6308,0.69926,0.37314,0.37919,1.58237,1.13318,1.32813,0.009142,0.009142,0.009142
28,1051.52,1.54355,1.12191,1.2338,0.73505,0.62483,0.68635,0.36592,0.37122,1.578,1.13995,1.30347,0.009109,0.009109,0.009109
29,1089.16,1.55142,1.1156,1.24358,0.75058,0.62218,0.68772,0.36938,0.37093,1.59228,1.20077,1.33506,0.009076,0.009076,0.009076
30,1126.32,1.53917,1.09053,1.23026,0.76881,0.63893,0.71541,0.37927,0.38605,1.56793,1.12333,1.29558,0.009043,0.009043,0.009043
31,1163.65,1.53705,1.08345,1.22598,0.73168,0.6511,0.69728,0.37406,0.37906,1.57024,1.10333,1.31063,0.00901,0.00901,0.00901
32,1201.2,1.5417,1.07068,1.2291,0.75869,0.65641,0.7225,0.40113,0.39549,1.55183,1.06621,1.2981,0.008977,0.008977,0.008977
33,1239.01,1.52876,1.06787,1.22549,0.76626,0.61536,0.68665,0.36416,0.37042,1.59499,1.11741,1.33333,0.008944,0.008944,0.008944
34,1276.7,1.528,1.05887,1.22551,0.74711,0.60946,0.68366,0.36561,0.37036,1.59495,1.15963,1.31529,0.008911,0.008911,0.008911
