epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3927,1.90158,3.06846,1.41504,0.65971,0.18864,0.19203,0.06291,0.08589,2.10202,2.92517,1.64312,0.00331019,0.00331019,0.00331019
2,75.8937,1.79672,1.90267,1.33235,0.57558,0.409,0.42268,0.17661,0.20471,1.87658,2.07388,1.45174,0.00662159,0.00662159,0.00662159
3,113.511,1.78423,1.77164,1.3416,0.55584,0.37659,0.38306,0.14434,0.18096,1.85723,2.08133,1.44799,0.009911,0.009911,0.009911
4,150.509,1.77019,1.67649,1.33329,0.60593,0.42629,0.44887,0.16257,0.20866,1.86257,1.78861,1.46741,0.009901,0.009901,0.009901
5,187.645,1.73846,1.60001,1.33244,0.6343,0.51046,0.53803,0.21656,0.25866,1.69734,1.82792,1.3748,0.009868,0.009868,0.009868
6,224.419,1.71783,1.52232,1.32058,0.62339,0.46588,0.48935,0.1819,0.22654,1.86334,1.75479,1.46941,0.009835,0.009835,0.009835
7,261.283,1.69965,1.49023,1.31247,0.67313,0.48974,0.53989,0.23261,0.26848,1.68096,1.55344,1.37096,0.009802,0.009802,0.009802
8,298.609,1.67409,1.42506,1.29991,0.65389,0.52135,0.54438,0.24027,0.27219,1.71808,1.59717,1.39065,0.009769,0.009769,0.009769
9,335.136,1.66911,1.4156,1.30506,0.6877,0.50791,0.57125,0.26633,0.29236,1.68704,1.48108,1.36337,0.009736,0.009736,0.009736
10,371.719,1.66131,1.36605,1.29949,0.70613,0.56507,0.62384,0.30207,0.32485,1.6148,1.37569,1.32846,0.009703,0.009703,0.009703
11,408.962,1.64793,1.33688,1.29041,0.6867,0.55281,0.59477,0.27622,0.30281,1.65744,1.38483,1.35307,0.00967,0.00967,0.00967
12,445.079,1.634,1.32649,1.28483,0.69152,0.52827,0.58993,0.28387,0.30491,1.65041,1.47958,1.342,0.009637,0.009637,0.009637
13,481.63,1.6183,1.28671,1.27722,0.67593,0.55571,0.58995,0.28125,0.30287,1.68049,1.44726,1.36065,0.009604,0.009604,0.009604
14,518.303,1.62821,1.28546,1.2781,0.67545,0.53688,0.59101,0.29232,0.30919,1.63893,1.37558,1.35144,0.009571,0.009571,0.009571
15,556,1.6277,1.28127,1.28251,0.70684,0.60362,0.65107,0.31098,0.33698,1.60192,1.29683,1.33189,0.009538,0.009538,0.009538
16,592.658,1.61564,1.25423,1.2751,0.73106,0.56913,0.64116,0.30693,0.33244,1.63629,1.32918,1.34978,0.009505,0.009505,0.009505
17,628.963,1.60126,1.23606,1.26725,0.71366,0.56006,0.62694,0.30478,0.3263,1.6063,1.34316,1.33191,0.009472,0.009472,0.009472
18,665.271,1.59179,1.21106,1.26077,0.71699,0.56384,0.6324,0.32767,0.3394,1.60401,1.32106,1.33626,0.009439,0.009439,0.009439
19,701.476,1.58527,1.2103,1.268,0.72838,0.60304,0.65986,0.32299,0.34454,1.58811,1.27814,1.32427,0.009406,0.009406,0.009406
20,738.49,1.5808,1.19125,1.25722,0.72523,0.61915,0.67617,0.33294,0.35025,1.64069,1.19411,1.34901,0.009373,0.009373,0.009373
21,775.203,1.58067,1.17159,1.26366,0.74401,0.60571,0.66683,0.33572,0.35015,1.63012,1.21202,1.35015,0.00934,0.00934,0.00934
22,811.511,1.57377,1.16698,1.25371,0.72724,0.56393,0.62307,0.3158,0.33172,1.65281,1.24908,1.36153,0.009307,0.009307,0.009307
23,848.981,1.57179,1.15409,1.25733,0.73488,0.60374,0.66599,0.34064,0.35513,1.62342,1.21117,1.33462,0.009274,0.009274,0.009274
24,885.675,1.56757,1.14146,1.253,0.74066,0.64163,0.69805,0.3737,0.37756,1.5504,1.17396,1.29675,0.009241,0.009241,0.009241
