epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4,1.90706,2.99036,1.42143,0.68494,0.33048,0.34747,0.13419,0.16488,1.83643,2.32105,1.41721,0.00331019,0.00331019,0.00331019
2,78.1991,1.77354,1.94014,1.313,0.5627,0.4768,0.48604,0.19253,0.23414,1.71552,2.10658,1.35224,0.00662159,0.00662159,0.00662159
3,116.856,1.77919,1.76899,1.3337,0.61462,0.26558,0.27954,0.10636,0.13225,1.96831,2.52139,1.56822,0.009911,0.009911,0.009911
4,155.417,1.76565,1.68894,1.32528,0.46114,0.47149,0.44968,0.16978,0.21136,1.81904,1.98159,1.43673,0.009901,0.009901,0.009901
5,193.526,1.7381,1.59755,1.31918,0.58124,0.40317,0.42454,0.17636,0.20741,1.82178,1.86195,1.46342,0.009868,0.009868,0.009868
6,231.435,1.70917,1.50368,1.30742,0.65424,0.50201,0.53491,0.22075,0.2588,1.74545,1.64068,1.38993,0.009835,0.009835,0.009835
7,269.373,1.69741,1.47768,1.30224,0.67375,0.3783,0.43884,0.19825,0.22047,1.81091,1.83454,1.45741,0.009802,0.009802,0.009802
8,308.952,1.67836,1.4273,1.29466,0.69694,0.53469,0.59451,0.27618,0.30664,1.63901,1.54613,1.32751,0.009769,0.009769,0.009769
9,347.722,1.66239,1.40423,1.29496,0.65993,0.47677,0.52276,0.23818,0.26372,1.74133,1.60263,1.39974,0.009736,0.009736,0.009736
10,387.648,1.66091,1.3588,1.29294,0.68182,0.513,0.57037,0.27773,0.29475,1.66729,1.47286,1.35734,0.009703,0.009703,0.009703
11,426.819,1.64673,1.34236,1.28239,0.71199,0.54103,0.60554,0.27773,0.30825,1.67132,1.40734,1.35413,0.00967,0.00967,0.00967
12,464.511,1.63671,1.32737,1.28346,0.65265,0.57303,0.60453,0.27993,0.30993,1.6347,1.40202,1.33475,0.009637,0.009637,0.009637
13,502.099,1.61877,1.29703,1.27105,0.66285,0.5399,0.58707,0.27147,0.29937,1.67945,1.41101,1.36701,0.009604,0.009604,0.009604
14,541.658,1.62934,1.2884,1.27115,0.71061,0.5934,0.64035,0.31433,0.33549,1.59972,1.29122,1.32215,0.009571,0.009571,0.009571
15,579.51,1.61632,1.28634,1.27031,0.69624,0.5675,0.6211,0.30121,0.32122,1.64891,1.34368,1.3374,0.009538,0.009538,0.009538
16,619.199,1.60955,1.25535,1.26664,0.69961,0.48891,0.56371,0.26693,0.29048,1.67553,1.4024,1.38761,0.009505,0.009505,0.009505
17,658.134,1.59855,1.23187,1.26236,0.75371,0.58145,0.65964,0.33214,0.3471,1.61317,1.26424,1.33524,0.009472,0.009472,0.009472
18,695.477,1.58674,1.21594,1.25274,0.73907,0.60081,0.67071,0.35544,0.36084,1.58467,1.20373,1.32314,0.009439,0.009439,0.009439
19,733.528,1.58504,1.20824,1.26173,0.69893,0.54335,0.60176,0.30518,0.31767,1.62994,1.3735,1.34607,0.009406,0.009406,0.009406
20,771.494,1.57531,1.18944,1.24386,0.70874,0.60117,0.6493,0.31887,0.34191,1.62926,1.33635,1.33823,0.009373,0.009373,0.009373
21,808.988,1.57463,1.17042,1.24828,0.74687,0.58664,0.65142,0.3191,0.34044,1.65356,1.26481,1.35701,0.00934,0.00934,0.00934
22,846.528,1.56919,1.15895,1.24335,0.72246,0.58392,0.64739,0.32678,0.34355,1.63369,1.24211,1.34101,0.009307,0.009307,0.009307
23,884.744,1.57149,1.15748,1.24737,0.74587,0.58654,0.66335,0.34728,0.3563,1.58503,1.24601,1.3061,0.009274,0.009274,0.009274
24,921.729,1.56937,1.15461,1.24575,0.74773,0.61805,0.68988,0.36215,0.37112,1.57565,1.19651,1.3007,0.009241,0.009241,0.009241
25,959.243,1.5518,1.13858,1.24025,0.74235,0.63862,0.70091,0.36511,0.37454,1.58376,1.12258,1.30499,0.009208,0.009208,0.009208
26,996.956,1.5534,1.12788,1.23733,0.75055,0.62335,0.69277,0.37567,0.3794,1.56235,1.12527,1.29292,0.009175,0.009175,0.009175
27,1039.4,1.55236,1.12655,1.22692,0.7521,0.63626,0.69818,0.37538,0.37736,1.56317,1.12394,1.30503,0.009142,0.009142,0.009142
28,1077.83,1.5366,1.10664,1.22484,0.74926,0.62583,0.69979,0.36251,0.37382,1.5852,1.14847,1.30869,0.009109,0.009109,0.009109
29,1115.68,1.54581,1.11229,1.23498,0.77082,0.60426,0.68817,0.3761,0.37444,1.56721,1.15634,1.30384,0.009076,0.009076,0.009076
30,1152.66,1.53655,1.08855,1.22383,0.75157,0.63335,0.6939,0.36812,0.37348,1.58044,1.16258,1.32345,0.009043,0.009043,0.009043
31,1189.92,1.53666,1.09331,1.22166,0.76193,0.64127,0.70759,0.37029,0.37971,1.5716,1.13845,1.30965,0.00901,0.00901,0.00901
32,1227.48,1.54312,1.07749,1.22638,0.75296,0.61281,0.68709,0.36265,0.37086,1.58679,1.20257,1.31051,0.008977,0.008977,0.008977
33,1265.23,1.52588,1.0781,1.21914,0.73918,0.62476,0.6864,0.36441,0.3709,1.56992,1.13072,1.31374,0.008944,0.008944,0.008944
34,1306.29,1.53163,1.06048,1.21971,0.76224,0.65311,0.72406,0.39883,0.39913,1.53825,1.06726,1.27897,0.008911,0.008911,0.008911
35,1346.43,1.51549,1.05795,1.21805,0.75574,0.64234,0.71164,0.38587,0.38678,1.58326,1.07668,1.31175,0.008878,0.008878,0.008878
36,1384.15,1.52063,1.07313,1.22545,0.75473,0.62806,0.69839,0.38125,0.38458,1.54173,1.12653,1.28836,0.008845,0.008845,0.008845
37,1422.23,1.5057,1.05218,1.21058,0.74552,0.64418,0.71397,0.40024,0.39375,1.53776,1.14822,1.27835,0.008812,0.008812,0.008812
