epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1814,1.9038,2.9148,1.45559,0.73691,0.40075,0.42329,0.17237,0.20652,1.75712,1.98518,1.40694,0.00331019,0.00331019,0.00331019
2,75.1469,1.77681,1.83111,1.37422,0.45072,0.34198,0.31269,0.12017,0.14431,1.97392,2.67844,1.63191,0.00662159,0.00662159,0.00662159
3,112.877,1.77409,1.72847,1.37812,0.59518,0.36719,0.40865,0.14916,0.18888,1.84872,2.08362,1.49945,0.009911,0.009911,0.009911
4,149.755,1.76972,1.67475,1.35518,0.60862,0.45474,0.48469,0.18829,0.23003,1.78201,1.74708,1.45056,0.009901,0.009901,0.009901
5,186.521,1.73758,1.59118,1.34478,0.69761,0.47217,0.53152,0.21578,0.25821,1.73481,1.66678,1.38616,0.009868,0.009868,0.009868
6,223.583,1.70669,1.49916,1.3301,0.61984,0.49143,0.51323,0.20754,0.24717,1.83572,1.63943,1.47868,0.009835,0.009835,0.009835
7,260.33,1.70064,1.48403,1.32522,0.66338,0.45954,0.51456,0.21564,0.25235,1.75875,1.63245,1.42256,0.009802,0.009802,0.009802
8,297.218,1.6713,1.40811,1.31133,0.69445,0.5366,0.58896,0.25554,0.29394,1.66728,1.55122,1.35434,0.009769,0.009769,0.009769
9,333.913,1.67074,1.40544,1.31369,0.6985,0.5557,0.61053,0.28854,0.31434,1.66745,1.4123,1.34682,0.009736,0.009736,0.009736
10,370.644,1.66413,1.3536,1.30815,0.67348,0.55718,0.59865,0.24093,0.29347,1.71709,1.47599,1.39262,0.009703,0.009703,0.009703
11,407.958,1.64401,1.33162,1.29445,0.72676,0.5878,0.64339,0.29448,0.32409,1.6772,1.35623,1.37729,0.00967,0.00967,0.00967
12,444.703,1.63523,1.31485,1.29219,0.7026,0.58022,0.62783,0.26479,0.31176,1.70497,1.39403,1.38141,0.009637,0.009637,0.009637
13,481.846,1.62876,1.28569,1.29089,0.70924,0.57415,0.62226,0.29695,0.31983,1.65881,1.35495,1.36281,0.009604,0.009604,0.009604
14,518.669,1.62779,1.27651,1.28366,0.69861,0.5833,0.62444,0.30485,0.32582,1.62762,1.29667,1.36314,0.009571,0.009571,0.009571
15,555.842,1.6174,1.27822,1.28305,0.71324,0.58563,0.64396,0.3141,0.33584,1.6263,1.28294,1.32228,0.009538,0.009538,0.009538
16,593.115,1.6082,1.25255,1.27334,0.72511,0.5836,0.64173,0.31815,0.33849,1.61081,1.28724,1.34366,0.009505,0.009505,0.009505
17,630.179,1.60397,1.22997,1.27635,0.72471,0.56597,0.63087,0.31292,0.33034,1.64315,1.34913,1.36097,0.009472,0.009472,0.009472
18,666.935,1.59192,1.21135,1.26477,0.76309,0.57669,0.65406,0.3417,0.35039,1.58976,1.23655,1.33589,0.009439,0.009439,0.009439
19,703.775,1.58353,1.20273,1.27154,0.73158,0.59944,0.64831,0.32495,0.34318,1.61476,1.26014,1.34223,0.009406,0.009406,0.009406
20,740.984,1.57574,1.18907,1.25829,0.73529,0.60969,0.66871,0.34726,0.35431,1.61358,1.1929,1.36141,0.009373,0.009373,0.009373
21,778.368,1.57383,1.15499,1.26442,0.72792,0.59047,0.65428,0.32221,0.34013,1.63688,1.221,1.35777,0.00934,0.00934,0.00934
