epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9365,1.88527,3.08718,1.39774,0.73131,0.34119,0.36892,0.14738,0.17883,1.8055,2.14926,1.40225,0.00331019,0.00331019,0.00331019
2,63.8417,1.76465,1.8646,1.31621,0.63219,0.4726,0.51341,0.21803,0.25477,1.68425,1.79734,1.31141,0.00662159,0.00662159,0.00662159
3,95.8769,1.75748,1.75256,1.3129,0.5905,0.42873,0.45391,0.18606,0.21986,1.75193,1.83734,1.33673,0.009911,0.009911,0.009911
4,132.273,1.75276,1.69585,1.29732,0.55378,0.45424,0.47475,0.18788,0.23071,1.73284,1.88256,1.32138,0.009901,0.009901,0.009901
5,169.308,1.71894,1.60824,1.28428,0.53895,0.45201,0.44948,0.18028,0.21381,1.77805,1.82025,1.37521,0.009868,0.009868,0.009868
6,206.224,1.69864,1.52009,1.28031,0.65843,0.49871,0.52857,0.22044,0.25692,1.73029,1.64171,1.34096,0.009835,0.009835,0.009835
7,243.024,1.67184,1.48101,1.26574,0.63916,0.51404,0.53711,0.25177,0.27427,1.66073,1.57076,1.28994,0.009802,0.009802,0.009802
8,281.057,1.66251,1.4305,1.25662,0.63654,0.52726,0.55472,0.24888,0.28062,1.6563,1.56502,1.29509,0.009769,0.009769,0.009769
9,318.01,1.6537,1.42318,1.26072,0.70007,0.5249,0.58157,0.26292,0.29507,1.63923,1.46677,1.2814,0.009736,0.009736,0.009736
10,354.414,1.64641,1.36777,1.25823,0.68837,0.55515,0.60681,0.29811,0.31717,1.62455,1.42256,1.28676,0.009703,0.009703,0.009703
11,392.471,1.6317,1.33988,1.24994,0.70727,0.49631,0.56651,0.26429,0.2884,1.6658,1.47362,1.28853,0.00967,0.00967,0.00967
12,429.484,1.61981,1.33483,1.24509,0.6512,0.51377,0.55751,0.2561,0.28154,1.66925,1.47844,1.32168,0.009637,0.009637,0.009637
13,466.904,1.61089,1.29733,1.24284,0.72107,0.56051,0.62525,0.29505,0.31978,1.64076,1.35705,1.29802,0.009604,0.009604,0.009604
14,503.75,1.61445,1.28232,1.23459,0.72548,0.57779,0.64468,0.3086,0.33709,1.58854,1.30358,1.27047,0.009571,0.009571,0.009571
15,544.163,1.60513,1.27971,1.23549,0.69832,0.56584,0.61526,0.29619,0.31973,1.62526,1.3187,1.26562,0.009538,0.009538,0.009538
16,591.706,1.59754,1.26024,1.23406,0.71684,0.60541,0.6644,0.33058,0.35234,1.58604,1.27845,1.26089,0.009505,0.009505,0.009505
17,628.455,1.58735,1.23238,1.23017,0.74176,0.56168,0.63389,0.32183,0.33575,1.59473,1.32333,1.26999,0.009472,0.009472,0.009472
18,665.439,1.58198,1.215,1.22429,0.70004,0.59483,0.64087,0.32364,0.33656,1.60019,1.29179,1.29386,0.009439,0.009439,0.009439
19,702.226,1.57904,1.22029,1.23859,0.75383,0.57804,0.65739,0.33255,0.34793,1.57594,1.26702,1.27093,0.009406,0.009406,0.009406
20,739.427,1.56785,1.19245,1.21934,0.73357,0.59733,0.66396,0.3424,0.351,1.60711,1.19735,1.29323,0.009373,0.009373,0.009373
21,776.603,1.56577,1.16208,1.22133,0.737,0.61357,0.67878,0.36054,0.36735,1.55531,1.18501,1.25312,0.00934,0.00934,0.00934
22,818.079,1.56346,1.16742,1.21714,0.74255,0.60504,0.67922,0.35267,0.36455,1.60927,1.18731,1.3011,0.009307,0.009307,0.009307
23,857.353,1.55621,1.14226,1.21968,0.71584,0.63245,0.68576,0.3621,0.37007,1.55908,1.17357,1.25727,0.009274,0.009274,0.009274
24,893.698,1.55769,1.14317,1.21711,0.73177,0.60843,0.67226,0.3564,0.36195,1.55382,1.20762,1.24312,0.009241,0.009241,0.009241
25,930.899,1.54477,1.13891,1.213,0.75139,0.63145,0.70496,0.3719,0.38028,1.54464,1.14812,1.24851,0.009208,0.009208,0.009208
26,967.824,1.54248,1.11159,1.21046,0.75413,0.6169,0.69451,0.36764,0.37598,1.55071,1.14278,1.24778,0.009175,0.009175,0.009175
