epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1975,1.84668,2.65435,1.42892,0.63918,0.45571,0.49658,0.19725,0.23654,1.78059,1.94945,1.4979,0.00331921,0.00331921,0.00331921
2,99.5822,1.72143,1.66109,1.34627,0.61496,0.49663,0.5357,0.21975,0.26097,1.72214,1.70864,1.44446,0.00663059,0.00663059,0.00663059
3,148.352,1.71786,1.55348,1.35587,0.55091,0.38723,0.39618,0.15102,0.18704,1.9038,2.04214,1.61209,0.00991997,0.00991997,0.00991997
4,197.126,1.7171,1.52059,1.35428,0.67147,0.57053,0.61071,0.23647,0.29201,1.69327,1.81174,1.42501,0.009901,0.009901,0.009901
5,249.04,1.6903,1.43063,1.33881,0.61983,0.48986,0.51727,0.21446,0.24896,1.7568,1.70527,1.47918,0.009868,0.009868,0.009868
6,306.913,1.66141,1.39359,1.33507,0.7021,0.57607,0.64117,0.27371,0.31686,1.69264,1.37327,1.41986,0.009835,0.009835,0.009835
7,362.745,1.65165,1.32588,1.32107,0.68552,0.5658,0.62167,0.28819,0.31602,1.71266,1.38848,1.44367,0.009802,0.009802,0.009802
8,418.344,1.63216,1.29189,1.31243,0.73011,0.5907,0.65959,0.30041,0.3352,1.63911,1.33254,1.38505,0.009769,0.009769,0.009769
9,472.559,1.61794,1.25984,1.30496,0.72629,0.61435,0.70144,0.35452,0.37112,1.57032,1.24545,1.32833,0.009736,0.009736,0.009736
10,527.784,1.60087,1.22808,1.29967,0.73541,0.62728,0.69292,0.36437,0.3708,1.55115,1.21283,1.35003,0.009703,0.009703,0.009703
11,582.734,1.58756,1.21069,1.28878,0.70926,0.60638,0.67063,0.33642,0.35473,1.60472,1.29796,1.37029,0.00967,0.00967,0.00967
12,637.268,1.57939,1.18118,1.28695,0.72549,0.61618,0.67924,0.33915,0.35587,1.61289,1.21038,1.3711,0.009637,0.009637,0.009637
13,692.483,1.58205,1.16295,1.27554,0.73242,0.63001,0.70218,0.35136,0.37246,1.59522,1.19016,1.36995,0.009604,0.009604,0.009604
14,747.353,1.565,1.15986,1.27871,0.75058,0.64779,0.72227,0.36848,0.38281,1.57845,1.16418,1.34032,0.009571,0.009571,0.009571
15,797.939,1.55978,1.14527,1.2688,0.75569,0.57711,0.66891,0.32652,0.34929,1.61854,1.23732,1.35542,0.009538,0.009538,0.009538
16,848.99,1.55042,1.11762,1.27504,0.73187,0.65522,0.732,0.37886,0.39255,1.55254,1.1343,1.32096,0.009505,0.009505,0.009505
17,906.571,1.54705,1.11613,1.25587,0.76193,0.67916,0.75054,0.42275,0.4176,1.50513,1.07383,1.30731,0.009472,0.009472,0.009472
18,961.507,1.53751,1.09218,1.26105,0.75756,0.67325,0.74889,0.40936,0.41137,1.52268,1.09984,1.3189,0.009439,0.009439,0.009439
19,1016.32,1.53372,1.08598,1.25143,0.78176,0.67663,0.75939,0.44216,0.4225,1.50996,1.07112,1.31203,0.009406,0.009406,0.009406
20,1070.99,1.5319,1.07985,1.25639,0.75546,0.67412,0.75209,0.4068,0.41075,1.54987,1.10479,1.31651,0.009373,0.009373,0.009373
21,1126.02,1.53204,1.07705,1.25571,0.78911,0.67366,0.76194,0.42475,0.41818,1.51798,1.06717,1.32178,0.00934,0.00934,0.00934
22,1180.37,1.52305,1.05284,1.25119,0.77446,0.68665,0.76304,0.41201,0.41557,1.5178,1.08154,1.32258,0.009307,0.009307,0.009307
23,1236.75,1.51202,1.04625,1.24003,0.76709,0.6711,0.75411,0.42221,0.41727,1.49939,1.08261,1.29624,0.009274,0.009274,0.009274
24,1291.91,1.50705,1.03348,1.24238,0.77332,0.69088,0.75893,0.42136,0.41921,1.51132,1.07462,1.31875,0.009241,0.009241,0.009241
25,1346.91,1.50111,1.01382,1.24124,0.77849,0.65115,0.7456,0.41974,0.4126,1.52608,1.05927,1.30884,0.009208,0.009208,0.009208
26,1399.98,1.49926,1.013,1.24435,0.7964,0.69282,0.77744,0.42979,0.42897,1.51951,1.03126,1.31035,0.009175,0.009175,0.009175
27,1458.6,1.49599,1.00459,1.23789,0.78519,0.69496,0.77288,0.43552,0.42697,1.5305,1.00699,1.30917,0.009142,0.009142,0.009142
