epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.3422,1.85494,2.66301,1.41721,0.63693,0.47347,0.5112,0.21703,0.25079,1.73449,1.78796,1.44228,0.00331921,0.00331921,0.00331921
2,100.313,1.71503,1.65895,1.32827,0.65954,0.54569,0.59725,0.27244,0.30305,1.64006,1.63147,1.35516,0.00663059,0.00663059,0.00663059
3,150.456,1.71845,1.55843,1.34198,0.67894,0.4608,0.49573,0.17665,0.23024,1.79718,1.88498,1.47157,0.00991997,0.00991997,0.00991997
4,200.534,1.7138,1.51645,1.34024,0.65776,0.55862,0.5923,0.2272,0.28218,1.71328,1.6266,1.39878,0.009901,0.009901,0.009901
5,249.998,1.6813,1.4295,1.32141,0.66051,0.57859,0.6158,0.26272,0.30249,1.67567,1.5161,1.40221,0.009868,0.009868,0.009868
6,299.162,1.65688,1.39175,1.3201,0.67894,0.5959,0.64163,0.26755,0.31342,1.6696,1.44456,1.39453,0.009835,0.009835,0.009835
7,348.133,1.65089,1.33215,1.31095,0.67472,0.62454,0.66896,0.3304,0.34829,1.64549,1.32878,1.38379,0.009802,0.009802,0.009802
8,396.458,1.62997,1.29863,1.30078,0.71384,0.607,0.66676,0.32019,0.3433,1.6185,1.32014,1.35274,0.009769,0.009769,0.009769
9,443.419,1.60881,1.25848,1.29171,0.70724,0.64351,0.69597,0.33943,0.36135,1.59998,1.29089,1.342,0.009736,0.009736,0.009736
10,491.103,1.59388,1.22634,1.28796,0.70036,0.58889,0.65711,0.33711,0.34903,1.57727,1.28828,1.35428,0.009703,0.009703,0.009703
11,538.46,1.58258,1.20878,1.27815,0.72627,0.65214,0.72158,0.3707,0.38551,1.54625,1.19925,1.32021,0.00967,0.00967,0.00967
12,586.718,1.57898,1.17932,1.28174,0.69722,0.64275,0.69243,0.33276,0.35984,1.63992,1.24027,1.38449,0.009637,0.009637,0.009637
13,634.133,1.58184,1.17368,1.2699,0.74153,0.66213,0.73319,0.37671,0.39323,1.55557,1.14414,1.33078,0.009604,0.009604,0.009604
14,682.871,1.56194,1.16665,1.27045,0.73744,0.64884,0.71996,0.3653,0.38085,1.59159,1.15308,1.34747,0.009571,0.009571,0.009571
15,732.279,1.55839,1.14671,1.26404,0.75725,0.68168,0.75288,0.39737,0.40618,1.5511,1.09212,1.33356,0.009538,0.009538,0.009538
16,782.534,1.54706,1.11856,1.2689,0.74484,0.67074,0.73888,0.38711,0.39701,1.54008,1.17219,1.31273,0.009505,0.009505,0.009505
17,832.722,1.54519,1.12477,1.24985,0.73827,0.68381,0.74458,0.41289,0.40752,1.54348,1.07387,1.33197,0.009472,0.009472,0.009472
18,883.157,1.53383,1.0901,1.25836,0.75816,0.6612,0.73632,0.39829,0.40189,1.57421,1.12866,1.34712,0.009439,0.009439,0.009439
