epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.5821,2.80727,2.81559,2.68819,0.566,0.46575,0.47234,0.1425,0.20729,1.95629,1.77454,1.89836,0.00331921,0.00331921,0.00331921
2,113.161,1.93073,1.56982,1.67016,0.63873,0.46985,0.51289,0.17655,0.23651,1.90439,1.61647,1.7088,0.00663059,0.00663059,0.00663059
3,167.882,1.86583,1.49213,1.55621,0.64075,0.52207,0.54793,0.19467,0.25272,1.81674,1.56231,1.62043,0.00991997,0.00991997,0.00991997
4,222.566,1.81753,1.47443,1.49786,0.54016,0.31328,0.31615,0.0995,0.13925,2.3423,2.13508,2.00886,0.009901,0.009901,0.009901
5,277.105,1.76665,1.39927,1.45107,0.48933,0.39478,0.37956,0.12397,0.16743,1.97902,2.25982,1.69537,0.009868,0.009868,0.009868
6,331.894,1.73564,1.36869,1.44045,0.67712,0.56653,0.609,0.24061,0.29404,1.72978,1.41655,1.50653,0.009835,0.009835,0.009835
7,386.705,1.71013,1.31063,1.40871,0.66855,0.53921,0.58466,0.25846,0.29318,1.75736,1.46384,1.54788,0.009802,0.009802,0.009802
8,441.51,1.688,1.28363,1.39839,0.69363,0.5738,0.63442,0.2815,0.31984,1.69645,1.38902,1.48638,0.009769,0.009769,0.009769
9,495.968,1.66831,1.25444,1.38868,0.75271,0.62437,0.70552,0.32698,0.35847,1.61444,1.24707,1.43387,0.009736,0.009736,0.009736
10,549.869,1.65338,1.21975,1.3798,0.72928,0.63477,0.70014,0.34732,0.36509,1.60134,1.23104,1.42707,0.009703,0.009703,0.009703
11,604.067,1.6357,1.2013,1.36771,0.71294,0.64002,0.69845,0.34565,0.36329,1.60901,1.22113,1.43009,0.00967,0.00967,0.00967
12,658.185,1.62863,1.17638,1.36631,0.71419,0.62389,0.67836,0.32455,0.34818,1.64772,1.23509,1.45596,0.009637,0.009637,0.009637
13,712.808,1.63117,1.15677,1.35114,0.72121,0.64097,0.70304,0.33349,0.36302,1.63076,1.21856,1.4463,0.009604,0.009604,0.009604
14,766.674,1.61198,1.15829,1.35475,0.76166,0.64453,0.72756,0.35151,0.37749,1.61207,1.16279,1.42066,0.009571,0.009571,0.009571
15,819.887,1.60338,1.14099,1.34717,0.76671,0.67119,0.74397,0.37784,0.39399,1.58767,1.10846,1.4151,0.009538,0.009538,0.009538
16,871.701,1.59184,1.11467,1.34918,0.76881,0.67046,0.74604,0.38093,0.39685,1.577,1.15299,1.4021,0.009505,0.009505,0.009505
17,922.969,1.58738,1.10954,1.32794,0.74028,0.61666,0.68429,0.34508,0.35992,1.63149,1.21126,1.45029,0.009472,0.009472,0.009472
18,974.381,1.57962,1.08975,1.33421,0.76419,0.64237,0.72969,0.37544,0.39141,1.5829,1.10967,1.40344,0.009439,0.009439,0.009439
19,1026.37,1.57001,1.07798,1.32081,0.79112,0.67247,0.7597,0.40074,0.41171,1.55429,1.05424,1.38738,0.009406,0.009406,0.009406
20,1078.16,1.55821,1.0623,1.3188,0.74463,0.67525,0.74546,0.39231,0.40155,1.55125,1.0937,1.38601,0.009373,0.009373,0.009373
21,1130.75,1.56292,1.05993,1.32079,0.75,0.6369,0.70642,0.36379,0.37863,1.60936,1.1482,1.43747,0.00934,0.00934,0.00934
22,1184.43,1.55054,1.03766,1.31636,0.76977,0.68481,0.75907,0.39196,0.40609,1.55918,1.111,1.39507,0.009307,0.009307,0.009307
23,1238.76,1.54764,1.03023,1.30855,0.76903,0.6812,0.76858,0.39973,0.41531,1.54576,1.06727,1.38077,0.009274,0.009274,0.009274
24,1293.13,1.53779,1.02417,1.30806,0.75937,0.70442,0.76708,0.42438,0.42554,1.5088,1.03224,1.35536,0.009241,0.009241,0.009241
25,1347.17,1.52922,1.00438,1.30419,0.78608,0.68257,0.77047,0.41873,0.42408,1.54041,1.0179,1.37609,0.009208,0.009208,0.009208
26,1401.68,1.52685,1.00005,1.30815,0.78472,0.67809,0.76059,0.41709,0.41343,1.54357,1.05555,1.38097,0.009175,0.009175,0.009175
27,1455.85,1.52992,0.99481,1.30734,0.76563,0.65553,0.73379,0.37508,0.3891,1.60878,1.07929,1.42819,0.009142,0.009142,0.009142
28,1510.08,1.52214,0.98862,1.29867,0.77683,0.69713,0.77469,0.44658,0.43275,1.52699,1.00057,1.37371,0.009109,0.009109,0.009109
