epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.2785,2.91915,2.84573,2.86529,0.61495,0.43851,0.46013,0.13536,0.2001,1.98868,1.76052,1.91518,0.00331921,0.00331921,0.00331921
2,115.257,1.95067,1.56753,1.70141,0.6801,0.53106,0.57385,0.23573,0.27823,1.76698,1.48381,1.63108,0.00663059,0.00663059,0.00663059
3,172.096,1.87426,1.48162,1.56618,0.65741,0.49138,0.51964,0.16307,0.22964,1.98445,1.81818,1.72279,0.00991997,0.00991997,0.00991997
4,227.887,1.82618,1.4729,1.5075,0.57603,0.42951,0.4638,0.16918,0.21491,1.92696,1.8796,1.68693,0.009901,0.009901,0.009901
5,284.155,1.76827,1.41143,1.4586,0.60093,0.54446,0.55366,0.21595,0.26466,1.76877,1.74067,1.55953,0.009868,0.009868,0.009868
6,340.082,1.73322,1.37679,1.44124,0.66566,0.51388,0.5849,0.21972,0.27674,1.79398,1.51266,1.56099,0.009835,0.009835,0.009835
7,396.286,1.71389,1.32611,1.41281,0.71338,0.63607,0.6927,0.2933,0.34393,1.68089,1.29115,1.47459,0.009802,0.009802,0.009802
8,452.853,1.6922,1.28677,1.40255,0.70219,0.61112,0.67147,0.30406,0.33937,1.64602,1.27791,1.4549,0.009769,0.009769,0.009769
9,510.214,1.67228,1.25708,1.39178,0.71088,0.61453,0.67959,0.31674,0.34611,1.66116,1.31022,1.45722,0.009736,0.009736,0.009736
10,567.831,1.65884,1.22661,1.3853,0.74699,0.6045,0.68077,0.32533,0.34788,1.64858,1.27379,1.45919,0.009703,0.009703,0.009703
11,626.419,1.64356,1.21771,1.37498,0.7348,0.59919,0.67512,0.32313,0.34671,1.65191,1.304,1.46135,0.00967,0.00967,0.00967
12,687.927,1.63855,1.18955,1.37291,0.72506,0.65094,0.716,0.33964,0.3677,1.62055,1.32652,1.4275,0.009637,0.009637,0.009637
13,748.474,1.63828,1.17175,1.35639,0.75232,0.63978,0.70855,0.34512,0.37195,1.608,1.19219,1.42807,0.009604,0.009604,0.009604
14,809.042,1.61521,1.17005,1.35819,0.75924,0.64942,0.73041,0.35793,0.38374,1.60956,1.15178,1.42045,0.009571,0.009571,0.009571
15,869.429,1.61064,1.15328,1.35121,0.73768,0.68045,0.73107,0.36915,0.38563,1.6232,1.12151,1.44196,0.009538,0.009538,0.009538
16,928.723,1.59897,1.12719,1.35322,0.75036,0.66424,0.74469,0.38518,0.39797,1.57992,1.11478,1.40298,0.009505,0.009505,0.009505
17,985.401,1.59866,1.12534,1.33631,0.75052,0.61676,0.69126,0.34029,0.36298,1.62981,1.23799,1.44457,0.009472,0.009472,0.009472
18,1041.56,1.58283,1.09846,1.33868,0.77083,0.68366,0.75513,0.40496,0.4121,1.55108,1.08633,1.39345,0.009439,0.009439,0.009439
19,1097.63,1.57913,1.0861,1.3268,0.76153,0.67981,0.75071,0.39564,0.40373,1.57195,1.105,1.40145,0.009406,0.009406,0.009406
20,1153.43,1.56711,1.07833,1.32608,0.7482,0.66273,0.74273,0.38302,0.3991,1.55963,1.12274,1.38903,0.009373,0.009373,0.009373
21,1209.48,1.56821,1.07188,1.326,0.76846,0.64713,0.72537,0.38345,0.39098,1.57983,1.13158,1.41905,0.00934,0.00934,0.00934
22,1266.18,1.55857,1.04909,1.32023,0.77156,0.68877,0.76373,0.40306,0.41285,1.56769,1.05959,1.40072,0.009307,0.009307,0.009307
23,1322.63,1.54778,1.03778,1.31058,0.77415,0.6766,0.75612,0.38256,0.40192,1.59742,1.07559,1.4162,0.009274,0.009274,0.009274
24,1378.19,1.54258,1.02423,1.31278,0.76903,0.68132,0.75043,0.40254,0.40867,1.56779,1.0603,1.40073,0.009241,0.009241,0.009241
25,1435.23,1.53551,1.00811,1.30897,0.73036,0.65754,0.71572,0.35902,0.37713,1.6589,1.12889,1.45362,0.009208,0.009208,0.009208
26,1491.08,1.52686,1.00094,1.30962,0.79419,0.69723,0.77612,0.41844,0.42468,1.52473,1.03778,1.37359,0.009175,0.009175,0.009175
27,1547.6,1.53045,1.00081,1.30762,0.78439,0.68674,0.7658,0.42851,0.42262,1.54867,1.00152,1.38795,0.009142,0.009142,0.009142
28,1603.44,1.52473,0.99919,1.30096,0.78815,0.68481,0.77257,0.41921,0.42276,1.58135,1.02471,1.41172,0.009109,0.009109,0.009109
29,1660,1.51118,0.99037,1.30011,0.78895,0.71327,0.78494,0.43484,0.43137,1.55919,0.95858,1.3915,0.009076,0.009076,0.009076
30,1715.33,1.51101,0.98554,1.29518,0.78472,0.70303,0.77928,0.43478,0.43256,1.52061,1.01688,1.36129,0.009043,0.009043,0.009043
31,1771.51,1.51574,0.98628,1.29929,0.77705,0.71428,0.78282,0.43103,0.4331,1.5565,0.97107,1.39219,0.00901,0.00901,0.00901
32,1828.07,1.50861,0.97241,1.28997,0.79961,0.71306,0.79217,0.43907,0.43838,1.5319,0.98085,1.3694,0.008977,0.008977,0.008977
33,1884.06,1.49773,0.96024,1.28617,0.80766,0.70485,0.79086,0.45396,0.44396,1.50372,0.96616,1.35941,0.008944,0.008944,0.008944
34,1939.4,1.50061,0.94944,1.28679,0.80044,0.70271,0.78329,0.44835,0.43843,1.53684,0.97877,1.38287,0.008911,0.008911,0.008911
35,1995.04,1.4968,0.95481,1.29067,0.79133,0.70508,0.78604,0.43165,0.43051,1.54842,0.97711,1.37802,0.008878,0.008878,0.008878
36,2050.55,1.49902,0.95758,1.28094,0.80128,0.71686,0.79857,0.4624,0.44754,1.50616,0.94268,1.35667,0.008845,0.008845,0.008845
37,2106.01,1.49206,0.948,1.28575,0.79152,0.71179,0.79147,0.46265,0.44598,1.51113,0.93194,1.36657,0.008812,0.008812,0.008812
38,2163.75,1.48694,0.93116,1.28301,0.80155,0.71109,0.79574,0.45182,0.44172,1.54957,0.93322,1.38808,0.008779,0.008779,0.008779
39,2221.19,1.47865,0.92875,1.28141,0.79188,0.74082,0.80174,0.45668,0.44871,1.49709,0.93995,1.35574,0.008746,0.008746,0.008746
40,2278.09,1.47049,0.92586,1.27609,0.79432,0.71431,0.79962,0.46465,0.45321,1.49406,0.92901,1.34558,0.008713,0.008713,0.008713
41,2333.71,1.47494,0.92269,1.27484,0.80196,0.70788,0.78932,0.44981,0.44097,1.53946,0.95142,1.38355,0.00868,0.00868,0.00868
42,2387.15,1.46962,0.9113,1.27535,0.80879,0.73112,0.80718,0.48025,0.46031,1.48449,0.92536,1.33931,0.008647,0.008647,0.008647
43,2440.07,1.45498,0.893,1.26261,0.80883,0.73781,0.80863,0.4767,0.45968,1.50912,0.90275,1.37244,0.008614,0.008614,0.008614
44,2493.37,1.46104,0.90727,1.26514,0.79457,0.74219,0.80633,0.47125,0.45871,1.49169,0.90412,1.35344,0.008581,0.008581,0.008581
45,2546.32,1.45148,0.89003,1.26715,0.81008,0.74914,0.82225,0.4886,0.47004,1.47924,0.88336,1.34044,0.008548,0.008548,0.008548
46,2600.51,1.45238,0.88645,1.2612,0.8013,0.72943,0.80964,0.47062,0.45575,1.51236,0.90629,1.36625,0.008515,0.008515,0.008515
47,2656.18,1.44879,0.88233,1.2597,0.79709,0.70748,0.79389,0.46461,0.44926,1.51863,0.93949,1.36696,0.008482,0.008482,0.008482
48,2712.59,1.44734,0.88428,1.25651,0.8078,0.73528,0.81772,0.50226,0.47218,1.47038,0.88885,1.33935,0.008449,0.008449,0.008449
49,2779.07,1.44193,0.8713,1.25619,0.80938,0.72852,0.80614,0.47216,0.45568,1.52647,0.90761,1.36804,0.008416,0.008416,0.008416
50,2836.59,1.43299,0.86002,1.24954,0.79706,0.74975,0.81613,0.49422,0.4695,1.49354,0.86776,1.3549,0.008383,0.008383,0.008383
51,2894.21,1.43542,0.86753,1.25026,0.80696,0.74021,0.81507,0.49543,0.46937,1.48927,0.87684,1.35379,0.00835,0.00835,0.00835
52,2951.7,1.43349,0.85757,1.25099,0.78969,0.77004,0.81718,0.49777,0.47147,1.48834,0.86458,1.34327,0.008317,0.008317,0.008317
53,3009.22,1.42928,0.85138,1.24358,0.81391,0.74401,0.82105,0.50005,0.47174,1.48877,0.85838,1.35031,0.008284,0.008284,0.008284
54,3066.52,1.41736,0.85243,1.24387,0.83449,0.73658,0.82703,0.50216,0.47693,1.47601,0.85532,1.33995,0.008251,0.008251,0.008251
55,3123.05,1.43047,0.84053,1.25326,0.80648,0.75403,0.81996,0.49757,0.47375,1.48433,0.87591,1.34715,0.008218,0.008218,0.008218
56,3194.59,1.42169,0.84253,1.2436,0.81071,0.75362,0.81885,0.49856,0.46986,1.49528,0.85025,1.36291,0.008185,0.008185,0.008185
57,3269.94,1.42045,0.83517,1.23934,0.8171,0.75424,0.82947,0.51821,0.48317,1.46654,0.84298,1.33648,0.008152,0.008152,0.008152
58,3343.92,1.41383,0.83844,1.25072,0.79859,0.74043,0.80725,0.48756,0.4641,1.49154,0.86728,1.35256,0.008119,0.008119,0.008119
59,3416.95,1.41211,0.82356,1.23916,0.79854,0.76311,0.82655,0.51845,0.48333,1.47197,0.83109,1.338,0.008086,0.008086,0.008086
60,3490.61,1.41817,0.83051,1.24235,0.82378,0.73651,0.82229,0.50745,0.47868,1.47872,0.86013,1.34466,0.008053,0.008053,0.008053
61,3564.26,1.39841,0.81945,1.23587,0.82358,0.74384,0.82347,0.51713,0.48419,1.46391,0.84212,1.33533,0.00802,0.00802,0.00802
62,3637.53,1.40791,0.82988,1.23557,0.81865,0.76146,0.83591,0.53321,0.49283,1.4513,0.8216,1.32549,0.007987,0.007987,0.007987
63,3709.56,1.38637,0.81481,1.23115,0.81725,0.7633,0.82473,0.51999,0.48109,1.47966,0.82923,1.34866,0.007954,0.007954,0.007954
64,3784.06,1.38985,0.803,1.23374,0.81031,0.75833,0.82578,0.52311,0.48468,1.46482,0.82889,1.33854,0.007921,0.007921,0.007921
65,3857.39,1.39181,0.80296,1.23096,0.81972,0.75571,0.83276,0.52641,0.48919,1.46066,0.82658,1.3324,0.007888,0.007888,0.007888
66,3930.56,1.38254,0.79471,1.22567,0.81048,0.76251,0.82994,0.52067,0.48734,1.45572,0.82087,1.33345,0.007855,0.007855,0.007855
67,4003.26,1.39425,0.79959,1.22926,0.82112,0.75366,0.82595,0.5296,0.48838,1.4536,0.83253,1.32504,0.007822,0.007822,0.007822
68,4078.39,1.39077,0.80473,1.22612,0.82773,0.76098,0.83495,0.52937,0.49479,1.45009,0.81579,1.32601,0.007789,0.007789,0.007789
69,4151.26,1.37406,0.78631,1.22099,0.83243,0.7533,0.83822,0.5222,0.49194,1.45201,0.81925,1.33037,0.007756,0.007756,0.007756
70,4224.74,1.37549,0.78203,1.22091,0.82176,0.76856,0.8346,0.5229,0.48879,1.47186,0.81875,1.34238,0.007723,0.007723,0.007723
71,4295.64,1.37569,0.78505,1.21853,0.81871,0.76508,0.83346,0.52461,0.48787,1.4738,0.81736,1.34194,0.00769,0.00769,0.00769
72,4369.23,1.37473,0.78851,1.21639,0.83275,0.75575,0.83413,0.52604,0.49032,1.46266,0.8156,1.33838,0.007657,0.007657,0.007657
73,4442.92,1.36906,0.77382,1.21681,0.81944,0.76624,0.83484,0.52275,0.49108,1.45818,0.80871,1.33605,0.007624,0.007624,0.007624
74,4516.03,1.36843,0.7818,1.2182,0.82717,0.76158,0.84167,0.50436,0.48656,1.48441,0.81623,1.34999,0.007591,0.007591,0.007591
75,4589.68,1.36603,0.77974,1.2113,0.82248,0.76438,0.83387,0.53241,0.4916,1.46655,0.80851,1.341,0.007558,0.007558,0.007558
76,4663.43,1.36349,0.77157,1.21439,0.81438,0.77202,0.83513,0.52391,0.48955,1.47056,0.80523,1.34432,0.007525,0.007525,0.007525
77,4736.51,1.35448,0.76433,1.21021,0.81738,0.78346,0.84022,0.53198,0.49519,1.46166,0.7933,1.33752,0.007492,0.007492,0.007492
78,4810.41,1.35337,0.76047,1.20823,0.83865,0.7601,0.83618,0.52966,0.4935,1.46396,0.80913,1.33574,0.007459,0.007459,0.007459
79,4881.49,1.35301,0.76265,1.21283,0.80988,0.76372,0.83238,0.52334,0.48859,1.469,0.81084,1.34172,0.007426,0.007426,0.007426
80,4956.38,1.35721,0.75971,1.20373,0.81536,0.77752,0.83908,0.53152,0.49349,1.46806,0.79982,1.3377,0.007393,0.007393,0.007393
81,5030.42,1.35309,0.75291,1.20315,0.82519,0.76861,0.8407,0.5444,0.49744,1.4554,0.79018,1.33193,0.00736,0.00736,0.00736
82,5104.15,1.34773,0.75234,1.20522,0.80689,0.77608,0.83604,0.54253,0.49666,1.45707,0.79271,1.33767,0.007327,0.007327,0.007327
83,5177.29,1.34585,0.74963,1.20282,0.805,0.78541,0.83795,0.54052,0.49643,1.45089,0.79724,1.32678,0.007294,0.007294,0.007294
84,5251.01,1.33639,0.74495,1.20653,0.81719,0.78125,0.84035,0.53948,0.49538,1.47372,0.78878,1.3483,0.007261,0.007261,0.007261
85,5324.64,1.33691,0.73916,1.19153,0.83672,0.76392,0.83703,0.53951,0.49713,1.45489,0.79241,1.33477,0.007228,0.007228,0.007228
86,5397.97,1.32893,0.73838,1.1913,0.82552,0.77847,0.8409,0.54058,0.4979,1.45977,0.791,1.33992,0.007195,0.007195,0.007195
87,5471.19,1.33903,0.74185,1.20414,0.83281,0.77008,0.84262,0.54267,0.50007,1.46102,0.78704,1.34365,0.007162,0.007162,0.007162
88,5542.82,1.32781,0.74071,1.20562,0.82721,0.7729,0.84097,0.55024,0.50167,1.44708,0.79061,1.33107,0.007129,0.007129,0.007129
89,5615.9,1.33354,0.73531,1.19178,0.83947,0.77159,0.84767,0.54714,0.50133,1.45004,0.77529,1.32861,0.007096,0.007096,0.007096
90,5688.94,1.33063,0.72955,1.19216,0.82234,0.77519,0.84287,0.54143,0.50163,1.44767,0.78222,1.32812,0.007063,0.007063,0.007063
91,5761.25,1.32778,0.72917,1.18615,0.83038,0.77463,0.84442,0.53858,0.5032,1.46264,0.78032,1.34138,0.00703,0.00703,0.00703
92,5835.23,1.33052,0.74062,1.19484,0.82188,0.78235,0.84373,0.5447,0.49882,1.45869,0.78272,1.3381,0.006997,0.006997,0.006997
93,5908.68,1.32331,0.72572,1.18973,0.83803,0.77207,0.84451,0.55216,0.50246,1.45392,0.78515,1.33884,0.006964,0.006964,0.006964
94,5982.05,1.31808,0.71434,1.18467,0.83301,0.77162,0.84394,0.55173,0.5035,1.45275,0.7721,1.33203,0.006931,0.006931,0.006931
95,6054.63,1.31414,0.72026,1.19006,0.83864,0.76192,0.83995,0.54208,0.49744,1.4561,0.78565,1.33591,0.006898,0.006898,0.006898
96,6131.99,1.31564,0.72346,1.18262,0.84001,0.77271,0.84495,0.54614,0.50184,1.46044,0.77554,1.34062,0.006865,0.006865,0.006865
97,6210.96,1.31592,0.72149,1.1838,0.83129,0.78415,0.84653,0.55627,0.50253,1.44937,0.78005,1.33285,0.006832,0.006832,0.006832
98,6287.87,1.30874,0.71219,1.17808,0.83445,0.77409,0.84376,0.54838,0.50334,1.43877,0.78108,1.32784,0.006799,0.006799,0.006799
99,6361.08,1.30624,0.70988,1.17912,0.83273,0.77305,0.84627,0.55456,0.50459,1.44928,0.77719,1.3319,0.006766,0.006766,0.006766
100,6439.48,1.30648,0.71182,1.17784,0.83187,0.7772,0.84796,0.55407,0.5056,1.45134,0.77204,1.33455,0.006733,0.006733,0.006733
101,6517.65,1.30086,0.70779,1.17758,0.81056,0.79287,0.84568,0.55837,0.50495,1.45221,0.77275,1.33381,0.0067,0.0067,0.0067
102,6596.64,1.29827,0.70408,1.17622,0.83433,0.77807,0.8464,0.55815,0.50549,1.44821,0.7696,1.33474,0.006667,0.006667,0.006667
103,6676.04,1.29841,0.70225,1.17092,0.82984,0.78576,0.85015,0.56123,0.50892,1.44651,0.77183,1.32964,0.006634,0.006634,0.006634
104,6754.79,1.29387,0.69552,1.17304,0.83089,0.77956,0.84624,0.55518,0.50569,1.45434,0.7689,1.33812,0.006601,0.006601,0.006601
105,6835.72,1.29225,0.69724,1.17348,0.82052,0.78578,0.8496,0.55854,0.50802,1.45725,0.76759,1.34249,0.006568,0.006568,0.006568
106,6915.92,1.28826,0.69503,1.16958,0.8361,0.77854,0.84898,0.55597,0.50688,1.44545,0.76869,1.32852,0.006535,0.006535,0.006535
107,6995.64,1.28248,0.68831,1.1702,0.82024,0.78684,0.84603,0.55193,0.50317,1.45176,0.76931,1.33439,0.006502,0.006502,0.006502
108,7070.66,1.28444,0.69039,1.16799,0.82271,0.79205,0.84803,0.54808,0.5048,1.44884,0.77377,1.3335,0.006469,0.006469,0.006469
109,7147.18,1.28278,0.69093,1.16752,0.83977,0.78527,0.85156,0.55576,0.50725,1.45344,0.76906,1.33733,0.006436,0.006436,0.006436
110,7227.18,1.27011,0.67891,1.16288,0.82819,0.79282,0.85137,0.56045,0.50838,1.44941,0.76284,1.33758,0.006403,0.006403,0.006403
111,7306.59,1.2748,0.67896,1.16748,0.84577,0.77351,0.85035,0.55815,0.51009,1.45139,0.76143,1.33633,0.00637,0.00637,0.00637
112,7387.8,1.27723,0.68417,1.16556,0.83001,0.78398,0.84863,0.55362,0.50646,1.45983,0.7597,1.34449,0.006337,0.006337,0.006337
113,7467.61,1.27273,0.67918,1.16501,0.83423,0.78269,0.85065,0.5581,0.50797,1.46161,0.76098,1.34815,0.006304,0.006304,0.006304
114,7548.27,1.27532,0.67684,1.16335,0.83304,0.7803,0.84689,0.55997,0.50486,1.45646,0.76186,1.34278,0.006271,0.006271,0.006271
115,7631.04,1.26385,0.67168,1.15748,0.82489,0.7913,0.8476,0.55778,0.50769,1.45774,0.75489,1.34548,0.006238,0.006238,0.006238
116,7714.27,1.26602,0.67419,1.16171,0.82931,0.78557,0.84786,0.56127,0.51162,1.44472,0.75827,1.32967,0.006205,0.006205,0.006205
