epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.926,1.85635,2.70672,1.34908,0.61711,0.46405,0.49851,0.20459,0.24194,1.72291,1.84009,1.34651,0.00331921,0.00331921,0.00331921
2,103.514,1.69645,1.6797,1.25035,0.5961,0.5163,0.53572,0.22508,0.26133,1.71606,1.70345,1.3349,0.00663059,0.00663059,0.00663059
3,155.542,1.70551,1.55904,1.2691,0.61778,0.51605,0.53926,0.22478,0.26391,1.68246,1.84631,1.31228,0.00991997,0.00991997,0.00991997
4,206.885,1.70104,1.51718,1.2714,0.67298,0.55454,0.60066,0.24536,0.28947,1.67548,1.57669,1.30641,0.009901,0.009901,0.009901
5,258.462,1.66589,1.44157,1.25204,0.64796,0.56347,0.59859,0.26635,0.30011,1.64077,1.57633,1.28029,0.009868,0.009868,0.009868
6,309.039,1.64933,1.40394,1.25861,0.67477,0.49424,0.54627,0.21819,0.26121,1.78934,1.61342,1.38349,0.009835,0.009835,0.009835
7,359.635,1.6343,1.3524,1.24736,0.69355,0.57765,0.62955,0.27844,0.31803,1.65823,1.41856,1.32437,0.009802,0.009802,0.009802
8,410.605,1.6164,1.30723,1.2434,0.74772,0.60928,0.68136,0.32241,0.34937,1.58413,1.31028,1.26371,0.009769,0.009769,0.009769
9,461.128,1.60112,1.26286,1.2387,0.69362,0.58124,0.63899,0.30674,0.33098,1.5933,1.33122,1.29561,0.009736,0.009736,0.009736
10,511.526,1.58705,1.23351,1.23795,0.73609,0.61747,0.69594,0.34306,0.36586,1.55183,1.24232,1.26966,0.009703,0.009703,0.009703
11,561.982,1.57129,1.21855,1.22995,0.69193,0.60057,0.6586,0.32449,0.34387,1.59493,1.31957,1.2942,0.00967,0.00967,0.00967
12,611.877,1.56952,1.18811,1.23187,0.74445,0.63759,0.709,0.35878,0.3762,1.56276,1.18073,1.28327,0.009637,0.009637,0.009637
13,662.549,1.57525,1.17621,1.22392,0.73423,0.63301,0.71249,0.3596,0.37706,1.56032,1.20239,1.27305,0.009604,0.009604,0.009604
14,713.821,1.55163,1.16996,1.22691,0.73177,0.66029,0.72121,0.37866,0.38738,1.53096,1.15542,1.26168,0.009571,0.009571,0.009571
15,766.376,1.54555,1.15289,1.21884,0.73012,0.63843,0.71327,0.38688,0.3894,1.51957,1.18589,1.25029,0.009538,0.009538,0.009538
16,818.798,1.53789,1.12494,1.22316,0.76311,0.68678,0.76081,0.41104,0.41395,1.50448,1.08719,1.25692,0.009505,0.009505,0.009505
17,873.415,1.53537,1.12039,1.20909,0.73839,0.63264,0.7188,0.38979,0.38978,1.55021,1.16763,1.29266,0.009472,0.009472,0.009472
18,927.965,1.52944,1.09831,1.21985,0.75568,0.66883,0.74353,0.40727,0.40741,1.53487,1.08114,1.27981,0.009439,0.009439,0.009439
19,981.816,1.52775,1.09,1.21152,0.7643,0.65744,0.74636,0.41899,0.41464,1.51046,1.09413,1.25324,0.009406,0.009406,0.009406
20,1035.4,1.51777,1.08271,1.21144,0.75837,0.64754,0.73366,0.39957,0.40013,1.5397,1.11689,1.27066,0.009373,0.009373,0.009373
21,1090.17,1.51757,1.07632,1.21022,0.77105,0.68403,0.76411,0.42934,0.42591,1.49516,1.09672,1.24987,0.00934,0.00934,0.00934
22,1142.91,1.51026,1.05523,1.20929,0.784,0.68441,0.76624,0.41783,0.42123,1.50223,1.06753,1.26221,0.009307,0.009307,0.009307
23,1194.97,1.50009,1.04328,1.19802,0.76976,0.66883,0.75134,0.41664,0.41234,1.50575,1.08856,1.24492,0.009274,0.009274,0.009274
24,1245.91,1.49929,1.03042,1.20531,0.77071,0.69208,0.76438,0.43394,0.42748,1.48662,1.11032,1.26055,0.009241,0.009241,0.009241
25,1296.46,1.49339,1.02131,1.20229,0.77829,0.71197,0.78662,0.45887,0.44476,1.4707,1.01625,1.2293,0.009208,0.009208,0.009208
26,1346.75,1.48597,1.00569,1.21058,0.78127,0.70423,0.78192,0.45317,0.43915,1.46944,1.02869,1.24492,0.009175,0.009175,0.009175
27,1396.87,1.48719,1.01668,1.20399,0.79608,0.70504,0.78368,0.43572,0.43455,1.50667,1.02867,1.27109,0.009142,0.009142,0.009142
28,1447.31,1.48691,1.00205,1.20456,0.77062,0.71629,0.78942,0.46092,0.44664,1.47891,1.00835,1.24848,0.009109,0.009109,0.009109
29,1497.5,1.46986,0.99552,1.1942,0.76785,0.70276,0.76703,0.42713,0.42167,1.56888,1.02801,1.30362,0.009076,0.009076,0.009076
30,1547.52,1.47677,0.98295,1.20392,0.77107,0.70282,0.77765,0.44315,0.43522,1.48288,0.99289,1.2625,0.009043,0.009043,0.009043
31,1597.85,1.47565,0.98551,1.20081,0.78827,0.69755,0.77825,0.43921,0.43233,1.52042,0.99566,1.2744,0.00901,0.00901,0.00901
32,1647.79,1.47285,0.97675,1.19293,0.79727,0.69647,0.78789,0.46439,0.44844,1.49318,0.9948,1.25937,0.008977,0.008977,0.008977
33,1696.18,1.4656,0.97118,1.19245,0.78375,0.7327,0.80001,0.46639,0.45147,1.47296,0.98361,1.24535,0.008944,0.008944,0.008944
34,1744.12,1.46284,0.95582,1.18829,0.78328,0.71621,0.78791,0.46982,0.45133,1.46214,0.9877,1.23147,0.008911,0.008911,0.008911
35,1791.06,1.45809,0.95119,1.19636,0.80609,0.72528,0.80263,0.47308,0.45439,1.47541,0.94563,1.25015,0.008878,0.008878,0.008878
36,1839.09,1.46444,0.95533,1.18755,0.80239,0.72039,0.80251,0.47937,0.45704,1.48211,0.95619,1.26344,0.008845,0.008845,0.008845
37,1886.48,1.45913,0.94932,1.19403,0.80047,0.73242,0.80179,0.48185,0.4594,1.466,0.94112,1.25673,0.008812,0.008812,0.008812
38,1934.58,1.46179,0.93733,1.19945,0.79151,0.74272,0.80829,0.48628,0.46259,1.46227,0.93999,1.2515,0.008779,0.008779,0.008779
39,1984.58,1.44866,0.9359,1.1926,0.79403,0.75345,0.81482,0.48371,0.46652,1.47048,0.9376,1.25629,0.008746,0.008746,0.008746
40,2034.66,1.44275,0.92615,1.18654,0.77035,0.74801,0.80163,0.47785,0.45853,1.46495,0.92637,1.24696,0.008713,0.008713,0.008713
41,2085.03,1.4498,0.92089,1.19055,0.79752,0.72641,0.80237,0.47648,0.45425,1.4858,0.93929,1.26337,0.00868,0.00868,0.00868
42,2135.03,1.43781,0.92362,1.18225,0.80011,0.74604,0.81684,0.48008,0.46357,1.46066,0.92207,1.24355,0.008647,0.008647,0.008647
