epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.4498,2.80353,2.77145,2.65194,0.54019,0.47441,0.45681,0.13411,0.19646,2.05374,1.72593,1.91954,0.00331921,0.00331921,0.00331921
2,172.167,1.93273,1.57153,1.66715,0.63541,0.51832,0.54168,0.20576,0.2574,1.78494,1.60296,1.63011,0.00663059,0.00663059,0.00663059
3,254.352,1.86736,1.49489,1.5543,0.66549,0.51627,0.5575,0.22224,0.26422,1.82033,1.60285,1.61972,0.00991997,0.00991997,0.00991997
4,335.614,1.81922,1.47415,1.50011,0.59094,0.38794,0.41036,0.11108,0.17392,2.14565,1.82651,1.79958,0.009901,0.009901,0.009901
5,414.914,1.75631,1.40099,1.44763,0.594,0.45875,0.49242,0.18013,0.22885,1.89701,1.60019,1.64609,0.009868,0.009868,0.009868
6,496.313,1.72265,1.37552,1.43257,0.65108,0.54169,0.59364,0.22235,0.28033,1.84959,1.5706,1.58228,0.009835,0.009835,0.009835
7,578.11,1.6994,1.31439,1.40461,0.70812,0.58862,0.64945,0.26433,0.31687,1.73754,1.42462,1.52873,0.009802,0.009802,0.009802
8,659.537,1.67896,1.28847,1.3943,0.69663,0.60248,0.65738,0.29042,0.32799,1.6775,1.31857,1.46548,0.009769,0.009769,0.009769
9,740.453,1.66054,1.25852,1.38329,0.72954,0.63432,0.70325,0.33228,0.3601,1.63884,1.2522,1.44104,0.009736,0.009736,0.009736
10,819.803,1.64291,1.21808,1.37361,0.75836,0.62426,0.7039,0.36492,0.37481,1.58282,1.21416,1.42223,0.009703,0.009703,0.009703
11,901.435,1.62972,1.20646,1.3646,0.73244,0.59441,0.66889,0.30606,0.34104,1.6475,1.26457,1.44901,0.00967,0.00967,0.00967
12,983.287,1.62466,1.17909,1.36455,0.71768,0.6682,0.71691,0.35291,0.37773,1.58417,1.21162,1.40817,0.009637,0.009637,0.009637
13,1064.01,1.62507,1.16098,1.34745,0.74131,0.61213,0.68654,0.30049,0.34658,1.72172,1.24954,1.48709,0.009604,0.009604,0.009604
14,1138.06,1.59952,1.16168,1.34724,0.74933,0.63205,0.70919,0.34973,0.36832,1.64558,1.17869,1.44213,0.009571,0.009571,0.009571
15,1196.46,1.59715,1.14178,1.34219,0.76399,0.6652,0.73803,0.36963,0.38995,1.58802,1.11328,1.40304,0.009538,0.009538,0.009538
16,1254.01,1.58598,1.11937,1.34502,0.78356,0.64756,0.73924,0.38418,0.39649,1.57019,1.13449,1.40366,0.009505,0.009505,0.009505
17,1310.17,1.58627,1.11469,1.32762,0.75748,0.69302,0.75198,0.38038,0.3988,1.59369,1.08264,1.41482,0.009472,0.009472,0.009472
18,1366.53,1.57001,1.08758,1.33133,0.74857,0.65864,0.73115,0.3685,0.38954,1.60883,1.1233,1.42583,0.009439,0.009439,0.009439
19,1423.57,1.5646,1.08154,1.31714,0.77922,0.67938,0.76009,0.40944,0.41391,1.54622,1.06209,1.38562,0.009406,0.009406,0.009406
20,1480.43,1.55646,1.06854,1.31819,0.75297,0.66925,0.74004,0.38448,0.39707,1.59473,1.10228,1.41073,0.009373,0.009373,0.009373
21,1535.3,1.56134,1.06611,1.32108,0.77177,0.66487,0.74298,0.38976,0.39971,1.55446,1.06542,1.38996,0.00934,0.00934,0.00934
22,1590.38,1.54685,1.04326,1.31427,0.76493,0.69723,0.76914,0.42159,0.42074,1.50205,1.10197,1.35768,0.009307,0.009307,0.009307
23,1648.15,1.53968,1.0375,1.30449,0.77287,0.66897,0.75411,0.40612,0.41064,1.53292,1.07996,1.37302,0.009274,0.009274,0.009274
24,1705.96,1.53255,1.03041,1.30488,0.77011,0.67116,0.7527,0.40868,0.41249,1.55999,1.06041,1.38942,0.009241,0.009241,0.009241
25,1763.67,1.52627,1.005,1.30107,0.78425,0.69941,0.77006,0.41383,0.41991,1.58157,0.99528,1.40168,0.009208,0.009208,0.009208
26,1822.33,1.52126,1.00131,1.30462,0.78729,0.70859,0.78278,0.42404,0.43069,1.50992,1.02129,1.36147,0.009175,0.009175,0.009175
27,1880.05,1.51974,1.00466,1.3018,0.77716,0.69205,0.76363,0.40551,0.4144,1.57073,1.00977,1.39521,0.009142,0.009142,0.009142
28,1938.56,1.51786,0.99512,1.29514,0.77709,0.70777,0.78614,0.44887,0.43753,1.53618,0.99796,1.38337,0.009109,0.009109,0.009109
29,1996.1,1.50423,0.98682,1.29421,0.79352,0.69984,0.76849,0.42547,0.41918,1.58535,0.97111,1.41042,0.009076,0.009076,0.009076
30,2054.27,1.50279,0.98257,1.29026,0.78394,0.69001,0.76634,0.41756,0.41933,1.53481,1.03964,1.36918,0.009043,0.009043,0.009043
31,2111.88,1.50531,0.98638,1.29212,0.77846,0.73067,0.7961,0.43533,0.43633,1.55912,0.94533,1.38755,0.00901,0.00901,0.00901
32,2169.87,1.49726,0.95861,1.28018,0.79447,0.71454,0.78651,0.44244,0.43567,1.52413,0.98116,1.36184,0.008977,0.008977,0.008977
33,2228.24,1.48931,0.94837,1.28091,0.81257,0.7137,0.80363,0.46593,0.45245,1.50817,0.93871,1.36322,0.008944,0.008944,0.008944
34,2287.12,1.49523,0.95078,1.28214,0.77798,0.72415,0.79521,0.46138,0.44923,1.50351,0.94722,1.35875,0.008911,0.008911,0.008911
35,2345.24,1.48423,0.95438,1.28111,0.78838,0.72574,0.79891,0.45218,0.4444,1.51072,0.96666,1.35912,0.008878,0.008878,0.008878
36,2402.58,1.49422,0.94305,1.2775,0.80456,0.70289,0.78298,0.45606,0.43941,1.51596,0.96773,1.3667,0.008845,0.008845,0.008845
37,2460.71,1.48507,0.94552,1.28034,0.7957,0.70241,0.78115,0.44518,0.43568,1.52833,0.98034,1.37615,0.008812,0.008812,0.008812
38,2519.05,1.47825,0.92998,1.27564,0.7922,0.71863,0.79137,0.46615,0.44867,1.50923,0.93028,1.36442,0.008779,0.008779,0.008779
39,2576.63,1.47035,0.92344,1.27401,0.80726,0.73629,0.81175,0.47188,0.4582,1.50212,0.92475,1.3581,0.008746,0.008746,0.008746
40,2634.99,1.46834,0.9203,1.27417,0.80789,0.70484,0.7908,0.46073,0.44439,1.50018,0.94608,1.35199,0.008713,0.008713,0.008713
41,2693.42,1.47129,0.92236,1.27065,0.80368,0.72285,0.79312,0.46052,0.44455,1.52391,0.92974,1.36666,0.00868,0.00868,0.00868
42,2751.05,1.45613,0.90637,1.26686,0.80486,0.73868,0.80917,0.46769,0.45721,1.49849,0.92195,1.35673,0.008647,0.008647,0.008647
43,2808.77,1.44881,0.89617,1.25859,0.79554,0.73941,0.80778,0.47225,0.45947,1.49133,0.90456,1.35521,0.008614,0.008614,0.008614
