epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.0123,1.85582,2.81858,1.37987,0.59355,0.46459,0.47763,0.18521,0.22666,1.76366,1.92068,1.45892,0.00331921,0.00331921,0.00331921
2,106.786,1.72235,1.67694,1.3285,0.60386,0.42947,0.45602,0.18426,0.22148,1.80439,1.98056,1.45501,0.00663059,0.00663059,0.00663059
3,159.74,1.722,1.56797,1.32542,0.5842,0.4488,0.46077,0.19314,0.22254,1.81292,1.94631,1.47663,0.00991997,0.00991997,0.00991997
4,212.273,1.71331,1.52697,1.31766,0.63915,0.49082,0.5325,0.2003,0.25016,1.77315,1.82001,1.4178,0.009901,0.009901,0.009901
5,265.045,1.68448,1.43849,1.2968,0.67985,0.59471,0.63664,0.27447,0.31393,1.64386,1.57094,1.35782,0.009868,0.009868,0.009868
6,317.619,1.65876,1.39822,1.28932,0.7068,0.58195,0.64525,0.26806,0.31621,1.65594,1.41216,1.34763,0.009835,0.009835,0.009835
7,370.35,1.64755,1.33615,1.27298,0.71026,0.6118,0.66996,0.31707,0.34344,1.63838,1.32336,1.32066,0.009802,0.009802,0.009802
8,422.682,1.62506,1.30463,1.26643,0.72686,0.61723,0.68852,0.33007,0.35612,1.57383,1.28741,1.30627,0.009769,0.009769,0.009769
9,475.27,1.61304,1.26456,1.2629,0.72317,0.60086,0.67408,0.33102,0.35257,1.60527,1.34999,1.31718,0.009736,0.009736,0.009736
10,527.973,1.59719,1.22928,1.25708,0.67448,0.57773,0.63864,0.32371,0.33827,1.6062,1.39157,1.3107,0.009703,0.009703,0.009703
11,580.573,1.58453,1.20945,1.24905,0.75909,0.6353,0.71987,0.37299,0.38452,1.53957,1.20595,1.28228,0.00967,0.00967,0.00967
12,633.087,1.58316,1.18636,1.25109,0.73304,0.60377,0.6713,0.32512,0.34747,1.65157,1.22396,1.35852,0.009637,0.009637,0.009637
13,685.785,1.58437,1.17339,1.24234,0.75625,0.64976,0.72973,0.37552,0.39106,1.55948,1.18072,1.28839,0.009604,0.009604,0.009604
14,737.824,1.56053,1.17381,1.23754,0.72779,0.63225,0.69907,0.36065,0.37324,1.57626,1.23385,1.31059,0.009571,0.009571,0.009571
15,790.485,1.55983,1.14569,1.23783,0.75656,0.67143,0.74028,0.40425,0.40374,1.51011,1.13564,1.25234,0.009538,0.009538,0.009538
16,842.585,1.55183,1.12373,1.23813,0.71951,0.6556,0.71985,0.38508,0.39022,1.55387,1.19894,1.29127,0.009505,0.009505,0.009505
