epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.3443,2.76557,2.84639,2.72987,0.61153,0.38564,0.42441,0.13602,0.19106,2.00665,1.7918,1.95577,0.00331921,0.00331921,0.00331921
2,117.141,1.92575,1.58662,1.67218,0.64041,0.49645,0.54364,0.21045,0.25892,1.83613,1.56578,1.6672,0.00663059,0.00663059,0.00663059
3,175.077,1.86362,1.49416,1.55717,0.56278,0.36398,0.38107,0.11246,0.16261,2.05367,1.93681,1.77055,0.00991997,0.00991997,0.00991997
4,232.262,1.82197,1.46578,1.5009,0.62432,0.56985,0.60048,0.21476,0.27738,1.80369,1.66307,1.58102,0.009901,0.009901,0.009901
5,289.503,1.7618,1.40082,1.45237,0.48592,0.36006,0.35441,0.1107,0.15311,2.16038,2.58976,1.8253,0.009868,0.009868,0.009868
6,346.229,1.72662,1.36832,1.43878,0.70704,0.60845,0.66011,0.27157,0.32213,1.69959,1.39654,1.48974,0.009835,0.009835,0.009835
7,402.806,1.71192,1.32666,1.41203,0.66812,0.53211,0.58985,0.24063,0.28821,1.76116,1.47535,1.53473,0.009802,0.009802,0.009802
8,459.459,1.68423,1.27444,1.39766,0.69543,0.5555,0.62159,0.26316,0.30514,1.74376,1.40797,1.5286,0.009769,0.009769,0.009769
9,515.764,1.66759,1.25369,1.38955,0.76026,0.64779,0.73042,0.34465,0.37625,1.60358,1.21652,1.42263,0.009736,0.009736,0.009736
10,572.441,1.65555,1.21824,1.38393,0.72715,0.63104,0.68881,0.34348,0.36039,1.6237,1.23883,1.44362,0.009703,0.009703,0.009703
11,629.222,1.63742,1.20247,1.37134,0.74956,0.64628,0.72288,0.36758,0.38194,1.5828,1.17483,1.40882,0.00967,0.00967,0.00967
12,686.287,1.63122,1.18076,1.36935,0.75362,0.65852,0.72465,0.35812,0.37691,1.60183,1.17966,1.42296,0.009637,0.009637,0.009637
13,743.477,1.63103,1.15888,1.35267,0.75693,0.64926,0.72948,0.35445,0.38214,1.60721,1.17829,1.42617,0.009604,0.009604,0.009604
14,800.129,1.6057,1.15579,1.35233,0.75608,0.63557,0.71548,0.35195,0.3702,1.63717,1.14713,1.43887,0.009571,0.009571,0.009571
15,857.076,1.60099,1.14151,1.34775,0.74614,0.66899,0.73282,0.36534,0.38816,1.61175,1.13603,1.42853,0.009538,0.009538,0.009538
16,914.008,1.5887,1.11387,1.34867,0.77545,0.64589,0.74289,0.39272,0.40169,1.55958,1.11113,1.39707,0.009505,0.009505,0.009505
17,970.869,1.59271,1.12025,1.33177,0.77265,0.66979,0.75287,0.39958,0.40639,1.56274,1.07647,1.40066,0.009472,0.009472,0.009472
18,1027.63,1.57721,1.08106,1.33519,0.75303,0.66278,0.73944,0.39173,0.40122,1.59228,1.11933,1.41488,0.009439,0.009439,0.009439
19,1084.75,1.57224,1.07195,1.32319,0.74962,0.65907,0.7358,0.37831,0.39224,1.6039,1.11641,1.42685,0.009406,0.009406,0.009406
20,1141.03,1.56119,1.06218,1.32085,0.73742,0.64307,0.72261,0.3752,0.38533,1.59748,1.13871,1.41247,0.009373,0.009373,0.009373
21,1197.82,1.56445,1.05968,1.32257,0.78693,0.64307,0.73617,0.38765,0.39822,1.56675,1.104,1.39657,0.00934,0.00934,0.00934
22,1255.15,1.55631,1.04423,1.32103,0.77217,0.68169,0.76001,0.40189,0.40923,1.54306,1.09438,1.38775,0.009307,0.009307,0.009307
23,1312,1.54207,1.02951,1.3081,0.77068,0.69044,0.76434,0.40904,0.41424,1.54782,1.02762,1.38442,0.009274,0.009274,0.009274
24,1368.97,1.54437,1.0267,1.3127,0.75761,0.64166,0.71153,0.35108,0.37588,1.62149,1.14284,1.43442,0.009241,0.009241,0.009241
25,1425.75,1.53275,1.00581,1.3056,0.77267,0.68169,0.75852,0.40465,0.41263,1.57113,1.02983,1.39595,0.009208,0.009208,0.009208
26,1482.48,1.5232,0.99609,1.30765,0.77655,0.71363,0.78489,0.43834,0.43357,1.525,0.99517,1.36959,0.009175,0.009175,0.009175
27,1539.21,1.52381,0.99737,1.30209,0.77445,0.70323,0.77293,0.41954,0.42057,1.54348,0.97711,1.37844,0.009142,0.009142,0.009142
28,1595.35,1.52137,0.99098,1.29869,0.787,0.69871,0.77793,0.43906,0.43271,1.5078,1.00884,1.35913,0.009109,0.009109,0.009109
29,1651.09,1.50536,0.98594,1.29658,0.78195,0.69935,0.77133,0.42312,0.4236,1.57517,0.95929,1.39922,0.009076,0.009076,0.009076
30,1706.87,1.50902,0.9742,1.29374,0.76388,0.7212,0.78016,0.43199,0.43043,1.52306,1.00933,1.36572,0.009043,0.009043,0.009043
31,1761.79,1.5067,0.97697,1.29513,0.79063,0.68526,0.76402,0.42937,0.42376,1.55296,1.00092,1.39015,0.00901,0.00901,0.00901
32,1816.32,1.50316,0.96448,1.28707,0.77755,0.70834,0.77777,0.42407,0.42826,1.53739,1.03889,1.37486,0.008977,0.008977,0.008977
