epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.05,1.89586,3.01014,1.43646,0.50989,0.37275,0.41262,0.15429,0.19589,1.78486,2.0821,1.41152,0.00331019,0.00331019,0.00331019
2,179.027,1.78027,1.83724,1.36953,0.55286,0.47876,0.48574,0.18988,0.23122,1.76684,1.99443,1.43485,0.00662159,0.00662159,0.00662159
3,270.761,1.78262,1.73996,1.3788,0.54729,0.24058,0.25105,0.07729,0.10861,2.13404,2.62334,1.65803,0.009911,0.009911,0.009911
4,353.029,1.77733,1.67894,1.36217,0.58486,0.4409,0.46506,0.19325,0.22485,1.82941,1.82665,1.49653,0.009901,0.009901,0.009901
5,443.805,1.7449,1.59083,1.35453,0.68793,0.44267,0.48826,0.1937,0.23599,1.81501,1.81989,1.45091,0.009868,0.009868,0.009868
6,530.721,1.71514,1.49982,1.33676,0.64868,0.50334,0.52885,0.22499,0.25954,1.7533,1.59033,1.42917,0.009835,0.009835,0.009835
7,614.867,1.70004,1.47818,1.33006,0.62999,0.51414,0.54841,0.23128,0.27113,1.68758,1.5884,1.38009,0.009802,0.009802,0.009802
8,704.314,1.67394,1.41891,1.32009,0.58198,0.50936,0.51046,0.20797,0.24946,1.6811,2.22719,1.37928,0.009769,0.009769,0.009769
9,785.835,1.67302,1.40373,1.32271,0.63692,0.49047,0.52661,0.21573,0.25881,1.78564,1.56,1.44156,0.009736,0.009736,0.009736
10,874.568,1.66765,1.36089,1.31732,0.70195,0.5429,0.60587,0.28188,0.31251,1.61619,1.40972,1.33641,0.009703,0.009703,0.009703
11,956.306,1.64792,1.33149,1.30449,0.704,0.57943,0.63818,0.29263,0.32698,1.66737,1.33365,1.38428,0.00967,0.00967,0.00967
12,1045.12,1.63691,1.30958,1.29873,0.68604,0.49015,0.55066,0.22669,0.27097,1.71001,1.57142,1.37923,0.009637,0.009637,0.009637
13,1127.49,1.62299,1.28972,1.29446,0.71203,0.55946,0.61796,0.30132,0.32145,1.64323,1.32694,1.36076,0.009604,0.009604,0.009604
14,1214.78,1.63404,1.27888,1.29425,0.71603,0.55579,0.62202,0.30387,0.32559,1.63069,1.35546,1.34466,0.009571,0.009571,0.009571
15,1297.67,1.61755,1.27455,1.28817,0.70586,0.59557,0.65271,0.32072,0.34173,1.60136,1.26489,1.33141,0.009538,0.009538,0.009538
16,1385.65,1.61387,1.24867,1.2845,0.72832,0.57742,0.6493,0.31239,0.33727,1.6175,1.31197,1.33081,0.009505,0.009505,0.009505
17,1468.36,1.59798,1.22553,1.27448,0.72916,0.57674,0.63126,0.30687,0.32664,1.61499,1.26154,1.349,0.009472,0.009472,0.009472
18,1557.8,1.59792,1.20923,1.27202,0.74657,0.61037,0.67414,0.36114,0.36349,1.57927,1.188,1.3292,0.009439,0.009439,0.009439
19,1640.3,1.58374,1.2087,1.27332,0.69769,0.59527,0.64515,0.33023,0.34222,1.56668,1.26921,1.3202,0.009406,0.009406,0.009406
20,1732.46,1.57843,1.19109,1.25836,0.7342,0.59781,0.65928,0.34188,0.35108,1.58378,1.28697,1.32376,0.009373,0.009373,0.009373
21,1817.23,1.57493,1.17027,1.25943,0.73092,0.6267,0.6834,0.34558,0.3605,1.57604,1.1972,1.31408,0.00934,0.00934,0.00934
22,1903.02,1.56956,1.15094,1.25491,0.73695,0.61475,0.68627,0.3372,0.36205,1.62019,1.1585,1.34186,0.009307,0.009307,0.009307
23,1988.81,1.57183,1.15475,1.25901,0.74812,0.59675,0.65798,0.3216,0.34614,1.6435,1.18016,1.35751,0.009274,0.009274,0.009274
24,2073.38,1.56841,1.14481,1.25587,0.73744,0.60933,0.67937,0.35988,0.36731,1.57012,1.24561,1.30181,0.009241,0.009241,0.009241
25,2160.82,1.55152,1.1326,1.24749,0.7432,0.63121,0.69634,0.37219,0.37555,1.56752,1.16264,1.30917,0.009208,0.009208,0.009208
26,2242.97,1.55253,1.11908,1.24793,0.74556,0.6146,0.68268,0.37734,0.37204,1.56702,1.14907,1.31469,0.009175,0.009175,0.009175
27,2330.56,1.55795,1.11829,1.24248,0.74489,0.63002,0.69415,0.36464,0.37318,1.57447,1.12815,1.32191,0.009142,0.009142,0.009142
28,2412.88,1.54103,1.10957,1.23674,0.76001,0.62913,0.69763,0.37159,0.37644,1.5651,1.10506,1.31237,0.009109,0.009109,0.009109
29,2498.39,1.55077,1.10816,1.24702,0.7559,0.62923,0.69261,0.36458,0.3717,1.59088,1.10579,1.3457,0.009076,0.009076,0.009076
30,2581.64,1.54214,1.07915,1.23438,0.741,0.59117,0.67093,0.35116,0.36292,1.57595,1.18849,1.32284,0.009043,0.009043,0.009043
31,2669.39,1.54128,1.08484,1.23101,0.76723,0.63326,0.70584,0.39249,0.38743,1.54653,1.12258,1.30148,0.00901,0.00901,0.00901
32,2751.81,1.5485,1.06647,1.23728,0.75349,0.63289,0.70126,0.35711,0.37479,1.57946,1.13092,1.31598,0.008977,0.008977,0.008977
33,2839.94,1.53001,1.06915,1.23,0.75828,0.66297,0.72171,0.39288,0.39601,1.54379,1.05018,1.3065,0.008944,0.008944,0.008944
34,2921.06,1.52738,1.06189,1.2282,0.74565,0.66219,0.71886,0.38154,0.38833,1.5546,1.07628,1.30029,0.008911,0.008911,0.008911
35,3007.39,1.52024,1.05833,1.22777,0.74443,0.59615,0.66751,0.33535,0.35128,1.63245,1.16527,1.3487,0.008878,0.008878,0.008878
