epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2749,1.8929,3.0001,1.43589,0.72455,0.3689,0.38185,0.13497,0.17484,1.84474,2.086,1.48009,0.00331019,0.00331019,0.00331019
2,75.6305,1.76524,1.83818,1.36936,0.60048,0.50498,0.52891,0.22159,0.26086,1.68317,1.81703,1.40138,0.00662159,0.00662159,0.00662159
3,113.487,1.7698,1.72501,1.38247,0.53349,0.30367,0.32329,0.11256,0.14748,2.03505,2.23562,1.62149,0.009911,0.009911,0.009911
4,150.613,1.75531,1.68808,1.34818,0.57469,0.44564,0.45514,0.17029,0.21327,1.83478,1.82216,1.48739,0.009901,0.009901,0.009901
5,187.782,1.73603,1.58892,1.35069,0.64214,0.52454,0.56032,0.21472,0.26775,1.71761,1.59196,1.38818,0.009868,0.009868,0.009868
6,224.881,1.71219,1.51588,1.33479,0.68349,0.4571,0.50296,0.19879,0.24096,1.79193,1.71906,1.45948,0.009835,0.009835,0.009835
7,262.574,1.68999,1.47837,1.32356,0.61306,0.52721,0.55237,0.24068,0.27666,1.65848,1.64504,1.37697,0.009802,0.009802,0.009802
8,299.739,1.67266,1.41526,1.31321,0.66276,0.4241,0.47143,0.19078,0.2259,1.76437,2.00781,1.41539,0.009769,0.009769,0.009769
9,336.831,1.66562,1.41427,1.3162,0.68951,0.5678,0.62083,0.28558,0.31847,1.65561,1.40414,1.35207,0.009736,0.009736,0.009736
10,373.716,1.65314,1.35548,1.30668,0.61086,0.48323,0.51481,0.21432,0.25238,1.76944,1.75674,1.43839,0.009703,0.009703,0.009703
11,411.095,1.63674,1.33345,1.29547,0.71822,0.5678,0.63517,0.3147,0.33113,1.62059,1.32213,1.34491,0.00967,0.00967,0.00967
12,448.339,1.62869,1.3218,1.293,0.69543,0.58368,0.63529,0.30991,0.32942,1.61966,1.33171,1.33357,0.009637,0.009637,0.009637
13,485.941,1.61655,1.29255,1.29092,0.70386,0.56931,0.62322,0.29214,0.31995,1.61602,1.33701,1.34359,0.009604,0.009604,0.009604
14,523.249,1.62573,1.28115,1.28555,0.68397,0.60705,0.63943,0.30256,0.33006,1.63576,1.38006,1.34633,0.009571,0.009571,0.009571
15,560.638,1.61589,1.27641,1.2815,0.68016,0.59572,0.64787,0.32398,0.34289,1.58427,1.30659,1.32451,0.009538,0.009538,0.009538
