epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7553,1.90173,3.05252,1.4193,0.52005,0.38295,0.39498,0.14624,0.18864,1.80868,2.05233,1.39655,0.00331019,0.00331019,0.00331019
2,76.1914,1.78654,1.85741,1.34106,0.58961,0.38354,0.40784,0.13942,0.18563,1.91881,2.04702,1.52629,0.00662159,0.00662159,0.00662159
3,113.618,1.77987,1.74434,1.36056,0.55775,0.39341,0.40316,0.14113,0.18529,1.89335,1.99617,1.49009,0.009911,0.009911,0.009911
4,150.819,1.77135,1.67034,1.34319,0.60193,0.47074,0.48518,0.18247,0.22809,1.7697,1.7775,1.41595,0.009901,0.009901,0.009901
5,187.717,1.74292,1.59879,1.3365,0.59835,0.40606,0.42456,0.17242,0.20611,1.83665,1.87389,1.47878,0.009868,0.009868,0.009868
6,224.466,1.71317,1.50542,1.32404,0.64536,0.48423,0.51411,0.19534,0.2413,1.83082,1.66658,1.47382,0.009835,0.009835,0.009835
7,261.206,1.70052,1.46471,1.31838,0.64052,0.47488,0.52013,0.22737,0.25955,1.71812,1.68824,1.39292,0.009802,0.009802,0.009802
8,297.942,1.67312,1.41871,1.30746,0.69043,0.50098,0.54716,0.22585,0.26784,1.74999,1.57402,1.39225,0.009769,0.009769,0.009769
9,334.984,1.67644,1.40393,1.31258,0.66828,0.56132,0.61342,0.27784,0.31009,1.66883,1.48103,1.34086,0.009736,0.009736,0.009736
10,371.763,1.66112,1.35409,1.30018,0.66267,0.53117,0.55943,0.2318,0.27458,1.72415,1.52155,1.38788,0.009703,0.009703,0.009703
11,408.891,1.65004,1.33005,1.29425,0.68458,0.5819,0.62729,0.31272,0.32935,1.63455,1.35223,1.34657,0.00967,0.00967,0.00967
12,445.351,1.63918,1.32634,1.29076,0.71322,0.53238,0.60026,0.28471,0.30864,1.64282,1.41713,1.33062,0.009637,0.009637,0.009637
13,482.383,1.62711,1.29725,1.28372,0.70714,0.57346,0.63299,0.31688,0.33169,1.60971,1.37532,1.33021,0.009604,0.009604,0.009604
14,518.797,1.63301,1.28926,1.28042,0.70619,0.55264,0.60763,0.30544,0.32036,1.62049,1.36987,1.34544,0.009571,0.009571,0.009571
15,555.99,1.6239,1.27389,1.28495,0.7142,0.60654,0.66306,0.33466,0.35005,1.58959,1.26183,1.30587,0.009538,0.009538,0.009538
16,592.655,1.61522,1.24351,1.27765,0.75217,0.60132,0.676,0.32682,0.35157,1.64937,1.23175,1.3633,0.009505,0.009505,0.009505
17,629.613,1.60599,1.22596,1.2768,0.74995,0.55415,0.62791,0.31822,0.33326,1.60967,1.28326,1.33894,0.009472,0.009472,0.009472
18,666.347,1.59853,1.21268,1.26673,0.7354,0.61045,0.66681,0.34296,0.35319,1.589,1.19311,1.34005,0.009439,0.009439,0.009439
19,703.231,1.58505,1.20542,1.27223,0.71279,0.5892,0.63886,0.31621,0.33538,1.63366,1.28051,1.35615,0.009406,0.009406,0.009406
20,740.621,1.58409,1.18094,1.26129,0.73568,0.53111,0.59969,0.29207,0.31257,1.66613,1.31487,1.37516,0.009373,0.009373,0.009373
21,777.796,1.5775,1.15659,1.26504,0.71195,0.54545,0.61185,0.29426,0.3176,1.67585,1.31016,1.36871,0.00934,0.00934,0.00934
22,814.719,1.57706,1.15478,1.26049,0.72755,0.61361,0.66821,0.33488,0.35036,1.63203,1.16275,1.35886,0.009307,0.009307,0.009307
23,852.062,1.57451,1.14855,1.2622,0.73904,0.61369,0.68232,0.35247,0.36466,1.58627,1.1776,1.31922,0.009274,0.009274,0.009274
24,888.801,1.57332,1.14537,1.26106,0.75789,0.62443,0.69923,0.37443,0.3807,1.55677,1.15008,1.30533,0.009241,0.009241,0.009241
25,925.98,1.55416,1.11507,1.25195,0.76279,0.59703,0.67354,0.35783,0.36349,1.58031,1.22661,1.32489,0.009208,0.009208,0.009208
26,962.962,1.56373,1.11593,1.2539,0.74673,0.62135,0.68685,0.35872,0.36667,1.61106,1.12988,1.34429,0.009175,0.009175,0.009175
27,999.688,1.56239,1.12444,1.24609,0.72819,0.64953,0.69989,0.37939,0.38051,1.57456,1.09588,1.33092,0.009142,0.009142,0.009142
28,1037.12,1.54478,1.11809,1.23564,0.72497,0.60712,0.66103,0.33827,0.35071,1.60913,1.16872,1.33547,0.009109,0.009109,0.009109
29,1074.55,1.55629,1.1131,1.25151,0.75446,0.59002,0.66631,0.35478,0.36147,1.58553,1.21708,1.32859,0.009076,0.009076,0.009076
30,1111.27,1.54522,1.08009,1.23844,0.75845,0.59072,0.67819,0.35359,0.36543,1.5881,1.15535,1.33084,0.009043,0.009043,0.009043
31,1148.26,1.54436,1.08443,1.23303,0.75082,0.61302,0.67545,0.35124,0.36141,1.60075,1.12841,1.33014,0.00901,0.00901,0.00901
32,1184.96,1.54316,1.07134,1.23634,0.75703,0.65793,0.71736,0.38163,0.39063,1.55238,1.06998,1.3149,0.008977,0.008977,0.008977
33,1221.82,1.53555,1.06755,1.23483,0.75539,0.66379,0.71559,0.38357,0.39156,1.54105,1.06054,1.30504,0.008944,0.008944,0.008944
34,1258.86,1.53447,1.06521,1.23568,0.76648,0.64073,0.71538,0.38229,0.38745,1.55267,1.08261,1.30411,0.008911,0.008911,0.008911
35,1296.25,1.52246,1.05632,1.23093,0.74226,0.65069,0.71097,0.38673,0.38708,1.56738,1.07033,1.32314,0.008878,0.008878,0.008878
36,1333.14,1.52251,1.05784,1.23475,0.77081,0.6412,0.70831,0.3782,0.38326,1.55666,1.09588,1.31395,0.008845,0.008845,0.008845
37,1370.31,1.50585,1.03258,1.22426,0.75433,0.65971,0.71624,0.39576,0.39056,1.52791,1.12419,1.28959,0.008812,0.008812,0.008812
38,1407.53,1.50517,1.02864,1.22609,0.74839,0.6609,0.7177,0.39788,0.39756,1.53647,1.05663,1.29207,0.008779,0.008779,0.008779
39,1444.31,1.50079,1.02121,1.22135,0.73424,0.64411,0.69929,0.36848,0.37646,1.58575,1.08365,1.32256,0.008746,0.008746,0.008746
40,1481.56,1.5092,1.02121,1.22652,0.73812,0.60347,0.66021,0.33356,0.3509,1.6204,1.19078,1.34264,0.008713,0.008713,0.008713
41,1518.44,1.4963,1.00402,1.22467,0.76548,0.64414,0.71828,0.40024,0.39676,1.55333,1.05973,1.29852,0.00868,0.00868,0.00868
42,1555.63,1.49686,1.00175,1.22243,0.75558,0.65699,0.71578,0.38854,0.39122,1.59783,1.07289,1.32837,0.008647,0.008647,0.008647
43,1592.73,1.49729,1.01797,1.21622,0.7613,0.65759,0.72136,0.40206,0.39725,1.57212,1.03065,1.32308,0.008614,0.008614,0.008614
44,1629.3,1.48885,1.00047,1.21284,0.77153,0.66079,0.73303,0.40997,0.40586,1.55069,1.01487,1.31188,0.008581,0.008581,0.008581
45,1666.41,1.47971,0.98742,1.2132,0.75876,0.67656,0.73669,0.42129,0.41281,1.53156,1.00438,1.29827,0.008548,0.008548,0.008548
46,1703.45,1.48451,0.99192,1.21303,0.79195,0.64032,0.72746,0.4164,0.40566,1.52752,1.03417,1.29097,0.008515,0.008515,0.008515
47,1740.26,1.47694,0.96835,1.19892,0.74605,0.68843,0.73358,0.40955,0.40507,1.54157,0.99377,1.30496,0.008482,0.008482,0.008482
48,1777.31,1.47068,0.97426,1.21096,0.76804,0.64654,0.72034,0.38725,0.39405,1.55827,1.04215,1.31125,0.008449,0.008449,0.008449
49,1813.95,1.47166,0.97244,1.21367,0.77512,0.68402,0.74499,0.42332,0.41554,1.51411,0.97878,1.28548,0.008416,0.008416,0.008416
50,1850.76,1.45233,0.94695,1.20253,0.76327,0.67645,0.74136,0.41347,0.41138,1.5424,0.97969,1.30835,0.008383,0.008383,0.008383
51,1887.47,1.46472,0.95912,1.20226,0.75366,0.66975,0.7326,0.41385,0.40639,1.53842,0.99678,1.30251,0.00835,0.00835,0.00835
52,1924.32,1.44705,0.94807,1.20562,0.77396,0.65949,0.72648,0.41107,0.40359,1.54118,1.00148,1.31334,0.008317,0.008317,0.008317
53,1961.65,1.4568,0.94417,1.20535,0.77734,0.66204,0.73047,0.40654,0.40183,1.57118,0.99621,1.31922,0.008284,0.008284,0.008284
54,1999.27,1.44978,0.93718,1.20152,0.78142,0.68659,0.7418,0.43098,0.4144,1.51512,0.96647,1.29263,0.008251,0.008251,0.008251
55,2036.55,1.45409,0.93994,1.19217,0.77719,0.66222,0.73179,0.41365,0.40482,1.55948,1.02757,1.31246,0.008218,0.008218,0.008218
56,2073.44,1.45196,0.93423,1.20043,0.78034,0.68552,0.75337,0.43182,0.41902,1.52674,0.97634,1.2959,0.008185,0.008185,0.008185
57,2109.82,1.43219,0.9238,1.19664,0.76515,0.68623,0.74154,0.41943,0.41245,1.561,0.96489,1.32232,0.008152,0.008152,0.008152
58,2146.65,1.43029,0.91049,1.18845,0.79053,0.70657,0.76375,0.43192,0.42561,1.53638,0.94053,1.30798,0.008119,0.008119,0.008119
59,2183.44,1.42865,0.90993,1.18765,0.77956,0.66353,0.7325,0.40818,0.40289,1.5689,1.01208,1.31923,0.008086,0.008086,0.008086
60,2220.8,1.42425,0.90507,1.18397,0.78948,0.68209,0.74681,0.42345,0.41735,1.52958,0.94617,1.31181,0.008053,0.008053,0.008053
61,2258.1,1.42586,0.90715,1.18546,0.78018,0.69426,0.75135,0.43382,0.42161,1.53749,0.94892,1.32371,0.00802,0.00802,0.00802
62,2295.21,1.43276,0.90727,1.18306,0.76946,0.69248,0.74897,0.42204,0.41862,1.55029,0.95251,1.31453,0.007987,0.007987,0.007987
63,2332.58,1.41873,0.88846,1.18724,0.78455,0.69267,0.75583,0.43235,0.42217,1.53419,0.94972,1.30111,0.007954,0.007954,0.007954
64,2369.81,1.40757,0.88392,1.18292,0.78298,0.69471,0.75739,0.4313,0.42502,1.51662,0.9617,1.28474,0.007921,0.007921,0.007921
65,2406.47,1.41384,0.89409,1.18788,0.77993,0.671,0.73503,0.419,0.40881,1.55119,1.00518,1.30912,0.007888,0.007888,0.007888
66,2443.42,1.40898,0.87668,1.18037,0.76109,0.68618,0.74485,0.42026,0.41387,1.52911,0.96926,1.29829,0.007855,0.007855,0.007855
67,2479.92,1.40182,0.8713,1.17155,0.77775,0.69281,0.7537,0.43652,0.4252,1.51507,0.94012,1.29722,0.007822,0.007822,0.007822
68,2517.63,1.40313,0.86688,1.17336,0.78061,0.70401,0.75988,0.43299,0.42593,1.54713,0.92643,1.31968,0.007789,0.007789,0.007789
69,2554.6,1.38738,0.86376,1.16362,0.77302,0.69506,0.7541,0.41704,0.41746,1.55597,0.94066,1.33286,0.007756,0.007756,0.007756
70,2592.03,1.40855,0.87466,1.17999,0.76098,0.69723,0.74761,0.43208,0.42066,1.53844,0.92785,1.30812,0.007723,0.007723,0.007723
71,2628.84,1.38539,0.85893,1.16796,0.77817,0.70401,0.76194,0.44147,0.43002,1.51363,0.91149,1.28999,0.00769,0.00769,0.00769
72,2665.61,1.38736,0.86114,1.16252,0.7848,0.70076,0.76036,0.44632,0.42772,1.52014,0.92531,1.30043,0.007657,0.007657,0.007657
73,2702.68,1.38931,0.85449,1.16826,0.8083,0.69337,0.76563,0.43681,0.4296,1.53637,0.91651,1.29949,0.007624,0.007624,0.007624
74,2739.74,1.38647,0.8527,1.1702,0.77487,0.70844,0.7601,0.43601,0.42767,1.53751,0.922,1.31209,0.007591,0.007591,0.007591
75,2776.41,1.38243,0.84561,1.1645,0.78483,0.70368,0.76679,0.43769,0.42717,1.53781,0.9212,1.31645,0.007558,0.007558,0.007558
76,2813.89,1.36808,0.83188,1.16062,0.79402,0.68516,0.75315,0.43223,0.42327,1.53154,0.9339,1.31657,0.007525,0.007525,0.007525
77,2851.39,1.3658,0.82383,1.16074,0.81264,0.69111,0.76318,0.45239,0.43279,1.51822,0.91275,1.30821,0.007492,0.007492,0.007492
78,2888.86,1.37775,0.8386,1.16217,0.78673,0.68701,0.75605,0.4264,0.41924,1.54781,0.94499,1.31781,0.007459,0.007459,0.007459
79,2925.73,1.37608,0.8382,1.16148,0.78617,0.66938,0.73885,0.42033,0.41295,1.56277,0.97291,1.32665,0.007426,0.007426,0.007426
80,2962.79,1.37122,0.83397,1.15858,0.79746,0.69468,0.76426,0.43494,0.42918,1.51574,0.92555,1.3056,0.007393,0.007393,0.007393
81,2999.36,1.35905,0.81905,1.15025,0.79743,0.70792,0.77526,0.44075,0.43514,1.51696,0.89806,1.29891,0.00736,0.00736,0.00736
82,3036.35,1.36061,0.811,1.15313,0.81001,0.67238,0.75492,0.43735,0.42598,1.52507,0.94309,1.29946,0.007327,0.007327,0.007327
83,3073.17,1.35938,0.81913,1.15248,0.77458,0.70915,0.76456,0.45039,0.43304,1.51804,0.90724,1.30288,0.007294,0.007294,0.007294
84,3109.68,1.34208,0.81089,1.15303,0.79652,0.70474,0.77377,0.45908,0.43962,1.51707,0.89649,1.30115,0.007261,0.007261,0.007261
85,3146.14,1.35091,0.8056,1.14303,0.78322,0.70322,0.76161,0.44374,0.43082,1.52808,0.90962,1.30685,0.007228,0.007228,0.007228
86,3182.72,1.33929,0.79893,1.14203,0.80349,0.69678,0.76395,0.44665,0.43119,1.53271,0.92289,1.30841,0.007195,0.007195,0.007195
87,3219.54,1.34022,0.79371,1.1548,0.79122,0.71078,0.77105,0.45244,0.43779,1.52488,0.90565,1.30996,0.007162,0.007162,0.007162
88,3256.34,1.34345,0.7989,1.14848,0.76414,0.69973,0.751,0.43084,0.42054,1.55015,0.92543,1.31321,0.007129,0.007129,0.007129
89,3293.68,1.33643,0.79555,1.14285,0.80621,0.70687,0.76789,0.4418,0.43095,1.5388,0.9045,1.3249,0.007096,0.007096,0.007096
90,3330.69,1.34894,0.80287,1.14045,0.79031,0.68777,0.76169,0.43384,0.42555,1.54389,0.92523,1.31427,0.007063,0.007063,0.007063
91,3367.86,1.32767,0.78834,1.14239,0.7945,0.68592,0.75441,0.4329,0.42317,1.53558,0.92797,1.31481,0.00703,0.00703,0.00703
92,3404.8,1.33973,0.78822,1.13918,0.79466,0.70985,0.77179,0.44793,0.43346,1.53825,0.88255,1.32491,0.006997,0.006997,0.006997
93,3442.3,1.32632,0.78308,1.13848,0.78712,0.71215,0.77203,0.45621,0.43688,1.51783,0.89414,1.30608,0.006964,0.006964,0.006964
94,3478.7,1.31563,0.77601,1.14195,0.79519,0.71483,0.77923,0.45076,0.43857,1.52076,0.89482,1.30856,0.006931,0.006931,0.006931
95,3515.72,1.3224,0.77306,1.12749,0.80454,0.71016,0.77576,0.45284,0.44132,1.52917,0.88483,1.31459,0.006898,0.006898,0.006898
96,3553.17,1.3106,0.76601,1.13243,0.80592,0.70864,0.77519,0.45434,0.43905,1.52427,0.88509,1.31953,0.006865,0.006865,0.006865
97,3589.43,1.30424,0.76217,1.12022,0.8201,0.70136,0.77782,0.45035,0.43789,1.5416,0.88169,1.32088,0.006832,0.006832,0.006832
98,3626.07,1.30513,0.75829,1.12309,0.79874,0.71459,0.77478,0.45321,0.4392,1.52242,0.88563,1.31132,0.006799,0.006799,0.006799
99,3663.64,1.30644,0.76014,1.12898,0.80641,0.71099,0.78129,0.45757,0.44225,1.5273,0.88297,1.31095,0.006766,0.006766,0.006766
100,3700.97,1.29353,0.75254,1.13052,0.79991,0.71102,0.77478,0.44647,0.43734,1.5388,0.88388,1.31992,0.006733,0.006733,0.006733
101,3738.19,1.29704,0.75698,1.12423,0.80007,0.71041,0.77373,0.44424,0.4347,1.54376,0.88261,1.32553,0.0067,0.0067,0.0067
102,3775.28,1.30056,0.76421,1.12142,0.81136,0.69163,0.77395,0.44933,0.43621,1.53573,0.89938,1.31886,0.006667,0.006667,0.006667
103,3812.53,1.2901,0.75125,1.12176,0.80584,0.70922,0.77493,0.43311,0.43208,1.55161,0.89034,1.32822,0.006634,0.006634,0.006634
104,3849.76,1.2907,0.74442,1.12529,0.79056,0.72861,0.77923,0.45204,0.44125,1.53611,0.88911,1.3133,0.006601,0.006601,0.006601
105,3887.2,1.28856,0.74138,1.11392,0.81529,0.69154,0.76605,0.43689,0.42936,1.55327,0.90847,1.33528,0.006568,0.006568,0.006568
106,3924.02,1.28693,0.74264,1.12052,0.80386,0.72101,0.78006,0.46271,0.44367,1.52113,0.8848,1.31627,0.006535,0.006535,0.006535
107,3961.25,1.28108,0.73454,1.11734,0.79378,0.71564,0.77045,0.45459,0.43663,1.53497,0.88788,1.32508,0.006502,0.006502,0.006502
108,3998.73,1.28069,0.73201,1.11081,0.80542,0.71413,0.78095,0.45255,0.44436,1.52049,0.87251,1.3148,0.006469,0.006469,0.006469
109,4035.88,1.27464,0.72454,1.11109,0.81272,0.71196,0.78246,0.45378,0.44256,1.53846,0.86915,1.3333,0.006436,0.006436,0.006436
110,4072.84,1.2721,0.73012,1.10838,0.8027,0.72277,0.77913,0.45406,0.44176,1.52218,0.88247,1.31769,0.006403,0.006403,0.006403
111,4110.29,1.26822,0.72121,1.11296,0.78391,0.72946,0.7775,0.44805,0.43891,1.53133,0.87386,1.32412,0.00637,0.00637,0.00637
112,4146.84,1.25365,0.71914,1.10249,0.79801,0.71817,0.77329,0.44936,0.43658,1.53381,0.89012,1.32292,0.006337,0.006337,0.006337
113,4183.55,1.2586,0.72004,1.10895,0.7873,0.72972,0.78024,0.45837,0.44473,1.52351,0.87219,1.31814,0.006304,0.006304,0.006304
114,4220.55,1.25314,0.71363,1.09649,0.79829,0.71765,0.77495,0.4632,0.44274,1.50876,0.87972,1.30612,0.006271,0.006271,0.006271
115,4257.77,1.25673,0.71572,1.10613,0.81073,0.7005,0.7707,0.45395,0.4387,1.52937,0.88635,1.3252,0.006238,0.006238,0.006238
116,4294.62,1.25356,0.70042,1.09767,0.8086,0.71473,0.78091,0.47001,0.4469,1.51662,0.87629,1.31662,0.006205,0.006205,0.006205
117,4331.08,1.24729,0.69847,1.10251,0.79141,0.73207,0.78197,0.4706,0.44855,1.52284,0.8699,1.31994,0.006172,0.006172,0.006172
118,4368.01,1.2625,0.71955,1.1056,0.80453,0.72181,0.78134,0.45575,0.44492,1.5243,0.86499,1.32406,0.006139,0.006139,0.006139
119,4404.75,1.24435,0.69682,1.1008,0.80284,0.72098,0.78226,0.46289,0.44774,1.51996,0.86724,1.31598,0.006106,0.006106,0.006106
120,4441.61,1.24133,0.69983,1.09513,0.80213,0.7206,0.77684,0.45772,0.44274,1.53163,0.88267,1.32497,0.006073,0.006073,0.006073
121,4478.64,1.2386,0.6985,1.09616,0.80927,0.71414,0.77969,0.45719,0.44508,1.52481,0.87475,1.32111,0.00604,0.00604,0.00604
122,4515.21,1.23155,0.6994,1.09627,0.80844,0.70615,0.77283,0.46019,0.44122,1.5311,0.87568,1.33405,0.006007,0.006007,0.006007
123,4552.05,1.22244,0.68429,1.0906,0.80083,0.72096,0.78487,0.47057,0.44862,1.51749,0.87064,1.31937,0.005974,0.005974,0.005974
124,4588.89,1.22006,0.68866,1.08783,0.81366,0.70868,0.77647,0.45992,0.44465,1.52354,0.87685,1.32412,0.005941,0.005941,0.005941
125,4625.67,1.22339,0.68974,1.09577,0.78955,0.734,0.77989,0.46129,0.44502,1.52514,0.86431,1.33016,0.005908,0.005908,0.005908
126,4662.67,1.22191,0.68494,1.0891,0.79999,0.72175,0.77746,0.45852,0.44232,1.53354,0.86934,1.32993,0.005875,0.005875,0.005875
127,4699.03,1.22554,0.68057,1.0811,0.79005,0.71847,0.77555,0.46463,0.4434,1.52856,0.87635,1.33005,0.005842,0.005842,0.005842
128,4735.88,1.21248,0.67849,1.08726,0.79404,0.72306,0.77352,0.4561,0.43846,1.53122,0.87418,1.32838,0.005809,0.005809,0.005809
129,4773.36,1.1962,0.6717,1.08326,0.81062,0.71865,0.77818,0.47204,0.44445,1.52196,0.87031,1.32139,0.005776,0.005776,0.005776
130,4810.16,1.21703,0.68328,1.08632,0.78785,0.73792,0.77842,0.45847,0.44261,1.53473,0.8693,1.34382,0.005743,0.005743,0.005743
131,4847.11,1.22276,0.6827,1.0858,0.79689,0.72465,0.77812,0.45904,0.44391,1.52931,0.87978,1.32866,0.00571,0.00571,0.00571
132,4883.91,1.20804,0.67642,1.0779,0.79224,0.72782,0.78095,0.46088,0.44461,1.52482,0.87107,1.33092,0.005677,0.005677,0.005677
133,4921.17,1.20928,0.67245,1.08287,0.8058,0.71537,0.78123,0.45496,0.44157,1.53342,0.86844,1.33657,0.005644,0.005644,0.005644
