epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.242,1.88303,3.08952,1.41671,0.73041,0.34368,0.37608,0.14362,0.18045,1.80459,2.21425,1.4338,0.00331019,0.00331019,0.00331019
2,75.9653,1.76721,1.87687,1.35433,0.58845,0.39286,0.4167,0.15933,0.19593,1.82281,2.18034,1.47333,0.00662159,0.00662159,0.00662159
3,114.4,1.76783,1.7366,1.36981,0.54387,0.40554,0.4136,0.16451,0.19641,1.81442,1.97424,1.47781,0.009911,0.009911,0.009911
4,152.398,1.75786,1.67502,1.34286,0.55504,0.37172,0.36935,0.1435,0.17645,1.80655,2.03434,1.41376,0.009901,0.009901,0.009901
5,189.663,1.72953,1.57476,1.33695,0.54582,0.40432,0.421,0.15617,0.19451,1.91788,1.86485,1.51858,0.009868,0.009868,0.009868
6,226.98,1.70808,1.50339,1.3274,0.55408,0.38344,0.38683,0.14825,0.18193,1.99672,2.02259,1.58834,0.009835,0.009835,0.009835
7,264.234,1.69159,1.46511,1.31691,0.53001,0.36521,0.37148,0.14816,0.17855,1.80059,1.96413,1.4581,0.009802,0.009802,0.009802
8,301.641,1.66653,1.40386,1.30679,0.70957,0.48821,0.56159,0.25227,0.28321,1.67147,1.5336,1.3563,0.009769,0.009769,0.009769
9,338.784,1.66822,1.40915,1.30961,0.64259,0.39889,0.44344,0.19744,0.22231,1.80836,1.79124,1.44644,0.009736,0.009736,0.009736
10,375.964,1.65423,1.35103,1.30453,0.71955,0.55481,0.6152,0.29315,0.31644,1.64349,1.39007,1.3549,0.009703,0.009703,0.009703
11,413.498,1.64514,1.32088,1.29523,0.71176,0.54024,0.60713,0.27722,0.31105,1.66564,1.34524,1.33688,0.00967,0.00967,0.00967
12,450.434,1.6316,1.31972,1.29018,0.68838,0.54961,0.59508,0.26794,0.30137,1.68545,1.41431,1.37567,0.009637,0.009637,0.009637
13,487.25,1.62227,1.28819,1.28524,0.70766,0.60703,0.66159,0.33364,0.34933,1.59158,1.3236,1.31462,0.009604,0.009604,0.009604
14,523.789,1.63539,1.28912,1.2834,0.69734,0.58736,0.64208,0.32882,0.34137,1.58256,1.30464,1.31189,0.009571,0.009571,0.009571
15,559.916,1.6151,1.27224,1.27734,0.69686,0.58814,0.63616,0.29921,0.32738,1.65316,1.29704,1.35306,0.009538,0.009538,0.009538
16,596.613,1.60531,1.24829,1.2726,0.71196,0.60658,0.65596,0.28972,0.33293,1.65384,1.28481,1.36031,0.009505,0.009505,0.009505
17,633.289,1.60167,1.22611,1.27323,0.7288,0.56609,0.63254,0.30031,0.32601,1.65558,1.28229,1.36126,0.009472,0.009472,0.009472
18,670.078,1.59189,1.21234,1.26069,0.72964,0.59038,0.66001,0.33991,0.35427,1.58642,1.21196,1.32879,0.009439,0.009439,0.009439
19,706.9,1.5827,1.20518,1.26841,0.70602,0.53733,0.58804,0.30845,0.31408,1.63776,1.33502,1.35488,0.009406,0.009406,0.009406
20,743.823,1.58118,1.18954,1.25623,0.71329,0.60778,0.66375,0.32769,0.34655,1.63248,1.21688,1.37164,0.009373,0.009373,0.009373
21,780.812,1.57349,1.16104,1.26078,0.74818,0.56334,0.64307,0.32772,0.34001,1.61692,1.26279,1.34682,0.00934,0.00934,0.00934
22,817.666,1.5742,1.16255,1.2564,0.72918,0.60027,0.66141,0.3387,0.353,1.60333,1.18107,1.34039,0.009307,0.009307,0.009307
23,854.77,1.56506,1.14387,1.25722,0.74908,0.60974,0.68453,0.34488,0.36391,1.58814,1.15327,1.33349,0.009274,0.009274,0.009274
24,891.491,1.56403,1.15349,1.2535,0.76096,0.57202,0.65617,0.35231,0.35217,1.59154,1.36183,1.32232,0.009241,0.009241,0.009241
25,928.221,1.55392,1.12996,1.25149,0.73868,0.6135,0.67806,0.36141,0.36568,1.56621,1.16947,1.31429,0.009208,0.009208,0.009208
26,965.209,1.54876,1.11865,1.24495,0.73686,0.6087,0.68228,0.36546,0.36958,1.58727,1.13719,1.32445,0.009175,0.009175,0.009175
27,1002.24,1.55419,1.11673,1.2393,0.74371,0.6368,0.70508,0.37876,0.38177,1.57266,1.08725,1.31701,0.009142,0.009142,0.009142
28,1039.39,1.53916,1.10471,1.23336,0.74131,0.63968,0.6936,0.36172,0.3729,1.57347,1.15083,1.31675,0.009109,0.009109,0.009109
29,1077.07,1.5489,1.10798,1.24676,0.77116,0.62127,0.68999,0.37111,0.37669,1.56486,1.11207,1.32908,0.009076,0.009076,0.009076
30,1114.24,1.53395,1.07716,1.23209,0.75609,0.60007,0.67605,0.34249,0.3589,1.62166,1.18258,1.34929,0.009043,0.009043,0.009043
31,1151.2,1.5372,1.07497,1.22961,0.76002,0.62839,0.69288,0.35392,0.37026,1.58,1.15218,1.3279,0.00901,0.00901,0.00901
32,1188.24,1.53895,1.06653,1.23301,0.74754,0.62444,0.69724,0.37706,0.37921,1.58189,1.14069,1.32367,0.008977,0.008977,0.008977
33,1225.35,1.53066,1.0706,1.2293,0.75602,0.65361,0.7184,0.39629,0.39516,1.54485,1.07449,1.31563,0.008944,0.008944,0.008944
34,1262.67,1.52621,1.06179,1.22605,0.75664,0.59641,0.66983,0.35486,0.36208,1.57996,1.20719,1.31345,0.008911,0.008911,0.008911
35,1299.55,1.51112,1.04911,1.21985,0.74609,0.60316,0.66801,0.34364,0.35473,1.64804,1.16917,1.35895,0.008878,0.008878,0.008878
36,1336.41,1.50967,1.05194,1.22783,0.7508,0.6515,0.71708,0.39068,0.39411,1.55305,1.05975,1.30037,0.008845,0.008845,0.008845
37,1373.58,1.50144,1.03389,1.21807,0.76113,0.67074,0.73178,0.40907,0.40391,1.53376,1.03521,1.29597,0.008812,0.008812,0.008812
38,1410.9,1.5012,1.01976,1.22216,0.76776,0.6376,0.71324,0.39712,0.39497,1.53372,1.06128,1.28673,0.008779,0.008779,0.008779
39,1447.5,1.50204,1.01815,1.22443,0.76563,0.63377,0.7102,0.36821,0.37883,1.59369,1.09996,1.33038,0.008746,0.008746,0.008746
40,1484.7,1.50629,1.02261,1.22789,0.77128,0.6207,0.69923,0.36811,0.37895,1.57976,1.07716,1.3255,0.008713,0.008713,0.008713
41,1521.44,1.49696,1.01122,1.22455,0.75411,0.65051,0.72179,0.39991,0.39885,1.54564,1.05389,1.29485,0.00868,0.00868,0.00868
42,1558.33,1.4947,1.00094,1.22055,0.76023,0.63243,0.7011,0.37618,0.38374,1.56987,1.07274,1.31704,0.008647,0.008647,0.008647
43,1595.08,1.4973,1.01768,1.21719,0.75369,0.62843,0.68964,0.35691,0.36978,1.59306,1.08052,1.35407,0.008614,0.008614,0.008614
44,1631.88,1.48898,1.00044,1.21602,0.76711,0.65383,0.72459,0.40711,0.40256,1.54267,1.02186,1.31058,0.008581,0.008581,0.008581
45,1668.67,1.47295,0.98548,1.21034,0.75251,0.67944,0.7312,0.40807,0.4049,1.53253,1.02746,1.29432,0.008548,0.008548,0.008548
46,1704.95,1.47963,0.98538,1.2119,0.76651,0.62655,0.70258,0.38886,0.38982,1.53702,1.06781,1.29831,0.008515,0.008515,0.008515
47,1741.56,1.48012,0.97221,1.20207,0.77075,0.67697,0.73554,0.41496,0.40852,1.54477,0.99014,1.31541,0.008482,0.008482,0.008482
48,1779.06,1.4645,0.97066,1.2087,0.7807,0.6539,0.72054,0.38259,0.39182,1.56579,1.04442,1.31707,0.008449,0.008449,0.008449
49,1815.73,1.47108,0.97511,1.21428,0.77801,0.65329,0.72966,0.39724,0.40161,1.54387,1.01379,1.29867,0.008416,0.008416,0.008416
50,1851.98,1.45824,0.95293,1.20437,0.76829,0.68818,0.74898,0.43897,0.4231,1.50618,0.99191,1.27095,0.008383,0.008383,0.008383
51,1888.7,1.46255,0.95633,1.20369,0.76961,0.65053,0.71234,0.38118,0.38612,1.59544,1.04515,1.32941,0.00835,0.00835,0.00835
52,1925.61,1.44665,0.94558,1.20507,0.78034,0.68028,0.74629,0.42484,0.41556,1.53821,0.98304,1.30291,0.008317,0.008317,0.008317
53,1962.89,1.4599,0.952,1.2042,0.76914,0.6615,0.72801,0.39735,0.40068,1.57086,1.03449,1.32844,0.008284,0.008284,0.008284
