epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9498,1.89254,3.028,1.45012,0.73261,0.34711,0.37389,0.15104,0.17773,1.82574,2.20887,1.47637,0.00331019,0.00331019,0.00331019
2,72.732,1.76507,1.86114,1.38068,0.60623,0.47906,0.51174,0.20369,0.248,1.70696,1.86864,1.41598,0.00662159,0.00662159,0.00662159
3,110.355,1.77555,1.72924,1.38697,0.53441,0.38949,0.39796,0.15863,0.1883,1.89141,2.0392,1.50564,0.009911,0.009911,0.009911
4,147.468,1.7642,1.66133,1.3532,0.52785,0.49461,0.48983,0.18293,0.22918,1.73798,2.27608,1.42118,0.009901,0.009901,0.009901
5,184.461,1.73,1.58294,1.34445,0.58867,0.45358,0.47577,0.19569,0.23171,1.78692,1.7538,1.45873,0.009868,0.009868,0.009868
6,221.279,1.70964,1.49675,1.33148,0.62491,0.4641,0.48692,0.19506,0.23342,1.88107,1.68922,1.54237,0.009835,0.009835,0.009835
7,257.512,1.69876,1.47141,1.32888,0.60454,0.46661,0.48716,0.21939,0.24328,1.73147,1.65658,1.42431,0.009802,0.009802,0.009802
8,294.749,1.66896,1.41918,1.31457,0.64637,0.54918,0.581,0.26125,0.29421,1.68761,1.48436,1.36878,0.009769,0.009769,0.009769
9,332.114,1.66336,1.39187,1.31389,0.66666,0.50409,0.55998,0.25396,0.28313,1.6982,1.53677,1.37774,0.009736,0.009736,0.009736
10,368.875,1.66057,1.34082,1.31233,0.69341,0.51278,0.57372,0.26079,0.29127,1.65834,1.45204,1.38048,0.009703,0.009703,0.009703
11,406.784,1.63913,1.32592,1.29917,0.67355,0.49989,0.55638,0.25184,0.28076,1.68777,1.4986,1.3966,0.00967,0.00967,0.00967
12,444.131,1.63722,1.31924,1.29737,0.67322,0.59543,0.63084,0.29507,0.32208,1.60721,1.4311,1.34197,0.009637,0.009637,0.009637
13,481.53,1.62255,1.2895,1.29169,0.70303,0.56054,0.6113,0.27189,0.30607,1.71334,1.40643,1.42142,0.009604,0.009604,0.009604
14,518.221,1.62675,1.28268,1.29104,0.72761,0.55507,0.62817,0.31585,0.32941,1.63009,1.34469,1.35063,0.009571,0.009571,0.009571
15,555.675,1.61499,1.26587,1.28578,0.72288,0.5792,0.64039,0.32765,0.33986,1.57701,1.27283,1.322,0.009538,0.009538,0.009538
16,593.425,1.61049,1.24858,1.28474,0.63645,0.43057,0.48031,0.20557,0.23559,1.88845,1.60619,1.51054,0.009505,0.009505,0.009505
17,630.512,1.59904,1.22307,1.27889,0.73625,0.55797,0.63179,0.3089,0.33034,1.6069,1.30243,1.33688,0.009472,0.009472,0.009472
18,667.979,1.59326,1.20694,1.27096,0.73639,0.58791,0.64712,0.33322,0.34629,1.60146,1.23537,1.34978,0.009439,0.009439,0.009439
19,705.335,1.5856,1.20904,1.27931,0.68368,0.42747,0.50036,0.22609,0.25197,1.76511,1.62579,1.44569,0.009406,0.009406,0.009406
20,742.858,1.57447,1.18757,1.26184,0.74997,0.60822,0.67301,0.34336,0.35391,1.60191,1.20868,1.34563,0.009373,0.009373,0.009373
21,780.074,1.5752,1.16518,1.2675,0.74908,0.61515,0.68372,0.35228,0.36406,1.56512,1.20488,1.32466,0.00934,0.00934,0.00934
22,817.134,1.56813,1.15048,1.25839,0.71911,0.58966,0.64348,0.31173,0.33482,1.67676,1.19806,1.38714,0.009307,0.009307,0.009307
