epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2288,1.89368,3.01896,1.43412,0.76384,0.36667,0.40627,0.16691,0.19851,1.75622,2.08939,1.40116,0.00331019,0.00331019,0.00331019
2,76.0688,1.77145,1.87561,1.36289,0.57954,0.42714,0.45093,0.1711,0.21218,1.80077,1.93857,1.4353,0.00662159,0.00662159,0.00662159
3,113.594,1.77497,1.72522,1.37164,0.61232,0.47019,0.48136,0.18661,0.22819,1.76245,1.86883,1.42256,0.009911,0.009911,0.009911
4,150.588,1.76697,1.66359,1.35436,0.47069,0.30345,0.3018,0.10448,0.13707,2.10564,2.2406,1.71436,0.009901,0.009901,0.009901
5,187.588,1.73559,1.57329,1.34474,0.66088,0.53403,0.57456,0.23184,0.27994,1.70985,1.63014,1.39462,0.009868,0.009868,0.009868
6,224.838,1.71132,1.49024,1.33147,0.64158,0.53217,0.56047,0.22007,0.26494,1.76908,1.58774,1.43446,0.009835,0.009835,0.009835
7,261.932,1.69212,1.45746,1.32059,0.66187,0.47383,0.52036,0.21628,0.25606,1.75209,1.61361,1.42912,0.009802,0.009802,0.009802
8,298.58,1.67187,1.41371,1.31055,0.66325,0.5456,0.58705,0.23248,0.28242,1.73399,1.49628,1.38816,0.009769,0.009769,0.009769
9,335.399,1.66617,1.41104,1.31329,0.66816,0.48592,0.5428,0.23816,0.27019,1.68971,1.55209,1.36968,0.009736,0.009736,0.009736
10,372.121,1.65233,1.34963,1.30041,0.65128,0.50182,0.54343,0.24086,0.27406,1.70803,1.51429,1.38765,0.009703,0.009703,0.009703
11,409.785,1.64165,1.32744,1.29243,0.72909,0.52702,0.60506,0.29155,0.31311,1.65132,1.38353,1.35814,0.00967,0.00967,0.00967
12,446.059,1.62932,1.32137,1.28662,0.6725,0.55013,0.59052,0.25989,0.29619,1.67369,1.41368,1.37559,0.009637,0.009637,0.009637
13,482.677,1.61846,1.28799,1.28419,0.68887,0.55495,0.60026,0.28572,0.31067,1.62988,1.35625,1.35457,0.009604,0.009604,0.009604
