epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5874,1.89088,3.078,1.41243,0.67475,0.35766,0.35889,0.13606,0.17007,1.79684,2.1814,1.40031,0.00331019,0.00331019,0.00331019
2,76.3,1.76618,1.91566,1.32841,0.56493,0.46249,0.47731,0.19861,0.23338,1.75428,2.10593,1.42079,0.00662159,0.00662159,0.00662159
3,114.185,1.77603,1.73934,1.35186,0.521,0.39444,0.40836,0.1507,0.19338,1.87792,2.00552,1.46077,0.009911,0.009911,0.009911
4,151.986,1.76955,1.68035,1.321,0.54761,0.38569,0.39109,0.14176,0.18171,1.90345,1.99915,1.50647,0.009901,0.009901,0.009901
5,189.483,1.7328,1.5943,1.30676,0.55375,0.40484,0.4246,0.16077,0.2009,1.86583,1.88946,1.48787,0.009868,0.009868,0.009868
6,226.685,1.70507,1.51803,1.29761,0.69838,0.44353,0.49859,0.18419,0.23696,1.77139,2.1962,1.41333,0.009835,0.009835,0.009835
7,263.63,1.69958,1.48897,1.29289,0.65752,0.51569,0.55919,0.24579,0.27727,1.67904,1.53649,1.34611,0.009802,0.009802,0.009802
8,300.429,1.66832,1.42488,1.27852,0.70446,0.54937,0.61029,0.27571,0.31028,1.63852,1.42369,1.3131,0.009769,0.009769,0.009769
9,337.683,1.66622,1.41618,1.28516,0.6833,0.5306,0.58393,0.26772,0.29451,1.67094,1.46422,1.33605,0.009736,0.009736,0.009736
10,374.605,1.65557,1.36557,1.2808,0.64476,0.55464,0.5881,0.2529,0.29208,1.67748,1.49093,1.34356,0.009703,0.009703,0.009703
11,412.264,1.63971,1.34994,1.26858,0.70685,0.5167,0.58259,0.26605,0.29648,1.68645,1.46222,1.35647,0.00967,0.00967,0.00967
12,449.362,1.63191,1.33331,1.26074,0.64895,0.58701,0.62324,0.29087,0.3202,1.61303,1.4329,1.30295,0.009637,0.009637,0.009637
13,486.695,1.62323,1.30058,1.25781,0.70162,0.57439,0.62633,0.29918,0.32327,1.66018,1.3201,1.31292,0.009604,0.009604,0.009604
14,523.436,1.62454,1.29294,1.25059,0.69339,0.60362,0.64903,0.3233,0.33897,1.60762,1.29095,1.31341,0.009571,0.009571,0.009571
15,560.745,1.61523,1.27892,1.25405,0.68646,0.54951,0.60111,0.28751,0.31193,1.66308,1.40747,1.33167,0.009538,0.009538,0.009538
16,598.168,1.60453,1.2556,1.24884,0.73477,0.60637,0.65901,0.31588,0.34392,1.59552,1.29093,1.29844,0.009505,0.009505,0.009505
17,635.14,1.59641,1.23384,1.24504,0.74919,0.62609,0.68317,0.34691,0.36196,1.57851,1.21757,1.28438,0.009472,0.009472,0.009472
18,671.89,1.59473,1.20744,1.24195,0.71417,0.5649,0.62725,0.31958,0.33224,1.61645,1.26307,1.32314,0.009439,0.009439,0.009439
19,708.99,1.58652,1.20595,1.24648,0.71559,0.55818,0.60994,0.28979,0.31217,1.65323,1.41023,1.31329,0.009406,0.009406,0.009406
20,746.13,1.57189,1.19112,1.22806,0.72674,0.61512,0.6702,0.34596,0.3541,1.6124,1.21487,1.30736,0.009373,0.009373,0.009373
21,782.981,1.57439,1.16287,1.23471,0.73535,0.62768,0.68925,0.3632,0.37098,1.55989,1.17435,1.28521,0.00934,0.00934,0.00934
22,819.656,1.56374,1.15962,1.22484,0.70803,0.61117,0.66503,0.34914,0.35742,1.59142,1.18702,1.29999,0.009307,0.009307,0.009307
23,857.307,1.56989,1.14872,1.23308,0.77194,0.59459,0.68574,0.36499,0.37023,1.5729,1.18533,1.279,0.009274,0.009274,0.009274
24,894.364,1.56817,1.15097,1.23357,0.747,0.61115,0.67418,0.35215,0.3579,1.59395,1.2584,1.29001,0.009241,0.009241,0.009241
25,931.063,1.54671,1.12975,1.22285,0.7482,0.61417,0.68664,0.36879,0.37094,1.57212,1.16444,1.28143,0.009208,0.009208,0.009208
26,968.266,1.5513,1.12819,1.22295,0.7312,0.63341,0.69954,0.36936,0.37453,1.57891,1.14323,1.29327,0.009175,0.009175,0.009175
27,1005.03,1.54944,1.12357,1.2185,0.75731,0.63344,0.70084,0.38077,0.38044,1.55011,1.1223,1.28922,0.009142,0.009142,0.009142
28,1042.42,1.53528,1.09941,1.20987,0.75623,0.62422,0.69342,0.37118,0.3759,1.56093,1.18772,1.28224,0.009109,0.009109,0.009109
29,1080.41,1.5493,1.10643,1.22138,0.74322,0.6194,0.6818,0.35535,0.36464,1.60118,1.15534,1.31349,0.009076,0.009076,0.009076
